,TNC US Equity,TNC US Equity,TNC US Equity,TNC US Equity,TNC US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,74.0426,74.9878,73.5039,73.6457,69351.0
2020-01-02,73.4472,74.2411,72.5871,74.1844,74865.0
2020-01-03,73.2015,75.4745,73.2015,75.2808,104111.0
2020-01-04,73.2015,75.4745,73.2015,75.2808,104111.0
2020-01-05,73.2015,75.4745,73.2015,75.2808,104111.0
2020-01-06,74.5247,75.5549,73.3338,75.243,65873.0
2020-01-07,74.7704,75.2524,74.364,74.9689,55077.0
2020-01-08,74.9783,75.725,74.5955,75.0823,65618.0
2020-01-09,74.7987,76.1314,74.7231,75.8384,68066.0
2020-01-10,75.7817,76.0841,75.3233,75.9424,65765.0
2020-01-11,75.7817,76.0841,75.3233,75.9424,65765.0
2020-01-12,75.7817,76.0841,75.3233,75.9424,65765.0
2020-01-13,75.8573,78.6927,75.6588,78.6171,88665.0
2020-01-14,78.2863,78.5132,77.672,78.0311,83474.0
2020-01-15,78.8156,79.9025,77.9084,79.3543,79859.0
2020-01-16,79.9309,81.5707,79.9309,81.5471,66703.0
2020-01-17,82.0764,82.2843,79.6095,79.9403,62386.0
2020-01-18,82.0764,82.2843,79.6095,79.9403,62386.0
2020-01-19,82.0764,82.2843,79.6095,79.9403,62386.0
2020-01-20,82.0764,82.2843,79.6095,79.9403,62386.0
2020-01-21,79.5906,80.0065,78.2863,78.3147,50269.0
2020-01-22,78.7684,78.7684,77.3223,78.1068,33339.0
2020-01-23,78.0122,78.4848,77.2939,78.4754,47990.0
2020-01-24,78.6833,78.6833,77.3223,77.7287,33778.0
2020-01-25,78.6833,78.6833,77.3223,77.7287,33778.0
2020-01-26,78.6833,78.6833,77.3223,77.7287,33778.0
2020-01-27,76.4906,77.1427,76.1503,76.5473,38415.0
2020-01-28,77.19,77.5491,76.1219,76.2921,41490.0
2020-01-29,76.2921,76.4906,75.1484,75.2146,35034.0
2020-01-30,74.7042,75.0303,73.3716,74.9405,57768.0
2020-01-31,74.2884,74.5766,72.8707,72.9841,68534.0
2020-02-01,74.2884,74.5766,72.8707,72.9841,68534.0
2020-02-02,74.2884,74.5766,72.8707,72.9841,68534.0
2020-02-03,73.589,74.0426,72.3414,73.1353,69595.0
2020-02-04,74.2222,75.3753,74.2222,74.9122,31245.0
2020-02-05,75.8479,76.311,75.1343,76.2354,33004.0
2020-02-06,76.6418,76.9348,75.2997,75.8668,24803.0
2020-02-07,75.725,75.725,75.1106,75.4509,38680.0
2020-02-08,75.725,75.725,75.1106,75.4509,38680.0
2020-02-09,75.725,75.725,75.1106,75.4509,38680.0
2020-02-10,75.0539,76.3771,75.0539,76.2637,31579.0
2020-02-11,76.793,78.2107,76.793,77.4641,34376.0
2020-02-12,77.6436,77.6436,76.9489,77.4262,40868.0
2020-02-13,77.1333,77.6814,76.8025,77.6153,43445.0
2020-02-14,77.4262,77.6436,76.6796,77.5586,35220.0
2020-02-15,77.4262,77.6436,76.6796,77.5586,35220.0
2020-02-16,77.4262,77.6436,76.6796,77.5586,35220.0
2020-02-17,77.4262,77.6436,76.6796,77.5586,35220.0
