,AMGN US Equity,AMGN US Equity,AMGN US Equity,AMGN US Equity,AMGN US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,162.294,165.566,162.023,164.61,2764784.0
2019-01-02,162.792,163.367,159.774,162.268,3009062.0
2019-01-03,162.48,164.196,159.537,159.799,3973882.0
2019-01-04,161.896,166.171,161.372,165.262,4193438.0
2019-01-05,161.896,166.171,161.372,165.262,4193438.0
2019-01-06,161.896,166.171,161.372,165.262,4193438.0
2019-01-07,164.687,168.576,164.044,167.485,3032475.0
2019-01-08,168.441,170.065,166.31,169.633,3290259.0
2019-01-09,171.113,171.57,168.805,169.43,2869689.0
2019-01-10,169.43,172.094,168.669,171.384,3131263.0
2019-01-11,169.659,169.955,167.426,169.591,3379651.0
2019-01-12,169.659,169.955,167.426,169.591,3379651.0
2019-01-13,169.659,169.955,167.426,169.591,3379651.0
2019-01-14,168.686,169.117,166.293,166.395,3378576.0
2019-01-15,165.989,169.109,165.769,168.593,2859832.0
2019-01-16,168.526,169.49,167.084,168.179,3302367.0
2019-01-17,167.748,171.257,167.409,170.741,2440196.0
2019-01-18,171.933,172.779,169.997,172.398,3094991.0
2019-01-19,171.933,172.779,169.997,172.398,3094991.0
2019-01-20,171.933,172.779,169.997,172.398,3094991.0
2019-01-21,171.933,172.779,169.997,172.398,3094991.0
2019-01-22,171.333,172.06,169.777,170.792,3173062.0
2019-01-23,170.8,172.458,169.227,170.437,1917610.0
2019-01-24,170.479,171.147,168.893,169.938,2390814.0
2019-01-25,170.766,171.003,166.479,168.077,4381610.0
2019-01-26,170.766,171.003,166.479,168.077,4381610.0
2019-01-27,170.766,171.003,166.479,168.077,4381610.0
2019-01-28,164.864,164.864,160.673,162.31,4186441.0
2019-01-29,162.505,163.765,161.338,162.446,3182050.0
2019-01-30,159.723,160.454,151.91,156.315,8089072.0
2019-01-31,156.248,158.632,155.512,158.218,4397923.0
2019-02-01,157.71,158.827,156.907,158.184,2488879.0
2019-02-02,157.71,158.827,156.907,158.184,2488879.0
2019-02-03,157.71,158.827,156.907,158.184,2488879.0
2019-02-04,158.091,158.243,155.833,157.431,2930931.0
2019-02-05,157.448,159.867,157.042,159.233,4933284.0
2019-02-06,159.233,162.243,159.063,161.304,3322577.0
2019-02-07,161.228,161.228,154.463,155.783,4188106.0
2019-02-08,155.089,157.322,155.089,157.279,2601142.0
2019-02-09,155.089,157.322,155.089,157.279,2601142.0
2019-02-10,155.089,157.322,155.089,157.279,2601142.0
2019-02-11,157.947,158.218,156.865,157.102,2867415.0
2019-02-12,158.404,159.782,157.643,159.334,2412412.0
2019-02-13,160.002,160.763,159.306,159.799,2166031.0
2019-02-14,159.85,160.025,158.291,159.075,2611564.0
2019-02-15,160.255,161.137,158.487,160.489,3314607.0
2019-02-16,160.255,161.137,158.487,160.489,3314607.0
2019-02-17,160.255,161.137,158.487,160.489,3314607.0
2019-02-18,160.255,161.137,158.487,160.489,3314607.0
2019-02-19,160.021,160.6,159.22,159.322,2267508.0
2019-02-20,159.509,161.239,158.904,159.279,3046393.0
2019-02-21,158.828,159.688,157.43,158.069,2947581.0
2019-02-22,158.402,160.932,158.333,159.774,2774101.0
2019-02-23,158.402,160.932,158.333,159.774,2774101.0
2019-02-24,158.402,160.932,158.333,159.774,2774101.0
2019-02-25,160.762,162.304,160.106,161.742,3182578.0
2019-02-26,161.529,163.31,161.359,161.972,2430987.0
2019-02-27,160.83,163.77,160.762,163.114,1886181.0
2019-02-28,163.08,163.293,161.674,161.972,2776151.0
2019-03-01,163.088,163.66,162.304,162.892,2409415.0
2019-03-02,163.088,163.66,162.304,162.892,2409415.0
2019-03-03,163.088,163.66,162.304,162.892,2409415.0
2019-03-04,163.455,163.71,159.697,161.716,2274816.0
2019-03-05,161.904,162.475,160.873,160.898,3445548.0
2019-03-06,160.949,161.367,155.455,156.067,3956377.0
2019-03-07,155.871,156.075,153.894,154.627,3421744.0
2019-03-08,153.894,154.499,152.539,154.124,2750928.0
2019-03-09,153.894,154.499,152.539,154.124,2750928.0
2019-03-10,153.894,154.499,152.539,154.124,2750928.0
2019-03-11,154.951,157.302,154.576,156.91,2816931.0
2019-03-12,157.311,157.601,156.382,156.944,2677485.0
2019-03-13,157.388,160.489,156.949,159.646,2719784.0
2019-03-14,159.799,160.932,158.402,159.995,2909668.0
2019-03-15,160.592,163.301,160.285,162.961,6864999.0
2019-03-16,160.592,163.301,160.285,162.961,6864999.0
2019-03-17,160.592,163.301,160.285,162.961,6864999.0
2019-03-18,162.824,164.051,162.066,163.02,2430314.0
2019-03-19,163.548,164.254,162.686,163.174,2268734.0
2019-03-20,163.182,164.264,161.793,162.858,2378743.0
2019-03-21,161.674,163.923,161.205,163.514,2292922.0
2019-03-22,162.722,164.345,158.964,159.092,3144710.0
2019-03-23,162.722,164.345,158.964,159.092,3144710.0
2019-03-24,162.722,164.345,158.964,159.092,3144710.0
2019-03-25,159.041,160.012,157.677,158.998,2523724.0
2019-03-26,159.816,161.554,159.373,160.43,2359118.0
2019-03-27,160.413,160.707,157.831,158.768,2022613.0
2019-03-28,159.416,160.106,158.495,159.901,1885643.0
2019-03-29,161.367,162.756,160.624,161.887,3189808.0
2019-03-30,161.367,162.756,160.624,161.887,3189808.0
2019-03-31,161.367,162.756,160.624,161.887,3189808.0
2019-04-01,162.875,164.085,162.338,163.412,2660533.0
2019-04-02,163.446,164.307,162.926,163.975,2141794.0
2019-04-03,164.614,165.202,163.361,164.392,1948131.0
2019-04-04,164.332,165.679,162.747,163.889,1785930.0
2019-04-05,165.21,167.758,164.716,166.514,2163284.0
2019-04-06,165.21,167.758,164.716,166.514,2163284.0
2019-04-07,165.21,167.758,164.716,166.514,2163284.0
2019-04-08,165.764,166.429,164.085,166.062,1629766.0
2019-04-09,164.963,165.312,164.043,164.443,1872872.0
2019-04-10,165.44,166.164,163.898,165.219,1653199.0
2019-04-11,165.798,165.986,162.458,163.702,2082550.0
2019-04-12,164.477,164.869,162.577,163.114,2060791.0
2019-04-13,164.477,164.869,162.577,163.114,2060791.0
2019-04-14,164.477,164.869,162.577,163.114,2060791.0
2019-04-15,163.472,164.614,161.776,162.926,2038310.0
2019-04-16,163.838,164.094,159.722,160.242,2727309.0
