,MRO US Equity,MRO US Equity,MRO US Equity,MRO US Equity,MRO US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,12.5404,12.8424,12.4461,12.8141,7027777.0
2020-01-02,12.9179,12.9745,12.7858,12.9084,10127979.0
2020-01-03,13.2576,13.2764,12.8329,12.9745,14861485.0
2020-01-04,13.2576,13.2764,12.8329,12.9745,14861485.0
2020-01-05,13.2576,13.2764,12.8329,12.9745,14861485.0
2020-01-06,13.0594,13.2198,12.965,13.1726,12023778.0
2020-01-07,12.9839,13.0594,12.8377,13.0122,9623861.0
2020-01-08,13.0217,13.0405,12.2857,12.531,15595341.0
2020-01-09,12.3517,12.7291,12.1819,12.6914,14048333.0
2020-01-10,12.6348,12.6348,12.38,12.4366,11210280.0
2020-01-11,12.6348,12.6348,12.38,12.4366,11210280.0
2020-01-12,12.6348,12.6348,12.38,12.4366,11210280.0
2020-01-13,12.3423,12.5121,12.163,12.4461,12674675.0
2020-01-14,12.4649,12.5782,12.3423,12.531,11710731.0
2020-01-15,12.4649,12.6207,12.38,12.4932,8458577.0
2020-01-16,12.5876,12.7074,12.5216,12.5876,9898772.0
2020-01-17,12.6065,12.6348,12.3989,12.4649,8375328.0
2020-01-18,12.6065,12.6348,12.3989,12.4649,8375328.0
2020-01-19,12.6065,12.6348,12.3989,12.4649,8375328.0
2020-01-20,12.6065,12.6348,12.3989,12.4649,8375328.0
2020-01-21,12.3989,12.4366,12.1158,12.1252,12326616.0
2020-01-22,12.1064,12.1064,11.7289,11.7478,10680715.0
2020-01-23,11.5591,11.6812,11.2854,11.5308,10974900.0
2020-01-24,11.4364,11.4553,11.0778,11.2571,14343406.0
2020-01-25,11.4364,11.4553,11.0778,11.2571,14343406.0
2020-01-26,11.4364,11.4553,11.0778,11.2571,14343406.0
2020-01-27,10.9741,11.125,10.9174,11.0307,16137376.0
2020-01-28,11.125,11.1816,10.9572,11.1062,11954989.0
2020-01-29,11.2005,11.3137,11.0731,11.0873,14526485.0
2020-01-30,10.8986,11.2241,10.8986,11.1911,16276283.0
2020-01-31,10.9929,11.068,10.7193,10.7287,21638321.0
2020-02-01,10.9929,11.068,10.7193,10.7287,21638321.0
2020-02-02,10.9929,11.068,10.7193,10.7287,21638321.0
2020-02-03,10.7004,10.9269,10.6155,10.8231,14591740.0
2020-02-04,11.0967,11.2949,11.0401,11.1062,15017420.0
2020-02-05,11.3232,11.6063,11.3232,11.4742,14443926.0
2020-02-06,11.5308,11.5591,11.2383,11.2477,11759932.0
2020-02-07,11.0873,11.1581,10.9552,11.0212,10401692.0
2020-02-08,11.0873,11.1581,10.9552,11.0212,10401692.0
2020-02-09,11.0873,11.1581,10.9552,11.0212,10401692.0
2020-02-10,10.908,10.9552,10.6571,10.7382,12410004.0
2020-02-11,10.9269,11.0495,10.7806,10.9174,11352065.0
2020-02-12,11.1816,11.2949,10.8136,10.9552,23898517.0
2020-02-13,10.6344,10.6438,10.0399,10.4834,30411397.0
2020-02-14,10.5023,10.559,9.9927,10.0399,19189545.0
2020-02-15,10.5023,10.559,9.9927,10.0399,19189545.0
2020-02-16,10.5023,10.559,9.9927,10.0399,19189545.0
2020-02-17,10.5023,10.559,9.9927,10.0399,19189545.0
2020-02-18,9.9072,9.9593,9.746,9.765,17998235.0
2020-02-19,9.8124,9.9735,9.6227,9.9261,17660373.0
2020-02-20,10.002,10.0494,9.7081,9.7175,14551112.0
2020-02-21,9.6227,9.6891,9.4521,9.5848,18987885.0
2020-02-22,9.6227,9.6891,9.4521,9.5848,18987885.0
2020-02-23,9.6227,9.6891,9.4521,9.5848,18987885.0
2020-02-24,9.1392,9.1392,8.9022,8.9686,21076854.0
2020-02-25,9.0065,9.016,8.3524,8.4566,27736221.0
2020-02-26,8.523,8.5325,7.9542,7.9731,26976650.0
2020-02-27,7.5939,7.9968,7.4043,7.5181,35230801.0
2020-02-28,7.1768,7.8669,7.1483,7.8499,32563556.0
2020-02-29,7.1768,7.8669,7.1483,7.8499,32563556.0
2020-03-01,7.1768,7.8669,7.1483,7.8499,32563556.0
2020-03-02,8.0111,8.0111,7.5181,7.9068,23726117.0
2020-03-03,7.8878,8.03,7.4422,7.6603,28467075.0
2020-03-04,7.8025,7.8783,7.5275,7.6887,19274366.0
2020-03-05,7.4517,7.537,7.2716,7.3948,19893921.0
2020-03-06,7.063,7.1862,6.4278,6.4752,31805326.0
2020-03-07,7.063,7.1862,6.4278,6.4752,31805326.0
2020-03-08,7.063,7.1862,6.4278,6.4752,31805326.0
2020-03-09,3.9913,4.7403,3.1428,3.4414,105292460.0
2020-03-10,4.5981,4.617,3.3371,4.1714,103558771.0
2020-03-11,4.0008,4.2568,3.7922,3.8775,69932111.0
2020-03-12,3.5836,3.9818,3.4604,3.7733,51908762.0
2020-03-13,4.1335,4.2947,3.5173,4.2947,46499476.0
2020-03-14,4.1335,4.2947,3.5173,4.2947,46499476.0
2020-03-15,4.1335,4.2947,3.5173,4.2947,46499476.0
2020-03-16,3.6121,4.2757,3.6026,3.7922,40301328.0
2020-03-17,3.9344,3.9534,3.3656,3.432,43146511.0
2020-03-18,3.3182,3.4699,3.0338,3.2708,37555231.0
2020-03-19,3.3182,3.7259,3.2329,3.631,38897535.0
2020-03-20,3.7922,3.8301,3.2423,3.3751,48008112.0
2020-03-21,3.7922,3.8301,3.2423,3.3751,48008112.0
2020-03-22,3.7922,3.8301,3.2423,3.3751,48008112.0
2020-03-23,3.3751,3.413,3.1381,3.176,32313288.0
2020-03-24,3.4983,3.5173,3.2803,3.4225,45462996.0
2020-03-25,3.6026,3.669,3.2329,3.394,45456375.0
2020-03-26,3.5362,3.8491,3.4083,3.6784,50200006.0
2020-03-27,3.5268,3.5742,3.3087,3.3371,44091858.0
2020-03-28,3.5268,3.5742,3.3087,3.3371,44091858.0
2020-03-29,3.5268,3.5742,3.3087,3.3371,44091858.0
2020-03-30,3.3087,3.3182,2.9864,3.0717,51862485.0
2020-03-31,3.2803,3.3371,3.0812,3.1191,45654201.0
2020-04-01,3.0527,3.1191,2.8631,2.9579,52822623.0
2020-04-02,3.0907,3.5457,2.9864,3.2897,86465040.0
2020-04-03,3.5362,3.6026,3.157,3.4604,69728170.0
2020-04-04,3.5362,3.6026,3.157,3.4604,69728170.0
2020-04-05,3.5362,3.6026,3.157,3.4604,69728170.0
2020-04-06,3.4983,3.5457,3.3277,3.432,63813571.0
2020-04-07,3.6879,3.9344,3.413,3.4888,76558193.0
2020-04-08,3.7069,3.7543,3.4699,3.7448,60575907.0
2020-04-09,4.124,4.3136,3.6216,3.906,100806160.0
2020-04-10,4.124,4.3136,3.6216,3.906,100806160.0
2020-04-11,4.124,4.3136,3.6216,3.906,100806160.0
2020-04-12,4.124,4.3136,3.6216,3.906,100806160.0
2020-04-13,4.1999,4.2188,3.9344,4.162,56835383.0
2020-04-14,4.124,4.1335,3.887,4.0292,45640891.0
2020-04-15,3.7448,4.0197,3.7186,4.0103,42160607.0
2020-04-16,4.0008,4.0008,3.6784,3.6879,40223079.0
2020-04-17,3.7448,4.124,3.7164,4.124,48008481.0
2020-04-18,3.7448,4.124,3.7164,4.124,48008481.0
2020-04-19,3.7448,4.124,3.7164,4.124,48008481.0
2020-04-20,3.7922,4.143,3.7733,3.9913,50013421.0
2020-04-21,3.8965,4.0956,3.7543,4.0197,41721323.0
2020-04-22,4.1714,4.3658,4.1714,4.2947,38178656.0
2020-04-23,4.5127,4.7403,4.4179,4.5886,47762763.0
2020-04-24,4.7403,4.8825,4.5033,4.6739,52861671.0
2020-04-25,4.7403,4.8825,4.5033,4.6739,52861671.0
2020-04-26,4.7403,4.8825,4.5033,4.6739,52861671.0
2020-04-27,4.5507,4.7023,4.3326,4.5981,32910601.0
2020-04-28,4.7023,4.8066,4.5507,4.7308,30201415.0
2020-04-29,4.9204,5.5746,4.9109,5.5461,49212863.0
2020-04-30,5.9822,6.0107,5.4513,5.8021,76939689.0
2020-05-01,5.584,5.712,5.1764,5.2143,37538048.0
2020-05-02,5.584,5.712,5.1764,5.2143,37538048.0
2020-05-03,5.584,5.712,5.1764,5.2143,37538048.0
2020-05-04,5.0626,5.5082,4.9678,5.5082,31074170.0
2020-05-05,5.8779,5.9253,5.2143,5.2427,51969938.0
2020-05-06,5.3186,5.4892,5.1669,5.3091,30065962.0
2020-05-07,5.3281,5.5082,5.0721,5.2238,41313095.0
2020-05-08,5.3091,5.4892,5.2333,5.4797,33772204.0
2020-05-09,5.3091,5.4892,5.2333,5.4797,33772204.0
2020-05-10,5.3091,5.4892,5.2333,5.4797,33772204.0
2020-05-11,5.4039,5.5319,5.3186,5.4513,29104451.0
2020-05-12,5.5272,5.9064,5.5082,5.6504,46900349.0
2020-05-13,5.5935,5.622,5.0816,5.2712,67595822.0
2020-05-14,5.1479,5.4892,4.9299,5.347,33303674.0
2020-05-15,5.3281,5.4797,5.2807,5.3186,35936015.0
2020-05-16,5.3281,5.4797,5.2807,5.3186,35936015.0
2020-05-17,5.3281,5.4797,5.2807,5.3186,35936015.0
2020-05-18,5.6314,5.8779,5.584,5.7642,45410758.0
2020-05-19,5.7168,5.7357,5.4892,5.5177,34827532.0
2020-05-20,5.6125,5.7547,5.5746,5.6409,36032452.0
2020-05-21,5.6883,5.7926,5.5556,5.6314,30115771.0
2020-05-22,5.5746,5.622,5.4513,5.584,19179922.0
2020-05-23,5.5746,5.622,5.4513,5.584,19179922.0
2020-05-24,5.5746,5.622,5.4513,5.584,19179922.0
2020-05-25,5.5746,5.622,5.4513,5.584,19179922.0
2020-05-26,5.7547,5.8021,5.6172,5.7168,28896742.0
2020-05-27,5.8021,5.8305,5.5556,5.8305,35656269.0
2020-05-28,5.7926,5.7926,5.4039,5.4039,46706986.0
2020-05-29,5.347,5.3565,5.0342,5.0626,107575361.0
2020-05-30,5.347,5.3565,5.0342,5.0626,107575361.0
2020-05-31,5.347,5.3565,5.0342,5.0626,107575361.0
2020-06-01,5.0626,5.3944,4.9773,5.3944,44238359.0
2020-06-02,5.4703,5.5651,5.4323,5.5556,36405453.0
2020-06-03,5.6599,5.6998,5.5366,5.6409,33631195.0
2020-06-04,5.622,5.9159,5.5177,5.9064,47124922.0
2020-06-05,6.5036,7.063,6.4373,6.9398,65424624.0
2020-06-06,6.5036,7.063,6.4373,6.9398,65424624.0
2020-06-07,6.5036,7.063,6.4373,6.9398,65424624.0
2020-06-08,7.9826,8.0395,7.4422,7.9921,70676913.0
2020-06-09,7.537,7.6034,7.1104,7.2621,48244418.0
2020-06-10,7.1294,7.1483,6.7312,6.7407,38036819.0
2020-06-11,5.9822,6.4325,5.8685,5.9348,42126054.0
2020-06-12,6.4278,6.4657,5.987,6.2382,37745050.0
2020-06-13,6.4278,6.4657,5.987,6.2382,37745050.0
