,DAN US Equity,DAN US Equity,DAN US Equity,DAN US Equity,DAN US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,12.1511,12.2383,11.6786,12.1511,947143.0
2019-01-02,11.8836,12.4453,11.7677,12.3472,2331295.0
2019-01-03,12.3115,12.6057,11.9104,12.1243,1308277.0
2019-01-04,12.6949,13.2654,12.4542,13.2209,1849089.0
2019-01-05,12.6949,13.2654,12.4542,13.2209,1849089.0
2019-01-06,12.6949,13.2654,12.4542,13.2209,1849089.0
2019-01-07,13.2565,13.7424,12.9356,13.622,2822593.0
2019-01-08,13.9162,14.0589,13.6488,13.9519,1824954.0
2019-01-09,14.0589,14.4779,13.9073,14.3263,1470270.0
2019-01-10,14.2372,14.4957,14.0945,14.4689,1828001.0
2019-01-11,14.5403,14.6606,14.0143,14.2193,1375233.0
2019-01-12,14.5403,14.6606,14.0143,14.2193,1375233.0
2019-01-13,14.5403,14.6606,14.0143,14.2193,1375233.0
2019-01-14,14.1569,14.7364,13.9786,14.6205,2124766.0
2019-01-15,14.7899,15.3604,14.362,14.781,2154424.0
2019-01-16,14.7186,15.2089,14.7186,15.0038,1767569.0
2019-01-17,14.9058,15.298,14.8166,15.2802,1612216.0
2019-01-18,15.4585,15.8508,15.3783,15.8329,2881585.0
2019-01-19,15.4585,15.8508,15.3783,15.8329,2881585.0
2019-01-20,15.4585,15.8508,15.3783,15.8329,2881585.0
2019-01-21,15.4585,15.8508,15.3783,15.8329,2881585.0
2019-01-22,15.5031,15.8508,15.307,15.4228,1990227.0
2019-01-23,15.4585,15.5352,14.9414,15.0573,1658084.0
2019-01-24,15.0752,15.4674,15.0484,15.405,1168686.0
2019-01-25,15.6368,15.9132,15.5387,15.8508,1212735.0
2019-01-26,15.6368,15.9132,15.5387,15.8508,1212735.0
2019-01-27,15.6368,15.9132,15.5387,15.8508,1212735.0
2019-01-28,15.6011,15.7702,15.4095,15.5387,2326174.0
2019-01-29,15.6903,15.9756,15.5655,15.6636,1763981.0
2019-01-30,15.726,15.8864,15.3872,15.8864,2337512.0
2019-01-31,15.8775,15.9043,15.6368,15.7081,1398466.0
2019-02-01,15.6814,15.9845,15.5566,15.9667,1314412.0
2019-02-02,15.6814,15.9845,15.5566,15.9667,1314412.0
2019-02-03,15.6814,15.9845,15.5566,15.9667,1314412.0
2019-02-04,15.9667,15.9667,15.6636,15.824,1470562.0
2019-02-05,15.8329,15.9756,15.6992,15.8953,877924.0
2019-02-06,15.9221,16.0201,15.6992,15.7438,838288.0
2019-02-07,15.5477,15.6101,14.8969,15.1108,1708550.0
2019-02-08,14.9504,15.0573,14.3798,14.7721,1464767.0
2019-02-09,14.9504,15.0573,14.3798,14.7721,1464767.0
2019-02-10,14.9504,15.0573,14.3798,14.7721,1464767.0
2019-02-11,14.8077,15.0038,14.5864,14.9058,1754375.0
2019-02-12,15.0663,15.5209,15.0663,15.2624,2051190.0
2019-02-13,15.3783,15.5922,15.1643,15.2089,1481754.0
2019-02-14,15.0038,15.4763,14.9414,15.4318,2377139.0
2019-02-15,15.7081,17.1702,15.6457,17.0365,4455601.0
2019-02-16,15.7081,17.1702,15.6457,17.0365,4455601.0
2019-02-17,15.7081,17.1702,15.6457,17.0365,4455601.0
2019-02-18,15.7081,17.1702,15.6457,17.0365,4455601.0
2019-02-19,17.2326,18.0305,17.1345,17.8745,3950990.0
2019-02-20,18.0082,18.1834,17.5936,17.8031,2865690.0
2019-02-21,17.821,18.2667,17.6783,17.7764,2304570.0
2019-02-22,17.9369,18.4628,17.8031,18.4539,1872965.0
2019-02-23,17.9369,18.4628,17.8031,18.4539,1872965.0
2019-02-24,17.9369,18.4628,17.8031,18.4539,1872965.0
2019-02-25,18.552,18.659,18.2311,18.2935,2269692.0
2019-02-26,18.1954,18.4361,17.9725,17.9904,1903511.0
2019-02-27,17.9904,18.2043,17.8566,18.0171,1615269.0
2019-02-28,18.035,18.0569,17.5781,17.6946,3774246.0
2019-03-01,17.8379,18.1067,17.4258,17.6498,1810074.0
2019-03-02,17.8379,18.1067,17.4258,17.6498,1810074.0
2019-03-03,17.8379,18.1067,17.4258,17.6498,1810074.0
2019-03-04,17.7214,17.7394,17.2645,17.4079,1293141.0
2019-03-05,17.3989,17.5154,17.1525,17.2287,1094718.0
2019-03-06,17.1928,17.3272,16.8076,16.8076,2000791.0
2019-03-07,16.7359,17.0853,16.5209,16.9151,1879464.0
2019-03-08,16.6911,16.942,16.494,16.5478,1802222.0
2019-03-09,16.6911,16.942,16.494,16.5478,1802222.0
2019-03-10,16.6911,16.942,16.494,16.5478,1802222.0
2019-03-11,16.5567,17.0585,16.5119,16.7897,2703492.0
2019-03-12,16.8166,17.0226,16.6911,16.942,1672840.0
2019-03-13,17.0495,17.1032,16.4985,16.5299,2923600.0
2019-03-14,16.4492,16.6105,16.0013,16.1715,1789366.0
2019-03-15,16.2342,16.4223,16.1356,16.3417,2620719.0
2019-03-16,16.2342,16.4223,16.1356,16.3417,2620719.0
2019-03-17,16.2342,16.4223,16.1356,16.3417,2620719.0
2019-03-18,16.3775,16.7001,16.2969,16.6642,2793445.0
2019-03-19,16.8255,17.1112,16.3148,16.3507,1188782.0
2019-03-20,16.3238,16.3686,15.7146,15.9117,1631748.0
2019-03-21,15.8848,16.3417,15.8579,16.1894,1838175.0
2019-03-22,15.9654,16.0192,14.8634,14.8724,2129906.0
2019-03-23,15.9654,16.0192,14.8634,14.8724,2129906.0
2019-03-24,15.9654,16.0192,14.8634,14.8724,2129906.0
2019-03-25,14.9082,15.3204,14.7918,15.0605,1916065.0
2019-03-26,15.168,15.4368,15.0695,15.2576,1694112.0
2019-03-27,15.3293,15.5085,15.1501,15.4189,1435797.0
2019-03-28,15.5085,15.9475,15.4861,15.7594,1717872.0
2019-03-29,15.8848,16.064,15.7325,15.8937,1412641.0
2019-03-30,15.8848,16.064,15.7325,15.8937,1412641.0
2019-03-31,15.8848,16.064,15.7325,15.8937,1412641.0
2019-04-01,16.0998,16.6374,16.0729,16.503,1752316.0
2019-04-02,16.494,16.503,16.1804,16.3596,1155046.0
2019-04-03,16.6374,17.0047,16.6194,16.8793,1511668.0
2019-04-04,16.942,17.3631,16.942,17.2735,1503849.0
2019-04-05,17.148,17.3899,16.8793,17.2108,1399529.0
2019-04-06,17.148,17.3899,16.8793,17.2108,1399529.0
2019-04-07,17.148,17.3899,16.8793,17.2108,1399529.0
2019-04-08,17.0853,17.8469,17.0405,17.8021,1983186.0
2019-04-09,17.6498,17.7752,17.3362,17.6139,1926609.0
2019-04-10,17.6498,17.7931,17.372,17.7394,1455518.0
2019-04-11,17.7304,17.9096,17.6094,17.811,860751.0
2019-04-12,18.0619,18.4158,18.0261,18.4113,949124.0
2019-04-13,18.0619,18.4158,18.0261,18.4113,949124.0
2019-04-14,18.0619,18.4158,18.0261,18.4113,949124.0
2019-04-15,17.8379,18.5457,17.8379,18.1336,765336.0
2019-04-16,18.1963,18.4471,18.0171,18.4471,822765.0
2019-04-17,18.5547,18.7786,18.4247,18.5815,1055696.0
2019-04-18,18.5457,18.6532,18.2232,18.3575,1334491.0
2019-04-19,18.5457,18.6532,18.2232,18.3575,1334491.0
2019-04-20,18.5457,18.6532,18.2232,18.3575,1334491.0
2019-04-21,18.5457,18.6532,18.2232,18.3575,1334491.0
2019-04-22,18.2321,18.2948,17.8917,17.9813,938898.0
2019-04-23,18.044,18.3038,17.82,18.1784,1139428.0
2019-04-24,18.0888,18.2142,17.9454,18.035,917856.0
2019-04-25,17.9633,17.9633,17.0674,17.148,1643506.0
2019-04-26,17.2556,17.5512,17.0674,17.5423,1203349.0
2019-04-27,17.2556,17.5512,17.0674,17.5423,1203349.0
2019-04-28,17.2556,17.5512,17.0674,17.5423,1203349.0
2019-04-29,17.5512,17.811,17.381,17.6408,1713426.0
2019-04-30,17.5154,17.6498,17.2959,17.4706,1420558.0
2019-05-01,17.605,17.605,17.1391,17.148,1578701.0
2019-05-02,17.157,17.5512,16.2165,16.3955,3314235.0
2019-05-03,16.4313,16.718,16.0281,16.2969,2512948.0
2019-05-04,16.4313,16.718,16.0281,16.2969,2512948.0
2019-05-05,16.4313,16.718,16.0281,16.2969,2512948.0
2019-05-06,15.8937,16.2656,15.7056,16.2342,1524430.0
2019-05-07,15.9475,16.0192,15.6787,15.8937,1302918.0
2019-05-08,15.849,16.0595,15.7414,15.7504,1043872.0
2019-05-09,15.392,15.6071,15.065,15.5712,1683030.0
2019-05-10,15.4279,15.4816,14.9799,15.3024,1688081.0
2019-05-11,15.4279,15.4816,14.9799,15.3024,1688081.0
2019-05-12,15.4279,15.4816,14.9799,15.3024,1688081.0
2019-05-13,14.9978,15.0247,14.5051,14.5767,1309962.0
2019-05-14,14.6932,14.9351,14.6171,14.8097,1425127.0
2019-05-15,14.6663,14.9396,14.3438,14.8097,1366488.0
2019-05-16,14.8548,14.9359,14.5393,14.5753,1305168.0
2019-05-17,14.4221,14.6835,14.341,14.4491,1474916.0
2019-05-18,14.4221,14.6835,14.341,14.4491,1474916.0
2019-05-19,14.4221,14.6835,14.341,14.4491,1474916.0
