,CMI US Equity,CMI US Equity,CMI US Equity,CMI US Equity,CMI US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,114.737,115.855,114.278,115.812,895929.0
2019-01-02,113.714,116.236,113.463,115.586,1172724.0
2019-01-03,114.746,115.11,112.683,113.298,1192420.0
2019-01-04,114.676,118.108,114.624,118.004,1244093.0
2019-01-05,114.676,118.108,114.624,118.004,1244093.0
2019-01-06,114.676,118.108,114.624,118.004,1244093.0
2019-01-07,117.978,120.214,117.241,118.585,1114233.0
2019-01-08,119.833,121.375,118.654,118.897,1314467.0
2019-01-09,119.928,120.578,118.533,119.131,1734791.0
2019-01-10,118.316,120.881,117.666,120.742,1432268.0
2019-01-11,120.474,121.41,119.768,120.924,1152649.0
2019-01-12,120.474,121.41,119.768,120.924,1152649.0
2019-01-13,120.474,121.41,119.768,120.924,1152649.0
2019-01-14,120.248,121.791,119.226,121.522,1547575.0
2019-01-15,121.696,121.886,119.677,120.37,1435402.0
2019-01-16,120.517,122.796,120.222,122.51,1191813.0
2019-01-17,121.765,126.185,121.765,125.743,1259411.0
2019-01-18,126.809,130.622,126.739,130.474,1963054.0
2019-01-19,126.809,130.622,126.739,130.474,1963054.0
2019-01-20,126.809,130.622,126.739,130.474,1963054.0
2019-01-21,126.809,130.622,126.739,130.474,1963054.0
2019-01-22,129.53,129.885,126.358,126.679,1869826.0
2019-01-23,127.147,127.493,124.269,124.313,1650329.0
2019-01-24,124.217,125.21,123.559,124.694,1480987.0
2019-01-25,126.505,127.736,126.349,127.251,1026572.0
2019-01-26,126.505,127.736,126.349,127.251,1026572.0
2019-01-27,126.505,127.736,126.349,127.251,1026572.0
2019-01-28,124.902,124.902,122.086,123.767,1294363.0
2019-01-29,124.867,127.051,124.477,126.852,1075308.0
2019-01-30,128.03,128.074,124.997,126.835,1158350.0
2019-01-31,126.67,127.667,125.439,127.485,1651712.0
2019-02-01,127.58,128.082,126.349,127.138,1502168.0
2019-02-02,127.58,128.082,126.349,127.138,1502168.0
2019-02-03,127.58,128.082,126.349,127.138,1502168.0
2019-02-04,127.285,128.966,126.445,128.906,1345743.0
2019-02-05,128.672,129.92,127.671,129.833,1674774.0
2019-02-06,127.797,130.83,126.731,129.426,2116542.0
2019-02-07,129.478,130.63,128.602,129.66,1141638.0
2019-02-08,128.611,129.348,126.978,128.498,891161.0
2019-02-09,128.611,129.348,126.978,128.498,891161.0
2019-02-10,128.611,129.348,126.978,128.498,891161.0
2019-02-11,128.394,129.218,127.771,128.412,1272192.0
2019-02-12,129.218,131.861,129.105,131.54,1129094.0
2019-02-13,132.103,132.996,131.22,132.337,1137725.0
2019-02-14,131.358,132.095,130.856,131.194,810561.0
2019-02-15,131.999,134.755,131.497,134.729,1350223.0
2019-02-16,131.999,134.755,131.497,134.729,1350223.0
2019-02-17,131.999,134.755,131.497,134.729,1350223.0
2019-02-18,131.999,134.755,131.497,134.729,1350223.0
2019-02-19,134.391,134.591,132.987,133.161,1820195.0
2019-02-20,133.551,135.076,132.407,134.66,1497882.0
2019-02-21,133.996,135.611,133.542,134.503,1163924.0
2019-02-22,134.931,136.388,134.546,135.699,1384318.0
2019-02-23,134.931,136.388,134.546,135.699,1384318.0
2019-02-24,134.931,136.388,134.546,135.699,1384318.0
2019-02-25,136.973,137.209,135.498,136.257,978808.0
