,PRK US Equity,PRK US Equity,PRK US Equity,PRK US Equity,PRK US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,86.8869,87.5824,85.7163,86.8445,37696.0
2020-01-02,86.7681,87.2092,85.9708,86.8869,31658.0
2020-01-03,86.9293,86.9293,85.2582,86.1659,28147.0
2020-01-04,86.9293,86.9293,85.2582,86.1659,28147.0
2020-01-05,86.9293,86.9293,85.2582,86.1659,28147.0
2020-01-06,85.3091,86.8996,85.3091,86.6239,46373.0
2020-01-07,86.098,86.4118,85.5381,85.7163,21760.0
2020-01-08,85.5381,87.3704,85.5381,86.7342,40967.0
2020-01-09,87.1583,87.1583,85.7085,86.1743,26003.0
2020-01-10,85.8859,86.2422,85.4194,85.7417,30192.0
2020-01-11,85.8859,86.2422,85.4194,85.7417,30192.0
2020-01-12,85.8859,86.2422,85.4194,85.7417,30192.0
2020-01-13,85.8096,86.4797,85.5297,86.4797,30839.0
2020-01-14,85.9368,87.0735,85.9368,86.5136,35906.0
2020-01-15,86.3694,86.3949,85.377,86.0895,28828.0
2020-01-16,86.081,87.2979,86.081,86.9038,21863.0
2020-01-17,87.3195,88.7017,86.0556,86.4458,20093.0
2020-01-18,87.3195,88.7017,86.0556,86.4458,20093.0
2020-01-19,87.3195,88.7017,86.0556,86.4458,20093.0
2020-01-20,87.3195,88.7017,86.0556,86.4458,20093.0
2020-01-21,86.1828,86.1828,85.4618,85.5127,22920.0
2020-01-22,85.6315,85.8181,85.2667,85.2667,16372.0
2020-01-23,84.8595,85.7163,84.2658,84.9359,45452.0
2020-01-24,84.9953,85.4109,84.3251,84.7917,30745.0
2020-01-25,84.9953,85.4109,84.3251,84.7917,30745.0
2020-01-26,84.9953,85.4109,84.3251,84.7917,30745.0
2020-01-27,84.4015,85.0546,84.1555,84.7747,23189.0
2020-01-28,79.8463,81.9924,77.2507,80.9406,88285.0
2020-01-29,81.1357,82.2638,80.016,80.2705,67746.0
2020-01-30,80.1602,82.7262,80.1602,82.3233,42462.0
2020-01-31,82.1451,82.459,80.4486,80.5589,47256.0
2020-02-01,82.1451,82.459,80.4486,80.5589,47256.0
