,PDCO US Equity,PDCO US Equity,PDCO US Equity,PDCO US Equity,PDCO US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-03-17,16.5687,17.6048,15.8723,16.7751,3220402.0
2020-03-18,16.3882,16.6418,11.1347,13.568,2965007.0
2020-03-19,13.4648,14.6463,12.9317,13.8259,2961046.0
2020-03-20,13.9119,15.2102,13.2756,14.0237,3024937.0
2020-03-21,13.9119,15.2102,13.2756,14.0237,3024937.0
2020-03-22,13.9119,15.2102,13.2756,14.0237,3024937.0
2020-03-23,14.1096,14.5997,13.0435,13.9205,1484393.0
2020-03-24,14.6427,15.5112,14.2429,14.8577,1394603.0
2020-03-25,14.7545,15.3134,13.8173,14.6255,989724.0
2020-03-26,14.8319,15.4854,14.3418,14.8577,1261033.0
2020-03-27,14.4536,14.6169,13.6797,13.7227,936376.0
2020-03-28,14.4536,14.6169,13.6797,13.7227,936376.0
2020-03-29,14.4536,14.6169,13.6797,13.7227,936376.0
2020-03-30,13.6539,14.1011,13.2412,14.0495,711736.0
2020-03-31,13.9893,14.0237,12.8371,13.1467,1108728.0
2020-04-01,12.6737,12.9317,12.2094,12.5104,1467599.0
2020-04-02,12.6136,12.8113,11.9859,12.347,1481467.0
2020-04-03,12.0117,12.4072,11.1175,11.5818,2239981.0
2020-04-04,12.0117,12.4072,11.1175,11.5818,2239981.0
2020-04-05,12.0117,12.4072,11.1175,11.5818,2239981.0
2020-04-06,11.8053,12.6909,11.255,11.2636,1705382.0
2020-04-07,11.7108,12.6566,11.5474,12.0805,2802663.0
2020-04-08,12.3082,13.4558,12.0848,13.0091,1294271.0
2020-04-09,13.3069,13.9902,13.1405,13.3507,1335204.0
2020-04-10,13.3069,13.9902,13.1405,13.3507,1335204.0
2020-04-11,13.3069,13.9902,13.1405,13.3507,1335204.0
2020-04-12,13.3069,13.9902,13.1405,13.3507,1335204.0
2020-04-13,13.3244,13.5522,12.939,13.3682,1268203.0
2020-04-14,13.5434,14.0384,13.3069,13.999,1214237.0
2020-04-15,13.5084,13.6967,12.8645,12.9915,1090086.0
2020-04-16,12.9828,13.3332,12.5448,13.1229,1697502.0
2020-04-17,13.4909,13.8588,13.3332,13.631,1611049.0
2020-04-18,13.4909,13.8588,13.3332,13.631,1611049.0
2020-04-19,13.4909,13.8588,13.3332,13.631,1611049.0
2020-04-20,13.3332,13.9639,13.158,13.596,997859.0
2020-04-21,13.2894,13.6135,12.7463,13.0178,936049.0
2020-04-22,13.3332,13.4208,12.9127,13.0704,1296301.0
2020-04-23,13.2894,13.596,13.0791,13.1317,1522845.0
2020-04-24,13.1843,13.4558,12.939,13.4033,1271911.0
2020-04-25,13.1843,13.4558,12.939,13.4033,1271911.0
2020-04-26,13.1843,13.4558,12.939,13.4033,1271911.0
2020-04-27,13.4996,14.1568,13.3595,14.0253,1355288.0
2020-04-28,14.3582,15.1641,13.9902,14.9801,1712179.0
2020-04-29,15.4006,16.0927,15.3814,15.9438,1760460.0
2020-04-30,15.6109,16.2416,15.4444,16.0138,1757327.0
2020-05-01,15.6021,15.7335,14.5684,14.621,1456049.0
2020-05-02,15.6021,15.7335,14.5684,14.621,1456049.0
2020-05-03,15.6021,15.7335,14.5684,14.621,1456049.0
2020-05-04,14.2136,14.5158,13.9289,14.2355,1383467.0
2020-05-05,14.4808,14.8662,14.1829,14.7874,1639812.0
2020-05-06,14.8575,15.0239,14.2355,14.2837,1548324.0
2020-05-07,14.3757,14.5246,13.872,14.2267,1064502.0
2020-05-08,14.5684,14.7173,14.1129,14.3231,958362.0
2020-05-09,14.5684,14.7173,14.1129,14.3231,958362.0
2020-05-10,14.5684,14.7173,14.1129,14.3231,958362.0
2020-05-11,14.1479,14.4896,14.0428,14.3844,1015845.0
2020-05-12,14.4282,14.6516,13.5522,13.561,1010147.0
2020-05-13,13.4821,13.5718,12.8426,13.1317,1275388.0
2020-05-14,12.9127,13.158,12.6499,12.974,1505786.0
2020-05-15,12.9215,13.1755,12.8099,13.0353,1029151.0
2020-05-16,12.9215,13.1755,12.8099,13.0353,1029151.0
2020-05-17,12.9215,13.1755,12.8099,13.0353,1029151.0
2020-05-18,13.4909,14.9144,13.3288,14.7962,1335127.0
2020-05-19,14.8224,15.1072,14.4107,14.656,973333.0
2020-05-20,14.8224,15.2955,14.6998,15.0765,898993.0
2020-05-21,14.9889,15.5145,14.9889,15.1729,730845.0
2020-05-22,15.1641,15.7248,14.8575,15.2429,727830.0
2020-05-23,15.1641,15.7248,14.8575,15.2429,727830.0
2020-05-24,15.1641,15.7248,14.8575,15.2429,727830.0
2020-05-25,15.1641,15.7248,14.8575,15.2429,727830.0
2020-05-26,15.8211,16.8022,15.7686,16.5745,1503576.0
2020-05-27,16.7848,17.6345,16.5219,17.5381,1808432.0
2020-05-28,17.8272,18.02,17.2491,17.5119,1475248.0
2020-05-29,17.3717,17.4243,16.8724,17.2491,1364879.0
2020-05-30,17.3717,17.4243,16.8724,17.2491,1364879.0
2020-05-31,17.3717,17.4243,16.8724,17.2491,1364879.0
2020-06-01,17.398,17.7922,17.2578,17.6082,856114.0
2020-06-02,17.7396,18.4229,17.6433,18.1338,2394481.0
2020-06-03,18.3178,18.5281,17.836,17.8886,899645.0
2020-06-04,17.6695,18.4273,17.5294,17.9367,1267489.0
2020-06-05,18.6157,19.2639,18.3918,18.4492,1320781.0
2020-06-06,18.6157,19.2639,18.3918,18.4492,1320781.0
2020-06-07,18.6157,19.2639,18.3918,18.4492,1320781.0
2020-06-08,18.5894,19.3252,18.5894,18.8347,1089707.0
2020-06-09,18.4229,18.5281,17.0519,17.0826,1055065.0
2020-06-10,17.214,17.3323,16.4869,16.4957,834569.0
2020-06-11,15.8649,16.0664,14.9451,15.1028,1420924.0
2020-06-12,15.6372,15.9262,15.1729,15.5627,1213078.0
2020-06-13,15.6372,15.9262,15.1729,15.5627,1213078.0
2020-06-14,15.6372,15.9262,15.1729,15.5627,1213078.0
2020-06-15,15.1115,16.4343,14.9889,16.3292,1305718.0
2020-06-16,16.9775,17.0826,16.5044,16.7848,690537.0
2020-06-17,16.8198,17.0651,16.6009,16.9162,706709.0
2020-06-18,16.7497,17.0651,16.4431,16.6534,785371.0
2020-06-19,16.8636,18.0375,16.8198,16.9687,1723751.0
2020-06-20,16.8636,18.0375,16.8198,16.9687,1723751.0
2020-06-21,16.8636,18.0375,16.8198,16.9687,1723751.0
2020-06-22,16.8461,17.5206,16.5307,17.2666,1079362.0
2020-06-23,17.4243,17.9674,17.4243,17.7659,2009000.0
2020-06-24,18.4843,19.115,17.433,17.5469,2638597.0
2020-06-25,18.1776,19.4304,17.7484,19.1325,2370107.0
2020-06-26,19.0975,20.0217,18.9836,19.9735,2298489.0
2020-06-27,19.0975,20.0217,18.9836,19.9735,2298489.0
2020-06-28,19.0975,20.0217,18.9836,19.9735,2298489.0
2020-06-29,20.1312,20.2188,19.5355,19.7107,1742988.0
2020-06-30,19.7107,19.8333,19.1238,19.2727,1159242.0
2020-07-01,19.2114,19.7895,19.2114,19.553,1181140.0
2020-07-02,19.9385,19.9823,19.15,19.2814,874562.0
