,ALSN US Equity,ALSN US Equity,ALSN US Equity,ALSN US Equity,ALSN US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,39.7056,40.1294,39.4778,40.0155,506972.0
2019-01-02,39.2773,40.4438,39.2226,40.2798,644852.0
2019-01-03,40.1066,40.3162,39.332,39.4049,834838.0
2019-01-04,39.9152,40.4575,39.6601,40.3435,1395682.0
2019-01-05,39.9152,40.4575,39.6601,40.3435,1395682.0
2019-01-06,39.9152,40.4575,39.6601,40.3435,1395682.0
2019-01-07,40.3435,41.109,39.9608,40.3618,1128066.0
2019-01-08,40.9177,41.8745,40.8903,41.7378,1271603.0
2019-01-09,41.9201,42.2391,41.8016,42.0112,928938.0
2019-01-10,42.0933,43.5787,41.7743,43.3873,1195757.0
2019-01-11,43.2233,43.4602,42.877,43.3509,1157148.0
2019-01-12,43.2233,43.4602,42.877,43.3509,1157148.0
2019-01-13,43.2233,43.4602,42.877,43.3509,1157148.0
2019-01-14,43.0592,43.1959,42.7312,43.0775,986708.0
2019-01-15,43.2142,43.606,42.9955,43.4511,1141882.0
2019-01-16,42.877,43.4876,42.8041,43.2962,907382.0
2019-01-17,43.1321,44.5173,43.1321,44.0343,1293984.0
2019-01-18,44.4809,45.5927,44.2531,45.4742,1117207.0
2019-01-19,44.4809,45.5927,44.2531,45.4742,1117207.0
2019-01-20,44.4809,45.5927,44.2531,45.4742,1117207.0
2019-01-21,44.4809,45.5927,44.2531,45.4742,1117207.0
2019-01-22,45.0186,45.3011,44.0343,44.3624,1071441.0
2019-01-23,44.5082,44.6358,43.4784,43.5696,685996.0
2019-01-24,43.7154,43.8065,43.4147,43.5513,741400.0
2019-01-25,43.9979,44.445,43.9068,44.0981,744705.0
2019-01-26,43.9979,44.445,43.9068,44.0981,744705.0
2019-01-27,43.9979,44.445,43.9068,44.0981,744705.0
2019-01-28,43.6516,44.3533,43.123,43.9159,1112520.0
2019-01-29,44.2804,44.6631,44.0252,44.4262,1479732.0
2019-01-30,44.9001,44.9092,44.089,44.49,1127829.0
2019-01-31,44.4262,45.0368,44.1893,44.3533,2301693.0
2019-02-01,44.3351,44.572,44.0617,44.4171,1039416.0
2019-02-02,44.3351,44.572,44.0617,44.4171,1039416.0
2019-02-03,44.3351,44.572,44.0617,44.4171,1039416.0
2019-02-04,44.49,45.0732,44.3806,45.0459,779370.0
2019-02-05,45.1917,45.3831,44.7634,44.8819,903187.0
2019-02-06,44.6267,44.809,44.0617,44.0708,1086185.0
2019-02-07,43.9068,44.2804,42.9772,43.5331,1870306.0
2019-02-08,43.2871,43.4967,42.4851,43.2142,745888.0
2019-02-09,43.2871,43.4967,42.4851,43.2142,745888.0
2019-02-10,43.2871,43.4967,42.4851,43.2142,745888.0
2019-02-11,43.2506,43.4602,42.7767,42.8952,629723.0
2019-02-12,43.1777,44.2804,43.0319,44.1255,892296.0
2019-02-13,44.2166,44.7998,43.9979,44.4262,952508.0
2019-02-14,44.2075,44.6176,44.2075,44.3624,544978.0
2019-02-15,44.5994,45.4013,44.408,45.1735,893425.0
2019-02-16,44.5994,45.4013,44.408,45.1735,893425.0
2019-02-17,44.5994,45.4013,44.408,45.1735,893425.0
2019-02-18,44.5994,45.4013,44.408,45.1735,893425.0
2019-02-19,45.1735,45.3648,44.9274,45.0277,493700.0
2019-02-20,44.9821,45.5928,44.8272,45.2008,851915.0
2019-02-21,45.1006,45.4879,45.0049,45.2373,668389.0
2019-02-22,45.3193,46.0392,45.2054,45.9937,996491.0
2019-02-23,45.3193,46.0392,45.2054,45.9937,996491.0
2019-02-24,45.3193,46.0392,45.2054,45.9937,996491.0
2019-02-25,46.3035,46.3764,45.6474,45.9207,1040229.0
2019-02-26,45.0094,47.9985,44.8819,47.1054,1616026.0
2019-02-27,47.0325,47.1054,45.5927,45.8114,1016996.0
2019-02-28,45.7111,45.8114,45.219,45.2919,1019712.0
2019-03-01,45.6484,45.9501,44.4419,44.7344,1034358.0
2019-03-02,45.6484,45.9501,44.4419,44.7344,1034358.0
2019-03-03,45.6484,45.9501,44.4419,44.7344,1034358.0
2019-03-04,44.8532,45.0726,43.6009,44.0488,1262450.0
2019-03-05,44.0397,44.1037,43.5826,43.5826,1434385.0
2019-03-06,42.6777,42.9976,42.0744,42.239,1666624.0
2019-03-07,42.1293,42.4401,41.5077,42.3304,1000926.0
2019-03-08,42.0013,42.4492,41.654,42.3669,1061027.0
2019-03-09,42.0013,42.4492,41.654,42.3669,1061027.0
2019-03-10,42.0013,42.4492,41.654,42.3669,1061027.0
2019-03-11,42.3212,42.7326,42.2938,42.6046,1037192.0
2019-03-12,42.5406,42.7234,41.8575,42.2481,748433.0
2019-03-13,42.6594,43.0159,42.2481,42.3486,1307226.0
2019-03-14,42.2938,42.4309,41.7636,42.1933,1191700.0
2019-03-15,42.2024,42.3029,41.654,41.7271,970955.0
2019-03-16,42.2024,42.3029,41.654,41.7271,970955.0
2019-03-17,42.2024,42.3029,41.654,41.7271,970955.0
2019-03-18,41.8276,42.4492,41.7636,42.4035,1041765.0
2019-03-19,42.7783,42.9062,42.2572,42.5406,1241385.0
2019-03-20,42.3944,42.6503,41.7819,42.1933,1048785.0
2019-03-21,42.0836,42.6137,42.0836,42.3852,722206.0
2019-03-22,42.1201,42.2755,40.7125,40.749,749927.0
2019-03-23,42.1201,42.2755,40.7125,40.749,749927.0
2019-03-24,42.1201,42.2755,40.7125,40.749,749927.0
2019-03-25,40.8404,41.7454,40.8211,41.3889,702338.0
2019-03-26,41.8733,42.2115,41.005,41.3249,869880.0
2019-03-27,41.2701,41.5488,40.8404,41.2792,583454.0
2019-03-28,41.2883,41.3889,40.6576,41.0964,883458.0
2019-03-29,41.3432,41.4986,40.9593,41.0598,759546.0
2019-03-30,41.3432,41.4986,40.9593,41.0598,759546.0
2019-03-31,41.3432,41.4986,40.9593,41.0598,759546.0
2019-04-01,41.4986,42.047,41.2701,41.8368,960140.0
2019-04-02,41.8094,42.1293,41.5717,41.7179,731584.0
2019-04-03,41.8916,42.2938,41.8368,42.2755,1679764.0
2019-04-04,42.1019,42.6046,42.0836,42.4583,1022715.0
2019-04-05,42.4218,42.8514,42.2115,42.7783,937977.0
2019-04-06,42.4218,42.8514,42.2115,42.7783,937977.0
2019-04-07,42.4218,42.8514,42.2115,42.7783,937977.0
2019-04-08,42.9062,43.0433,42.4858,42.9337,699287.0
2019-04-09,42.696,43.1439,42.4126,42.7234,1213718.0
2019-04-10,42.7874,43.0799,42.3852,42.8697,818081.0
2019-04-11,43.0251,43.409,42.7874,43.0159,1090354.0
2019-04-12,43.2719,43.5735,43.1256,43.2719,621891.0
2019-04-13,43.2719,43.5735,43.1256,43.2719,621891.0
2019-04-14,43.2719,43.5735,43.1256,43.2719,621891.0
2019-04-15,43.3267,43.4455,42.2024,42.3304,1098791.0
2019-04-16,42.175,43.0708,42.175,43.0433,1067815.0
2019-04-17,43.1987,43.5506,43.1073,43.345,1347471.0
2019-04-18,43.5644,44.2682,43.345,44.1311,1259909.0
2019-04-19,43.5644,44.2682,43.345,44.1311,1259909.0
2019-04-20,43.5644,44.2682,43.345,44.1311,1259909.0
2019-04-21,43.5644,44.2682,43.345,44.1311,1259909.0
2019-04-22,44.0671,44.1585,43.5232,43.7746,1546732.0
2019-04-23,46.1237,46.1237,42.5497,43.8751,1745781.0
2019-04-24,43.9483,44.7801,43.674,44.3413,1213504.0
2019-04-25,43.994,44.0168,41.5626,41.5717,1502373.0
2019-04-26,41.5443,42.6686,41.5114,42.6411,1215951.0
2019-04-27,41.5443,42.6686,41.5114,42.6411,1215951.0
2019-04-28,41.5443,42.6686,41.5114,42.6411,1215951.0
2019-04-29,42.824,43.4912,42.7326,43.3724,1181207.0
2019-04-30,43.409,43.5918,42.4949,42.8331,1174534.0
2019-05-01,43.2993,43.3815,42.7554,42.8514,1059870.0
2019-05-02,42.7508,42.9337,42.3578,42.7417,609355.0
2019-05-03,43.0159,43.5963,42.5863,43.3084,676101.0
2019-05-04,43.0159,43.5963,42.5863,43.3084,676101.0
2019-05-05,43.0159,43.5963,42.5863,43.3084,676101.0
2019-05-06,42.3395,42.8148,42.1658,42.6869,557634.0
2019-05-07,42.2298,42.4309,41.5808,41.8642,497045.0
2019-05-08,41.7819,42.0013,41.4072,41.462,584181.0
2019-05-09,41.0598,41.3064,40.3743,41.2518,923062.0
2019-05-10,41.3432,42.1293,40.7033,41.9556,1069444.0
2019-05-11,41.3432,42.1293,40.7033,41.9556,1069444.0
2019-05-12,41.3432,42.1293,40.7033,41.9556,1069444.0
2019-05-13,41.2243,41.2243,40.0545,40.2006,654443.0
2019-05-14,40.3834,40.9044,40.1183,40.3834,509754.0
2019-05-15,40.0086,40.9227,39.6796,40.5571,506990.0
2019-05-16,40.749,41.2061,40.5766,41.0233,1661828.0
2019-05-17,40.6931,40.7022,39.9594,40.0694,1321310.0
2019-05-18,40.6931,40.7022,39.9594,40.0694,1321310.0
2019-05-19,40.6931,40.7022,39.9594,40.0694,1321310.0
2019-05-20,39.62,40.3813,39.565,39.9319,668778.0
2019-05-21,40.1245,40.6289,39.8768,40.3813,1145039.0
2019-05-22,40.2712,40.5097,39.8677,39.9594,935336.0
2019-05-23,39.455,39.4733,38.813,38.9322,1208160.0
2019-05-24,39.244,39.2532,38.7304,39.1064,1869699.0
2019-05-25,39.244,39.2532,38.7304,39.1064,1869699.0
2019-05-26,39.244,39.2532,38.7304,39.1064,1869699.0
2019-05-27,39.244,39.2532,38.7304,39.1064,1869699.0
2019-05-28,39.1615,39.7576,38.978,38.978,883646.0
2019-05-29,38.7121,39.1523,38.4461,38.9138,754524.0
2019-05-30,38.9505,39.4366,38.813,38.8313,560060.0
2019-05-31,38.2994,38.5011,37.905,37.96,767588.0
2019-06-01,38.2994,38.5011,37.905,37.96,767588.0
2019-06-02,38.2994,38.5011,37.905,37.96,767588.0
2019-06-03,37.8408,38.7671,37.8408,38.4736,1235074.0
2019-06-04,39.0606,39.9685,39.0606,39.9502,854390.0
2019-06-05,40.0786,40.5463,39.8999,40.4179,841924.0
2019-06-06,40.3629,40.7481,39.8677,40.2712,520589.0
2019-06-07,40.5097,40.6656,40.207,40.3721,800537.0
2019-06-08,40.5097,40.6656,40.207,40.3721,800537.0
2019-06-09,40.5097,40.6656,40.207,40.3721,800537.0
2019-06-10,40.6839,41.0508,40.4179,40.4363,1002242.0
2019-06-11,40.8031,41.0599,40.285,40.3079,1613856.0
2019-06-12,40.2162,40.4638,40.1153,40.2804,1038681.0
2019-06-13,40.4821,40.8857,40.3858,40.7481,691589.0
2019-06-14,40.6656,40.7389,40.1887,40.6839,518342.0
2019-06-15,40.6656,40.7389,40.1887,40.6839,518342.0
2019-06-16,40.6656,40.7389,40.1887,40.6839,518342.0
2019-06-17,40.8123,40.9682,40.4271,40.4455,768837.0
2019-06-18,40.6931,41.4176,40.6518,41.0783,1274375.0
2019-06-19,41.1058,41.6285,40.8673,41.3901,1078091.0
2019-06-20,41.8578,42.2522,41.3626,42.188,932008.0
