,ROK US Equity,ROK US Equity,ROK US Equity,ROK US Equity,ROK US Equity
2019-04-18,171.505,172.689,171.078,172.33,917483.0
2019-04-19,171.505,172.689,171.078,172.33,917483.0
2019-04-20,171.505,172.689,171.078,172.33,917483.0
2019-04-21,171.505,172.689,171.078,172.33,917483.0
2019-04-22,171.577,172.385,170.497,171.822,414309.0
2019-04-23,172.222,172.92,171.605,171.904,818744.0
2019-04-24,171.986,172.911,171.242,171.405,850415.0
2019-04-25,161.759,164.944,159.191,159.899,2494651.0
2019-04-26,159.899,162.023,159.064,161.905,965995.0
2019-04-27,159.899,162.023,159.064,161.905,965995.0
2019-04-28,159.899,162.023,159.064,161.905,965995.0
2019-04-29,161.895,164.663,161.369,164.227,953753.0
2019-04-30,164.654,164.654,161.977,163.973,970196.0
2019-05-01,164.854,165.121,160.852,160.934,645881.0
2019-05-02,161.006,161.161,157.957,159.582,736012.0
2019-05-03,160.743,162.395,159.681,162.213,723915.0
2019-05-04,160.743,162.395,159.681,162.213,723915.0
2019-05-05,160.743,162.395,159.681,162.213,723915.0
2019-05-06,159.246,160.925,157.286,160.798,596184.0
2019-05-07,158.865,159.594,155.48,156.977,783227.0
2019-05-08,156.415,157.495,154.691,154.809,628087.0
2019-05-09,152.831,153.838,150.462,153.348,1041048.0
2019-05-10,152.837,153.549,149.469,151.943,1480804.0
2019-05-11,152.837,153.549,149.469,151.943,1480804.0
2019-05-12,152.837,153.549,149.469,151.943,1480804.0
2019-05-13,149.068,149.068,145.536,146.795,1186066.0
2019-05-14,147.525,148.265,146.558,147.69,907782.0
2019-05-15,146.814,148.922,146.211,148.046,681544.0
2019-05-16,148.63,149.987,148.21,148.739,526831.0
2019-05-17,147.024,148.712,146.193,146.312,580039.0
2019-05-18,147.024,148.712,146.193,146.312,580039.0
2019-05-19,147.024,148.712,146.193,146.312,580039.0
2019-05-20,144.897,146.677,143.692,144.724,685028.0
2019-05-21,145.974,148.292,145.974,147.398,760790.0
2019-05-22,146.841,147.48,145.472,145.472,489533.0
2019-05-23,142.78,145.052,140.936,141.584,972420.0
2019-05-24,142.725,142.917,140.507,141.256,767780.0
2019-05-25,142.725,142.917,140.507,141.256,767780.0
2019-05-26,142.725,142.917,140.507,141.256,767780.0
2019-05-27,142.725,142.917,140.507,141.256,767780.0
2019-05-28,141.685,142.369,138.271,138.326,1188162.0
2019-05-29,138.381,140.361,137.906,139.732,1074317.0
2019-05-30,140.37,142.433,140.37,141.849,1253973.0
2019-05-31,139.723,139.723,135.159,135.844,1575829.0
2019-06-01,139.723,139.723,135.159,135.844,1575829.0
2019-06-02,139.723,139.723,135.159,135.844,1575829.0
2019-06-03,135.707,138.582,135.707,137.167,1019448.0
2019-06-04,140.571,143.528,139.385,143.337,1109742.0
2019-06-05,144.258,144.742,141.539,143.4,1054144.0
2019-06-06,143.765,144.651,140.909,142.533,825206.0
2019-06-07,143.565,144.295,141.721,143.4,905736.0
2019-06-08,143.565,144.295,141.721,143.4,905736.0
2019-06-09,143.565,144.295,141.721,143.4,905736.0
2019-06-10,144.249,146.476,144.249,144.934,798171.0
2019-06-11,146.951,147.325,144.97,145.18,1018039.0
2019-06-12,144.97,145.568,143.081,144.176,591742.0
2019-06-13,145.116,145.417,144.076,145.39,374176.0
2019-06-14,144.523,145.025,141.776,142.853,478164.0
2019-06-15,144.523,145.025,141.776,142.853,478164.0
2019-06-16,144.523,145.025,141.776,142.853,478164.0
2019-06-17,142.935,144.167,142.059,142.232,577296.0
2019-06-18,143.528,146.557,142.543,144.897,846871.0
2019-06-19,145.545,145.728,143.209,144.833,777499.0
2019-06-20,147.005,149.624,145.614,148.803,988674.0
2019-06-21,149.232,149.734,147.525,148.502,1051790.0
2019-06-22,149.232,149.734,147.525,148.502,1051790.0
2019-06-23,149.232,149.734,147.525,148.502,1051790.0
2019-06-24,147.918,149.488,147.151,148.0,443199.0
2019-06-25,148.703,149.059,146.877,147.078,567205.0
2019-06-26,147.69,148.84,147.279,148.183,571073.0
2019-06-27,148.183,149.807,147.261,147.964,432532.0
2019-06-28,148.52,150.236,148.164,149.515,955471.0
2019-06-29,148.52,150.236,148.164,149.515,955471.0
2019-06-30,148.52,150.236,148.164,149.515,955471.0
2019-07-01,151.541,152.289,149.159,150.218,715528.0
2019-07-02,149.907,150.145,147.343,148.63,687107.0
2019-07-03,148.757,149.725,148.507,149.725,423852.0
2019-07-04,148.757,149.725,148.507,149.725,423852.0
2019-07-05,148.383,148.383,143.226,145.463,1047335.0
2019-07-06,148.383,148.383,143.226,145.463,1047335.0
2019-07-07,148.383,148.383,143.226,145.463,1047335.0
2019-07-08,144.733,146.567,143.638,143.683,780880.0
2019-07-09,142.479,143.533,141.119,141.593,1164669.0
2019-07-10,142.324,142.953,139.554,140.151,1177850.0
2019-07-11,140.644,142.661,139.065,142.552,1073178.0
2019-07-12,143.51,146.96,142.597,146.348,1107657.0
2019-07-13,143.51,146.96,142.597,146.348,1107657.0
2019-07-14,143.51,146.96,142.597,146.348,1107657.0
2019-07-15,146.339,146.96,144.924,145.372,903880.0
2019-07-16,145.043,151.003,143.82,148.365,1842754.0
2019-07-17,147.836,148.237,145.618,145.965,1060955.0
2019-07-18,145.536,146.22,144.194,145.244,680397.0
2019-07-19,145.6,147.535,145.098,145.974,1077471.0
2019-07-20,145.6,147.535,145.098,145.974,1077471.0
2019-07-21,145.6,147.535,145.098,145.974,1077471.0
2019-07-22,146.011,147.671,145.198,145.39,770125.0
2019-07-23,146.248,152.454,146.029,152.152,1253760.0
2019-07-24,150.857,154.936,149.04,154.124,1911240.0
2019-07-25,146.522,154.279,146.394,152.609,2439982.0
2019-07-26,152.645,152.819,149.223,150.236,1087695.0
2019-07-27,152.645,152.819,149.223,150.236,1087695.0
2019-07-28,152.645,152.819,149.223,150.236,1087695.0
2019-07-29,150.099,150.86,148.31,148.986,1096700.0
2019-07-30,147.781,151.267,147.215,150.939,1157863.0
2019-07-31,150.884,150.884,144.97,146.731,1270513.0
2019-08-01,146.321,148.602,141.42,142.15,1557362.0
2019-08-02,141.52,141.885,139.385,140.361,1118667.0
2019-08-03,141.52,141.885,139.385,140.361,1118667.0
2019-08-04,141.52,141.885,139.385,140.361,1118667.0
2019-08-05,137.815,138.956,136.332,137.624,1243776.0
2019-08-06,138.564,139.932,137.902,139.75,928885.0
2019-08-07,137.167,138.773,135.196,138.655,1052282.0
2019-08-08,139.695,142.953,139.476,142.725,1159434.0
2019-08-09,141.742,142.33,139.938,140.953,851796.0
2019-08-10,141.742,142.33,139.938,140.953,851796.0
2019-08-11,141.742,142.33,139.938,140.953,851796.0
2019-08-12,140.255,140.512,137.27,137.711,760403.0
2019-08-13,137.27,143.184,137.004,140.539,1002484.0
2019-08-14,137.748,138.225,134.644,134.919,931758.0
2019-08-15,135.305,135.305,133.312,134.01,782696.0
2019-08-16,135.287,138.354,135.029,138.032,853134.0
2019-08-17,135.287,138.354,135.029,138.032,853134.0
2019-08-18,135.287,138.354,135.029,138.032,853134.0
2019-08-19,140.374,140.999,139.162,140.723,621380.0
2019-08-20,140.493,140.493,138.115,138.391,512346.0
2019-08-21,140.521,140.833,138.739,139.474,433578.0
2019-08-22,140.053,140.895,138.404,140.053,504648.0
2019-08-23,138.859,139.649,134.919,135.792,795679.0
2019-08-24,138.859,139.649,134.919,135.792,795679.0
2019-08-25,138.859,139.649,134.919,135.792,795679.0
2019-08-26,136.719,138.032,132.155,132.743,1258475.0
2019-08-27,134.074,134.763,133.211,134.304,584640.0
2019-08-28,133.753,136.168,132.844,135.81,561984.0
2019-08-29,137.674,139.396,137.674,138.886,631593.0
2019-08-30,140.402,141.145,140.066,140.31,729992.0
2019-08-31,140.402,141.145,140.066,140.31,729992.0
2019-09-01,140.402,141.145,140.066,140.31,729992.0
2019-09-02,140.402,141.145,140.066,140.31,729992.0
2019-09-03,138.62,138.666,134.01,136.122,722874.0
2019-09-04,137.84,138.345,136.673,137.592,665631.0
2019-09-05,140.622,147.032,140.356,145.737,1086289.0
2019-09-06,145.7,148.492,144.966,147.886,1034600.0
2019-09-07,145.7,148.492,144.966,147.886,1034600.0
2019-09-08,145.7,148.492,144.966,147.886,1034600.0
2019-09-09,148.777,150.072,148.217,148.758,852685.0
2019-09-10,148.74,150.485,147.344,150.485,857222.0
2019-09-11,148.556,150.485,146.968,150.402,917635.0
2019-09-12,151.522,154.039,150.154,152.56,1071047.0
2019-09-13,153.892,156.206,152.358,153.13,997805.0
2019-09-14,153.892,156.206,152.358,153.13,997805.0
2019-09-15,153.892,156.206,152.358,153.13,997805.0
2019-09-16,152.514,153.497,151.376,152.257,1150120.0
2019-09-17,150.981,151.33,148.529,150.659,812849.0
2019-09-18,149.723,151.063,148.312,150.218,1207142.0
2019-09-19,150.301,151.628,149.649,149.695,1048854.0
2019-09-20,150.825,151.541,148.611,148.823,1630853.0
2019-09-21,150.825,151.541,148.611,148.823,1630853.0
2019-09-22,150.825,151.541,148.611,148.823,1630853.0
2019-09-23,147.803,151.33,146.949,150.76,1015791.0
2019-09-24,150.944,151.229,147.5,147.978,1243337.0
2019-09-25,147.601,149.713,145.636,149.153,888586.0
2019-09-26,148.979,151.44,148.979,150.136,990495.0
2019-09-27,151.33,152.891,149.686,152.67,760108.0
2019-09-28,151.33,152.891,149.686,152.67,760108.0
2019-09-29,151.33,152.891,149.686,152.67,760108.0
2019-09-30,148.768,151.702,146.941,151.339,1244939.0
2019-10-01,152.781,154.222,148.841,149.034,960048.0
2019-10-02,147.473,147.473,141.228,143.102,1674344.0
2019-10-03,142.431,145.535,140.558,145.434,923776.0
2019-10-04,145.471,146.407,144.075,146.352,493729.0
2019-10-05,145.471,146.407,144.075,146.352,493729.0
2019-10-06,145.471,146.407,144.075,146.352,493729.0
2019-10-07,146.224,146.371,144.011,144.121,672077.0
2019-10-08,142.156,142.61,140.2,140.76,596504.0
2019-10-09,142.33,142.33,140.466,141.338,760325.0
2019-10-10,141.026,143.772,140.145,142.156,670355.0
2019-10-11,145.159,152.68,145.159,150.696,1507616.0
2019-10-12,145.159,152.68,145.159,150.696,1507616.0
2019-10-13,145.159,152.68,145.159,150.696,1507616.0
2019-10-14,149.135,151.238,147.565,150.724,470261.0
2019-10-15,151.247,154.553,150.535,153.699,877438.0
2019-10-16,152.735,154.112,151.394,151.477,781143.0
2019-10-17,153.029,155.278,152.468,152.771,694163.0
2019-10-18,153.029,155.894,152.882,155.37,975036.0
2019-10-19,153.029,155.894,152.882,155.37,975036.0
2019-10-20,153.029,155.894,152.882,155.37,975036.0
2019-10-21,155.986,157.712,155.889,157.602,537117.0
2019-10-22,157.381,159.342,155.94,157.014,822090.0
2019-10-23,157.657,159.778,156.408,158.171,762334.0
2019-10-24,159.089,160.196,157.831,159.448,552329.0
2019-10-25,160.696,163.295,159.631,162.891,717042.0
2019-10-26,160.696,163.295,159.631,162.891,717042.0
2019-10-27,160.696,163.295,159.631,162.891,717042.0
2019-10-28,164.113,164.673,161.192,162.304,790223.0
2019-10-29,161.293,163.084,160.32,160.651,966341.0
2019-10-30,160.283,160.908,157.877,160.889,805135.0
2019-10-31,160.54,160.889,156.931,157.942,660559.0
2019-11-01,159.227,163.185,159.154,163.185,664213.0
2019-11-02,159.227,163.185,159.154,163.185,664213.0
2019-11-03,159.227,163.185,159.154,163.185,664213.0
2019-11-04,165.27,167.07,164.351,166.996,782526.0
2019-11-05,167.207,168.383,166.174,167.015,803503.0
2019-11-06,166.629,166.633,163.167,163.846,1124090.0
2019-11-07,165.692,166.069,163.167,163.507,1059236.0
2019-11-08,163.146,164.541,162.806,164.236,627810.0
2019-11-09,163.146,164.541,162.806,164.236,627810.0
2019-11-10,163.146,164.541,162.806,164.236,627810.0
2019-11-11,163.59,167.173,163.331,165.511,1210188.0
2019-11-12,185.673,191.289,181.341,182.884,4132248.0
2019-11-13,180.732,185.839,179.697,182.939,1516794.0
2019-11-14,183.179,184.63,182.02,183.567,1214725.0
2019-11-15,184.352,185.535,183.175,184.971,829259.0
2019-11-16,184.352,185.535,183.175,184.971,829259.0
2019-11-17,184.352,185.535,183.175,184.971,829259.0
2019-11-18,184.177,184.722,181.859,182.57,1156518.0
2019-11-19,181.0,183.373,180.436,181.646,777412.0
2019-11-20,181.24,182.653,179.901,181.221,1135604.0
2019-11-21,180.547,181.637,179.661,180.298,939448.0
2019-11-22,181.249,181.526,179.273,179.919,644072.0
2019-11-23,181.249,181.526,179.273,179.919,644072.0
2019-11-24,181.249,181.526,179.273,179.919,644072.0
2019-11-25,180.159,182.339,179.522,180.769,976495.0
2019-11-26,180.261,181.471,179.162,181.323,919206.0
2019-11-27,182.579,182.579,180.353,181.415,659450.0
2019-11-28,182.579,182.579,180.353,181.415,659450.0
2019-11-29,181.277,182.228,179.947,180.88,330775.0
2019-11-30,181.277,182.228,179.947,180.88,330775.0
2019-12-01,181.277,182.228,179.947,180.88,330775.0
2019-12-02,181.656,183.447,178.968,179.153,696388.0
2019-12-03,176.539,179.947,175.68,179.217,981834.0
2019-12-04,179.753,182.468,179.697,180.113,911537.0
2019-12-05,181.046,181.628,180.399,181.425,543592.0
2019-12-06,183.854,184.454,182.745,183.041,647678.0
2019-12-07,183.854,184.454,182.745,183.041,647678.0
2019-12-08,183.854,184.454,182.745,183.041,647678.0
2019-12-09,183.096,185.004,183.096,183.577,895654.0
2019-12-10,183.216,185.396,182.265,184.491,641526.0
2019-12-11,185.738,188.019,184.953,187.733,720352.0
2019-12-12,187.363,189.977,186.107,189.774,828897.0
2019-12-13,189.913,191.141,186.735,187.927,938495.0
2019-12-14,189.913,191.141,186.735,187.927,938495.0
2019-12-15,189.913,191.141,186.735,187.927,938495.0
2019-12-16,189.294,190.254,187.585,188.795,962969.0
2019-12-17,188.287,189.211,186.274,188.065,908296.0
2019-12-18,188.795,189.183,186.929,188.278,1039273.0
2019-12-19,188.121,188.555,186.8,187.345,918347.0
2019-12-20,188.49,188.841,186.634,188.74,1256084.0
2019-12-21,188.49,188.841,186.634,188.74,1256084.0
2019-12-22,188.49,188.841,186.634,188.74,1256084.0
2019-12-23,186.495,188.892,185.488,188.693,1001576.0
2019-12-24,189.026,189.026,186.828,187.345,253941.0
2019-12-25,189.026,189.026,186.828,187.345,253941.0
2019-12-26,187.751,188.62,185.987,188.62,297591.0
2019-12-27,188.998,189.081,187.091,187.465,451087.0
2019-12-28,188.998,189.081,187.091,187.465,451087.0
2019-12-29,188.998,189.081,187.091,187.465,451087.0
2019-12-30,187.761,188.675,187.188,187.428,336987.0
2019-12-31,187.068,188.527,186.874,187.188,436298.0
2020-01-01,187.068,188.527,186.874,187.188,436298.0
2020-01-02,188.25,189.931,187.123,189.931,588033.0
2020-01-03,186.486,187.705,185.193,187.16,542613.0
2020-01-04,186.486,187.705,185.193,187.16,542613.0
2020-01-05,186.486,187.705,185.193,187.16,542613.0
2020-01-06,186.089,188.712,185.572,188.647,1007160.0
2020-01-07,188.878,189.589,186.8,188.259,715876.0
2020-01-08,187.29,191.002,185.202,189.691,671085.0
2020-01-09,190.919,192.055,189.312,191.344,676054.0
2020-01-10,191.224,191.76,189.063,189.423,777225.0
2020-01-11,191.224,191.76,189.063,189.423,777225.0
2020-01-12,191.224,191.76,189.063,189.423,777225.0
2020-01-13,189.34,190.818,189.017,190.799,547411.0
2020-01-14,190.799,190.799,186.846,187.4,805008.0
2020-01-15,187.04,189.723,186.237,186.782,711595.0
2020-01-16,188.075,189.635,187.096,189.58,562852.0
2020-01-17,190.06,190.767,188.869,189.1,594620.0
2020-01-18,190.06,190.767,188.869,189.1,594620.0
2020-01-19,190.06,190.767,188.869,189.1,594620.0
2020-01-20,190.06,190.767,188.869,189.1,594620.0
2020-01-21,187.973,188.712,185.987,186.375,719171.0
2020-01-22,188.075,188.296,183.881,184.149,682857.0
2020-01-23,184.417,187.28,181.72,186.846,766188.0
2020-01-24,187.262,187.631,182.755,184.463,631313.0
2020-01-25,187.262,187.631,182.755,184.463,631313.0
2020-01-26,187.262,187.631,182.755,184.463,631313.0
2020-01-27,180.409,181.101,178.82,179.106,835672.0
2020-01-28,180.843,182.357,179.328,181.646,1165309.0
2020-01-29,181.027,184.158,178.557,181.184,1163006.0
2020-01-30,179.54,181.351,175.264,179.928,1151085.0
2020-01-31,178.672,179.467,175.855,177.019,1250386.0
2020-02-01,178.672,179.467,175.855,177.019,1250386.0
2020-02-02,178.672,179.467,175.855,177.019,1250386.0
2020-02-03,178.118,182.099,177.786,179.697,1019939.0
2020-02-04,183.484,187.493,183.484,186.929,843390.0
2020-02-05,189.275,190.199,187.871,189.589,762771.0
2020-02-06,190.67,190.67,188.093,189.368,491665.0
2020-02-07,188.075,188.684,186.634,187.234,583085.0
2020-02-08,188.075,188.684,186.634,187.234,583085.0
2020-02-09,188.075,188.684,186.634,187.234,583085.0
2020-02-10,186.44,188.37,186.033,188.25,500047.0
2020-02-11,188.823,190.153,187.955,188.379,534749.0
2020-02-12,189.986,190.688,188.204,190.125,614694.0
2020-02-13,188.924,190.18,185.304,185.784,572295.0
2020-02-14,186.258,186.815,184.41,186.295,454958.0
2020-02-15,186.258,186.815,184.41,186.295,454958.0
2020-02-16,186.258,186.815,184.41,186.295,454958.0
2020-02-17,186.258,186.815,184.41,186.295,454958.0
2020-02-18,185.153,185.589,182.943,184.494,560739.0
2020-02-19,185.376,186.174,183.064,185.998,678032.0
2020-02-20,185.775,190.704,185.363,190.593,892958.0
2020-02-21,188.885,194.58,187.724,194.362,1162589.0
2020-02-22,188.885,194.58,187.724,194.362,1162589.0
2020-02-23,188.885,194.58,187.724,194.362,1162589.0
2020-02-24,186.536,188.801,185.473,188.226,1502593.0
2020-02-25,188.968,190.133,182.034,182.758,1120376.0
2020-02-26,184.345,187.511,180.92,181.17,854930.0
2020-02-27,176.278,181.059,172.769,172.853,1363542.0
2020-02-28,166.707,171.2,165.008,170.346,1587676.0
2020-02-29,166.707,171.2,165.008,170.346,1587676.0
2020-03-01,166.707,171.2,165.008,170.346,1587676.0
2020-03-02,171.432,177.374,170.142,176.928,1649793.0
2020-03-03,176.752,183.9,170.42,170.755,1629170.0
2020-03-04,173.939,178.859,171.739,178.469,991441.0
2020-03-05,172.221,175.972,169.659,170.253,1228107.0
2020-03-06,164.953,167.97,161.991,166.029,1321104.0
2020-03-07,164.953,167.97,161.991,166.029,1321104.0
2020-03-08,164.953,167.97,161.991,166.029,1321104.0
2020-03-09,145.207,153.598,140.594,141.698,2230852.0
2020-03-10,146.915,157.303,143.221,157.257,1722442.0
2020-03-11,146.154,152.671,145.012,147.686,1760997.0
2020-03-12,134.727,145.959,134.578,138.867,2491831.0
2020-03-13,146.563,154.426,141.364,154.268,2179421.0
2020-03-14,146.563,154.426,141.364,154.268,2179421.0
2020-03-15,146.563,154.426,141.364,154.268,2179421.0
2020-03-16,135.692,152.086,134.857,142.32,1858542.0
2020-03-17,145.152,147.723,137.484,144.038,1989492.0
2020-03-18,133.278,133.687,108.595,119.344,2301825.0
2020-03-19,118.138,127.922,111.305,125.397,1841057.0
2020-03-20,127.718,131.44,115.538,117.701,1701076.0
2020-03-21,127.718,131.44,115.538,117.701,1701076.0
2020-03-22,127.718,131.44,115.538,117.701,1701076.0
2020-03-23,113.691,116.355,107.109,112.029,2071527.0
2020-03-24,120.208,135.794,120.208,131.728,2545844.0
2020-03-25,133.334,148.521,128.646,143.481,2009486.0
2020-03-26,146.656,147.946,139.447,147.872,1547924.0
2020-03-27,139.322,145.393,136.017,140.603,1168115.0
2020-03-28,139.322,145.393,136.017,140.603,1168115.0
2020-03-29,139.322,145.393,136.017,140.603,1168115.0
2020-03-30,140.538,142.589,138.022,141.346,1199257.0
2020-03-31,139.461,141.893,135.079,140.092,1896875.0
2020-04-01,132.712,134.727,130.02,133.381,1408862.0
2020-04-02,132.257,141.383,132.257,138.978,997391.0
2020-04-03,139.507,141.587,134.457,136.258,935648.0
2020-04-04,139.507,141.587,134.457,136.258,935648.0
2020-04-05,139.507,141.587,134.457,136.258,935648.0
2020-04-06,144.752,147.881,143.314,146.126,1366606.0
2020-04-07,151.78,157.721,148.54,148.605,1200059.0
2020-04-08,150.666,157.526,150.239,155.772,898173.0
2020-04-09,158.148,161.527,150.234,155.623,1240593.0
2020-04-10,158.148,161.527,150.234,155.623,1240593.0
2020-04-11,158.148,161.527,150.234,155.623,1240593.0
2020-04-12,158.148,161.527,150.234,155.623,1240593.0
2020-04-13,154.156,155.363,147.788,149.032,730044.0
2020-04-14,152.717,153.813,148.057,152.049,1072168.0
2020-04-15,147.259,148.169,143.703,147.565,718119.0
2020-04-16,147.769,148.679,143.75,147.556,765739.0
2020-04-17,153.59,158.185,153.089,156.505,1073835.0
2020-04-18,153.59,158.185,153.089,156.505,1073835.0
2020-04-19,153.59,158.185,153.089,156.505,1073835.0
2020-04-20,152.615,158.779,150.424,156.459,1031579.0
2020-04-21,151.743,155.386,151.743,152.671,810853.0
2020-04-22,155.382,157.294,152.337,154.277,671283.0
2020-04-23,155.558,160.914,155.185,157.201,876241.0
2020-04-24,159.606,162.957,157.183,162.075,850642.0
2020-04-25,159.606,162.957,157.183,162.075,850642.0
2020-04-26,159.606,162.957,157.183,162.075,850642.0
2020-04-27,163.347,169.543,163.142,168.657,1057864.0
2020-04-28,180.298,185.636,177.439,182.043,2397668.0
2020-04-29,182.878,186.193,179.964,182.878,1492707.0
2020-04-30,179.759,180.474,174.932,175.897,1390998.0
2020-05-01,171.841,173.113,168.049,170.058,701228.0
2020-05-02,171.841,173.113,168.049,170.058,701228.0
2020-05-03,171.841,173.113,168.049,170.058,701228.0
