,ROK US Equity,ROK US Equity,ROK US Equity,ROK US Equity,ROK US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,134.881,136.271,134.258,135.792,610560.0
2019-01-02,134.024,137.155,133.618,136.144,948275.0
2019-01-03,134.782,135.332,131.037,131.335,1190949.0
2019-01-04,133.735,135.648,132.637,135.477,1045004.0
2019-01-05,133.735,135.648,132.637,135.477,1045004.0
2019-01-06,133.735,135.648,132.637,135.477,1045004.0
2019-01-07,135.72,138.518,134.213,136.605,864869.0
2019-01-08,137.345,138.545,135.576,138.391,924404.0
2019-01-09,139.61,140.611,138.292,139.222,678110.0
2019-01-10,138.22,140.025,137.372,138.346,1667907.0
2019-01-11,137.29,141.875,137.29,140.638,1361579.0
2019-01-12,137.29,141.875,137.29,140.638,1361579.0
2019-01-13,137.29,141.875,137.29,140.638,1361579.0
2019-01-14,139.637,141.811,138.067,140.954,934593.0
2019-01-15,141.035,141.766,138.915,141.514,1257141.0
2019-01-16,141.315,143.174,141.148,142.281,851130.0
2019-01-17,141.36,146.287,141.36,144.618,1129280.0
2019-01-18,145.665,149.656,145.367,148.67,1490998.0
2019-01-19,145.665,149.656,145.367,148.67,1490998.0
2019-01-20,145.665,149.656,145.367,148.67,1490998.0
2019-01-21,145.665,149.656,145.367,148.67,1490998.0
2019-01-22,147.731,148.381,145.15,147.515,1248164.0
2019-01-23,147.722,147.966,144.252,146.017,922741.0
2019-01-24,146.053,147.334,145.511,146.856,946493.0
2019-01-25,150.456,150.632,148.846,150.123,1053546.0
2019-01-26,150.456,150.632,148.846,150.123,1053546.0
2019-01-27,150.456,150.632,148.846,150.123,1053546.0
2019-01-28,148.227,149.5,147.136,147.316,1280257.0
2019-01-29,162.251,162.341,154.391,156.683,2420892.0
2019-01-30,156.827,157.274,151.781,155.095,1867563.0
2019-01-31,155.176,156.349,151.99,152.974,1391195.0
2019-02-01,153.479,155.632,152.153,152.442,1150867.0
2019-02-02,153.479,155.632,152.153,152.442,1150867.0
2019-02-03,153.479,155.632,152.153,152.442,1150867.0
2019-02-04,151.927,153.118,150.077,153.118,1667906.0
2019-02-05,152.577,154.165,151.954,154.066,1409198.0
2019-02-06,153.624,155.203,153.624,154.274,1047139.0
2019-02-07,152.676,153.795,151.828,153.38,754222.0
2019-02-08,151.846,152.902,151.269,152.902,856429.0
2019-02-09,151.846,152.902,151.269,152.902,856429.0
2019-02-10,151.846,152.902,151.269,152.902,856429.0
2019-02-11,152.821,153.57,152.496,153.137,649280.0
2019-02-12,154.138,156.169,153.678,155.844,1094797.0
2019-02-13,156.376,160.22,156.136,159.562,1119890.0
2019-02-14,158.677,160.59,158.244,159.192,1265518.0
2019-02-15,160.825,161.242,160.217,160.961,702588.0
2019-02-16,160.825,161.242,160.217,160.961,702588.0
2019-02-17,160.825,161.242,160.217,160.961,702588.0
2019-02-18,160.825,161.242,160.217,160.961,702588.0
2019-02-19,160.181,161.968,160.108,161.024,475787.0
2019-02-20,161.297,162.771,160.616,162.277,563442.0
2019-02-21,161.759,161.968,160.426,161.478,533499.0
2019-02-22,161.914,163.347,161.387,162.63,656293.0
2019-02-23,161.914,163.347,161.387,162.63,656293.0
2019-02-24,161.914,163.347,161.387,162.63,656293.0
2019-02-25,163.384,164.699,162.839,163.402,712219.0
2019-02-26,162.567,164.082,162.567,162.694,569059.0
2019-02-27,162.113,163.955,161.315,163.792,561834.0
2019-02-28,163.157,163.32,161.288,162.023,735470.0
2019-03-01,163.311,163.855,160.626,161.977,753105.0
2019-03-02,163.311,163.855,160.626,161.977,753105.0
2019-03-03,163.311,163.855,160.626,161.977,753105.0
2019-03-04,163.329,163.955,160.525,161.369,842361.0
2019-03-05,161.523,162.621,161.052,161.723,705892.0
2019-03-06,161.651,162.83,161.188,161.551,561943.0
2019-03-07,161.387,161.387,158.23,159.255,727373.0
2019-03-08,157.967,158.393,156.832,158.366,545538.0
2019-03-09,157.967,158.393,156.832,158.366,545538.0
2019-03-10,157.967,158.393,156.832,158.366,545538.0
2019-03-11,158.257,162.14,158.207,161.859,687363.0
2019-03-12,162.385,163.556,161.787,162.122,650829.0
2019-03-13,162.948,165.159,162.113,164.599,742348.0
2019-03-14,164.246,164.264,162.703,163.946,714992.0
2019-03-15,164.001,164.618,161.977,162.721,1867116.0
2019-03-16,164.001,164.618,161.977,162.721,1867116.0
2019-03-17,164.001,164.618,161.977,162.721,1867116.0
2019-03-18,163.084,164.173,162.812,164.046,548878.0
2019-03-19,164.128,164.949,161.596,162.213,593625.0
2019-03-20,161.215,161.478,158.384,159.718,627495.0
2019-03-21,158.874,161.251,158.112,160.625,554674.0
2019-03-22,159.6,159.89,154.083,154.192,788222.0
2019-03-23,159.6,159.89,154.083,154.192,788222.0
2019-03-24,159.6,159.89,154.083,154.192,788222.0
2019-03-25,153.965,155.535,152.876,154.101,651138.0
2019-03-26,155.607,156.519,154.41,155.635,556715.0
2019-03-27,155.435,156.206,154.292,155.199,582626.0
2019-03-28,155.743,157.867,155.603,157.74,602927.0
2019-03-29,158.928,159.745,158.411,159.21,656008.0
2019-03-30,158.928,159.745,158.411,159.21,656008.0
2019-03-31,158.928,159.745,158.411,159.21,656008.0
2019-04-01,160.979,164.518,160.979,164.155,779957.0
2019-04-02,164.246,165.353,163.701,165.207,639319.0
2019-04-03,165.87,167.285,165.743,166.351,620062.0
2019-04-04,165.942,167.866,165.942,167.857,532573.0
2019-04-05,167.866,169.0,167.552,168.175,602444.0
2019-04-06,167.866,169.0,167.552,168.175,602444.0
2019-04-07,167.866,169.0,167.552,168.175,602444.0
2019-04-08,168.184,169.409,167.399,168.773,408152.0
2019-04-09,167.548,167.749,165.353,165.579,610906.0
2019-04-10,165.697,166.578,164.055,165.924,924856.0
2019-04-11,166.46,166.677,165.344,166.006,834891.0
2019-04-12,166.814,167.322,166.051,167.176,792561.0
2019-04-13,166.814,167.322,166.051,167.176,792561.0
2019-04-14,166.814,167.322,166.051,167.176,792561.0
2019-04-15,167.639,168.846,167.412,168.773,668386.0
2019-04-16,169.073,170.57,168.42,170.207,668994.0
2019-04-17,171.35,173.746,170.806,170.86,866978.0
