,STLD US Equity,STLD US Equity,STLD US Equity,STLD US Equity,STLD US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,26.4444,26.6835,26.0547,26.6038,1885897.0
2019-01-02,25.8244,27.1086,25.8244,26.9669,2086808.0
2019-01-03,26.772,27.0997,26.2938,26.5329,1761987.0
2019-01-04,27.144,28.0739,27.144,27.9322,2256486.0
2019-01-05,27.144,28.0739,27.144,27.9322,2256486.0
2019-01-06,27.144,28.0739,27.144,27.9322,2256486.0
2019-01-07,28.1624,28.7647,27.8968,28.2244,3250504.0
2019-01-08,29.1278,29.5794,28.7735,29.1632,3829199.0
2019-01-09,29.4466,29.6813,28.5078,29.3137,2490379.0
2019-01-10,28.9861,29.6237,28.8798,29.5794,1868296.0
2019-01-11,29.3757,29.7477,29.0835,29.6591,1462495.0
2019-01-12,29.3757,29.7477,29.0835,29.6591,1462495.0
2019-01-13,29.3757,29.7477,29.0835,29.6591,1462495.0
2019-01-14,29.4023,29.6503,29.1189,29.2429,1235672.0
2019-01-15,29.3049,29.4731,28.7292,29.0215,1222799.0
2019-01-16,29.1455,29.7123,28.9064,29.5351,1824465.0
2019-01-17,29.4997,30.1551,29.2783,29.7743,2590227.0
2019-01-18,30.1108,30.6067,29.7477,30.3765,2809638.0
2019-01-19,30.1108,30.6067,29.7477,30.3765,2809638.0
2019-01-20,30.1108,30.6067,29.7477,30.3765,2809638.0
2019-01-21,30.1108,30.6067,29.7477,30.3765,2809638.0
2019-01-22,30.1285,31.3772,29.2872,30.9167,4664072.0
2019-01-23,31.1558,31.3064,30.1706,30.837,2262427.0
2019-01-24,30.8813,30.9875,30.4208,30.7396,2325137.0
2019-01-25,31.2975,31.6872,31.0672,31.3861,2350902.0
2019-01-26,31.2975,31.6872,31.0672,31.3861,2350902.0
2019-01-27,31.2975,31.6872,31.0672,31.3861,2350902.0
2019-01-28,31.0672,31.5455,30.8547,31.4835,1785186.0
2019-01-29,31.9351,32.2805,31.6518,31.7846,3064247.0
2019-01-30,32.1831,32.8916,32.0768,32.6436,2346331.0
2019-01-31,31.8909,32.7056,31.7757,32.4045,2859454.0
2019-02-01,32.3691,32.9182,32.2274,32.9005,1869418.0
2019-02-02,32.3691,32.9182,32.2274,32.9005,1869418.0
2019-02-03,32.3691,32.9182,32.2274,32.9005,1869418.0
2019-02-04,32.7322,33.2901,32.5462,33.2193,1953121.0
2019-02-05,33.113,33.1661,32.5994,32.6348,1700600.0
2019-02-06,32.5994,33.0687,32.5374,32.7322,2459643.0
2019-02-07,32.5019,32.6968,31.6429,31.882,2016646.0
2019-02-08,31.6872,31.9883,31.4746,31.6695,1914637.0
2019-02-09,31.6872,31.9883,31.4746,31.6695,1914637.0
2019-02-10,31.6872,31.9883,31.4746,31.6695,1914637.0
2019-02-11,31.7846,32.13,31.6429,32.0591,1553350.0
2019-02-12,32.3691,33.0244,32.254,32.7676,2076126.0
2019-02-13,32.989,33.1839,32.4399,32.6702,1239200.0
