,MKC US Equity,MKC US Equity,MKC US Equity,MKC US Equity,MKC US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,79.0367,79.3196,78.7073,78.7351,1795146.0
2020-01-02,78.5681,79.1248,77.6404,77.7146,1519182.0
2020-01-03,77.7795,79.2918,77.529,78.9532,1469872.0
2020-01-04,77.7795,79.2918,77.529,78.9532,1469872.0
2020-01-05,77.7795,79.2918,77.529,78.9532,1469872.0
2020-01-06,78.981,79.6583,78.6818,79.4263,1326680.0
2020-01-07,79.199,79.3869,78.0068,78.0625,1431928.0
2020-01-08,78.5218,78.647,77.6079,77.645,1014302.0
2020-01-09,76.4064,76.875,74.7365,75.2607,2770986.0
2020-01-10,75.0194,76.5287,75.0194,76.1838,1100052.0
2020-01-11,75.0194,76.5287,75.0194,76.1838,1100052.0
2020-01-12,75.0194,76.5287,75.0194,76.1838,1100052.0
2020-01-13,76.2163,77.0141,76.2163,76.6801,1232178.0
2020-01-14,76.7776,77.478,76.7776,77.4177,1900522.0
2020-01-15,77.5476,78.5078,77.5476,77.7517,1453002.0
2020-01-16,77.9002,78.005,77.0605,77.5383,1698152.0
2020-01-17,77.6218,78.2852,77.4595,78.2481,1084260.0
2020-01-18,77.6218,78.2852,77.4595,78.2481,1084260.0
2020-01-19,77.6218,78.2852,77.4595,78.2481,1084260.0
2020-01-20,77.6218,78.2852,77.4595,78.2481,1084260.0
2020-01-21,78.3269,79.4866,78.2713,79.3939,1982554.0
2020-01-22,79.6119,80.4933,79.5098,80.034,1690454.0
2020-01-23,79.2037,80.3216,79.1898,80.1454,1590674.0
2020-01-24,80.8412,80.9871,79.7974,80.099,1396258.0
2020-01-25,80.8412,80.9871,79.7974,80.099,1396258.0
2020-01-26,80.8412,80.9871,79.7974,80.099,1396258.0
2020-01-27,79.9412,80.6092,79.765,80.1175,1698410.0
2020-01-28,76.2163,78.8372,75.8934,77.0327,4551342.0
2020-01-29,76.541,78.197,75.7013,77.6589,1872764.0
2020-01-30,77.812,78.197,76.309,76.7776,1848744.0
2020-01-31,76.9028,77.7378,75.7245,75.7848,2006768.0
2020-02-01,76.9028,77.7378,75.7245,75.7848,2006768.0
2020-02-02,76.9028,77.7378,75.7245,75.7848,2006768.0
2020-02-03,76.1467,76.4436,75.3766,75.6874,1793744.0
2020-02-04,75.7988,76.1782,74.4303,74.5463,1756504.0
2020-02-05,74.987,75.4091,74.5648,75.154,1353988.0
2020-02-06,75.154,76.0205,75.0565,75.205,1164856.0
2020-02-07,75.3766,75.9426,75.2003,75.6642,1080584.0
2020-02-08,75.3766,75.9426,75.2003,75.6642,1080584.0
2020-02-09,75.3766,75.9426,75.2003,75.6642,1080584.0
2020-02-10,76.142,76.3508,75.5946,75.8962,891520.0
2020-02-11,75.8962,76.4238,75.6225,75.7292,879234.0
2020-02-12,75.7106,76.708,75.3451,76.5595,1113622.0
2020-02-13,76.476,77.7285,76.2023,77.5059,916048.0
2020-02-14,77.7564,78.3362,77.2878,77.3945,924774.0
2020-02-15,77.7564,78.3362,77.2878,77.3945,924774.0
2020-02-16,77.7564,78.3362,77.2878,77.3945,924774.0
2020-02-17,77.7564,78.3362,77.2878,77.3945,924774.0
2020-02-18,77.1116,77.3017,76.2394,76.4992,1286664.0
2020-02-19,76.4992,76.8286,75.9333,76.091,962470.0
2020-02-20,76.1467,76.2371,75.2282,75.9982,1135448.0
2020-02-21,75.7431,76.0678,75.1725,75.2421,936848.0
2020-02-22,75.7431,76.0678,75.1725,75.2421,936848.0
2020-02-23,75.7431,76.0678,75.1725,75.2421,936848.0
2020-02-24,74.639,75.2978,73.9525,74.6808,1442398.0
2020-02-25,74.5463,74.9359,73.3216,73.4654,2959624.0
2020-02-26,73.2938,73.8922,70.9465,71.0254,2354714.0
2020-02-27,70.9141,71.5913,69.592,69.7033,2253528.0
2020-02-28,68.8173,69.0632,66.0502,67.8153,3579980.0
2020-02-29,68.8173,69.0632,66.0502,67.8153,3579980.0
2020-03-01,68.8173,69.0632,66.0502,67.8153,3579980.0
2020-03-02,68.1029,70.7795,67.6437,70.7285,2245428.0
2020-03-03,70.7424,71.6887,69.0121,69.5363,1972880.0
2020-03-04,70.5522,71.4058,69.8054,71.3826,2873394.0
2020-03-05,70.5383,72.0367,70.2924,71.2249,2189682.0
2020-03-06,69.3971,70.1858,68.1679,69.8796,2346426.0
2020-03-07,69.3971,70.1858,68.1679,69.8796,2346426.0
2020-03-08,69.3971,70.1858,68.1679,69.8796,2346426.0
2020-03-09,67.2633,68.5761,66.2798,66.8133,2872666.0
2020-03-10,68.0148,70.4084,67.0731,70.2924,2818018.0
2020-03-11,68.8127,69.1791,67.4813,68.0101,3014912.0
2020-03-12,64.3965,65.5005,60.8106,60.8524,4330016.0
2020-03-13,62.9167,63.7934,59.4468,62.6244,3300308.0
2020-03-14,62.9167,63.7934,59.4468,62.6244,3300308.0
