,PAYX US Equity,PAYX US Equity,PAYX US Equity,PAYX US Equity,PAYX US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,55.6082,55.8044,55.0366,55.5826,1599831.0
2019-01-02,54.6697,55.6935,54.0311,55.5143,2589408.0
2019-01-03,54.9342,55.5143,54.4991,54.5759,2231010.0
2019-01-04,55.5741,56.6661,55.3352,56.4784,2137175.0
2019-01-05,55.5741,56.6661,55.3352,56.4784,2137175.0
2019-01-06,55.5741,56.6661,55.3352,56.4784,2137175.0
2019-01-07,56.3078,56.7941,56.0006,56.1798,1708117.0
2019-01-08,56.9135,57.033,55.8727,56.6064,1746803.0
2019-01-09,56.5978,56.8794,56.2531,56.5723,1665029.0
2019-01-10,56.4784,57.5448,56.3163,57.5107,1567703.0
2019-01-11,57.2889,57.5448,56.8197,57.4083,1606864.0
2019-01-12,57.2889,57.5448,56.8197,57.4083,1606864.0
2019-01-13,57.2889,57.5448,56.8197,57.4083,1606864.0
2019-01-14,57.0415,57.5107,56.9135,57.3571,1245855.0
2019-01-15,57.5875,58.3297,57.4169,58.1335,1759369.0
2019-01-16,58.2359,58.6027,57.9885,58.4236,2000851.0
2019-01-17,58.27,58.9099,58.2274,58.6539,1614158.0
2019-01-18,59.3109,59.7801,58.7734,59.6351,2190070.0
2019-01-19,59.3109,59.7801,58.7734,59.6351,2190070.0
2019-01-20,59.3109,59.7801,58.7734,59.6351,2190070.0
2019-01-21,59.3109,59.7801,58.7734,59.6351,2190070.0
2019-01-22,59.1999,59.5497,58.7137,59.2085,1539100.0
2019-01-23,59.4132,59.6351,58.8502,59.5839,1756832.0
2019-01-24,59.6692,59.7118,59.1914,59.3962,1939162.0
2019-01-25,59.9592,60.1555,59.5071,60.0531,1883305.0
2019-01-26,59.9592,60.1555,59.5071,60.0531,1883305.0
2019-01-27,59.9592,60.1555,59.5071,60.0531,1883305.0
2019-01-28,59.6009,59.8654,59.4132,59.7204,1734472.0
2019-01-29,59.8569,59.9081,59.2085,59.49,1362496.0
2019-01-30,59.7204,60.7186,59.5497,60.693,2508879.0
2019-01-31,60.693,61.0197,60.306,60.8821,2959516.0
2019-02-01,61.0025,61.8367,61.0025,61.8109,1960726.0
2019-02-02,61.0025,61.8367,61.0025,61.8109,1960726.0
2019-02-03,61.0025,61.8367,61.0025,61.8109,1960726.0
2019-02-04,61.9226,62.4042,61.3379,62.3182,3455865.0
2019-02-05,62.645,63.4275,62.3182,63.4103,2909510.0
2019-02-06,63.2813,63.4653,62.9975,63.3759,2249903.0
2019-02-07,62.7396,63.4533,62.645,63.4275,2392696.0
2019-02-08,62.9889,63.8747,62.7224,63.8575,1490724.0
2019-02-09,62.9889,63.8747,62.7224,63.8575,1490724.0
2019-02-10,62.9889,63.8747,62.7224,63.8575,1490724.0
2019-02-11,63.9865,64.0638,63.5178,63.6769,2058277.0
2019-02-12,64.4852,64.5067,64.038,64.3476,2495998.0
2019-02-13,64.5454,64.7432,64.3562,64.7088,2511344.0
2019-02-14,64.4078,64.9152,64.2014,64.64,1507471.0
2019-02-15,65.1215,65.3623,64.984,65.1645,2838068.0
2019-02-16,65.1215,65.3623,64.984,65.1645,2838068.0
2019-02-17,65.1215,65.3623,64.984,65.1645,2838068.0
2019-02-18,65.1215,65.3623,64.984,65.1645,2838068.0
2019-02-19,64.9668,65.0699,64.5798,64.6056,1651487.0
2019-02-20,64.3992,64.7776,64.1476,64.769,1974659.0
2019-02-21,64.6658,65.0055,64.3132,64.7948,1605723.0
2019-02-22,65.0356,65.4139,64.7346,65.2591,1731142.0
2019-02-23,65.0356,65.4139,64.7346,65.2591,1731142.0
2019-02-24,65.0356,65.4139,64.7346,65.2591,1731142.0
2019-02-25,65.7063,65.779,65.027,65.2161,1747991.0
2019-02-26,65.1301,65.6203,65.0957,65.4225,1218919.0
2019-02-27,65.1817,65.8267,65.0012,65.8009,1276553.0
2019-02-28,65.7063,66.2566,65.6117,66.2308,1924158.0
2019-03-01,66.5232,66.7038,66.248,66.5834,1952359.0
2019-03-02,66.5232,66.7038,66.248,66.5834,1952359.0
2019-03-03,66.5232,66.7038,66.248,66.5834,1952359.0
2019-03-04,66.8758,67.0736,65.0699,65.7837,2658289.0
2019-03-05,65.8955,66.4286,65.7407,66.2222,1659423.0
2019-03-06,66.3082,66.3942,65.8525,66.0589,1710925.0
2019-03-07,65.9643,66.1491,65.3709,65.5257,2599194.0
2019-03-08,65.2075,65.6934,64.5798,65.6461,1580092.0
2019-03-09,65.2075,65.6934,64.5798,65.6461,1580092.0
2019-03-10,65.2075,65.6934,64.5798,65.6461,1580092.0
2019-03-11,65.8783,66.7124,65.8009,66.6608,1727390.0
2019-03-12,66.893,67.3831,66.7038,66.85,1922646.0
2019-03-13,67.1337,67.8217,67.022,67.3057,1844624.0
2019-03-14,67.4519,67.9335,67.1836,67.9249,1567098.0
2019-03-15,67.9163,68.3978,67.7967,68.1313,2565412.0
2019-03-16,67.9163,68.3978,67.7967,68.1313,2565412.0
2019-03-17,67.9163,68.3978,67.7967,68.1313,2565412.0
2019-03-18,68.1742,68.415,67.6411,68.2086,1242653.0
2019-03-19,68.501,68.5096,67.6927,68.0281,1541745.0
2019-03-20,67.8819,68.0625,67.2025,67.4433,1795830.0
2019-03-21,67.2197,68.6128,67.1423,68.3806,1655884.0
2019-03-22,68.1828,68.372,67.4175,67.4519,2462892.0
2019-03-23,68.1828,68.372,67.4175,67.4519,2462892.0
2019-03-24,68.1828,68.372,67.4175,67.4519,2462892.0
2019-03-25,67.1939,67.7701,66.979,67.7099,1613889.0
2019-03-26,68.1914,68.9396,68.0625,68.8794,2510029.0
2019-03-27,68.1656,69.4297,66.8328,68.1571,4368395.0
2019-03-28,68.286,68.6011,67.5895,67.9765,2184259.0
2019-03-29,68.4924,69.1116,68.0711,68.9654,2738939.0
2019-03-30,68.4924,69.1116,68.0711,68.9654,2738939.0
2019-03-31,68.4924,69.1116,68.0711,68.9654,2738939.0
2019-04-01,69.4383,69.6791,68.8598,69.5931,1723538.0
2019-04-02,69.5587,69.7221,69.1288,69.6705,2425167.0
2019-04-03,70.0231,70.1607,69.3265,69.7221,2948308.0
2019-04-04,69.8769,69.9027,68.8364,69.1374,1872254.0
2019-04-05,69.3695,69.6017,69.0686,69.4297,2021742.0
2019-04-06,69.3695,69.6017,69.0686,69.4297,2021742.0
2019-04-07,69.3695,69.6017,69.0686,69.4297,2021742.0
2019-04-08,69.4211,69.5931,68.7676,69.4985,1468735.0
2019-04-09,69.2491,69.692,68.8794,69.4383,1348798.0
2019-04-10,69.3781,69.9027,69.3695,69.7737,976143.0
