,CRD/B US Equity,CRD/B US Equity,CRD/B US Equity,CRD/B US Equity,CRD/B US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,7.8669,7.9015,7.7286,7.7805,58886.0
2019-01-02,7.7286,7.8194,7.7286,7.8151,15010.0
2019-01-03,7.6171,7.6767,7.5903,7.5903,4787.0
2019-01-04,7.7113,7.841,7.6249,7.8064,13963.0
2019-01-05,7.7113,7.841,7.6249,7.8064,13963.0
2019-01-06,7.7113,7.841,7.6249,7.8064,13963.0
2019-01-07,7.7632,7.9015,7.7459,7.7805,15235.0
2019-01-08,7.8323,7.9102,7.8323,7.8583,4805.0
2019-01-09,7.8669,7.9102,7.7918,7.8064,7568.0
2019-01-10,7.7891,7.9102,7.7566,7.8496,5061.0
2019-01-11,7.8237,7.9102,7.7718,7.7805,7269.0
2019-01-12,7.8237,7.9102,7.7718,7.7805,7269.0
2019-01-13,7.8237,7.9102,7.7718,7.7805,7269.0
2019-01-14,7.8064,8.1176,7.7373,8.0485,51106.0
2019-01-15,8.0831,8.2473,8.0737,8.1522,7012.0
2019-01-16,8.2862,8.2862,7.7718,8.1781,22618.0
2019-01-17,8.1176,8.2819,8.0485,8.0485,18703.0
2019-01-18,8.0571,8.1781,8.0571,8.1609,9358.0
2019-01-19,8.0571,8.1781,8.0571,8.1609,9358.0
2019-01-20,8.0571,8.1781,8.0571,8.1609,9358.0
2019-01-21,8.0571,8.1781,8.0571,8.1609,9358.0
2019-01-22,8.0658,8.2257,8.0139,8.0571,9957.0
2019-01-23,8.1781,8.1868,8.1003,8.1868,4373.0
2019-01-24,8.1695,8.2905,8.1695,8.2905,8029.0
2019-01-25,8.2905,8.3597,8.1695,8.2127,7053.0
2019-01-26,8.2905,8.3597,8.1695,8.2127,7053.0
2019-01-27,8.2905,8.3597,8.1695,8.2127,7053.0
2019-01-28,8.1522,8.1998,8.0571,8.0571,8031.0
2019-01-29,8.1047,8.1781,8.0571,8.0571,2537.0
2019-01-30,8.1695,8.1868,8.1003,8.1868,10984.0
2019-01-31,8.1609,8.3813,8.1609,8.3424,15353.0
2019-02-01,8.351,8.619,8.351,8.619,15952.0
2019-02-02,8.351,8.619,8.351,8.619,15952.0
2019-02-03,8.351,8.619,8.351,8.619,15952.0
2019-02-04,8.6363,8.766,8.6363,8.7141,14002.0
2019-02-05,8.8957,8.8957,8.7055,8.8179,12051.0
2019-02-06,8.8179,8.9389,8.8092,8.8092,7863.0
2019-02-07,8.8438,8.887,8.6968,8.7055,8410.0
2019-02-08,8.7228,8.7314,8.3597,8.377,13639.0
2019-02-09,8.7228,8.7314,8.3597,8.377,13639.0
2019-02-10,8.7228,8.7314,8.3597,8.377,13639.0
2019-02-11,8.4548,8.4807,8.2646,8.4548,6985.0
2019-02-12,8.5153,8.6536,8.5153,8.6536,8256.0
2019-02-13,8.6623,8.6882,8.6104,8.6882,5003.0
2019-02-14,8.6363,8.7185,8.6234,8.6623,13483.0
2019-02-15,8.645,8.7314,8.645,8.6882,19878.0
2019-02-16,8.645,8.7314,8.645,8.6882,19878.0
2019-02-17,8.645,8.7314,8.645,8.6882,19878.0
2019-02-18,8.645,8.7314,8.645,8.6882,19878.0
2019-02-19,8.5758,9.0513,8.5758,9.0167,13086.0
2019-02-20,9.0513,9.0513,8.8006,8.8611,9288.0
2019-02-21,8.779,8.8179,8.7746,8.8179,9788.0
2019-02-22,8.8611,8.8611,8.1868,8.1868,123889.0
2019-02-23,8.8611,8.8611,8.1868,8.1868,123889.0
2019-02-24,8.8611,8.8611,8.1868,8.1868,123889.0
2019-02-25,8.3424,8.3424,8.2214,8.2214,14951.0
2019-02-26,8.3856,9.034,8.3856,8.8957,38378.0
2019-02-27,8.8314,8.9217,8.8314,8.8957,9182.0
2019-02-28,8.9435,9.0086,8.8783,8.9304,11825.0
2019-03-01,8.9912,9.0607,8.8957,8.9391,31369.0
2019-03-02,8.9912,9.0607,8.8957,8.9391,31369.0
2019-03-03,8.9912,9.0607,8.8957,8.9391,31369.0
2019-03-04,8.8783,9.165,8.8783,9.0607,28012.0
2019-03-05,9.1042,9.1737,9.0781,9.0781,7380.0
2019-03-06,9.1215,9.165,8.9999,8.9999,14270.0
2019-03-07,8.9826,9.0955,8.9131,8.9565,13405.0
2019-03-08,8.8349,9.1389,8.8349,9.0086,21272.0
2019-03-09,8.8349,9.1389,8.8349,9.0086,21272.0
2019-03-10,8.8349,9.1389,8.8349,9.0086,21272.0
2019-03-11,9.1042,9.1042,8.7914,8.7914,15959.0
2019-03-12,8.7914,9.0347,8.5048,8.9912,9937.0
2019-03-13,9.0607,9.0694,8.8946,8.9304,8196.0
2019-03-14,8.9391,8.9478,8.8175,8.8262,13003.0
2019-03-15,8.8175,8.8957,7.9835,8.331,136946.0
2019-03-16,8.8175,8.8957,7.9835,8.331,136946.0
2019-03-17,8.8175,8.8957,7.9835,8.331,136946.0
2019-03-18,8.4179,8.4526,8.3484,8.4266,7235.0
2019-03-19,8.4526,8.4526,8.2789,8.2789,4385.0
2019-03-20,8.2876,8.5134,8.2373,8.4787,4417.0
2019-03-21,8.5048,8.5916,8.4439,8.4874,11557.0
2019-03-22,8.3918,8.3918,8.027,8.0443,18393.0
2019-03-23,8.3918,8.3918,8.027,8.0443,18393.0
2019-03-24,8.3918,8.3918,8.027,8.0443,18393.0
2019-03-25,8.0183,8.3918,8.0183,8.2528,8116.0
2019-03-26,8.3136,8.47,8.2789,8.3397,13984.0
2019-03-27,8.2702,8.5221,8.2702,8.3658,28800.0
2019-03-28,8.1138,8.3223,8.0704,8.0878,7909.0
2019-03-29,8.1138,8.2268,7.8619,7.9314,16317.0
2019-03-30,8.1138,8.2268,7.8619,7.9314,16317.0
2019-03-31,8.1138,8.2268,7.8619,7.9314,16317.0
2019-04-01,7.914,7.9835,7.0279,7.636,57708.0
2019-04-02,7.7403,7.8967,7.6273,7.749,41025.0
2019-04-03,7.8185,7.8793,7.6968,7.7577,8971.0
2019-04-04,7.8011,7.914,7.8011,7.914,5246.0
2019-04-05,7.9401,7.9575,7.6534,7.6708,33417.0
2019-04-06,7.9401,7.9575,7.6534,7.6708,33417.0
2019-04-07,7.9401,7.9575,7.6534,7.6708,33417.0
2019-04-08,7.9053,8.0096,7.8185,7.8706,14779.0
2019-04-09,7.8532,7.9661,7.8185,7.9053,5879.0
2019-04-10,7.8967,8.1981,7.8967,8.166,8949.0
2019-04-11,8.053,8.0617,7.6013,8.027,12196.0
2019-04-12,7.888,8.0617,7.7229,7.749,16192.0
2019-04-13,7.888,8.0617,7.7229,7.749,16192.0
2019-04-14,7.888,8.0617,7.7229,7.749,16192.0
2019-04-15,7.762,7.762,7.5231,7.636,18152.0
2019-04-16,7.636,7.8054,7.5883,7.6795,13571.0
2019-04-17,7.7316,7.781,7.471,7.5579,35350.0
