,CAR US Equity,CAR US Equity,CAR US Equity,CAR US Equity,CAR US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,22.4795,22.5935,20.9024,21.3584,2115711.0
2019-01-02,20.9879,21.9,20.5983,21.5769,1314801.0
2019-01-03,21.3964,21.3964,20.5499,20.6933,2917457.0
2019-01-04,21.0734,22.4843,20.6363,21.976,2712125.0
2019-01-05,21.0734,22.4843,20.6363,21.976,2712125.0
2019-01-06,21.0734,22.4843,20.6363,21.976,2712125.0
2019-01-07,22.052,22.8216,21.6814,22.7361,1273328.0
2019-01-08,23.0211,23.4486,22.7171,22.9071,1033750.0
2019-01-09,22.9546,24.0187,22.8406,23.8097,1022049.0
2019-01-10,23.6957,24.5508,23.3441,24.2942,1134390.0
2019-01-11,24.1707,24.994,23.8952,24.7123,1488313.0
2019-01-12,24.1707,24.994,23.8952,24.7123,1488313.0
2019-01-13,24.1707,24.994,23.8952,24.7123,1488313.0
2019-01-14,24.3037,25.0876,23.9902,24.7408,751291.0
2019-01-15,24.8073,24.8073,23.9712,24.4273,1008949.0
2019-01-16,24.3892,25.0828,24.3892,24.5223,911320.0
2019-01-17,24.3892,25.1683,24.3227,25.0068,1276878.0
2019-01-18,25.1683,25.9569,25.1588,25.6529,1094596.0
2019-01-19,25.1683,25.9569,25.1588,25.6529,1094596.0
2019-01-20,25.1683,25.9569,25.1588,25.6529,1094596.0
2019-01-21,25.1683,25.9569,25.1588,25.6529,1094596.0
2019-01-22,25.3869,25.6244,23.8572,24.0852,2323901.0
2019-01-23,24.1707,24.546,22.9166,23.1161,2269815.0
2019-01-24,23.1256,24.1802,22.9831,23.8667,1261882.0
2019-01-25,24.0757,25.4676,24.0282,24.9213,1494319.0
2019-01-26,24.0757,25.4676,24.0282,24.9213,1494319.0
2019-01-27,24.0757,25.4676,24.0282,24.9213,1494319.0
2019-01-28,24.5033,24.9973,24.1802,24.8738,783526.0
2019-01-29,25.2063,25.3109,24.4938,24.7313,747505.0
2019-01-30,24.9213,25.4819,24.5223,25.4154,606797.0
2019-01-31,25.4439,25.6576,24.9783,25.3109,1860243.0
2019-02-01,25.2633,25.6244,25.2063,25.2823,633381.0
2019-02-02,25.2633,25.6244,25.2063,25.2823,633381.0
2019-02-03,25.2633,25.6244,25.2063,25.2823,633381.0
2019-02-04,25.2728,25.5104,24.7788,25.0733,897237.0
2019-02-05,25.1208,25.5674,24.9023,25.3489,1220970.0
2019-02-06,25.2538,25.5769,25.0914,25.2158,736336.0
2019-02-07,25.0163,25.1873,24.3322,24.8168,1121691.0
2019-02-08,24.6268,24.8358,23.8762,24.3987,694363.0
2019-02-09,24.6268,24.8358,23.8762,24.3987,694363.0
2019-02-10,24.6268,24.8358,23.8762,24.3987,694363.0
2019-02-11,26.28,26.9735,25.6719,26.204,5071549.0
2019-02-12,26.432,26.7645,25.8287,26.2325,1465457.0
2019-02-13,26.299,26.907,26.1374,26.1469,976109.0
2019-02-14,25.9664,26.755,25.7669,26.622,1992592.0
2019-02-15,26.9165,27.5341,26.6505,27.2586,1499672.0
2019-02-16,26.9165,27.5341,26.6505,27.2586,1499672.0
2019-02-17,26.9165,27.5341,26.6505,27.2586,1499672.0
2019-02-18,26.9165,27.5341,26.6505,27.2586,1499672.0
2019-02-19,27.4106,28.3512,27.3156,28.1042,2334950.0
2019-02-20,28.1042,28.2609,27.5056,27.9426,2849988.0
2019-02-21,32.2276,33.0257,30.6885,32.7312,21750131.0
2019-02-22,32.7217,33.7098,32.4272,33.5673,10784205.0
2019-02-23,32.7217,33.7098,32.4272,33.5673,10784205.0
2019-02-24,32.7217,33.7098,32.4272,33.5673,10784205.0
2019-02-25,33.7288,34.2799,33.2409,33.5293,2598172.0
2019-02-26,33.7288,34.3654,32.5887,33.6718,2900139.0
2019-02-27,33.5958,34.8283,33.5958,34.1468,2407836.0
2019-02-28,33.9853,34.3654,33.5673,34.0328,2815984.0
2019-03-01,34.4699,35.287,34.0423,34.4699,1211704.0
2019-03-02,34.4699,35.287,34.0423,34.4699,1211704.0
2019-03-03,34.4699,35.287,34.0423,34.4699,1211704.0
2019-03-04,34.5364,35.0019,34.2799,34.6599,1049178.0
2019-03-05,34.4414,34.4414,33.5103,33.7858,1434414.0
2019-03-06,33.6813,33.8238,33.0495,33.2157,1167698.0
2019-03-07,33.0922,33.1587,32.0851,32.8262,1774498.0
2019-03-08,32.4937,32.6742,32.0994,32.5697,951990.0
2019-03-09,32.4937,32.6742,32.0994,32.5697,951990.0
2019-03-10,32.4937,32.6742,32.0994,32.5697,951990.0
2019-03-11,32.4842,32.8167,32.2181,32.5887,1435138.0
2019-03-12,32.7122,33.0067,32.1136,32.8357,951185.0
2019-03-13,32.8832,33.3488,32.8262,33.1777,1110344.0
2019-03-14,33.2347,33.3203,32.7312,32.9877,942825.0
2019-03-15,33.0542,33.6148,32.8595,33.0827,2044089.0
2019-03-16,33.0542,33.6148,32.8595,33.0827,2044089.0
2019-03-17,33.0542,33.6148,32.8595,33.0827,2044089.0
2019-03-18,33.3108,33.9473,33.1492,33.4153,1025471.0
2019-03-19,33.4533,33.8618,32.7502,33.0732,1092721.0
2019-03-20,32.9402,33.2347,32.1801,32.7692,660672.0
2019-03-21,32.6457,33.9758,32.6457,33.7003,1304050.0
2019-03-22,33.4058,33.4628,31.2775,31.5721,1411651.0
2019-03-23,33.4058,33.4628,31.2775,31.5721,1411651.0
2019-03-24,33.4058,33.4628,31.2775,31.5721,1411651.0
2019-03-25,31.5531,32.1896,31.306,31.6576,1119520.0
2019-03-26,31.8476,32.4747,31.6861,32.3036,745042.0
2019-03-27,32.3036,32.6932,31.9806,32.3606,786461.0
2019-03-28,32.3986,33.0257,32.1516,32.5412,904556.0
2019-03-29,32.7977,33.2917,32.6742,33.1207,1087078.0
2019-03-30,32.7977,33.2917,32.6742,33.1207,1087078.0
2019-03-31,32.7977,33.2917,32.6742,33.1207,1087078.0
2019-04-01,33.2727,34.2989,33.2157,33.9758,1305056.0
2019-04-02,34.0233,34.1944,33.4248,33.4913,742179.0
2019-04-03,33.8523,34.4794,32.9877,33.3013,1094918.0
2019-04-04,33.3678,33.8903,33.3203,33.5198,852773.0
2019-04-05,33.6243,33.9378,33.0732,33.2347,806962.0
2019-04-06,33.6243,33.9378,33.0732,33.2347,806962.0
2019-04-07,33.6243,33.9378,33.0732,33.2347,806962.0
2019-04-08,33.0637,33.166,32.5554,32.7407,993302.0
2019-04-09,32.5222,32.6728,31.8001,32.6077,1100790.0
2019-04-10,32.7312,33.3393,32.2086,33.0447,856181.0
2019-04-11,33.0637,33.9146,33.0637,33.8333,1206714.0
2019-04-12,34.0803,35.3914,34.0043,34.3084,1390415.0
2019-04-13,34.0803,35.3914,34.0043,34.3084,1390415.0
2019-04-14,34.0803,35.3914,34.0043,34.3084,1390415.0
2019-04-15,34.2894,34.4129,33.0922,33.6338,978660.0
2019-04-16,33.6718,34.0043,33.0685,33.3108,843789.0
2019-04-17,33.5958,33.8903,33.3963,33.6528,672484.0
2019-04-18,33.6433,33.9901,33.3678,33.6148,521627.0
2019-04-19,33.6433,33.9901,33.3678,33.6148,521627.0
2019-04-20,33.6433,33.9901,33.3678,33.6148,521627.0
2019-04-21,33.6433,33.9901,33.3678,33.6148,521627.0
2019-04-22,33.5388,34.0898,33.3999,34.0138,822747.0
2019-04-23,34.1753,35.0114,33.9568,34.3844,1319657.0
2019-04-24,34.5554,35.0875,34.2799,34.8594,758521.0
2019-04-25,34.7359,34.7739,33.4533,34.0233,741163.0
2019-04-26,34.0423,34.7644,34.0043,34.7264,635088.0
2019-04-27,34.0423,34.7644,34.0043,34.7264,635088.0
2019-04-28,34.0423,34.7644,34.0043,34.7264,635088.0
2019-04-29,34.8309,34.9259,34.2134,34.4604,1132319.0
2019-04-30,34.3749,34.6979,33.4153,33.7763,953027.0
2019-05-01,33.7098,34.2324,33.1587,33.2537,1809231.0
2019-05-02,32.0281,35.1808,31.1255,34.3084,3079356.0
2019-05-03,34.9259,35.4105,34.3844,35.2965,2019813.0
2019-05-04,34.9259,35.4105,34.3844,35.2965,2019813.0
2019-05-05,34.9259,35.4105,34.3844,35.2965,2019813.0
2019-05-06,34.5934,35.344,34.1468,34.8784,1292315.0
2019-05-07,34.4984,34.6409,32.7692,33.1207,1789703.0
2019-05-08,32.8642,33.5388,32.5412,32.5602,899485.0
2019-05-09,32.2656,32.9782,31.6671,32.9212,764640.0
2019-05-10,32.5507,32.5887,31.42,32.2846,737438.0
2019-05-11,32.5507,32.5887,31.42,32.2846,737438.0
2019-05-12,32.5507,32.5887,31.42,32.2846,737438.0
2019-05-13,31.363,31.5911,30.888,31.4295,832043.0
2019-05-14,31.6006,32.0186,31.439,31.5721,660600.0
2019-05-15,31.059,31.5341,30.5934,31.306,568506.0
2019-05-16,31.3725,31.7621,31.078,31.1825,838913.0
2019-05-17,30.907,31.4295,29.9569,29.9854,1041667.0
2019-05-18,30.907,31.4295,29.9569,29.9854,1041667.0
2019-05-19,30.907,31.4295,29.9569,29.9854,1041667.0
2019-05-20,29.6148,30.0804,29.4248,29.8809,761328.0
2019-05-21,30.1564,30.3084,29.7574,29.8619,568870.0
2019-05-22,29.5293,29.8904,28.5697,28.7977,927794.0
2019-05-23,28.4937,28.8215,27.9807,28.4177,851264.0
2019-05-24,28.6647,28.7407,27.8381,28.3417,856127.0
2019-05-25,28.6647,28.7407,27.8381,28.3417,856127.0
2019-05-26,28.6647,28.7407,27.8381,28.3417,856127.0
2019-05-27,28.6647,28.7407,27.8381,28.3417,856127.0
2019-05-28,28.2942,28.8215,28.193,28.3132,1142146.0
2019-05-29,28.0852,28.5412,27.8096,28.4272,1294874.0
2019-05-30,28.5507,28.6362,27.078,27.3631,1135419.0
2019-05-31,26.964,27.7051,26.8435,26.945,1286708.0
2019-06-01,26.964,27.7051,26.8435,26.945,1286708.0
2019-06-02,26.964,27.7051,26.8435,26.945,1286708.0
2019-06-03,26.964,27.4201,26.7455,27.0971,1293362.0
2019-06-04,27.5151,28.8357,27.5151,28.7502,1091743.0
2019-06-05,28.8928,29.0163,28.3227,28.8072,630795.0
2019-06-06,28.7217,28.9593,27.9699,28.2182,1041843.0
2019-06-07,28.3607,28.7502,28.1754,28.3132,968944.0
2019-06-08,28.3607,28.7502,28.1754,28.3132,968944.0
2019-06-09,28.3607,28.7502,28.1754,28.3132,968944.0
2019-06-10,28.6077,29.3583,28.3987,28.8833,743553.0
2019-06-11,29.3393,29.7479,29.0258,29.0828,560353.0
2019-06-12,28.8833,29.3298,28.755,29.1493,778685.0
2019-06-13,28.8167,31.458,28.8167,31.0305,2844783.0
2019-06-14,30.945,31.6101,30.4509,31.5816,1453251.0
2019-06-15,30.945,31.6101,30.4509,31.5816,1453251.0
2019-06-16,30.945,31.6101,30.4509,31.5816,1453251.0
2019-06-17,31.42,31.9616,31.1635,31.7526,971075.0
2019-06-18,31.9331,33.0732,31.8571,32.7027,1467467.0
2019-06-19,32.8357,33.0827,32.3986,32.8832,920332.0
2019-06-20,33.4153,33.6813,32.8072,33.0352,858079.0
