,OBK US Equity,OBK US Equity,OBK US Equity,OBK US Equity,OBK US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,35.0821,35.5878,34.7825,35.438,38351.0
2020-01-02,35.3443,35.3443,34.5202,34.8011,33723.0
2020-01-03,34.4359,34.7824,34.2017,34.7356,25758.0
2020-01-04,34.4359,34.7824,34.2017,34.7356,25758.0
2020-01-05,34.4359,34.7824,34.2017,34.7356,25758.0
2020-01-06,34.3422,34.951,34.2298,34.5576,39893.0
2020-01-07,34.5108,35.0072,34.5108,34.8198,26279.0
2020-01-08,34.8386,35.0914,34.5295,34.8105,38059.0
2020-01-09,34.7543,34.9791,34.7543,34.8948,39087.0
2020-01-10,34.7918,35.0259,34.6513,34.7449,54768.0
2020-01-11,34.7918,35.0259,34.6513,34.7449,54768.0
2020-01-12,34.7918,35.0259,34.6513,34.7449,54768.0
2020-01-13,34.7449,35.1476,33.7148,35.0259,46629.0
2020-01-14,34.876,34.876,34.1456,34.2298,48914.0
2020-01-15,34.1643,34.4546,33.7616,34.1456,40801.0
2020-01-16,34.4359,34.6981,34.3703,34.6138,23245.0
2020-01-17,34.8854,34.8854,34.2954,34.3422,26055.0
2020-01-18,34.8854,34.8854,34.2954,34.3422,26055.0
2020-01-19,34.8854,34.8854,34.2954,34.3422,26055.0
2020-01-20,34.8854,34.8854,34.2954,34.3422,26055.0
2020-01-21,33.8552,34.1362,33.7054,33.8084,38459.0
2020-01-22,34.0425,34.1268,33.5783,33.9582,35136.0
2020-01-23,32.9,33.5649,30.9146,33.3308,51486.0
2020-01-24,33.1622,33.2465,32.7408,33.0217,42281.0
2020-01-25,33.1622,33.2465,32.7408,33.0217,42281.0
2020-01-26,33.1622,33.2465,32.7408,33.0217,42281.0
2020-01-27,32.5347,33.4806,32.5347,33.2465,30373.0
2020-01-28,33.4432,33.6913,33.2465,33.2933,32344.0
2020-01-29,33.2933,33.5462,33.2465,33.2652,40334.0
2020-01-30,33.2465,33.4806,33.0311,33.4338,28895.0
2020-01-31,33.2559,33.4713,32.9281,33.003,60321.0
2020-02-01,33.2559,33.4713,32.9281,33.003,60321.0
2020-02-02,33.2559,33.4713,32.9281,33.003,60321.0
2020-02-03,33.1528,33.3589,33.0592,33.312,22402.0
2020-02-04,33.6773,33.7148,33.3214,33.387,21113.0
2020-02-05,33.7054,34.3516,33.6492,34.1081,24986.0
2020-02-06,34.183,34.183,33.49,33.5743,21783.0
2020-02-07,33.5555,33.6492,33.2371,33.4244,17436.0
2020-02-08,33.5555,33.6492,33.2371,33.4244,17436.0
2020-02-09,33.5555,33.6492,33.2371,33.4244,17436.0
2020-02-10,33.209,33.6773,33.209,33.6117,15548.0
2020-02-11,33.6679,34.0051,33.3776,33.6398,23267.0
2020-02-12,33.7616,34.08,33.387,33.4994,9714.0
2020-02-13,33.4548,33.8209,33.1167,33.774,12808.0
2020-02-14,33.7834,34.0181,33.1684,33.2951,18386.0
2020-02-15,33.7834,34.0181,33.1684,33.2951,18386.0
2020-02-16,33.7834,34.0181,33.1684,33.2951,18386.0
2020-02-17,33.7834,34.0181,33.1684,33.2951,18386.0
2020-02-18,33.2388,33.4829,32.9688,33.1355,7077.0
2020-02-19,33.1918,33.389,32.7396,32.9196,22297.0
2020-02-20,32.9102,33.4078,32.6848,33.1918,19088.0
2020-02-21,33.267,33.5815,33.0745,33.4172,18096.0
2020-02-22,33.267,33.5815,33.0745,33.4172,18096.0
2020-02-23,33.267,33.5815,33.0745,33.4172,18096.0
2020-02-24,32.7881,33.6613,32.544,32.9947,38250.0
2020-02-25,33.0041,33.098,31.3609,31.5487,40358.0
2020-02-26,31.7177,31.9994,29.9619,30.76,39837.0
2020-02-27,30.5252,31.3327,28.9478,28.9478,30107.0
2020-02-28,28.3657,30.2811,27.361,28.3938,55957.0
2020-02-29,28.3657,30.2811,27.361,28.3938,55957.0
2020-03-01,28.3657,30.2811,27.361,28.3938,55957.0
2020-03-02,28.2342,29.544,27.8868,29.314,40004.0
2020-03-03,29.314,29.7647,27.483,28.5628,116747.0
2020-03-04,28.8163,29.0135,28.3515,28.6379,108953.0
2020-03-05,28.5159,28.5159,26.9948,27.4549,55775.0
2020-03-06,26.6098,26.8915,25.5864,26.7131,32691.0
2020-03-07,26.6098,26.8915,25.5864,26.7131,32691.0
2020-03-08,26.6098,26.8915,25.5864,26.7131,32691.0
2020-03-09,25.0418,26.1466,23.6662,24.0183,60574.0
2020-03-10,24.469,24.9197,21.0888,23.3423,116271.0
2020-03-11,22.6944,23.5958,22.6193,23.0136,44359.0
2020-03-12,21.6522,22.5348,20.6287,20.9667,89910.0
2020-03-13,21.9526,22.7132,21.5301,22.7132,108763.0
2020-03-14,21.9526,22.7132,21.5301,22.7132,108763.0
2020-03-15,21.9526,22.7132,21.5301,22.7132,108763.0
2020-03-16,20.6569,23.4174,19.4081,19.8588,79032.0
2020-03-17,19.9621,21.6428,19.5771,19.7179,215588.0
2020-03-18,18.6663,19.3611,16.2345,18.009,57594.0
2020-03-19,17.8964,21.5113,15.657,20.6944,107234.0
2020-03-20,20.7038,20.7038,17.6241,17.9809,92097.0
2020-03-21,20.7038,20.7038,17.6241,17.9809,92097.0
2020-03-22,20.7038,20.7038,17.6241,17.9809,92097.0
2020-03-23,18.0748,19.1264,16.7602,17.9997,64323.0
2020-03-24,18.5255,19.117,18.225,18.3095,122228.0
2020-03-25,17.9903,18.9949,17.9903,18.394,59979.0
2020-03-26,18.5536,19.1827,18.4558,19.0701,81354.0
2020-03-27,18.3001,19.2485,17.9151,18.0935,33907.0
2020-03-28,18.3001,19.2485,17.9151,18.0935,33907.0
2020-03-29,18.3001,19.2485,17.9151,18.0935,33907.0
2020-03-30,18.1968,18.7696,17.84,18.1968,111555.0
2020-03-31,18.1123,19.9198,17.887,19.0137,96420.0
2020-04-01,18.225,19.6945,17.9809,18.1687,67202.0
2020-04-02,18.1311,18.7978,18.0748,18.3095,110466.0
2020-04-03,18.3752,19.4362,18.009,18.4128,43513.0
2020-04-04,18.3752,19.4362,18.009,18.4128,43513.0
2020-04-05,18.3752,19.4362,18.009,18.4128,43513.0
2020-04-06,18.779,21.0043,18.1874,18.8541,83754.0
2020-04-07,18.779,19.4832,18.3283,18.7039,55869.0
2020-04-08,18.779,19.3567,18.5536,19.2015,52413.0
2020-04-09,19.0137,20.6944,19.0137,20.4785,83893.0
2020-04-10,19.0137,20.6944,19.0137,20.4785,83893.0
2020-04-11,19.0137,20.6944,19.0137,20.4785,83893.0
2020-04-12,19.0137,20.6944,19.0137,20.4785,83893.0
2020-04-13,20.2719,20.6569,19.3799,20.1874,53664.0
2020-04-14,20.1874,20.2015,19.6381,19.8963,50488.0
2020-04-15,19.1546,19.9808,18.9292,18.9386,62337.0
2020-04-16,18.8165,18.8165,16.5725,17.3424,73990.0
2020-04-17,17.8682,19.6522,17.8682,19.3423,71330.0
2020-04-18,17.8682,19.6522,17.8682,19.3423,71330.0
2020-04-19,17.8682,19.6522,17.8682,19.3423,71330.0
2020-04-20,18.7696,20.4034,17.9715,18.3658,44272.0
2020-04-21,17.671,19.7416,17.671,18.2532,30947.0
2020-04-22,18.5912,19.0043,18.2156,18.4503,36906.0
2020-04-23,18.4503,19.5771,18.2156,19.0137,65755.0
2020-04-24,18.8259,18.8259,18.1687,18.4128,26167.0
2020-04-25,18.8259,18.8259,18.1687,18.4128,26167.0
2020-04-26,18.8259,18.8259,18.1687,18.4128,26167.0
