,H US Equity,H US Equity,H US Equity,H US Equity,H US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,89.3916,89.8086,88.8258,89.0541,399967.0
2020-01-02,89.4313,89.9078,88.1905,88.5181,519267.0
2020-01-03,87.6247,88.4089,87.4559,88.25,460110.0
2020-01-04,87.6247,88.4089,87.4559,88.25,460110.0
2020-01-05,87.6247,88.4089,87.4559,88.25,460110.0
2020-01-06,87.4559,87.709,86.6816,86.9496,806725.0
2020-01-07,86.6617,87.307,85.7584,85.9073,779327.0
2020-01-08,85.8378,87.446,85.5226,87.0092,571473.0
2020-01-09,87.6147,87.7934,86.5823,86.7114,515442.0
2020-01-10,86.6915,86.6915,85.1529,85.4308,670118.0
2020-01-11,86.6915,86.6915,85.1529,85.4308,670118.0
2020-01-12,86.6915,86.6915,85.1529,85.4308,670118.0
2020-01-13,85.5797,86.22,85.3812,85.9272,274064.0
2020-01-14,85.7783,86.632,85.7187,86.1257,434258.0
2020-01-15,85.9669,86.5823,85.4755,85.5996,323201.0
2020-01-16,86.0364,87.0588,86.0364,86.9298,467264.0
2020-01-17,87.2474,88.1508,87.1581,87.5452,356474.0
2020-01-18,87.2474,88.1508,87.1581,87.5452,356474.0
2020-01-19,87.2474,88.1508,87.1581,87.5452,356474.0
2020-01-20,87.2474,88.1508,87.1581,87.5452,356474.0
2020-01-21,86.5426,86.7561,84.7161,85.1429,801719.0
2020-01-22,85.4606,87.1779,85.2918,85.3713,689862.0
2020-01-23,84.3786,85.4804,83.5149,85.1628,679295.0
2020-01-24,85.3018,85.3713,82.7704,83.5844,599259.0
2020-01-25,85.3018,85.3713,82.7704,83.5844,599259.0
2020-01-26,85.3018,85.3713,82.7704,83.5844,599259.0
2020-01-27,80.5666,83.4256,80.5666,82.9987,1112674.0
2020-01-28,83.6043,84.3786,83.3462,84.1403,732237.0
2020-01-29,84.4778,85.3464,84.2297,84.7161,391133.0
2020-01-30,83.4454,85.3216,83.2866,85.2918,979554.0
2020-01-31,84.9245,85.0536,83.6738,83.9219,1055145.0
2020-02-01,84.9245,85.0536,83.6738,83.9219,1055145.0
2020-02-02,84.9245,85.0536,83.6738,83.9219,1055145.0
2020-02-03,84.5076,86.5002,84.5076,85.3216,942467.0
2020-02-04,86.8504,88.2302,86.7709,87.3864,715876.0
2020-02-05,88.4287,89.481,87.9423,89.481,932354.0
2020-02-06,89.9873,89.9873,88.0614,88.3195,529337.0
2020-02-07,87.5849,88.1309,86.9496,87.3666,972381.0
2020-02-08,87.5849,88.1309,86.9496,87.3666,972381.0
2020-02-09,87.5849,88.1309,86.9496,87.3666,972381.0
2020-02-10,86.8504,88.0813,86.3689,88.0515,1064833.0
2020-02-11,88.6173,90.0965,87.6743,87.8331,516094.0
2020-02-12,88.2997,89.074,87.7537,88.3295,512065.0
2020-02-13,87.4658,88.0714,86.9,87.1085,406279.0
2020-02-14,87.2574,87.6495,86.3739,87.2971,369185.0
2020-02-15,87.2574,87.6495,86.3739,87.2971,369185.0
2020-02-16,87.2574,87.6495,86.3739,87.2971,369185.0
2020-02-17,87.2574,87.6495,86.3739,87.2971,369185.0
2020-02-18,87.3963,88.1607,87.3368,88.0317,816143.0
2020-02-19,88.0217,89.9773,87.9324,89.2824,747669.0
2020-02-20,89.342,94.2856,88.6573,92.1811,1343736.0
2020-02-21,90.9402,91.377,89.5803,91.0891,771738.0
2020-02-22,90.9402,91.377,89.5803,91.0891,771738.0
2020-02-23,90.9402,91.377,89.5803,91.0891,771738.0
2020-02-24,85.7981,86.2647,83.6837,85.1628,1511492.0
2020-02-25,85.5508,85.5508,78.7549,79.7499,1729085.0
2020-02-26,80.0882,81.4912,78.2972,79.0534,1402320.0
2020-02-27,77.3619,81.2524,74.5261,76.4365,1401262.0
2020-02-28,74.3769,77.3917,74.1281,76.2176,1456444.0
2020-02-29,74.3769,77.3917,74.1281,76.2176,1456444.0
2020-03-01,74.3769,77.3917,74.1281,76.2176,1456444.0
2020-03-02,76.735,77.2723,72.755,76.6554,1419544.0
2020-03-03,76.3271,76.5261,72.4565,74.1779,1694560.0
2020-03-04,75.5112,75.9689,72.0685,75.1231,1515908.0
2020-03-05,72.2874,72.556,68.0586,69.3123,2061978.0
2020-03-06,66.8049,71.2028,66.3074,68.8745,1502759.0
2020-03-07,66.8049,71.2028,66.3074,68.8745,1502759.0
2020-03-08,66.8049,71.2028,66.3074,68.8745,1502759.0
2020-03-09,63.8497,65.4914,62.2875,63.4318,1718867.0
2020-03-10,65.6009,68.0586,63.382,66.5263,1567472.0
2020-03-11,64.178,64.6059,59.8697,60.7055,2556838.0
2020-03-12,51.6708,56.0588,50.9942,51.9991,3074147.0
2020-03-13,55.611,55.611,51.1932,54.7752,1640939.0
2020-03-14,55.611,55.611,51.1932,54.7752,1640939.0
2020-03-15,55.611,55.611,51.1932,54.7752,1640939.0
2020-03-16,43.7903,52.9842,43.7903,49.3624,2392390.0
2020-03-17,50.5763,50.6758,42.5963,44.9047,4278455.0
2020-03-18,40.2978,40.6759,23.9001,36.3775,4375272.0
2020-03-19,34.9944,41.2823,30.9249,39.5914,4448338.0
2020-03-20,41.5018,49.6808,41.4023,46.4868,3830024.0
2020-03-21,41.5018,49.6808,41.4023,46.4868,3830024.0
2020-03-22,41.5018,49.6808,41.4023,46.4868,3830024.0
2020-03-23,46.0987,49.2529,43.8003,47.2529,2580538.0
2020-03-24,51.8399,52.616,47.1734,48.4171,2546978.0
2020-03-25,51.2429,54.6658,46.4569,51.6011,2986467.0
2020-03-26,53.1633,57.1134,49.2728,50.9345,2022630.0
2020-03-27,48.8947,49.6907,46.5266,48.8947,903262.0
2020-03-28,48.8947,49.6907,46.5266,48.8947,903262.0
2020-03-29,48.8947,49.6907,46.5266,48.8947,903262.0
2020-03-30,47.3624,48.8697,44.2978,48.3077,1136294.0
2020-03-31,47.9395,50.9245,47.3226,47.6609,1206414.0
2020-04-01,44.7754,45.3774,41.9496,43.4222,1510497.0
2020-04-02,42.1884,45.7206,39.8003,39.9496,2283016.0
2020-04-03,40.5366,40.6858,35.9397,39.7207,2991431.0
2020-04-04,40.5366,40.6858,35.9397,39.7207,2991431.0
2020-04-05,40.5366,40.6858,35.9397,39.7207,2991431.0
2020-04-06,43.253,46.5614,42.6869,46.2181,2641358.0
2020-04-07,50.8449,53.9195,47.2728,48.5863,3529377.0
2020-04-08,49.5315,51.7305,48.7753,51.1434,2355975.0
2020-04-09,54.1782,56.3871,51.8399,52.8946,1742021.0
2020-04-10,54.1782,56.3871,51.8399,52.8946,1742021.0
2020-04-11,54.1782,56.3871,51.8399,52.8946,1742021.0
2020-04-12,54.1782,56.3871,51.8399,52.8946,1742021.0
2020-04-13,52.7553,52.8051,49.7703,51.5016,1375579.0
2020-04-14,53.0439,54.815,52.0091,54.4369,1296115.0
2020-04-15,52.1086,55.5911,51.4745,53.83,1760727.0
2020-04-16,53.2528,54.1185,51.4021,53.6807,1406984.0
2020-04-17,56.1881,57.0239,54.9941,56.7752,1524792.0
2020-04-18,56.1881,57.0239,54.9941,56.7752,1524792.0
2020-04-19,56.1881,57.0239,54.9941,56.7752,1524792.0
2020-04-20,54.9344,56.3473,54.218,54.4469,1163661.0
2020-04-21,52.3673,55.3175,52.2877,55.0737,1735259.0
