,PFS US Equity,PFS US Equity,PFS US Equity,PFS US Equity,PFS US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,19.9107,20.072,19.8785,19.8785,256654.0
2020-01-02,20.0317,20.0317,19.6123,19.7252,193527.0
2020-01-03,19.7898,19.9672,19.5478,19.7575,355158.0
2020-01-04,19.7898,19.9672,19.5478,19.7575,355158.0
2020-01-05,19.7898,19.9672,19.5478,19.7575,355158.0
2020-01-06,19.5398,19.7091,19.5156,19.5559,228099.0
2020-01-07,19.5156,19.6446,19.4027,19.4511,189446.0
2020-01-08,19.4269,19.7817,19.3946,19.6849,294016.0
2020-01-09,19.7656,19.7978,19.4591,19.4752,235545.0
2020-01-10,19.4349,19.5398,19.3946,19.4672,191888.0
2020-01-11,19.4349,19.5398,19.3946,19.4672,191888.0
2020-01-12,19.4349,19.5398,19.3946,19.4672,191888.0
2020-01-13,19.4107,19.5478,19.4027,19.5317,135146.0
2020-01-14,19.5236,19.693,19.4188,19.6607,208433.0
2020-01-15,19.5881,19.7172,19.4752,19.564,121142.0
2020-01-16,19.6849,19.8139,19.6446,19.7252,119362.0
2020-01-17,19.8301,19.8543,19.6607,19.701,126332.0
2020-01-18,19.8301,19.8543,19.6607,19.701,126332.0
2020-01-19,19.8301,19.8543,19.6607,19.701,126332.0
2020-01-20,19.8301,19.8543,19.6607,19.701,126332.0
2020-01-21,19.6043,19.701,19.4349,19.4833,114810.0
2020-01-22,19.5478,19.5559,19.3946,19.4027,85886.0
2020-01-23,19.3865,19.5236,19.2333,19.5075,265585.0
2020-01-24,19.5559,19.5559,19.1365,19.2817,146137.0
2020-01-25,19.5559,19.5559,19.1365,19.2817,146137.0
2020-01-26,19.5559,19.5559,19.1365,19.2817,146137.0
2020-01-27,19.1043,19.1446,18.9995,19.0075,130369.0
2020-01-28,19.1043,19.1849,18.9511,19.0236,114877.0
2020-01-29,19.0478,19.0882,18.814,18.8301,144807.0
2020-01-30,18.6769,19.0156,18.6446,18.9995,157431.0
2020-01-31,18.8059,18.8382,18.185,18.3946,397771.0
2020-02-01,18.8059,18.8382,18.185,18.3946,397771.0
2020-02-02,18.8059,18.8382,18.185,18.3946,397771.0
2020-02-03,18.4833,18.814,18.4753,18.6769,254837.0
2020-02-04,18.8704,18.9833,18.7414,18.7898,192834.0
2020-02-05,18.9672,18.9833,18.7253,18.9269,213460.0
2020-02-06,18.9995,18.9995,18.7374,18.7656,181224.0
2020-02-07,18.7172,18.7978,18.6446,18.7817,315364.0
2020-02-08,18.7172,18.7978,18.6446,18.7817,315364.0
2020-02-09,18.7172,18.7978,18.6446,18.7817,315364.0
2020-02-10,18.7172,18.7817,18.4829,18.5075,175942.0
2020-02-11,18.6124,18.7495,18.4995,18.5398,162812.0
2020-02-12,18.6688,18.7091,18.5801,18.6769,193975.0
2020-02-13,18.571,18.8887,18.571,18.8724,123452.0
2020-02-14,18.7991,18.8887,18.571,18.7013,139074.0
2020-02-15,18.7991,18.8887,18.571,18.7013,139074.0
2020-02-16,18.7991,18.8887,18.571,18.7013,139074.0
2020-02-17,18.7991,18.8887,18.571,18.7013,139074.0
2020-02-18,18.685,18.7095,18.5466,18.6443,121643.0
2020-02-19,18.7013,18.7095,18.5547,18.6117,165272.0
2020-02-20,18.571,18.7013,18.4651,18.5954,213112.0
2020-02-21,18.6362,18.7095,18.571,18.571,220537.0
2020-02-22,18.6362,18.7095,18.571,18.571,220537.0
2020-02-23,18.6362,18.7095,18.571,18.571,220537.0
2020-02-24,18.1474,18.4407,18.066,18.3429,226960.0
2020-02-25,18.3348,18.3348,17.7239,17.8135,247230.0
2020-02-26,17.8949,18.0578,17.5447,17.5528,229035.0
2020-02-27,17.2922,17.504,16.8361,16.8361,296941.0
2020-02-28,16.5266,16.7953,16.0378,16.2741,524268.0
2020-02-29,16.5266,16.7953,16.0378,16.2741,524268.0
2020-03-01,16.5266,16.7953,16.0378,16.2741,524268.0
2020-03-02,16.2496,17.0886,16.1682,17.0478,199661.0
2020-03-03,16.9664,17.1945,16.4207,16.7953,327423.0
2020-03-04,16.9745,17.0723,16.437,16.942,180647.0
2020-03-05,16.5673,16.5754,15.9482,16.1112,530257.0
2020-03-06,15.5817,16.2741,15.3129,16.0541,323539.0
2020-03-07,15.5817,16.2741,15.3129,16.0541,323539.0
2020-03-08,15.5817,16.2741,15.3129,16.0541,323539.0
2020-03-09,14.8649,15.2152,14.1726,14.2459,267639.0
2020-03-10,14.6206,14.8161,13.6757,14.1237,346468.0
2020-03-11,13.7409,13.8468,13.1137,13.2603,298052.0
2020-03-12,12.1363,12.3318,10.7801,10.996,892328.0
2020-03-13,11.672,12.0386,10.8738,12.0386,902504.0
2020-03-14,11.672,12.0386,10.8738,12.0386,902504.0
2020-03-15,11.672,12.0386,10.8738,12.0386,902504.0
2020-03-16,10.5887,11.2403,10.0267,10.0349,398642.0
2020-03-17,10.043,10.6946,9.9371,10.662,747334.0
2020-03-18,9.9778,10.3688,7.7868,7.8927,525070.0
2020-03-19,7.689,8.9108,7.3714,8.5606,838729.0
2020-03-20,8.5687,8.6828,7.9578,8.4954,794160.0
2020-03-21,8.5687,8.6828,7.9578,8.4954,794160.0
2020-03-22,8.5687,8.6828,7.9578,8.4954,794160.0
2020-03-23,8.471,8.9841,7.9904,8.8538,379262.0
2020-03-24,9.3588,10.0186,9.147,10.0186,459969.0
2020-03-25,9.9941,10.2833,9.3425,9.595,509185.0
2020-03-26,9.6194,10.662,9.6113,10.662,397903.0
2020-03-27,10.1489,10.9715,10.0511,10.8657,488142.0
2020-03-28,10.1489,10.9715,10.0511,10.8657,488142.0
2020-03-29,10.1489,10.9715,10.0511,10.8657,488142.0
2020-03-30,10.8657,10.9715,10.1733,10.7924,418535.0
2020-03-31,10.6457,10.8005,10.1815,10.4747,489214.0
2020-04-01,9.9453,10.4665,9.9127,10.4177,422688.0
2020-04-02,10.2222,10.9471,10.1815,10.6783,463450.0
2020-04-03,10.4828,10.7598,9.8638,10.1082,421718.0
2020-04-04,10.4828,10.7598,9.8638,10.1082,421718.0
2020-04-05,10.4828,10.7598,9.8638,10.1082,421718.0
2020-04-06,10.6132,10.7598,10.2955,10.5561,377747.0
2020-04-07,10.9634,11.4032,10.605,10.7435,520042.0
2020-04-08,10.9471,11.2729,10.7516,11.0937,364468.0
2020-04-09,11.5173,12.2992,11.2485,12.2259,510919.0
2020-04-10,11.5173,12.2992,11.2485,12.2259,510919.0
2020-04-11,11.5173,12.2992,11.2485,12.2259,510919.0
2020-04-12,11.5173,12.2992,11.2485,12.2259,510919.0
2020-04-13,12.12,12.4499,11.3218,11.4195,272242.0
2020-04-14,11.6883,11.8186,11.1182,11.3788,304628.0
2020-04-15,10.7679,10.9593,10.4503,10.5561,270998.0
2020-04-16,10.5236,10.8494,9.7498,9.9778,308340.0
2020-04-17,10.3525,10.9878,10.3525,10.8738,255332.0
2020-04-18,10.3525,10.9878,10.3525,10.8738,255332.0
2020-04-19,10.3525,10.9878,10.3525,10.8738,255332.0
2020-04-20,10.5561,11.0856,10.4584,10.7272,246817.0
2020-04-21,10.2548,10.7842,10.1896,10.7028,229546.0
2020-04-22,11.0041,11.0041,10.4421,10.5887,227487.0
2020-04-23,10.548,11.0611,10.548,10.8086,226019.0
2020-04-24,10.9715,11.1345,10.7109,10.8575,189118.0
2020-04-25,10.9715,11.1345,10.7109,10.8575,189118.0
2020-04-26,10.9715,11.1345,10.7109,10.8575,189118.0
2020-04-27,10.939,11.7942,10.8412,11.5743,233227.0
2020-04-28,12.063,12.2503,11.8581,12.0223,259073.0
