,FUN US Equity,FUN US Equity,FUN US Equity,FUN US Equity,FUN US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,51.9172,52.2897,51.1815,51.6285,202956.0
2020-01-02,51.675,51.7589,50.7531,51.554,213740.0
2020-01-03,51.2094,52.1314,51.0325,52.1034,155300.0
2020-01-04,51.2094,52.1314,51.0325,52.1034,155300.0
2020-01-05,51.2094,52.1314,51.0325,52.1034,155300.0
2020-01-06,52.0755,52.4387,51.7334,52.1872,139778.0
2020-01-07,52.0941,52.1314,51.4236,51.7682,145234.0
2020-01-08,51.7216,52.0382,51.0884,51.4795,165261.0
2020-01-09,51.6192,51.737,51.0977,51.1256,228791.0
2020-01-10,50.3806,50.7904,49.4866,50.6041,394456.0
2020-01-11,50.3806,50.7904,49.4866,50.6041,394456.0
2020-01-12,50.3806,50.7904,49.4866,50.6041,394456.0
2020-01-13,50.6041,50.66,49.738,50.1012,209507.0
2020-01-14,50.1292,50.5482,49.8405,50.1292,320516.0
2020-01-15,50.2782,52.6435,50.1385,52.2617,587972.0
2020-01-16,52.3642,52.6249,50.8835,51.0139,303069.0
2020-01-17,50.9859,51.4329,50.781,51.1442,684088.0
2020-01-18,50.9859,51.4329,50.781,51.1442,684088.0
2020-01-19,50.9859,51.4329,50.781,51.1442,684088.0
2020-01-20,50.9859,51.4329,50.781,51.1442,684088.0
2020-01-21,51.0139,51.5167,50.9254,51.4609,287146.0
2020-01-22,51.4515,51.6844,50.7624,50.9394,254718.0
2020-01-23,50.9394,51.6005,50.5855,51.5074,128722.0
2020-01-24,51.4888,51.6844,50.5296,51.1908,146480.0
2020-01-25,51.4888,51.6844,50.5296,51.1908,146480.0
2020-01-26,51.4888,51.6844,50.5296,51.1908,146480.0
2020-01-27,50.8183,50.9859,50.5203,50.8369,185401.0
2020-01-28,50.66,50.9114,50.185,50.7904,153068.0
2020-01-29,50.7904,51.7775,50.5855,51.4143,168540.0
2020-01-30,51.2187,51.228,50.1944,50.9114,171985.0
2020-01-31,50.6972,51.1436,50.0267,50.4179,125447.0
2020-02-01,50.6972,51.1436,50.0267,50.4179,125447.0
2020-02-02,50.6972,51.1436,50.0267,50.4179,125447.0
2020-02-03,50.5948,51.2049,49.929,50.2037,200218.0
2020-02-04,50.3713,50.7438,49.9057,49.9336,110686.0
2020-02-05,50.064,51.1256,50.0081,50.8183,150157.0
2020-02-06,50.6414,51.1442,50.5575,50.8462,160797.0
2020-02-07,50.7438,51.1349,50.3899,50.6972,184576.0
2020-02-08,50.7438,51.1349,50.3899,50.6972,184576.0
2020-02-09,50.7438,51.1349,50.3899,50.6972,184576.0
2020-02-10,50.6879,51.0325,50.4365,50.7717,121883.0
2020-02-11,50.809,51.2839,50.6507,50.66,165051.0
2020-02-12,50.7065,51.1442,50.2595,50.3713,155438.0
2020-02-13,50.3899,50.9114,49.9336,50.2316,590891.0
2020-02-14,50.2502,50.9955,50.1199,50.7252,94434.0
2020-02-15,50.2502,50.9955,50.1199,50.7252,94434.0
2020-02-16,50.2502,50.9955,50.1199,50.7252,94434.0
2020-02-17,50.2502,50.9955,50.1199,50.7252,94434.0
2020-02-18,50.7252,50.9859,49.8591,50.2595,118344.0
2020-02-19,51.0884,52.122,49.5006,50.6041,276860.0
2020-02-20,50.5389,50.9859,48.8906,49.7194,560350.0
2020-02-21,49.7194,50.1012,48.2741,49.1327,461023.0
2020-02-22,49.7194,50.1012,48.2741,49.1327,461023.0
2020-02-23,49.7194,50.1012,48.2741,49.1327,461023.0
2020-02-24,48.2946,48.397,45.892,46.637,581874.0
2020-02-25,46.935,46.935,43.1075,44.4951,865317.0
