,TKR US Equity,TKR US Equity,TKR US Equity,TKR US Equity,TKR US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,33.2147,33.6647,32.7106,33.5927,531687.0
2019-01-02,32.8276,34.1508,32.6386,33.8988,490325.0
2019-01-03,33.7277,33.9168,32.6476,32.7556,564697.0
2019-01-04,33.3857,34.7089,33.3857,34.6639,387377.0
2019-01-05,33.3857,34.7089,33.3857,34.6639,387377.0
2019-01-06,33.3857,34.7089,33.3857,34.6639,387377.0
2019-01-07,34.6099,35.492,34.3308,35.2309,931462.0
2019-01-08,35.627,36.2391,35.2849,35.717,885442.0
2019-01-09,36.0681,36.5676,35.906,36.2931,626219.0
2019-01-10,36.0591,37.2742,35.9627,37.2292,527448.0
2019-01-11,37.1482,37.5893,36.7477,37.4362,500567.0
2019-01-12,37.1482,37.5893,36.7477,37.4362,500567.0
2019-01-13,37.1482,37.5893,36.7477,37.4362,500567.0
2019-01-14,37.1392,37.5083,36.8692,37.1932,881723.0
2019-01-15,37.1482,37.4993,36.8332,37.1932,663924.0
2019-01-16,37.2562,38.1383,37.2562,37.7603,957251.0
2019-01-17,37.4272,38.7414,37.4272,38.5074,915760.0
2019-01-18,38.8855,39.7226,38.7054,39.6776,656125.0
2019-01-19,38.8855,39.7226,38.7054,39.6776,656125.0
2019-01-20,38.8855,39.7226,38.7054,39.6776,656125.0
2019-01-21,38.8855,39.7226,38.7054,39.6776,656125.0
2019-01-22,38.9485,39.0025,37.9583,38.3094,559146.0
2019-01-23,38.4894,38.6783,37.2562,37.6973,439144.0
2019-01-24,37.7063,38.0753,37.4723,37.5083,609162.0
2019-01-25,38.1563,38.6627,38.0033,38.2284,606960.0
2019-01-26,38.1563,38.6627,38.0033,38.2284,606960.0
2019-01-27,38.1563,38.6627,38.0033,38.2284,606960.0
2019-01-28,37.5983,37.8323,36.9727,37.7333,625007.0
2019-01-29,38.0573,38.4984,38.0483,38.3814,450908.0
2019-01-30,38.8764,39.6236,38.2644,39.1825,787548.0
2019-01-31,39.0745,39.2815,38.2554,38.3364,1187453.0
2019-02-01,38.3004,38.9575,38.1834,38.6064,654013.0
2019-02-02,38.3004,38.9575,38.1834,38.6064,654013.0
2019-02-03,38.3004,38.9575,38.1834,38.6064,654013.0
2019-02-04,38.6064,39.1645,38.3994,39.1015,448254.0
2019-02-05,39.1915,39.277,38.5344,39.0835,552378.0
2019-02-06,39.0655,39.4885,38.9575,39.1555,810861.0
2019-02-07,38.6424,39.4615,37.6073,37.8233,1358522.0
2019-02-08,37.6838,38.0123,36.9412,37.7693,936118.0
2019-02-09,37.6838,38.0123,36.9412,37.7693,936118.0
2019-02-10,37.6838,38.0123,36.9412,37.7693,936118.0
2019-02-11,37.9853,38.0303,37.5353,37.9403,563153.0
2019-02-12,38.3454,39.3895,38.3454,38.9575,857233.0
2019-02-13,39.2635,39.6956,38.8674,39.1555,771035.0
2019-02-14,38.9215,39.0655,38.2644,38.3814,731846.0
2019-02-15,38.7054,39.1825,38.5884,39.0565,927219.0
2019-02-16,38.7054,39.1825,38.5884,39.0565,927219.0
2019-02-17,38.7054,39.1825,38.5884,39.0565,927219.0
2019-02-18,38.7054,39.1825,38.5884,39.0565,927219.0
2019-02-19,39.0474,39.5276,38.9115,39.1289,944557.0
2019-02-20,39.1833,39.7541,39.0837,39.4189,2019318.0
2019-02-21,39.3826,39.7631,39.0202,39.3192,557464.0
2019-02-22,39.7178,39.7903,39.3464,39.6001,663343.0
2019-02-23,39.7178,39.7903,39.3464,39.6001,663343.0
2019-02-24,39.7178,39.7903,39.3464,39.6001,663343.0
2019-02-25,39.8628,40.1255,39.591,39.6001,746217.0
2019-02-26,39.4189,39.745,39.2377,39.283,838038.0
2019-02-27,39.3283,39.6544,39.1652,39.5366,381114.0
2019-02-28,39.4823,39.6091,38.9296,39.3101,2088848.0
2019-03-01,39.7541,39.9715,39.2286,39.446,728631.0
2019-03-02,39.7541,39.9715,39.2286,39.446,728631.0
2019-03-03,39.7541,39.9715,39.2286,39.446,728631.0
2019-03-04,39.6182,39.7541,38.9931,39.3192,347264.0
2019-03-05,39.2105,39.6997,39.0202,39.6091,1027331.0
2019-03-06,39.6091,39.9806,39.1471,39.1742,575361.0
2019-03-07,39.1108,39.1108,38.2139,38.6669,458079.0
2019-03-08,38.1958,38.7667,38.1143,38.6397,536481.0
2019-03-09,38.1958,38.7667,38.1143,38.6397,536481.0
2019-03-10,38.1958,38.7667,38.1143,38.6397,536481.0
2019-03-11,38.6578,39.3101,38.5401,39.2286,591773.0
2019-03-12,39.2286,39.4177,39.0565,39.3645,580463.0
2019-03-13,39.5729,39.9896,39.3925,39.8537,927712.0
2019-03-14,39.6816,39.736,38.9931,39.2286,624885.0
2019-03-15,39.2739,39.6091,39.0837,39.2195,777649.0
2019-03-16,39.2739,39.6091,39.0837,39.2195,777649.0
2019-03-17,39.2739,39.6091,39.0837,39.2195,777649.0
2019-03-18,39.2648,39.8356,39.1425,39.8175,412336.0
2019-03-19,40.0983,40.2614,39.5638,39.6454,497475.0
2019-03-20,39.4823,39.9534,39.061,39.6001,954086.0
2019-03-21,39.5095,40.4335,39.4823,40.2977,790132.0
2019-03-22,40.0077,40.1889,37.6703,37.7156,1170904.0
2019-03-23,40.0077,40.1889,37.6703,37.7156,1170904.0
2019-03-24,40.0077,40.1889,37.6703,37.7156,1170904.0
2019-03-25,37.6069,38.0418,37.4982,38.0055,723269.0
2019-03-26,38.4404,38.7937,38.1777,38.4585,478773.0
2019-03-27,38.5038,38.8662,38.2592,38.4495,693601.0
2019-03-28,38.3861,39.0837,38.3589,38.7575,673247.0
2019-03-29,39.1561,39.7631,39.0746,39.5185,469605.0
2019-03-30,39.1561,39.7631,39.0746,39.5185,469605.0
2019-03-31,39.1561,39.7631,39.0746,39.5185,469605.0
2019-04-01,40.1255,41.1583,40.1029,41.113,1073760.0
2019-04-02,41.1583,41.4482,40.7506,41.3395,744788.0
2019-04-03,41.7381,42.3814,41.7381,41.9828,921090.0
2019-04-04,42.0643,42.6894,41.9103,42.3814,648530.0
2019-04-05,42.5898,43.1968,42.5354,43.1243,588357.0
2019-04-06,42.5898,43.1968,42.5354,43.1243,588357.0
2019-04-07,42.5898,43.1968,42.5354,43.1243,588357.0
2019-04-08,42.8706,42.9884,42.472,42.5716,652122.0
2019-04-09,42.2183,42.5309,41.8559,42.1458,670522.0
2019-04-10,42.1368,42.2455,41.2852,41.8197,861814.0
2019-04-11,42.019,42.4086,41.788,42.3904,640282.0
2019-04-12,42.9522,43.2964,42.7619,43.233,547980.0
2019-04-13,42.9522,43.2964,42.7619,43.233,547980.0
2019-04-14,42.9522,43.2964,42.7619,43.233,547980.0
2019-04-15,43.4414,43.4686,42.8616,42.9975,520691.0
2019-04-16,43.1877,43.5592,43.0971,43.4776,477916.0
2019-04-17,43.7313,43.8762,43.2239,43.3327,386623.0
2019-04-18,43.8219,43.8762,43.2421,43.4233,512657.0
2019-04-19,43.8219,43.8762,43.2421,43.4233,512657.0
2019-04-20,43.8219,43.8762,43.2421,43.4233,512657.0
2019-04-21,43.8219,43.8762,43.2421,43.4233,512657.0
2019-04-22,43.3055,43.4504,42.9522,43.3598,478479.0
2019-04-23,43.233,43.9215,43.088,43.5682,311169.0
2019-04-24,43.4957,44.0846,43.378,43.3961,407962.0
2019-04-25,43.0337,43.0337,42.2002,42.2274,252064.0
2019-04-26,42.3542,43.2964,42.2455,43.2692,402210.0
2019-04-27,42.3542,43.2964,42.2455,43.2692,402210.0
2019-04-28,42.3542,43.2964,42.2455,43.2692,402210.0
2019-04-29,43.4686,43.8309,43.2285,43.6135,658597.0
2019-04-30,43.7132,43.7675,42.9793,43.4414,1093378.0
2019-05-01,45.2986,47.0924,44.5648,46.9203,2665118.0
2019-05-02,46.9294,47.02,45.0993,45.7788,1315452.0
2019-05-03,45.9962,47.3914,45.9509,47.2555,1000086.0
2019-05-04,45.9962,47.3914,45.9509,47.2555,1000086.0
2019-05-05,45.9962,47.3914,45.9509,47.2555,1000086.0
2019-05-06,45.5251,46.9294,44.7732,46.567,953714.0
2019-05-07,45.8966,46.4266,45.3711,45.6429,892377.0
2019-05-08,45.6338,46.0309,45.2941,45.3258,667481.0
2019-05-09,44.7732,45.4255,44.4198,45.2261,753729.0
2019-05-10,44.9,45.4073,44.0121,45.3167,540986.0
2019-05-11,44.9,45.4073,44.0121,45.3167,540986.0
2019-05-12,44.9,45.4073,44.0121,45.3167,540986.0
2019-05-13,44.2658,44.3473,43.1465,43.532,582788.0
2019-05-14,43.7947,43.8944,43.2058,43.5954,551827.0
2019-05-15,43.5954,44.0392,42.9884,43.9215,487384.0
2019-05-16,44.2568,44.6509,43.233,43.378,935043.0
2019-05-17,42.8344,43.233,42.0371,42.1458,661799.0
2019-05-18,42.8344,43.233,42.0371,42.1458,661799.0
2019-05-19,42.8344,43.233,42.0371,42.1458,661799.0
2019-05-20,41.7291,42.1821,41.4664,41.5479,515592.0
2019-05-21,41.9945,42.5414,41.8213,42.3591,461082.0
2019-05-22,42.268,42.4594,41.4385,41.7028,512018.0
2019-05-23,41.0556,41.0556,40.3446,40.6728,567310.0
2019-05-24,40.9918,41.2471,40.4905,40.527,539292.0
2019-05-25,40.9918,41.2471,40.4905,40.527,539292.0
2019-05-26,40.9918,41.2471,40.4905,40.527,539292.0
2019-05-27,40.9918,41.2471,40.4905,40.527,539292.0
2019-05-28,40.8825,40.9782,39.8889,39.9071,753385.0
2019-05-29,39.6883,40.4996,39.4513,40.372,578948.0
2019-05-30,40.4267,40.7822,39.7977,40.1897,477385.0
2019-05-31,39.5334,40.4723,39.424,40.1168,1342283.0
2019-06-01,39.5334,40.4723,39.424,40.1168,1342283.0
2019-06-02,39.5334,40.4723,39.424,40.1168,1342283.0
2019-06-03,40.1532,41.5114,40.1532,41.2288,687399.0
2019-06-04,41.6299,42.6235,41.4749,42.4776,809926.0
2019-06-05,42.6691,43.0701,42.0219,42.6964,726318.0
2019-06-06,42.6964,43.3618,42.3683,43.1978,1002049.0
2019-06-07,43.4439,43.6353,43.0154,43.3163,467230.0
2019-06-08,43.4439,43.6353,43.0154,43.3163,467230.0
2019-06-09,43.4439,43.6353,43.0154,43.3163,467230.0
2019-06-10,43.3892,44.0273,43.3892,43.5441,348473.0
2019-06-11,44.2369,44.5195,43.8194,43.9452,412461.0
2019-06-12,43.8814,43.9999,43.5943,43.7356,459290.0
2019-06-13,44.1184,44.4648,43.8358,44.0455,566685.0
2019-06-14,43.772,43.772,42.4776,43.2069,632991.0
2019-06-15,43.772,43.772,42.4776,43.2069,632991.0
2019-06-16,43.772,43.772,42.4776,43.2069,632991.0
2019-06-17,43.1704,43.4165,42.3774,42.7055,867036.0
2019-06-18,43.2251,44.2916,43.1567,44.0181,625356.0
2019-06-19,44.2096,44.72,43.8632,44.6744,465846.0
2019-06-20,45.3034,45.8367,44.681,45.7227,628858.0
2019-06-21,45.6224,45.9506,45.2607,45.4219,856975.0
2019-06-22,45.6224,45.9506,45.2607,45.4219,856975.0
2019-06-23,45.6224,45.9506,45.2607,45.4219,856975.0
2019-06-24,45.6042,45.9962,45.2214,45.2305,411944.0
2019-06-25,45.3125,45.8959,45.131,45.8139,567970.0
2019-06-26,45.8503,46.4519,45.7318,46.1876,346138.0
2019-06-27,46.1147,46.2788,45.5039,46.0053,429828.0
2019-06-28,46.1694,46.9259,45.8868,46.7983,912516.0
2019-06-29,46.1694,46.9259,45.8868,46.7983,912516.0
2019-06-30,46.1694,46.9259,45.8868,46.7983,912516.0
2019-07-01,47.2359,47.7463,46.2514,46.6707,483995.0
2019-07-02,46.3243,46.4702,45.4401,45.7592,580092.0
2019-07-03,45.7501,45.9324,45.4812,45.8594,427617.0
2019-07-04,45.7501,45.9324,45.4812,45.8594,427617.0
