,CUROQ US Equity,CUROQ US Equity,CUROQ US Equity,CUROQ US Equity,CUROQ US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,8.8595,8.9122,8.3816,8.7217,149164.0
2019-01-02,8.639,9.1698,8.3081,8.979,137604.0
2019-01-03,8.8871,9.0341,8.5838,8.7584,134924.0
2019-01-04,8.8687,9.4385,8.832,9.172,207516.0
2019-01-05,8.8687,9.4385,8.832,9.172,207516.0
2019-01-06,8.8687,9.4385,8.832,9.172,207516.0
2019-01-07,9.172,9.4753,9.0709,9.2731,403581.0
2019-01-08,9.319,9.5488,9.1812,9.4477,293811.0
2019-01-09,9.5212,10.2748,9.5212,10.0451,323514.0
2019-01-10,9.9808,10.5322,9.8888,10.4862,161467.0
2019-01-11,10.4035,10.7941,10.2013,10.6149,127378.0
2019-01-12,10.4035,10.7941,10.2013,10.6149,127378.0
2019-01-13,10.4035,10.7941,10.2013,10.6149,127378.0
2019-01-14,10.5046,10.9641,10.3024,10.8446,226032.0
2019-01-15,10.8538,11.0193,10.5414,11.0009,256428.0
2019-01-16,11.056,11.5615,11.056,11.3501,181870.0
2019-01-17,11.2306,11.6258,11.1112,11.4788,180704.0
2019-01-18,11.5431,11.8234,11.2858,11.7637,190064.0
2019-01-19,11.5431,11.8234,11.2858,11.7637,190064.0
2019-01-20,11.5431,11.8234,11.2858,11.7637,190064.0
2019-01-21,11.5431,11.8234,11.2858,11.7637,190064.0
2019-01-22,11.6442,11.6442,10.9274,11.0193,306256.0
2019-01-23,11.0468,11.2352,10.6333,10.8171,146873.0
2019-01-24,10.8171,11.1479,10.6625,10.9549,92024.0
2019-01-25,11.0285,11.3042,10.6957,11.2674,108684.0
2019-01-26,11.0285,11.3042,10.6957,11.2674,108684.0
2019-01-27,11.0285,11.3042,10.6957,11.2674,108684.0
2019-01-28,11.1112,11.3409,10.8538,11.249,161081.0
2019-01-29,11.2766,11.3777,10.9825,11.1939,176355.0
2019-01-30,11.3317,11.6258,11.0744,11.5523,142757.0
2019-01-31,11.4604,11.8923,11.3777,11.488,294494.0
2019-02-01,12.0302,12.7011,10.7895,10.9733,846336.0
2019-02-02,12.0302,12.7011,10.7895,10.9733,846336.0
2019-02-03,12.0302,12.7011,10.7895,10.9733,846336.0
2019-02-04,10.9366,11.3501,10.8263,10.9274,286641.0
2019-02-05,10.9274,11.1479,10.7987,10.8446,257784.0
