,CLX US Equity,CLX US Equity,CLX US Equity,CLX US Equity,CLX US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,135.636,136.408,135.334,136.355,666992.0
2020-01-02,136.213,136.24,134.588,135.529,1272708.0
2020-01-03,135.494,136.657,134.308,135.796,809816.0
2020-01-04,135.494,136.657,134.308,135.796,809816.0
2020-01-05,135.494,136.657,134.308,135.796,809816.0
2020-01-06,135.938,136.706,135.245,136.204,869325.0
2020-01-07,136.044,136.138,134.552,134.561,1199590.0
2020-01-08,134.792,136.178,134.055,134.961,901226.0
2020-01-09,135.192,135.884,134.739,135.698,504939.0
2020-01-10,135.6,136.835,135.272,136.471,523574.0
2020-01-11,135.6,136.835,135.272,136.471,523574.0
2020-01-12,135.6,136.835,135.272,136.471,523574.0
2020-01-13,136.559,138.771,136.186,138.717,1064976.0
2020-01-14,138.3,138.824,137.652,138.762,1166606.0
2020-01-15,138.762,139.907,138.593,139.135,619209.0
2020-01-16,139.321,140.201,139.277,139.543,489515.0
2020-01-17,139.632,140.254,139.188,140.05,718444.0
2020-01-18,139.632,140.254,139.188,140.05,718444.0
2020-01-19,139.632,140.254,139.188,140.05,718444.0
2020-01-20,139.632,140.254,139.188,140.05,718444.0
2020-01-21,140.05,141.337,139.019,141.293,1051846.0
2020-01-22,141.648,142.243,141.213,141.764,768511.0
2020-01-23,141.764,143.122,140.804,141.266,693178.0
2020-01-24,142.092,142.945,140.005,140.565,839836.0
2020-01-25,142.092,142.945,140.005,140.565,839836.0
2020-01-26,142.092,142.945,140.005,140.565,839836.0
2020-01-27,142.456,144.022,142.057,142.057,2502434.0
2020-01-28,142.298,142.557,139.518,139.527,1044522.0
2020-01-29,139.464,140.045,138.704,138.758,859625.0
2020-01-30,139.5,139.813,138.454,139.339,912062.0
2020-01-31,140.045,141.476,139.92,140.635,1769788.0
2020-02-01,140.045,141.476,139.92,140.635,1769788.0
2020-02-02,140.045,141.476,139.92,140.635,1769788.0
2020-02-03,140.939,142.012,138.463,139.321,1676219.0
2020-02-04,141.949,147.51,141.681,146.276,3172785.0
2020-02-05,145.972,148.35,145.963,147.814,1882735.0
2020-02-06,148.431,149.647,147.456,147.573,1102088.0
2020-02-07,147.573,148.896,146.178,148.61,1004402.0
2020-02-08,147.573,148.896,146.178,148.61,1004402.0
2020-02-09,147.573,148.896,146.178,148.61,1004402.0
2020-02-10,149.173,151.05,148.663,149.888,787718.0
2020-02-11,149.736,149.969,147.206,147.296,889117.0
2020-02-12,146.831,146.893,145.436,146.822,1048306.0
2020-02-13,147.135,147.626,146.446,147.304,787800.0
2020-02-14,147.501,147.599,146.786,147.358,724885.0
2020-02-15,147.501,147.599,146.786,147.358,724885.0
2020-02-16,147.501,147.599,146.786,147.358,724885.0
2020-02-17,147.501,147.599,146.786,147.358,724885.0
2020-02-18,147.743,147.832,146.491,147.349,629011.0
2020-02-19,147.51,148.154,146.709,147.367,612202.0
2020-02-20,147.269,147.481,146.25,146.768,673068.0
2020-02-21,146.339,147.751,146.339,147.188,794584.0
2020-02-22,146.339,147.751,146.339,147.188,794584.0
2020-02-23,146.339,147.751,146.339,147.188,794584.0
2020-02-24,148.306,150.424,148.145,149.468,2094302.0
2020-02-25,149.888,151.739,148.994,150.058,2351899.0
2020-02-26,150.112,151.023,148.865,150.219,2854620.0
2020-02-27,151.98,155.708,150.496,150.818,4309236.0
2020-02-28,154.063,154.251,139.312,142.522,4701108.0
2020-02-29,154.063,154.251,139.312,142.522,4701108.0
2020-03-01,154.063,154.251,139.312,142.522,4701108.0
2020-03-02,145.811,153.857,145.552,153.777,3753358.0
2020-03-03,154.734,156.428,148.485,150.076,3374747.0
2020-03-04,152.785,156.218,150.612,154.233,3144088.0
2020-03-05,152.221,158.524,151.739,157.21,2778252.0
2020-03-06,153.714,156.178,150.702,154.895,2222295.0
2020-03-07,153.714,156.178,150.702,154.895,2222295.0
2020-03-08,153.714,156.178,150.702,154.895,2222295.0
2020-03-09,150.147,158.926,149.298,156.361,3489624.0
2020-03-10,157.898,159.919,149.584,156.45,2766555.0
2020-03-11,154.707,156.432,148.69,151.444,2377042.0
2020-03-12,143.129,151.801,141.252,141.878,3280284.0
2020-03-13,146.616,150.487,140.072,149.986,2964639.0
2020-03-14,146.616,150.487,140.072,149.986,2964639.0
2020-03-15,146.616,150.487,140.072,149.986,2964639.0
2020-03-16,152.159,159.356,147.063,156.173,5350230.0
2020-03-17,159.946,183.27,157.728,176.905,7478735.0
2020-03-18,176.225,191.549,165.81,170.709,7072075.0
2020-03-19,173.052,178.389,167.205,171.451,4546105.0
2020-03-20,170.405,170.799,156.638,158.596,5571393.0
2020-03-21,170.405,170.799,156.638,158.596,5571393.0
2020-03-22,170.405,170.799,156.638,158.596,5571393.0
2020-03-23,158.095,158.631,150.675,152.105,3436981.0
2020-03-24,153.25,157.067,147.707,150.478,2929520.0
2020-03-25,148.404,152.409,144.032,148.1,4572660.0
2020-03-26,150.156,156.45,149.316,154.76,3706701.0
2020-03-27,152.382,158.622,150.648,154.832,2211500.0
2020-03-28,152.382,158.622,150.648,154.832,2211500.0
2020-03-29,152.382,158.622,150.648,154.832,2211500.0
2020-03-30,158.774,160.795,155.556,155.985,2328561.0
2020-03-31,155.324,156.048,152.597,154.886,2082710.0
2020-04-01,153.661,158.676,152.856,156.146,2569834.0
2020-04-02,155.368,162.967,155.368,160.652,3044551.0
2020-04-03,159.409,163.092,156.335,158.721,2277591.0
2020-04-04,159.409,163.092,156.335,158.721,2277591.0
2020-04-05,159.409,163.092,156.335,158.721,2277591.0
2020-04-06,158.766,163.012,155.025,162.154,2551441.0
2020-04-07,160.741,165.176,159.588,162.261,2477907.0
2020-04-08,163.495,163.548,159.588,161.85,1987792.0
2020-04-09,160.232,166.972,159.597,164.684,2114505.0
2020-04-10,160.232,166.972,159.597,164.684,2114505.0
2020-04-11,160.232,166.972,159.597,164.684,2114505.0
