,BIG US Equity,BIG US Equity,BIG US Equity,BIG US Equity,BIG US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,23.322,23.9685,23.2392,23.9685,842947.0
2019-01-02,23.6204,24.6564,23.3883,24.4077,1115929.0
2019-01-03,24.2503,24.5735,24.0348,24.1425,860007.0
2019-01-04,24.5155,25.2448,24.3,24.9382,1078910.0
2019-01-05,24.5155,25.2448,24.3,24.9382,1078910.0
2019-01-06,24.5155,25.2448,24.3,24.9382,1078910.0
2019-01-07,24.4575,25.0542,23.5624,24.9713,1426400.0
2019-01-08,25.0791,25.2034,24.6398,24.7227,1665966.0
2019-01-09,24.8719,25.5515,24.6315,25.4023,1469426.0
2019-01-10,24.0762,25.336,23.8525,25.3194,1221493.0
2019-01-11,25.3028,26.2974,25.2531,25.9824,1462051.0
2019-01-12,25.3028,26.2974,25.2531,25.9824,1462051.0
2019-01-13,25.3028,26.2974,25.2531,25.9824,1462051.0
2019-01-14,25.8084,26.4134,25.4852,25.9907,1282757.0
2019-01-15,25.9576,26.1067,25.568,25.999,861532.0
2019-01-16,25.9327,26.4631,25.4852,25.5846,935202.0
2019-01-17,25.452,26.1731,25.3526,26.1648,822511.0
2019-01-18,26.4383,26.7615,26.2391,26.4217,1183600.0
2019-01-19,26.4383,26.7615,26.2391,26.4217,1183600.0
2019-01-20,26.4383,26.7615,26.2391,26.4217,1183600.0
2019-01-21,26.4383,26.7615,26.2391,26.4217,1183600.0
2019-01-22,26.3554,27.1096,26.1399,26.7283,1022292.0
2019-01-23,26.8195,27.0391,26.3968,26.8112,630446.0
2019-01-24,26.8361,26.9355,26.3802,26.4963,493299.0
2019-01-25,26.7615,26.9604,26.5294,26.9355,893328.0
2019-01-26,26.7615,26.9604,26.5294,26.9355,893328.0
2019-01-27,26.7615,26.9604,26.5294,26.9355,893328.0
2019-01-28,26.6869,26.7035,25.999,26.4134,1068493.0
2019-01-29,26.4383,26.7864,26.115,26.5709,1048537.0
2019-01-30,26.7532,26.7532,25.539,25.7918,1122583.0
2019-01-31,25.7006,26.2394,25.5846,26.1399,973754.0
2019-02-01,26.1979,26.3802,25.6924,25.9576,1000936.0
2019-02-02,26.1979,26.3802,25.6924,25.9576,1000936.0
2019-02-03,26.1979,26.3802,25.6924,25.9576,1000936.0
2019-02-04,25.9576,26.8941,25.8001,26.5377,1402833.0
2019-02-05,26.662,26.9355,26.2518,26.5294,906280.0
2019-02-06,26.4714,26.546,25.941,26.5046,687993.0
2019-02-07,26.4134,26.7532,26.3015,26.6952,421900.0
2019-02-08,26.5046,26.6537,25.5556,25.6012,824242.0
2019-02-09,26.5046,26.6537,25.5556,25.6012,824242.0
2019-02-10,26.5046,26.6537,25.5556,25.6012,824242.0
2019-02-11,25.5017,25.7006,25.1868,25.4271,1242276.0
2019-02-12,25.6343,26.4466,25.4438,26.1399,1517145.0
2019-02-13,26.1979,26.5626,25.7918,26.4714,825441.0
2019-02-14,26.3554,26.7283,25.8498,26.6537,787334.0
2019-02-15,26.7698,27.0681,26.6123,26.7449,774605.0
2019-02-16,26.7698,27.0681,26.6123,26.7449,774605.0
2019-02-17,26.7698,27.0681,26.6123,26.7449,774605.0
2019-02-18,26.7698,27.0681,26.6123,26.7449,774605.0
2019-02-19,26.8775,27.1013,26.5211,26.8112,1057443.0
2019-02-20,26.6952,27.1344,26.5584,27.0184,1193569.0
2019-02-21,26.9107,27.0453,25.9327,26.0404,852667.0
2019-02-22,26.115,26.115,25.6841,25.9244,867598.0
2019-02-23,26.115,26.115,25.6841,25.9244,867598.0
2019-02-24,26.115,26.115,25.6841,25.9244,867598.0
2019-02-25,26.1316,26.7283,25.9824,26.5709,1295450.0
2019-02-26,26.6786,26.919,26.3844,26.546,685634.0
2019-02-27,26.5129,26.8858,25.9824,26.1648,1050049.0
2019-02-28,25.7338,26.1979,24.905,26.1316,1478460.0
2019-03-01,26.4631,26.9935,25.8084,26.0653,1499116.0
2019-03-02,26.4631,26.9935,25.8084,26.0653,1499116.0
2019-03-03,26.4631,26.9935,25.8084,26.0653,1499116.0
2019-03-04,26.0736,26.5046,25.8001,26.1067,1232714.0
2019-03-05,26.3222,26.8278,26.0239,26.5294,1082423.0
2019-03-06,26.6703,26.7864,26.2228,26.4383,2713087.0
2019-03-07,26.3057,26.7781,25.9907,26.3885,2237737.0
2019-03-08,28.6594,30.9054,28.0627,29.9855,12867389.0
2019-03-09,28.6594,30.9054,28.0627,29.9855,12867389.0
2019-03-10,28.6594,30.9054,28.0627,29.9855,12867389.0
2019-03-11,30.5325,30.8225,29.0572,30.1678,3906875.0
2019-03-12,30.3004,30.922,29.3639,29.4633,2353696.0
2019-03-13,29.4799,29.7617,29.1898,29.397,1953395.0
2019-03-14,29.3224,29.5628,29.0987,29.2976,1352059.0
2019-03-15,29.2976,29.6995,29.0738,29.1815,9289787.0
2019-03-16,29.2976,29.6995,29.0738,29.1815,9289787.0
2019-03-17,29.2976,29.6995,29.0738,29.1815,9289787.0
2019-03-18,29.1733,29.4633,28.5019,28.5434,1707491.0
2019-03-19,28.56,29.0324,28.4771,28.9246,1104979.0
2019-03-20,29.0075,29.4136,28.4812,28.5848,1276731.0
2019-03-21,28.5765,29.471,28.4343,29.471,1076472.0
2019-03-22,29.354,29.5379,28.936,29.3038,932879.0
2019-03-23,29.354,29.5379,28.936,29.3038,932879.0
2019-03-24,29.354,29.5379,28.936,29.3038,932879.0
2019-03-25,29.2871,30.2235,29.053,30.0228,954659.0
2019-03-26,30.19,30.7418,30.1399,30.675,996298.0
2019-03-27,30.8338,31.6281,30.5077,31.5277,1331776.0
2019-03-28,31.6364,32.021,31.2184,31.4441,1488107.0
2019-03-29,31.4943,31.8956,31.4107,31.7869,1225233.0
2019-03-30,31.4943,31.8956,31.4107,31.7869,1225233.0
2019-03-31,31.4943,31.8956,31.4107,31.7869,1225233.0
2019-04-01,31.9458,32.3471,31.7242,32.2802,1106501.0
2019-04-02,32.1297,32.3972,31.6113,31.8371,1126902.0
2019-04-03,31.929,32.1715,31.8036,31.904,901943.0
2019-04-04,31.7953,32.1715,31.5361,31.9959,1206763.0
2019-04-05,31.9207,32.3053,31.8872,32.0795,971799.0
2019-04-06,31.9207,32.3053,31.8872,32.0795,971799.0
2019-04-07,31.9207,32.3053,31.8872,32.0795,971799.0
2019-04-08,32.2217,32.7567,32.1882,32.6397,1084427.0
2019-04-09,32.4474,32.5979,31.9792,32.2718,1418383.0
2019-04-10,32.2718,32.5895,31.9876,32.5477,771828.0
2019-04-11,32.5895,32.9574,32.531,32.8571,1175705.0
2019-04-12,32.9908,33.0494,31.9541,31.9708,1204440.0
2019-04-13,32.9908,33.0494,31.9541,31.9708,1204440.0
2019-04-14,32.9908,33.0494,31.9541,31.9708,1204440.0
2019-04-15,31.9374,32.9658,31.8622,32.8821,1082031.0
2019-04-16,32.9658,33.0243,32.1464,32.3972,1300843.0
2019-04-17,32.5895,32.924,32.1213,32.322,766586.0
2019-04-18,32.2969,32.6899,32.113,32.6648,513280.0
2019-04-19,32.2969,32.6899,32.113,32.6648,513280.0
2019-04-20,32.2969,32.6899,32.113,32.6648,513280.0
2019-04-21,32.2969,32.6899,32.113,32.6648,513280.0
2019-04-22,32.5979,32.6648,31.3271,31.5445,1138454.0
2019-04-23,31.5528,31.8454,31.3438,31.6615,1214445.0
2019-04-24,31.9708,32.8821,31.6615,32.6397,1035084.0
2019-04-25,32.4808,32.8403,32.3262,32.3304,770947.0
2019-04-26,31.8872,32.0963,31.7033,31.8371,596521.0
2019-04-27,31.8872,32.0963,31.7033,31.8371,596521.0
2019-04-28,31.8872,32.0963,31.7033,31.8371,596521.0
2019-04-29,31.9541,31.9541,31.2435,31.3772,929622.0
2019-04-30,31.2268,31.3522,30.675,31.0679,1003025.0
2019-05-01,31.2184,31.2184,30.7,30.7586,1163566.0
2019-05-02,30.8589,31.185,30.7251,30.9509,691231.0
2019-05-03,30.9592,31.5612,30.9007,31.4023,989321.0
2019-05-04,30.9592,31.5612,30.9007,31.4023,989321.0
2019-05-05,30.9592,31.5612,30.9007,31.4023,989321.0
2019-05-06,31.0846,32.2635,31.0679,32.0377,1102754.0
2019-05-07,31.812,32.021,30.6081,30.9174,918133.0
2019-05-08,30.7753,31.8956,30.6332,31.5194,806112.0
2019-05-09,31.4023,31.8538,31.1181,31.603,722409.0
2019-05-10,31.419,31.8454,30.2486,30.5328,771927.0
2019-05-11,31.419,31.8454,30.2486,30.5328,771927.0
2019-05-12,31.419,31.8454,30.2486,30.5328,771927.0
2019-05-13,30.0228,30.0981,28.1835,28.5597,1090668.0
2019-05-14,28.5514,28.6183,27.916,28.4092,1702050.0
2019-05-15,28.2337,28.4928,27.5565,28.451,1174713.0
2019-05-16,28.6099,28.7102,27.5272,27.6568,927457.0
2019-05-17,27.4896,27.5899,26.6786,26.6786,1326295.0
2019-05-18,27.4896,27.5899,26.6786,26.6786,1326295.0
2019-05-19,27.4896,27.5899,26.6786,26.6786,1326295.0
2019-05-20,26.5281,26.7538,26.2689,26.3943,854166.0
2019-05-21,26.2522,26.4696,25.4747,26.4696,1785827.0
2019-05-22,26.4947,26.9796,25.5499,25.6168,942222.0
