,PFE US Equity,PFE US Equity,PFE US Equity,PFE US Equity,PFE US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,32.8354,33.2304,32.7518,33.1697,19481951.0
2019-01-02,32.767,33.0557,32.3984,32.8658,25076212.0
2019-01-03,32.8582,32.9341,31.8779,31.9463,27043208.0
2019-01-04,32.2502,32.9379,32.1097,32.6758,25754634.0
2019-01-05,32.2502,32.9379,32.1097,32.6758,25754634.0
2019-01-06,32.2502,32.9379,32.1097,32.6758,25754634.0
2019-01-07,32.729,33.1469,32.5694,32.8506,19919838.0
2019-01-08,33.1013,33.2077,32.7898,33.0025,18669087.0
2019-01-09,33.0253,33.1849,32.8278,32.9341,19077393.0
2019-01-10,32.843,32.8506,31.9387,32.1514,37695611.0
2019-01-11,32.1666,32.5846,32.0299,32.5846,19985293.0
2019-01-12,32.1666,32.5846,32.0299,32.5846,19985293.0
2019-01-13,32.1666,32.5846,32.0299,32.5846,19985293.0
2019-01-14,32.3338,32.3946,32.0451,32.197,16703162.0
2019-01-15,32.3718,32.8582,32.2426,32.4706,24540172.0
2019-01-16,32.3642,32.5178,31.9387,31.9995,28623739.0
2019-01-17,31.8779,32.4174,31.7867,32.273,22938626.0
2019-01-18,32.5694,32.5846,32.1135,32.3186,36639882.0
2019-01-19,32.5694,32.5846,32.1135,32.3186,36639882.0
2019-01-20,32.5694,32.5846,32.1135,32.3186,36639882.0
2019-01-21,32.5694,32.5846,32.1135,32.3186,36639882.0
2019-01-22,32.2274,32.4402,31.8627,32.1211,27935618.0
2019-01-23,31.9083,32.0679,31.5739,32.0375,23209663.0
2019-01-24,31.7487,31.7563,30.8672,31.118,32631942.0
2019-01-25,31.232,31.346,30.7798,30.8824,34029811.0
2019-01-26,31.232,31.346,30.7798,30.8824,34029811.0
2019-01-27,31.232,31.346,30.7798,30.8824,34029811.0
2019-01-28,30.776,30.7988,30.0009,30.0389,37314660.0
2019-01-29,30.0161,31.042,29.9933,30.9812,48744552.0
2019-01-30,30.9812,31.7259,30.9508,31.5967,34220034.0
2019-01-31,31.7194,32.6699,31.6964,32.5396,38830562.0
2019-02-01,32.8615,33.0531,32.6162,32.8692,25844214.0
2019-02-02,32.8615,33.0531,32.6162,32.8692,25844214.0
2019-02-03,32.8615,33.0531,32.6162,32.8692,25844214.0
2019-02-04,32.8385,32.8385,32.164,32.5319,18431233.0
2019-02-05,32.5242,32.7542,32.2406,32.2789,20045245.0
2019-02-06,32.1333,32.4782,32.0336,32.4476,15607570.0
2019-02-07,32.2789,32.3096,31.5871,31.9647,23005696.0
2019-02-08,31.8343,32.3786,31.8037,32.3709,26091645.0
2019-02-09,31.8343,32.3786,31.8037,32.3709,26091645.0
2019-02-10,31.8343,32.3786,31.8037,32.3709,26091645.0
2019-02-11,32.4093,32.4322,31.819,31.9493,25713635.0
2019-02-12,31.9723,32.2023,31.727,32.095,28975461.0
2019-02-13,32.1333,32.2406,31.727,31.9647,23488812.0
2019-02-14,31.9647,32.2866,31.9033,32.1716,18847247.0
2019-02-15,32.4859,32.5856,32.2559,32.5012,18186859.0
2019-02-16,32.4859,32.5856,32.2559,32.5012,18186859.0
2019-02-17,32.4859,32.5856,32.2559,32.5012,18186859.0
2019-02-18,32.4859,32.5856,32.2559,32.5012,18186859.0
2019-02-19,32.3786,32.8538,32.3364,32.6545,23181303.0
2019-02-20,32.6009,32.6239,32.141,32.3479,25953408.0
2019-02-21,32.21,32.4399,32.0873,32.3019,18607063.0
2019-02-22,32.4246,33.057,32.3633,32.9305,23510009.0
2019-02-23,32.4246,33.057,32.3633,32.9305,23510009.0
2019-02-24,32.4246,33.057,32.3633,32.9305,23510009.0
2019-02-25,32.9918,33.2409,32.9152,33.0225,23979889.0
2019-02-26,32.9305,33.1375,32.8079,32.9765,15701050.0
2019-02-27,32.9458,33.1298,32.8155,32.9075,15631014.0
2019-02-28,32.9228,33.5591,32.8615,33.2294,37004223.0
2019-03-01,33.4287,33.5667,33.1835,33.2371,25301489.0
2019-03-02,33.4287,33.5667,33.1835,33.2371,25301489.0
2019-03-03,33.4287,33.5667,33.1835,33.2371,25301489.0
2019-03-04,33.2984,33.4134,32.8692,33.0148,21637448.0
2019-03-05,33.0301,33.1528,32.8462,32.8768,25170612.0
2019-03-06,32.8232,32.8615,31.9033,32.0873,21262526.0
2019-03-07,32.0873,32.1118,31.6197,31.727,27557956.0
2019-03-08,31.681,31.7654,30.9222,31.3438,29702195.0
2019-03-09,31.681,31.7654,30.9222,31.3438,29702195.0
2019-03-10,31.681,31.7654,30.9222,31.3438,29702195.0
2019-03-11,31.5047,31.8267,31.2748,31.8114,27667468.0
2019-03-12,31.9647,32.1333,31.7153,31.9877,22932195.0
2019-03-13,32.095,32.2943,31.8497,32.2023,22500347.0
2019-03-14,32.1946,32.2559,31.5277,31.5737,30473983.0
2019-03-15,31.6044,32.1026,31.3208,32.026,70938023.0
2019-03-16,31.6044,32.1026,31.3208,32.026,70938023.0
2019-03-17,31.6044,32.1026,31.3208,32.026,70938023.0
2019-03-18,32.0183,32.2444,31.9263,32.049,18021218.0
2019-03-19,32.1716,32.5242,32.003,32.4246,25050546.0
2019-03-20,32.3479,32.4974,32.026,32.3249,22295088.0
2019-03-21,32.141,32.6852,32.095,32.4629,23019526.0
2019-03-22,32.3479,32.6699,32.0605,32.0796,18614890.0
2019-03-23,32.3479,32.6699,32.0605,32.0796,18614890.0
2019-03-24,32.3479,32.6699,32.0605,32.0796,18614890.0
2019-03-25,32.049,32.3096,31.9417,32.1103,18808072.0
2019-03-26,32.3479,32.7312,32.2943,32.5166,19781073.0
2019-03-27,32.4552,32.6852,32.1333,32.21,18458296.0
2019-03-28,32.3326,32.4745,32.2406,32.4169,16048895.0
2019-03-29,32.5012,32.6392,32.3425,32.5549,20571118.0
2019-03-30,32.5012,32.6392,32.3425,32.5549,20571118.0
2019-03-31,32.5012,32.6392,32.3425,32.5549,20571118.0
2019-04-01,32.6392,32.9113,32.6162,32.8385,19302651.0
2019-04-02,32.9228,33.0991,32.7619,32.8922,17670906.0
2019-04-03,32.9535,33.0148,32.6162,32.8385,15370795.0
2019-04-04,32.8002,32.8883,32.5779,32.7619,12325356.0
2019-04-05,32.9458,33.1758,32.8768,32.9535,14761894.0
2019-04-06,32.9458,33.1758,32.8768,32.9535,14761894.0
2019-04-07,32.9458,33.1758,32.8768,32.9535,14761894.0
2019-04-08,33.0148,33.1758,32.8922,33.0685,14620975.0
2019-04-09,32.9458,32.9612,32.6392,32.8385,17860595.0
2019-04-10,32.8998,32.8998,32.6903,32.7542,12526176.0
2019-04-11,32.8002,32.8308,32.187,32.4016,19179152.0
2019-04-12,32.4552,32.4552,31.8727,31.9723,20245333.0
2019-04-13,32.4552,32.4552,31.8727,31.9723,20245333.0
2019-04-14,32.4552,32.4552,31.8727,31.9723,20245333.0
2019-04-15,32.0873,32.2866,31.7884,32.2636,17421965.0
2019-04-16,32.3633,32.4246,31.2978,31.3668,26097727.0
2019-04-17,31.3514,31.4281,30.194,30.5696,40239196.0
2019-04-18,30.6079,30.6079,29.4504,30.1863,47988381.0
2019-04-19,30.6079,30.6079,29.4504,30.1863,47988381.0
2019-04-20,30.6079,30.6079,29.4504,30.1863,47988381.0
2019-04-21,30.6079,30.6079,29.4504,30.1863,47988381.0
2019-04-22,29.918,30.2783,29.7494,29.8797,29429714.0
2019-04-23,29.964,30.3856,29.803,30.217,25305608.0
2019-04-24,30.2783,30.3856,30.0177,30.1786,20110959.0
2019-04-25,30.0866,30.5274,30.0215,30.3626,17201238.0
