,EOG US Equity,EOG US Equity,EOG US Equity,EOG US Equity,EOG US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,65.4718,67.0156,65.0959,66.9996,2238897.0
2020-01-02,67.4476,67.6795,66.8236,67.3036,2428311.0
2020-01-03,68.4554,69.4713,67.2396,67.9835,3716592.0
2020-01-04,68.4554,69.4713,67.2396,67.9835,3716592.0
2020-01-05,68.4554,69.4713,67.2396,67.9835,3716592.0
2020-01-06,68.7114,71.4231,68.6154,70.7432,8486146.0
2020-01-07,70.8951,71.4551,69.7753,71.4231,4339399.0
2020-01-08,71.3831,71.623,69.5673,69.8633,5337726.0
2020-01-09,69.2313,70.6872,67.7595,70.5912,6909154.0
2020-01-10,70.0312,70.0792,68.9114,69.0074,2951628.0
2020-01-11,70.0312,70.0792,68.9114,69.0074,2951628.0
2020-01-12,70.0312,70.0792,68.9114,69.0074,2951628.0
2020-01-13,68.6954,68.7698,67.4636,68.4074,3399902.0
2020-01-14,68.2875,69.3193,67.6395,69.0554,4281709.0
2020-01-15,68.5354,69.4073,68.1915,69.3833,2562517.0
2020-01-16,69.7906,70.6975,69.5578,69.8387,5128592.0
2020-01-17,69.8789,69.935,67.6558,68.4664,4542649.0
2020-01-18,69.8789,69.935,67.6558,68.4664,4542649.0
2020-01-19,69.8789,69.935,67.6558,68.4664,4542649.0
2020-01-20,69.8789,69.935,67.6558,68.4664,4542649.0
2020-01-21,68.2978,69.1526,67.4391,67.4471,4522916.0
2020-01-22,67.4471,67.4953,66.4359,66.6847,4030354.0
2020-01-23,65.8901,66.0025,64.7264,65.6735,3369407.0
2020-01-24,65.1678,65.1759,63.3795,64.0844,3129028.0
2020-01-25,65.1678,65.1759,63.3795,64.0844,3129028.0
2020-01-26,65.1678,65.1759,63.3795,64.0844,3129028.0
2020-01-27,62.2706,62.8163,61.4841,61.5082,2968295.0
2020-01-28,62.1743,62.5435,61.452,61.8372,2794264.0
2020-01-29,62.3348,62.5515,60.2241,60.3043,2701153.0
2020-01-30,59.4937,60.9865,59.0604,60.8501,4535903.0
2020-01-31,59.6462,60.0315,58.1936,58.5146,5004178.0
2020-02-01,59.6462,60.0315,58.1936,58.5146,5004178.0
2020-02-02,59.6462,60.0315,58.1936,58.5146,5004178.0
2020-02-03,58.4504,58.5869,57.1984,57.2787,3803196.0
2020-02-04,58.5146,60.0315,58.5066,59.0844,4725257.0
2020-02-05,60.5933,62.5836,60.4167,61.8372,3724789.0
2020-02-06,62.1181,62.1181,60.3685,60.8902,2128799.0
2020-02-07,60.0716,60.4488,59.3092,59.6703,2257832.0
2020-02-08,60.0716,60.4488,59.3092,59.6703,2257832.0
2020-02-09,60.0716,60.4488,59.3092,59.6703,2257832.0
2020-02-10,59.3092,59.5018,58.631,59.1486,2865804.0
2020-02-11,60.2963,60.5181,59.6369,60.0234,2191531.0
2020-02-12,61.4761,61.7249,60.3284,60.4969,2860077.0
2020-02-13,60.192,61.0266,59.9925,60.7377,2197890.0
2020-02-14,60.9945,61.1719,59.261,60.1278,2087730.0
2020-02-15,60.9945,61.1719,59.261,60.1278,2087730.0
2020-02-16,60.9945,61.1719,59.261,60.1278,2087730.0
2020-02-17,60.9945,61.1719,59.261,60.1278,2087730.0
2020-02-18,59.8148,60.2482,59.0122,59.8148,2520808.0
2020-02-19,60.1358,62.3308,60.1358,62.0218,2765294.0
2020-02-20,61.6286,62.094,60.7457,60.9865,2447053.0
2020-02-21,60.0876,60.0876,59.1085,59.558,2963934.0
2020-02-22,60.0876,60.0876,59.1085,59.558,2963934.0
2020-02-23,60.0876,60.0876,59.1085,59.558,2963934.0
2020-02-24,57.2466,57.2466,55.7003,56.1069,3854437.0
2020-02-25,56.2996,56.436,52.6078,53.7635,6558424.0
2020-02-26,54.3493,54.3855,50.6255,50.7218,5371313.0
2020-02-27,48.6271,51.0107,47.2306,48.1536,7699285.0
2020-02-28,45.9867,50.7699,45.2156,50.7699,11081619.0
2020-02-29,45.9867,50.7699,45.2156,50.7699,11081619.0
2020-03-01,45.9867,50.7699,45.2156,50.7699,11081619.0
2020-03-02,51.2113,51.2836,48.282,50.4489,8008580.0
2020-03-03,50.5051,52.4954,48.8679,50.1038,6432237.0
2020-03-04,51.0588,51.7651,49.9834,51.428,5455079.0
2020-03-05,49.5821,51.1552,48.7234,49.6544,4905103.0
2020-03-06,47.2868,48.0733,43.2339,44.3815,9915224.0
2020-03-07,47.2868,48.0733,43.2339,44.3815,9915224.0
2020-03-08,47.2868,48.0733,43.2339,44.3815,9915224.0
2020-03-09,30.6738,32.2468,28.0013,30.1762,18938166.0
2020-03-10,32.0061,33.4748,28.7405,33.3865,13788484.0
2020-03-11,31.661,32.0582,30.1441,31.1875,13209197.0
2020-03-12,28.2421,28.848,25.409,26.0832,12383951.0
2020-03-13,28.2902,28.7477,24.2774,27.9291,13961075.0
2020-03-14,28.2902,28.7477,24.2774,27.9291,13961075.0
2020-03-15,28.2902,28.7477,24.2774,27.9291,13961075.0
2020-03-16,24.0688,28.9604,22.56,24.9596,10311125.0
2020-03-17,25.1923,26.6771,23.7718,24.7911,10122063.0
2020-03-18,22.6242,24.1932,21.6692,23.8842,7759557.0
2020-03-19,24.0286,27.7284,23.8842,26.661,9407920.0
2020-03-20,27.8408,29.8873,26.9019,28.0013,12411379.0
2020-03-21,27.8408,29.8873,26.9019,28.0013,12411379.0
2020-03-22,27.8408,29.8873,26.9019,28.0013,12411379.0
2020-03-23,27.7686,29.3175,26.5727,27.7204,8642077.0
2020-03-24,29.2453,32.1024,28.6674,31.9419,10485919.0
2020-03-25,31.3721,33.3624,29.4539,31.8536,9492513.0
2020-03-26,28.9885,32.2629,28.9885,31.7252,9264151.0
2020-03-27,30.3608,30.8103,27.9933,28.8921,10078948.0
2020-03-28,30.3608,30.8103,27.9933,28.8921,10078948.0
2020-03-29,30.3608,30.8103,27.9933,28.8921,10078948.0
2020-03-30,28.0976,28.4668,26.9018,28.0735,9148305.0
2020-03-31,29.6145,30.9868,28.234,28.8279,7823005.0
2020-04-01,27.7445,28.4668,26.9259,27.7686,6250283.0
2020-04-02,29.3978,34.8712,29.1235,30.738,12693965.0
2020-04-03,32.1024,33.1377,30.8424,32.0141,13594215.0
2020-04-04,32.1024,33.1377,30.8424,32.0141,13594215.0
2020-04-05,32.1024,33.1377,30.8424,32.0141,13594215.0
2020-04-06,32.6481,32.8568,30.2246,31.6449,9030699.0
2020-04-07,33.7075,34.4619,32.5919,33.1698,7531985.0
2020-04-08,33.9162,36.4282,33.8439,36.3479,7217478.0
2020-04-09,37.9209,38.1858,34.1489,35.9707,11001942.0
2020-04-10,37.9209,38.1858,34.1489,35.9707,11001942.0
2020-04-11,37.9209,38.1858,34.1489,35.9707,11001942.0
2020-04-12,37.9209,38.1858,34.1489,35.9707,11001942.0
2020-04-13,37.0783,37.7043,34.3014,34.7428,5758232.0
2020-04-14,34.3897,34.8953,33.5229,33.8921,5410682.0
2020-04-15,31.8799,32.7139,31.4021,32.3009,6255988.0
2020-04-16,32.0256,32.1066,29.4749,29.5721,6638813.0
2020-04-17,30.4061,34.1148,30.3575,33.8799,10886273.0
2020-04-18,30.4061,34.1148,30.3575,33.8799,10886273.0
2020-04-19,30.4061,34.1148,30.3575,33.8799,10886273.0
2020-04-20,31.6046,34.8436,31.4507,33.3374,6680812.0
2020-04-21,31.7989,33.718,31.7989,32.7949,6313879.0
2020-04-22,34.5682,35.0865,33.6775,34.9407,5274111.0
2020-04-23,36.6412,37.3457,35.6938,35.8072,7565518.0
2020-04-24,36.4388,36.706,34.6654,35.1108,5192310.0
2020-04-25,36.4388,36.706,34.6654,35.1108,5192310.0
2020-04-26,36.4388,36.706,34.6654,35.1108,5192310.0
2020-04-27,34.7059,36.5035,34.05,36.0663,4777154.0
2020-04-28,37.2809,37.9044,36.0339,36.4226,4409575.0
2020-04-29,38.2202,38.787,36.8153,38.6413,6661520.0
2020-04-30,38.7061,39.7668,37.1351,38.4712,5449346.0
2020-05-01,37.3619,38.0259,35.4954,36.0906,5699284.0
2020-05-02,37.3619,38.0259,35.4954,36.0906,5699284.0
2020-05-03,37.3619,38.0259,35.4954,36.0906,5699284.0
2020-05-04,35.2241,37.8963,35.0298,37.8477,7710168.0
2020-05-05,39.2729,39.8397,37.0056,37.289,7181698.0
2020-05-06,37.3619,38.123,36.9246,37.1189,3247514.0
2020-05-07,38.5198,40.0098,38.3741,39.119,5907533.0
2020-05-08,39.9207,41.7102,39.2405,41.6616,7285828.0
2020-05-09,39.9207,41.7102,39.2405,41.6616,7285828.0
2020-05-10,39.9207,41.7102,39.2405,41.6616,7285828.0
2020-05-11,41.0867,42.0827,40.0852,40.358,5279410.0
2020-05-12,40.4956,40.9248,39.4429,40.2608,5286028.0
2020-05-13,40.0421,40.0421,38.5036,39.03,5768098.0
