,LFUS US Equity,LFUS US Equity,LFUS US Equity,LFUS US Equity,LFUS US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,184.3362,185.5382,183.4756,183.9516,99398.0
2020-01-02,185.5478,186.1728,182.9515,186.0478,65407.0
2020-01-03,183.8073,184.4131,181.6053,183.6727,85034.0
2020-01-04,183.8073,184.4131,181.6053,183.6727,85034.0
2020-01-05,183.8073,184.4131,181.6053,183.6727,85034.0
2020-01-06,182.2207,182.5188,179.8841,180.1918,171893.0
2020-01-07,180.6341,185.7594,179.8744,184.5574,110925.0
2020-01-08,184.115,186.0046,182.7207,184.4516,81594.0
2020-01-09,185.692,185.692,182.3313,183.3265,88924.0
2020-01-10,183.3169,185.2113,182.2784,183.7689,83765.0
2020-01-11,183.3169,185.2113,182.2784,183.7689,83765.0
2020-01-12,183.3169,185.2113,182.2784,183.7689,83765.0
2020-01-13,183.8169,186.269,182.8554,186.1151,61506.0
2020-01-14,185.7882,188.471,184.7305,185.9517,181114.0
2020-01-15,185.7882,187.8412,183.1342,184.0573,135446.0
2020-01-16,185.4516,185.9276,183.5237,184.942,97085.0
2020-01-17,184.7497,185.9517,181.8168,183.49,121364.0
2020-01-18,184.7497,185.9517,181.8168,183.49,121364.0
2020-01-19,184.7497,185.9517,181.8168,183.49,121364.0
2020-01-20,184.7497,185.9517,181.8168,183.49,121364.0
2020-01-21,182.3938,184.2497,181.9515,183.5285,94522.0
2020-01-22,183.5381,186.0094,183.5381,184.4708,191169.0
2020-01-23,184.7016,186.2711,182.3746,183.4996,199515.0
2020-01-24,184.442,185.0093,181.7976,182.5188,122331.0
2020-01-25,184.442,185.0093,181.7976,182.5188,122331.0
2020-01-26,184.442,185.0093,181.7976,182.5188,122331.0
2020-01-27,178.9994,180.4822,177.2782,177.4705,134453.0
2020-01-28,178.7013,180.4129,177.5378,179.5956,100826.0
2020-01-29,176.7012,180.6245,171.6433,173.4318,271073.0
2020-01-30,171.4317,176.3358,170.5471,175.9896,200947.0
2020-01-31,176.0858,176.0858,167.3161,170.1143,182926.0
2020-02-01,176.0858,176.0858,167.3161,170.1143,182926.0
2020-02-02,176.0858,176.0858,167.3161,170.1143,182926.0
2020-02-03,171.374,173.6001,169.9316,170.3547,109208.0
2020-02-04,184.4997,184.4997,176.0185,176.8454,175467.0
2020-02-05,178.9609,181.3361,175.8358,181.2591,132582.0
2020-02-06,181.3938,181.6245,179.6821,180.5476,131824.0
2020-02-07,179.2975,179.2975,176.9993,177.0185,120550.0
2020-02-08,179.2975,179.2975,176.9993,177.0185,120550.0
2020-02-09,179.2975,179.2975,176.9993,177.0185,120550.0
2020-02-10,175.7396,177.6724,175.0569,177.5089,105568.0
2020-02-11,177.8936,181.7928,177.4128,177.4224,82255.0
2020-02-12,179.2879,179.3167,177.682,178.5571,73968.0
2020-02-13,178.759,179.3552,175.4896,178.6532,85742.0
2020-02-14,179.2398,179.2398,176.8983,177.6339,67658.0
2020-02-15,179.2398,179.2398,176.8983,177.6339,67658.0
2020-02-16,179.2398,179.2398,176.8983,177.6339,67658.0
2020-02-17,179.2398,179.2398,176.8983,177.6339,67658.0
2020-02-18,175.8165,178.9321,175.7787,178.5186,92079.0
2020-02-19,179.3765,181.1119,179.3765,180.572,94995.0
2020-02-20,180.2828,181.9506,179.1548,181.3818,61153.0
2020-02-21,180.4467,180.4467,175.7998,176.0505,83956.0
2020-02-22,180.4467,180.4467,175.7998,176.0505,83956.0
2020-02-23,180.4467,180.4467,175.7998,176.0505,83956.0
2020-02-24,169.3019,170.9794,166.8242,169.138,142480.0
2020-02-25,170.0925,170.4058,163.7729,164.7997,118421.0
2020-02-26,165.9662,167.8944,162.2545,162.5919,81162.0
2020-02-27,158.4271,163.4403,155.6988,155.718,104793.0
2020-02-28,151.129,156.3833,149.4515,153.9441,190016.0
2020-02-29,151.129,156.3833,149.4515,153.9441,190016.0
2020-03-01,151.129,156.3833,149.4515,153.9441,190016.0
2020-03-02,155.4867,157.5209,150.8398,157.3088,148206.0
2020-03-03,157.4823,161.9364,155.38,155.8241,170037.0
2020-03-04,158.5428,161.6375,154.8215,160.1914,151900.0
2020-03-05,155.853,157.3666,147.9379,148.9695,143585.0
2020-03-06,144.6311,153.1536,144.4335,150.8687,159986.0
2020-03-07,144.6311,153.1536,144.4335,150.8687,159986.0
2020-03-08,144.6311,153.1536,144.4335,150.8687,159986.0
2020-03-09,143.2236,149.9528,134.6722,136.8703,155980.0
2020-03-10,140.9773,145.3253,137.9308,144.9107,234813.0
2020-03-11,140.1675,142.3463,132.879,133.9684,213931.0
2020-03-12,126.3618,142.6355,118.895,124.8193,341903.0
2020-03-13,130.3628,132.3681,114.5519,124.7904,266068.0
2020-03-14,130.3628,132.3681,114.5519,124.7904,266068.0
2020-03-15,130.3628,132.3681,114.5519,124.7904,266068.0
2020-03-16,113.0479,123.807,112.4791,112.8647,213463.0
2020-03-17,116.2583,126.6511,109.9918,125.928,355072.0
2020-03-18,117.6176,120.8762,99.9075,101.9996,271117.0
2020-03-19,102.6069,116.3258,100.6999,113.0961,171875.0
2020-03-20,113.5299,117.9551,107.0925,109.0277,192710.0
2020-03-21,113.5299,117.9551,107.0925,109.0277,192710.0
