,SPB US Equity,SPB US Equity,SPB US Equity,SPB US Equity,SPB US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,37.4299,37.6884,36.5888,37.0181,594693.0
2019-01-02,36.7903,38.0433,36.2471,38.0433,483878.0
2019-01-03,37.8155,40.1461,37.7191,39.2524,928664.0
2019-01-04,39.4977,41.2676,39.4977,41.1274,748422.0
2019-01-05,39.4977,41.2676,39.4977,41.1274,748422.0
2019-01-06,39.4977,41.2676,39.4977,41.1274,748422.0
2019-01-07,41.1361,42.3715,40.4264,41.8371,517589.0
2019-01-08,41.951,43.0725,41.4428,42.6694,574589.0
2019-01-09,42.8447,44.5795,42.7045,44.5532,781410.0
2019-01-10,44.045,44.7985,43.4799,44.7722,493511.0
2019-01-11,44.8336,45.1227,43.8523,44.6583,428491.0
2019-01-12,44.8336,45.1227,43.8523,44.6583,428491.0
2019-01-13,44.8336,45.1227,43.8523,44.6583,428491.0
2019-01-14,44.2641,45.3855,43.8347,45.1577,524487.0
2019-01-15,44.9475,45.5345,44.2903,45.5345,472072.0
2019-01-16,45.3768,46.3143,45.3505,46.1391,289430.0
2019-01-17,46.0252,47.2167,45.7886,47.0766,412808.0
2019-01-18,48.9516,49.7664,47.7512,48.382,766949.0
2019-01-19,48.9516,49.7664,47.7512,48.382,766949.0
2019-01-20,48.9516,49.7664,47.7512,48.382,766949.0
2019-01-21,48.9516,49.7664,47.7512,48.382,766949.0
2019-01-22,48.4521,48.8689,46.3318,46.7436,959670.0
2019-01-23,46.6648,47.5672,45.8762,46.1741,591155.0
2019-01-24,46.3231,47.5497,45.7151,46.9627,410842.0
2019-01-25,46.8663,47.944,46.4895,47.2868,277117.0
2019-01-26,46.8663,47.944,46.4895,47.2868,277117.0
2019-01-27,46.8663,47.944,46.4895,47.2868,277117.0
2019-01-28,46.8225,47.4971,46.253,47.0152,227103.0
2019-01-29,46.7962,47.6877,46.691,47.6198,186739.0
2019-01-30,47.6198,48.1893,46.8882,48.0316,330839.0
2019-01-31,47.9965,49.4685,47.6636,48.9603,385368.0
2019-02-01,49.0655,49.67,48.531,49.6262,438606.0
2019-02-02,49.0655,49.67,48.531,49.6262,438606.0
2019-02-03,49.0655,49.67,48.531,49.6262,438606.0
2019-02-04,49.7051,50.7039,49.5649,50.6864,307107.0
2019-02-05,50.7389,51.1245,50.0336,50.3096,287603.0
2019-02-06,50.0292,50.5199,49.3984,50.371,397069.0
2019-02-07,47.4095,48.163,40.4879,41.4691,2661996.0
2019-02-08,42.0649,43.0549,40.6718,41.1011,955509.0
2019-02-09,42.0649,43.0549,40.6718,41.1011,955509.0
2019-02-10,42.0649,43.0549,40.6718,41.1011,955509.0
2019-02-11,40.5141,41.5655,40.3914,41.0923,1347383.0
2019-02-12,40.7857,43.217,40.7857,43.1163,1292804.0
2019-02-13,43.2827,45.6396,43.2827,45.0614,973003.0
2019-02-14,44.8073,46.8225,44.7679,46.7436,945802.0
2019-02-15,46.3462,48.5628,45.8251,47.9093,1571742.0
2019-02-16,46.3462,48.5628,45.8251,47.9093,1571742.0
2019-02-17,46.3462,48.5628,45.8251,47.9093,1571742.0
2019-02-18,46.3462,48.5628,45.8251,47.9093,1571742.0
2019-02-19,47.9358,48.8366,47.0881,48.3155,817538.0
2019-02-20,48.2272,49.2075,47.7239,48.9691,754264.0
2019-02-21,48.8896,50.5675,48.6511,49.4194,824175.0
2019-02-22,49.8698,49.9493,46.4257,46.5405,914309.0
2019-02-23,49.8698,49.9493,46.4257,46.5405,914309.0
2019-02-24,49.8698,49.9493,46.4257,46.5405,914309.0
2019-02-25,47.3971,48.4039,46.8893,47.194,1248786.0
2019-02-26,47.1587,48.3023,46.8496,47.5119,1101307.0
2019-02-27,47.2558,48.4392,47.0085,47.821,618442.0
2019-02-28,47.9535,48.5275,46.9202,47.8387,588066.0
2019-03-01,48.2449,49.2163,48.1213,48.7659,600385.0
2019-03-02,48.2449,49.2163,48.1213,48.7659,600385.0
2019-03-03,48.2449,49.2163,48.1213,48.7659,600385.0
2019-03-04,48.7924,49.2428,47.3794,48.1036,607082.0
2019-03-05,48.0683,49.7639,47.6355,49.0044,824481.0
2019-03-06,48.9691,49.5872,48.7041,48.8896,676421.0
2019-03-07,48.7306,49.5033,47.9446,48.1742,644687.0
2019-03-08,47.874,49.2693,47.5296,49.0839,617584.0
2019-03-09,47.874,49.2693,47.5296,49.0839,617584.0
2019-03-10,47.874,49.2693,47.5296,49.0839,617584.0
2019-03-11,49.1987,50.0111,48.8017,49.7374,613614.0
2019-03-12,49.6314,50.9031,49.468,49.6491,736068.0
2019-03-13,49.7727,49.8963,48.8189,49.0309,579988.0
2019-03-14,48.554,49.0927,48.554,49.0044,314985.0
2019-03-15,49.075,49.9758,48.7659,49.8168,533099.0
2019-03-16,49.075,49.9758,48.7659,49.8168,533099.0
2019-03-17,49.075,49.9758,48.7659,49.8168,533099.0
2019-03-18,49.9228,50.3732,49.2516,49.7727,434454.0
2019-03-19,49.8345,50.3423,49.6049,49.8345,494533.0
2019-03-20,49.4636,49.4636,47.8872,48.4922,698055.0
2019-03-21,48.1477,50.0023,47.9844,49.808,446092.0
2019-03-22,49.6844,49.6844,48.7218,49.0309,424489.0
2019-03-23,49.6844,49.6844,48.7218,49.0309,424489.0
2019-03-24,49.6844,49.6844,48.7218,49.0309,424489.0
2019-03-25,48.7129,49.0309,48.2007,48.607,401451.0
2019-03-26,49.0574,49.3841,48.5098,48.8984,359828.0
2019-03-27,49.181,49.2781,48.3155,48.554,362301.0
2019-03-28,48.6511,49.1898,48.0948,48.3332,370296.0
2019-03-29,48.3332,49.0309,47.7768,48.3774,572895.0
2019-03-30,48.3332,49.0309,47.7768,48.3774,572895.0
2019-03-31,48.3332,49.0309,47.7768,48.3774,572895.0
2019-04-01,48.5981,50.7971,48.5716,50.7794,439833.0
2019-04-02,50.3379,51.0709,49.7815,49.9405,507019.0
2019-04-03,49.755,50.5498,49.5696,49.6314,268941.0
2019-04-04,49.808,50.9119,49.7109,50.2937,392446.0
2019-04-05,50.6381,51.1327,50.4085,50.6735,343009.0
2019-04-06,50.6381,51.1327,50.4085,50.6735,343009.0
2019-04-07,50.6381,51.1327,50.4085,50.6735,343009.0
2019-04-08,51.0267,51.1769,50.307,50.9561,313873.0
2019-04-09,50.6911,51.0974,50.1789,50.7883,276027.0
2019-04-10,50.7971,51.3093,50.4351,51.0179,392706.0
2019-04-11,51.0091,51.3358,50.382,50.8678,217589.0
2019-04-12,51.1945,52.2101,51.1945,51.3446,403647.0
2019-04-13,51.1945,52.2101,51.1945,51.3446,403647.0
2019-04-14,51.1945,52.2101,51.1945,51.3446,403647.0
2019-04-15,51.5566,52.5987,51.3623,52.3426,431953.0
2019-04-16,52.6428,53.4023,52.1218,53.208,271317.0
2019-04-17,53.208,54.1618,52.8195,53.8969,458320.0
2019-04-18,54.3738,54.9654,53.9057,54.6917,364782.0
2019-04-19,54.3738,54.9654,53.9057,54.6917,364782.0
2019-04-20,54.3738,54.9654,53.9057,54.6917,364782.0
2019-04-21,54.3738,54.9654,53.9057,54.6917,364782.0
2019-04-22,54.6652,55.301,53.5701,53.7202,391573.0
2019-04-23,53.6937,54.8065,53.6937,54.3649,379915.0
2019-04-24,54.3119,55.4423,54.0474,54.2325,380112.0
2019-04-25,53.941,53.941,53.1198,53.1727,290581.0
2019-04-26,53.0579,54.3368,53.0579,54.153,427051.0
2019-04-27,53.0579,54.3368,53.0579,54.153,427051.0
2019-04-28,53.0579,54.3368,53.0579,54.153,427051.0
2019-04-29,54.2325,55.4865,54.2325,55.3275,305126.0
2019-04-30,55.301,55.5395,54.0558,54.3738,364932.0
2019-05-01,54.2501,54.8241,53.0058,53.0932,362962.0
2019-05-02,53.3052,53.8704,52.9519,53.3317,410952.0
2019-05-03,53.7732,55.0361,53.7732,54.9389,466227.0
2019-05-04,53.7732,55.0361,53.7732,54.9389,466227.0
2019-05-05,53.7732,55.0361,53.7732,54.9389,466227.0
2019-05-06,54.1176,55.1951,53.9013,54.9478,650088.0
2019-05-07,54.5062,55.6366,54.5062,55.2392,873933.0
2019-05-08,55.0979,58.392,53.7467,58.0652,638699.0
2019-05-09,58.3743,58.7252,57.1026,57.9151,493504.0
2019-05-10,57.4029,57.7119,56.3564,57.4029,562023.0
2019-05-11,57.4029,57.7119,56.3564,57.4029,562023.0
2019-05-12,57.4029,57.7119,56.3564,57.4029,562023.0
2019-05-13,56.9851,56.9851,55.5363,55.5896,392277.0
2019-05-14,55.4296,56.9318,55.4296,56.754,252351.0
2019-05-15,56.6918,57.114,56.3807,56.6918,394557.0
2019-05-16,56.9584,58.314,56.7273,58.274,509082.0
2019-05-17,57.9006,58.8357,57.554,58.2295,257572.0
2019-05-18,57.9006,58.8357,57.554,58.2295,257572.0
2019-05-19,57.9006,58.8357,57.554,58.2295,257572.0
2019-05-20,57.5895,58.2117,57.0651,57.5807,367354.0
2019-05-21,57.7851,58.1406,57.3407,57.7673,173179.0
2019-05-22,57.5362,57.8029,56.9496,57.3318,204766.0
2019-05-23,56.9762,56.9762,55.4118,55.5718,243689.0
2019-05-24,55.8385,55.874,55.0563,55.0829,242858.0
