,PINC US Equity,PINC US Equity,PINC US Equity,PINC US Equity,PINC US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,33.4783,33.867,32.7188,33.7676,449164.0
2019-01-02,33.3155,33.8037,32.8454,33.632,1071543.0
2019-01-03,33.4783,33.8851,33.0534,33.1347,906210.0
2019-01-04,33.4602,34.1383,33.3969,34.0298,1277808.0
2019-01-05,33.4602,34.1383,33.3969,34.0298,1277808.0
2019-01-06,33.4602,34.1383,33.3969,34.0298,1277808.0
2019-01-07,33.9484,34.4553,33.3065,33.7766,759184.0
2019-01-08,34.075,34.2467,33.5596,33.7043,854235.0
2019-01-09,33.9846,35.187,33.9755,35.0875,692357.0
2019-01-10,34.8615,34.8615,34.3643,34.6536,779593.0
2019-01-11,34.6265,35.5305,34.4908,35.4221,920877.0
2019-01-12,34.6265,35.5305,34.4908,35.4221,920877.0
2019-01-13,34.6265,35.5305,34.4908,35.4221,920877.0
2019-01-14,35.1056,35.5758,34.6084,35.3678,664691.0
2019-01-15,35.3769,36.0911,35.1599,35.9826,593833.0
2019-01-16,35.8289,36.2629,35.7385,36.2086,661338.0
2019-01-17,36.3985,36.507,36.1092,36.1363,422071.0
2019-01-18,36.1001,36.5883,35.6933,35.7566,634228.0
2019-01-19,36.1001,36.5883,35.6933,35.7566,634228.0
2019-01-20,36.1001,36.5883,35.6933,35.7566,634228.0
2019-01-21,36.1001,36.5883,35.6933,35.7566,634228.0
2019-01-22,35.5215,35.8741,35.0423,35.8741,758003.0
2019-01-23,36.0097,36.2629,35.6752,35.9374,785375.0
2019-01-24,35.9012,36.1996,35.5667,35.5848,407966.0
2019-01-25,35.5848,36.3081,35.5305,36.2267,418084.0
2019-01-26,35.5848,36.3081,35.5305,36.2267,418084.0
2019-01-27,35.5848,36.3081,35.5305,36.2267,418084.0
2019-01-28,36.082,36.3894,35.9464,36.0007,410457.0
2019-01-29,36.0188,36.0911,35.639,35.7385,390068.0
2019-01-30,35.8289,36.0188,35.5938,35.7204,457537.0
2019-01-31,35.7385,36.2177,35.7385,35.9735,675883.0
2019-02-01,35.9645,36.3533,35.7475,36.3081,581188.0
2019-02-02,35.9645,36.3533,35.7475,36.3081,581188.0
2019-02-03,35.9645,36.3533,35.7475,36.3081,581188.0
2019-02-04,36.299,36.9409,36.1544,36.9048,574579.0
2019-02-05,37.0585,37.9716,35.5984,35.7023,1485269.0
2019-02-06,35.3226,36.1272,33.0805,33.4512,1880877.0
2019-02-07,33.3427,34.31,33.0262,33.8128,890678.0
2019-02-08,33.7857,33.9665,33.189,33.4059,538991.0
2019-02-09,33.7857,33.9665,33.189,33.4059,538991.0
2019-02-10,33.7857,33.9665,33.189,33.4059,538991.0
2019-02-11,33.415,33.6862,32.6104,33.0624,752428.0
2019-02-12,33.1799,34.1699,33.1438,33.5325,796428.0
2019-02-13,33.65,34.0478,33.3788,33.4692,515689.0
2019-02-14,33.3879,34.0569,33.2251,33.65,677946.0
2019-02-15,33.8128,34.5541,32.9991,34.0388,982563.0
