,BKNG US Equity,BKNG US Equity,BKNG US Equity,BKNG US Equity,BKNG US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,1726.064,1735.26,1708.12,1718.024,280249.0
2019-01-02,1686.934,1732.338,1686.525,1717.306,312646.0
2019-01-03,1700.3,1708.309,1653.749,1658.876,445239.0
2019-01-04,1681.817,1732.647,1674.336,1713.167,540992.0
2019-01-05,1681.817,1732.647,1674.336,1713.167,540992.0
2019-01-06,1681.817,1732.647,1674.336,1713.167,540992.0
2019-01-07,1717.346,1726.981,1699.252,1707.451,334802.0
2019-01-08,1725.625,1751.509,1676.86,1682.615,652453.0
2019-01-09,1638.159,1678.585,1632.837,1645.281,786286.0
2019-01-10,1635.815,1681.677,1635.815,1673.049,459684.0
2019-01-11,1666.327,1673.768,1650.709,1661.639,331242.0
2019-01-12,1666.327,1673.768,1650.709,1661.639,331242.0
2019-01-13,1666.327,1673.768,1650.709,1661.639,331242.0
2019-01-14,1643.355,1704.469,1640.802,1688.56,439269.0
2019-01-15,1690.674,1699.831,1677.269,1693.976,436078.0
2019-01-16,1689.098,1693.886,1672.261,1676.281,503742.0
2019-01-17,1677.438,1733.47,1672.261,1720.109,363223.0
2019-01-18,1742.562,1772.306,1733.066,1755.768,552561.0
2019-01-19,1742.562,1772.306,1733.066,1755.768,552561.0
2019-01-20,1742.562,1772.306,1733.066,1755.768,552561.0
2019-01-21,1742.562,1772.306,1733.066,1755.768,552561.0
2019-01-22,1738.731,1755.179,1687.161,1704.619,757985.0
2019-01-23,1712.868,1742.123,1710.733,1739.859,437850.0
2019-01-24,1744.517,1800.573,1744.417,1791.087,695786.0
2019-01-25,1807.366,1829.399,1794.419,1797.601,491397.0
2019-01-26,1807.366,1829.399,1794.419,1797.601,491397.0
2019-01-27,1807.366,1829.399,1794.419,1797.601,491397.0
2019-01-28,1783.058,1830.317,1775.637,1808.972,387780.0
2019-01-29,1811.984,1815.754,1789.621,1804.184,212398.0
2019-01-30,1820.672,1830.791,1800.972,1814.059,300494.0
2019-01-31,1815.724,1846.451,1815.724,1828.133,314887.0
2019-02-01,1819.395,1857.318,1816.497,1832.272,278230.0
2019-02-02,1819.395,1857.318,1816.497,1832.272,278230.0
2019-02-03,1819.395,1857.318,1816.497,1832.272,278230.0
2019-02-04,1835.693,1857.508,1833.25,1856.241,319520.0
2019-02-05,1882.713,1911.335,1875.132,1897.405,487946.0
2019-02-06,1891.102,1905.126,1869.996,1902.064,242989.0
2019-02-07,1887.271,1895.8,1857.258,1872.27,362600.0
2019-02-08,1887.541,1895.141,1857.258,1866.315,276038.0
2019-02-09,1887.541,1895.141,1857.258,1866.315,276038.0
2019-02-10,1887.541,1895.141,1857.258,1866.315,276038.0
2019-02-11,1868.35,1875.89,1852.251,1860.241,327682.0
2019-02-12,1872.04,1895.151,1856.959,1890.453,262261.0
2019-02-13,1894.443,1919.09,1893.924,1915.07,277289.0
