,CCBG US Equity,CCBG US Equity,CCBG US Equity,CCBG US Equity,CCBG US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,27.6212,27.6212,27.0984,27.495,105627.0
2020-01-02,27.6032,27.6032,26.891,27.2065,33251.0
2020-01-03,26.8369,27.2065,26.7107,26.9,34852.0
2020-01-04,26.8369,27.2065,26.7107,26.9,34852.0
2020-01-05,26.8369,27.2065,26.7107,26.9,34852.0
2020-01-06,26.855,26.9631,26.4223,26.7738,41493.0
2020-01-07,26.7197,26.7288,26.3231,26.5665,32436.0
2020-01-08,26.4583,26.891,26.4583,26.7017,31382.0
2020-01-09,26.8279,26.873,26.3772,26.4403,25046.0
2020-01-10,26.4763,26.4763,26.0707,26.1518,30008.0
2020-01-11,26.4763,26.4763,26.0707,26.1518,30008.0
2020-01-12,26.4763,26.4763,26.0707,26.1518,30008.0
2020-01-13,26.1879,26.4583,26.0346,26.251,33592.0
2020-01-14,26.2239,26.4268,25.9174,25.9445,34564.0
2020-01-15,25.9084,25.9535,25.4315,25.8273,32306.0
2020-01-16,25.8994,26.2059,25.8994,26.1428,43691.0
2020-01-17,26.3592,26.5034,26.1608,26.1789,34521.0
2020-01-18,26.3592,26.5034,26.1608,26.1789,34521.0
2020-01-19,26.3592,26.5034,26.1608,26.1789,34521.0
2020-01-20,26.3592,26.5034,26.1608,26.1789,34521.0
2020-01-21,26.0887,26.2059,25.9445,26.0526,30744.0
2020-01-22,26.0229,26.1158,25.8047,25.8453,14287.0
2020-01-23,25.7371,26.0887,25.5478,25.9445,36794.0
2020-01-24,26.1789,26.1789,25.4757,25.5839,22808.0
2020-01-25,26.1789,26.1789,25.4757,25.5839,22808.0
2020-01-26,26.1789,26.1789,25.4757,25.5839,22808.0
2020-01-27,25.2413,25.9084,25.0971,25.5659,36536.0
2020-01-28,25.6817,25.7732,25.3856,25.7281,38472.0
2020-01-29,25.9174,25.9174,25.3765,25.5659,43073.0
2020-01-30,25.4126,25.8273,25.3315,25.7101,25063.0
2020-01-31,25.4847,26.278,25.4847,25.7101,33309.0
2020-02-01,25.4847,26.278,25.4847,25.7101,33309.0
2020-02-02,25.4847,26.278,25.4847,25.7101,33309.0
2020-02-03,25.8092,26.3501,25.8092,26.3231,35201.0
2020-02-04,26.6927,26.8189,26.3772,26.7378,30851.0
2020-02-05,26.9361,27.3147,26.855,27.2336,27026.0
2020-02-06,27.1795,27.1795,26.346,27.0443,39491.0
2020-02-07,26.891,27.0713,26.8369,26.9541,29275.0
