,ONB US Equity,ONB US Equity,ONB US Equity,ONB US Equity,ONB US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,15.7708,15.9047,15.7622,15.7967,993406.0
2020-01-02,15.8831,15.8831,15.6845,15.8313,902552.0
2020-01-03,15.719,15.7967,15.5635,15.7535,804203.0
2020-01-04,15.719,15.7967,15.5635,15.7535,804203.0
2020-01-05,15.719,15.7967,15.5635,15.7535,804203.0
2020-01-06,15.6672,15.7492,15.5376,15.719,563198.0
2020-01-07,15.6326,15.7795,15.5722,15.624,900824.0
2020-01-08,15.6413,15.8399,15.6067,15.7795,844120.0
2020-01-09,15.9349,15.9349,15.7276,15.7535,854997.0
2020-01-10,15.719,15.7449,15.5981,15.6585,653409.0
2020-01-11,15.719,15.7449,15.5981,15.6585,653409.0
2020-01-12,15.719,15.7449,15.5981,15.6585,653409.0
2020-01-13,15.6413,15.7708,15.5808,15.7708,1077750.0
2020-01-14,15.7363,15.8745,15.6758,15.8226,1073363.0
2020-01-15,15.7363,15.8226,15.5981,15.6672,766994.0
2020-01-16,15.7622,15.909,15.6931,15.8745,907417.0
2020-01-17,15.9867,16.0386,15.8485,15.9608,1591687.0
2020-01-18,15.9867,16.0386,15.8485,15.9608,1591687.0
2020-01-19,15.9867,16.0386,15.8485,15.9608,1591687.0
2020-01-20,15.9867,16.0386,15.8485,15.9608,1591687.0
2020-01-21,15.6499,15.8313,15.3649,15.4081,2044453.0
2020-01-22,15.4944,15.7605,15.4599,15.5549,1339566.0
2020-01-23,15.5376,15.719,15.4685,15.6931,2536999.0
2020-01-24,15.6585,15.719,15.4944,15.6931,1193043.0
2020-01-25,15.6585,15.719,15.4944,15.6931,1193043.0
2020-01-26,15.6585,15.719,15.4944,15.6931,1193043.0
2020-01-27,15.4513,15.6758,15.3044,15.5981,1339887.0
2020-01-28,15.6931,15.7622,15.6154,15.6413,724688.0
2020-01-29,15.624,15.7104,15.5204,15.5463,927311.0
2020-01-30,15.5204,15.7276,15.421,15.719,822140.0
2020-01-31,15.6067,15.6413,15.4513,15.4685,1238146.0
2020-02-01,15.6067,15.6413,15.4513,15.4685,1238146.0
2020-02-02,15.6067,15.6413,15.4513,15.4685,1238146.0
2020-02-03,15.5549,15.5981,15.4858,15.5376,1424791.0
2020-02-04,15.6585,15.7363,15.5549,15.5635,1090512.0
2020-02-05,15.7104,15.9306,15.6845,15.9176,1221095.0
2020-02-06,15.9781,15.9781,15.7622,15.7708,622086.0
2020-02-07,15.7622,15.7622,15.6326,15.6931,698062.0
2020-02-08,15.7622,15.7622,15.6326,15.6931,698062.0
2020-02-09,15.7622,15.7622,15.6326,15.6931,698062.0
