,NFBK US Equity,NFBK US Equity,NFBK US Equity,NFBK US Equity,NFBK US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,14.3825,14.4504,14.3232,14.3825,102545.0
2020-01-02,14.4249,14.4334,14.179,14.2596,95663.0
2020-01-03,14.0688,14.4504,14.0688,14.4165,229979.0
2020-01-04,14.0688,14.4504,14.0688,14.4165,229979.0
2020-01-05,14.0688,14.4504,14.0688,14.4165,229979.0
2020-01-06,14.3401,14.3401,14.1875,14.2765,104621.0
2020-01-07,14.1705,14.1875,14.0433,14.0433,50513.0
2020-01-08,14.0433,14.1705,14.0433,14.1069,74795.0
2020-01-09,14.196,14.2129,13.9585,14.0009,75038.0
2020-01-10,13.9755,13.984,13.8398,13.9416,71212.0
2020-01-11,13.9755,13.984,13.8398,13.9416,71212.0
2020-01-12,13.9755,13.984,13.8398,13.9416,71212.0
2020-01-13,13.9331,14.0942,13.8737,14.073,81681.0
2020-01-14,14.0518,14.1366,13.9924,14.0391,81168.0
2020-01-15,13.984,14.1027,13.984,14.0773,64182.0
2020-01-16,14.1366,14.2893,14.0518,14.2045,74098.0
2020-01-17,14.2893,14.2893,14.1451,14.1705,67131.0
2020-01-18,14.2893,14.2893,14.1451,14.1705,67131.0
2020-01-19,14.2893,14.2893,14.1451,14.1705,67131.0
2020-01-20,14.2893,14.2893,14.1451,14.1705,67131.0
2020-01-21,14.1197,14.1451,14.0094,14.0433,71221.0
2020-01-22,14.1027,14.1197,13.984,14.0688,62572.0
2020-01-23,14.0773,14.2214,13.9239,14.1917,143561.0
2020-01-24,14.0773,14.2214,13.95,14.0264,67648.0
2020-01-25,14.0773,14.2214,13.95,14.0264,67648.0
2020-01-26,14.0773,14.2214,13.95,14.0264,67648.0
2020-01-27,13.8907,14.0773,13.8907,13.9755,72754.0
2020-01-28,14.0094,14.0607,13.95,14.0094,49831.0
2020-01-29,13.9924,14.0518,13.6872,13.7041,199282.0
2020-01-30,13.6702,14.1079,13.6702,13.9246,92924.0
2020-01-31,13.8483,13.8483,13.4412,13.4752,130566.0
2020-02-01,13.8483,13.8483,13.4412,13.4752,130566.0
2020-02-02,13.8483,13.8483,13.4412,13.4752,130566.0
