,FBK US Equity,FBK US Equity,FBK US Equity,FBK US Equity,FBK US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,37.3398,37.4906,37.2361,37.3209,19928.0
2020-01-02,37.7828,37.7828,36.793,37.2738,39409.0
2020-01-03,36.9061,37.4152,36.7082,37.0947,49882.0
2020-01-04,36.9061,37.4152,36.7082,37.0947,49882.0
2020-01-05,36.9061,37.4152,36.7082,37.0947,49882.0
2020-01-06,36.7647,36.8402,36.1331,36.7742,67689.0
2020-01-07,36.7742,36.7742,36.2368,36.3028,31855.0
2020-01-08,36.3405,36.6516,36.2463,36.5762,111130.0
2020-01-09,36.6422,36.9533,36.4631,36.7742,58076.0
2020-01-10,36.6893,36.8213,36.4395,36.5479,41134.0
2020-01-11,36.6893,36.8213,36.4395,36.5479,41134.0
2020-01-12,36.6893,36.8213,36.4395,36.5479,41134.0
2020-01-13,36.5762,36.8967,36.5125,36.6045,100545.0
2020-01-14,36.5291,36.7836,36.1426,36.3405,68281.0
2020-01-15,36.1049,36.35,35.5864,35.9352,71194.0
2020-01-16,36.0577,36.6422,35.9729,36.5762,34750.0
2020-01-17,36.8025,36.8025,36.4065,36.5762,44167.0
2020-01-18,36.8025,36.8025,36.4065,36.5762,44167.0
2020-01-19,36.8025,36.8025,36.4065,36.5762,44167.0
2020-01-20,36.8025,36.8025,36.4065,36.5762,44167.0
2020-01-21,36.2745,36.416,35.9163,36.0389,68151.0
2020-01-22,35.6429,36.0577,34.804,35.9258,708795.0
2020-01-23,35.5581,36.1803,35.3978,36.0389,246083.0
2020-01-24,36.1331,36.152,35.3413,35.6429,146022.0
2020-01-25,36.1331,36.152,35.3413,35.6429,146022.0
2020-01-26,36.1331,36.152,35.3413,35.6429,146022.0
2020-01-27,34.8982,35.5393,34.8888,34.9831,116113.0
2020-01-28,35.0868,35.3036,34.3986,34.4552,166769.0
2020-01-29,34.5589,34.7191,33.7104,33.7859,155898.0
2020-01-30,33.5408,34.3515,33.4653,34.2855,131427.0
2020-01-31,34.2101,34.3138,33.4748,33.6067,166086.0
2020-02-01,34.2101,34.3138,33.4748,33.6067,166086.0
2020-02-02,34.2101,34.3138,33.4748,33.6067,166086.0
2020-02-03,33.8047,34.2195,33.5125,33.8801,122058.0
2020-02-04,34.2666,34.4457,33.9273,33.9838,173605.0
2020-02-05,34.3797,35.1056,34.1441,35.0208,126151.0
2020-02-06,35.0113,35.2187,34.4269,34.6626,96014.0
2020-02-07,34.2855,34.6248,34.0969,34.2949,120280.0
2020-02-08,34.2855,34.6248,34.0969,34.2949,120280.0
2020-02-09,34.2855,34.6248,34.0969,34.2949,120280.0
2020-02-10,34.1724,34.3326,33.9744,34.3138,98206.0
2020-02-11,34.4552,35.0349,34.3232,34.9077,111428.0
2020-02-12,35.1433,35.1433,34.5777,34.804,128249.0
2020-02-13,34.7189,35.2103,34.7189,35.1914,79879.0
2020-02-14,35.0497,35.1536,34.6717,34.6811,66906.0
2020-02-15,35.0497,35.1536,34.6717,34.6811,66906.0
2020-02-16,35.0497,35.1536,34.6717,34.6811,66906.0
2020-02-17,35.0497,35.1536,34.6717,34.6811,66906.0
2020-02-18,34.5772,34.6433,33.8117,33.9062,73838.0
2020-02-19,34.0385,34.2275,33.755,34.1614,77931.0
2020-02-20,34.3031,34.5488,33.8023,34.4638,76966.0
2020-02-21,34.5016,34.5016,34.0102,34.2181,56335.0
2020-02-22,34.5016,34.5016,34.0102,34.2181,56335.0
2020-02-23,34.5016,34.5016,34.0102,34.2181,56335.0
2020-02-24,33.4243,33.5566,32.9612,33.188,76406.0
2020-02-25,33.1786,33.2542,32.4604,32.5265,132216.0
2020-02-26,32.6872,33.0652,32.2525,32.347,79612.0
2020-02-27,31.7422,32.8478,31.2792,31.3548,388122.0
2020-02-28,30.3625,31.402,29.8604,30.7783,339427.0
2020-02-29,30.3625,31.402,29.8604,30.7783,339427.0
2020-03-01,30.3625,31.402,29.8604,30.7783,339427.0
2020-03-02,30.5988,31.4304,30.268,31.4304,144128.0
2020-03-03,31.3642,31.3642,29.6538,29.8617,95291.0
2020-03-04,30.1168,30.1168,28.9781,29.6443,98898.0
2020-03-05,28.9639,28.9639,27.7165,28.2079,85009.0
2020-03-06,27.2535,27.4897,26.7338,27.3952,152882.0
2020-03-07,27.2535,27.4897,26.7338,27.3952,152882.0
2020-03-08,27.2535,27.4897,26.7338,27.3952,152882.0
2020-03-09,25.0422,25.7982,24.3051,25.3824,204282.0
2020-03-10,26.1951,26.2896,24.7115,25.8171,147163.0
2020-03-11,25.1745,25.2974,23.3885,23.7287,151817.0
2020-03-12,22.2356,22.3868,19.9865,20.837,177444.0
2020-03-13,21.7348,22.1978,20.8654,21.7442,346505.0
2020-03-14,21.7348,22.1978,20.8654,21.7442,346505.0
2020-03-15,21.7348,22.1978,20.8654,21.7442,346505.0
2020-03-16,18.9187,20.1377,18.2761,18.2855,133929.0
2020-03-17,18.2855,18.6352,16.4239,18.5312,509452.0
2020-03-18,17.8509,18.2666,13.589,14.4394,250886.0
2020-03-19,14.3733,18.0304,13.7685,17.4823,259950.0
2020-03-20,17.4162,17.7044,15.8664,16.6035,294454.0
2020-03-21,17.4162,17.7044,15.8664,16.6035,294454.0
2020-03-22,17.4162,17.7044,15.8664,16.6035,294454.0
2020-03-23,16.4806,16.7074,15.564,16.0554,200862.0
2020-03-24,17.0476,17.7658,16.1168,17.1421,141832.0
2020-03-25,17.2744,18.0493,16.2916,17.7753,200079.0
2020-03-26,17.9926,19.2494,17.8698,19.2022,146090.0
2020-03-27,18.484,19.429,18.0933,18.673,179321.0
2020-03-28,18.484,19.429,18.0933,18.673,179321.0
2020-03-29,18.484,19.429,18.0933,18.673,179321.0
2020-03-30,18.8053,19.2778,17.8603,18.7391,101711.0
2020-03-31,18.4651,19.051,18.0446,18.6352,131194.0
2020-04-01,17.6713,17.8509,16.9437,17.3878,122639.0
2020-04-02,17.1421,17.5674,16.6885,17.3122,111219.0
2020-04-03,17.0287,17.8981,17.0287,17.8225,206520.0
2020-04-04,17.0287,17.8981,17.0287,17.8225,206520.0
2020-04-05,17.0287,17.8981,17.0287,17.8225,206520.0
2020-04-06,18.673,18.9281,17.5957,18.5029,188783.0
2020-04-07,19.1833,19.7408,18.3726,19.0132,177311.0
2020-04-08,19.3061,20.0338,18.5171,19.8259,122307.0
2020-04-09,20.4401,21.7253,20.048,21.7253,122957.0
2020-04-10,20.4401,21.7253,20.048,21.7253,122957.0
2020-04-11,20.4401,21.7253,20.048,21.7253,122957.0
2020-04-12,20.4401,21.7253,20.048,21.7253,122957.0
2020-04-13,21.5552,21.5552,19.6841,20.0054,111100.0
2020-04-14,20.6008,20.6008,19.3061,19.7219,103566.0
2020-04-15,18.8998,18.8998,18.0493,18.1816,106138.0
2020-04-16,18.1722,18.1722,16.7358,17.1894,180678.0
2020-04-17,17.8887,19.0888,17.6052,18.7486,138179.0
2020-04-18,17.8887,19.0888,17.6052,18.7486,138179.0
2020-04-19,17.8887,19.0888,17.6052,18.7486,138179.0
2020-04-20,18.1533,19.0226,17.7611,18.3139,137698.0
2020-04-21,17.643,18.1627,17.4074,18.0304,77125.0
2020-04-22,18.5029,18.5029,17.9076,18.0682,67571.0
2020-04-23,17.9548,18.862,17.9548,18.4745,78090.0
2020-04-24,18.5123,19.0509,18.2855,18.7864,64915.0
2020-04-25,18.5123,19.0509,18.2855,18.7864,64915.0
2020-04-26,18.5123,19.0509,18.2855,18.7864,64915.0
2020-04-27,18.7864,20.563,18.7864,20.3267,101068.0
2020-04-28,20.4023,21.3001,20.1283,20.941,127825.0
2020-04-29,21.8954,22.0419,21.2245,21.4418,179695.0
2020-04-30,21.0733,21.541,19.9582,21.1111,143162.0
2020-05-01,20.7614,21.3283,19.996,20.7709,135766.0
2020-05-02,20.7614,21.3283,19.996,20.7709,135766.0
2020-05-03,20.7614,21.3283,19.996,20.7709,135766.0
2020-05-04,20.837,20.837,19.6558,20.2417,182964.0
2020-05-05,21.2623,21.3473,20.0338,20.185,143300.0
2020-05-06,20.7047,21.2812,20.0527,20.2606,203595.0
2020-05-07,20.6008,20.7992,20.0243,20.2039,137110.0
2020-05-08,20.8112,21.1529,20.593,21.0864,135821.0
2020-05-09,20.8112,21.1529,20.593,21.0864,135821.0
2020-05-10,20.8112,21.1529,20.593,21.0864,135821.0
2020-05-11,20.593,20.593,19.5918,20.2893,202008.0
2020-05-12,20.2988,20.3272,19.3403,19.4257,155699.0
2020-05-13,19.141,19.141,17.6985,18.3344,111172.0
2020-05-14,17.746,18.5953,16.8919,18.3628,143595.0
2020-05-15,18.4293,19.2644,17.9548,19.1505,148864.0
2020-05-16,18.4293,19.2644,17.9548,19.1505,148864.0
2020-05-17,18.4293,19.2644,17.9548,19.1505,148864.0
2020-05-18,19.9287,21.1718,19.9192,21.0959,211451.0
2020-05-19,20.7448,21.2667,20.2608,20.2893,130839.0
2020-05-20,20.6878,21.4091,20.6119,20.9915,138668.0
2020-05-21,20.9915,21.6748,20.9251,21.1623,163029.0
2020-05-22,21.3237,21.8361,21.0959,21.3521,98532.0
2020-05-23,21.3237,21.8361,21.0959,21.3521,98532.0
2020-05-24,21.3237,21.8361,21.0959,21.3521,98532.0
2020-05-25,21.3237,21.8361,21.0959,21.3521,98532.0
2020-05-26,22.3391,23.0508,22.3391,22.5099,226613.0
2020-05-27,23.6297,23.6961,22.8515,23.6677,154456.0
2020-05-28,24.2655,24.2655,23.1362,23.307,229697.0
2020-05-29,22.8515,22.8705,21.95,22.4055,149508.0
2020-05-30,22.8515,22.8705,21.95,22.4055,149508.0
2020-05-31,22.8515,22.8705,21.95,22.4055,149508.0
2020-06-01,22.396,22.7282,22.0164,22.0449,88642.0
2020-06-02,22.4055,22.6522,22.0829,22.3865,127341.0
2020-06-03,22.9464,23.8385,22.7092,23.307,146912.0
2020-06-04,23.2501,23.9049,22.8515,23.8859,88590.0
2020-06-05,25.7175,26.154,25.1671,25.8219,213782.0
2020-06-06,25.7175,26.154,25.1671,25.8219,213782.0
2020-06-07,25.7175,26.154,25.1671,25.8219,213782.0
2020-06-08,26.6,26.6949,26.0022,26.4482,130012.0
2020-06-09,25.727,26.2252,25.3094,25.8598,156657.0
2020-06-10,26.3058,26.3058,24.313,24.3319,133106.0
2020-06-11,22.5289,23.0603,22.0164,22.1778,198509.0
2020-06-12,23.2976,23.2976,21.8551,22.5858,164386.0
2020-06-13,23.2976,23.2976,21.8551,22.5858,164386.0
2020-06-14,23.2976,23.2976,21.8551,22.5858,164386.0
2020-06-15,21.5609,23.3165,21.4375,22.9464,161257.0
2020-06-16,24.1042,24.3225,23.1552,24.1137,109505.0
2020-06-17,24.0283,24.1089,22.9607,23.1837,103116.0
2020-06-18,22.8231,23.4779,22.7756,22.9369,105480.0
2020-06-19,23.2027,23.2027,22.6428,22.8326,216722.0
2020-06-20,23.2027,23.2027,22.6428,22.8326,216722.0
2020-06-21,23.2027,23.2027,22.6428,22.8326,216722.0
2020-06-22,22.6143,23.2881,22.1967,23.2691,117183.0
2020-06-23,23.7626,23.8764,23.0318,23.0508,88399.0
2020-06-24,22.5573,22.7377,22.0069,22.0734,94458.0
2020-06-25,21.7982,22.899,21.7982,22.8895,153697.0
2020-06-26,22.4814,22.4814,21.3142,21.3426,354514.0
2020-06-27,22.4814,22.4814,21.3142,21.3426,354514.0
2020-06-28,22.4814,22.4814,21.3142,21.3426,354514.0
2020-06-29,21.7697,23.1267,21.6368,22.7471,119438.0
2020-06-30,23.0698,23.5822,22.7851,23.5063,141282.0
2020-07-01,23.6771,23.7531,22.6238,22.7566,105977.0
2020-07-02,23.4494,23.6771,22.5763,22.7187,90534.0
2020-07-03,23.4494,23.6771,22.5763,22.7187,90534.0
2020-07-04,23.4494,23.6771,22.5763,22.7187,90534.0
2020-07-05,23.4494,23.6771,22.5763,22.7187,90534.0
2020-07-06,23.345,23.5917,22.5668,22.9275,131682.0
2020-07-07,22.5763,22.5763,21.7792,21.9025,121458.0
2020-07-08,21.7033,22.3011,21.523,21.95,142266.0
2020-07-09,21.8076,21.8076,20.8492,20.982,94107.0
2020-07-10,20.8492,21.7222,20.8492,21.7222,120876.0
2020-07-11,20.8492,21.7222,20.8492,21.7222,120876.0
2020-07-12,20.8492,21.7222,20.8492,21.7222,120876.0
2020-07-13,22.3486,22.5194,21.523,22.0544,123792.0
2020-07-14,22.0639,22.2632,21.4755,21.7317,100548.0
2020-07-15,22.5479,23.364,22.453,22.9939,133862.0
2020-07-16,22.842,23.307,22.5099,22.8231,91992.0
2020-07-17,22.6902,23.0508,22.3201,22.396,114957.0
2020-07-18,22.6902,23.0508,22.3201,22.396,114957.0
2020-07-19,22.6902,23.0508,22.3201,22.396,114957.0
2020-07-20,22.1018,22.4909,21.523,21.5894,195904.0
2020-07-21,22.396,24.3794,22.3676,24.313,338872.0
2020-07-22,24.0662,24.2181,23.4209,23.791,209596.0
2020-07-23,23.6202,24.2181,23.6202,24.0852,181243.0
2020-07-24,24.3225,24.7732,24.1374,24.4458,169993.0
2020-07-25,24.3225,24.7732,24.1374,24.4458,169993.0
2020-07-26,24.3225,24.7732,24.1374,24.4458,169993.0
2020-07-27,24.3794,24.3794,23.1742,23.5348,120146.0
2020-07-28,23.345,23.9524,23.307,23.4589,130587.0
2020-07-29,23.9144,24.313,23.1742,24.275,132115.0
2020-07-30,24.0188,24.1801,23.1172,24.1327,133381.0
2020-07-31,24.3509,24.3509,23.5253,24.1137,187011.0
2020-08-01,24.3509,24.3509,23.5253,24.1137,187011.0
2020-08-02,24.3509,24.3509,23.5253,24.1137,187011.0
2020-08-03,24.4458,24.4458,23.5443,23.8005,126242.0
2020-08-04,23.9049,23.9618,23.2976,23.4589,142442.0
2020-08-05,23.7626,24.294,23.5348,24.1896,154202.0
2020-08-06,23.2976,24.4079,23.2976,24.1516,104842.0
2020-08-07,23.9998,25.1386,23.9524,25.1101,118219.0
2020-08-08,23.9998,25.1386,23.9524,25.1101,118219.0
2020-08-09,23.9998,25.1386,23.9524,25.1101,118219.0
2020-08-10,25.243,26.3628,25.243,26.2394,184613.0
2020-08-11,26.8752,27.6044,26.8468,27.1504,319152.0
2020-08-12,29.7412,30.0447,27.568,28.5834,1191894.0
2020-08-13,28.0994,28.9535,28.0994,28.3461,539985.0
2020-08-14,28.014,28.2797,27.3782,28.014,4814242.0
2020-08-15,28.014,28.2797,27.3782,28.014,4814242.0
2020-08-16,28.014,28.2797,27.3782,28.014,4814242.0
2020-08-17,28.014,28.2322,27.2263,27.4541,477784.0
2020-08-18,27.2637,27.4255,25.9881,26.0262,628601.0
2020-08-19,25.8168,26.7306,25.6692,26.0928,866179.0
2020-08-20,25.712,25.712,24.8531,25.1409,347889.0
2020-08-21,24.8077,25.217,24.3222,24.8458,289698.0
2020-08-22,24.8077,25.217,24.3222,24.8458,289698.0
2020-08-23,24.8077,25.217,24.3222,24.8458,289698.0
2020-08-24,25.0266,25.5978,24.6363,25.5978,183671.0
2020-08-25,25.9881,25.9881,25.2742,25.6264,136477.0
2020-08-26,25.6359,25.6359,25.0076,25.1218,217643.0
2020-08-27,25.0266,25.7311,25.0171,25.5883,142441.0
2020-08-28,25.7692,26.1309,25.4169,26.1023,207563.0
2020-08-29,25.7692,26.1309,25.4169,26.1023,207563.0
2020-08-30,25.7692,26.1309,25.4169,26.1023,207563.0
2020-08-31,25.8929,26.5783,25.6644,25.7025,313100.0
2020-09-01,25.4265,26.3736,25.3693,26.2927,342749.0
2020-09-02,26.2832,26.2975,25.5693,26.1023,171787.0
2020-09-03,26.2356,27.1971,26.0738,26.3784,203877.0
2020-09-04,27.1685,27.3018,26.5974,27.2542,196499.0
2020-09-05,27.1685,27.3018,26.5974,27.2542,196499.0
2020-09-06,27.1685,27.3018,26.5974,27.2542,196499.0
2020-09-07,27.1685,27.3018,26.5974,27.2542,196499.0
2020-09-08,27.0543,27.0543,25.8263,26.0167,191640.0
2020-09-09,26.0833,26.1309,25.5502,25.9691,153664.0
2020-09-10,26.0262,26.188,25.2646,25.3027,123508.0
2020-09-11,25.2361,25.436,24.8839,25.2551,130601.0
2020-09-12,25.2361,25.436,24.8839,25.2551,130601.0
2020-09-13,25.2361,25.436,24.8839,25.2551,130601.0
2020-09-14,25.2551,26.288,24.9315,26.2547,136527.0
2020-09-15,26.2261,26.2547,25.693,25.7596,102922.0
2020-09-16,25.8739,26.445,25.5693,26.2832,149031.0
2020-09-17,25.9024,26.2309,25.812,26.0357,120742.0
2020-09-18,26.0833,26.1499,25.3408,25.6549,366174.0
2020-09-19,26.0833,26.1499,25.3408,25.6549,366174.0
2020-09-20,26.0833,26.1499,25.3408,25.6549,366174.0
2020-09-21,25.0076,25.2456,23.494,23.713,224035.0
2020-09-22,23.8367,24.1604,22.7039,23.1894,161884.0
2020-09-23,23.1894,23.7796,22.5516,22.5897,130514.0
2020-09-24,22.7705,23.4464,22.504,22.9419,117549.0
2020-09-25,22.6468,23.1989,22.6468,23.0276,120564.0
2020-09-26,22.6468,23.1989,22.6468,23.0276,120564.0
2020-09-27,22.6468,23.1989,22.6468,23.0276,120564.0
2020-09-28,23.4464,24.2746,23.3988,23.9224,118343.0
2020-09-29,24.1509,24.208,23.4179,24.1509,135681.0
2020-09-30,24.4174,24.6744,23.8272,23.9129,150462.0
2020-10-01,23.8843,24.4174,23.6368,24.4079,131308.0
2020-10-02,23.8653,25.3503,23.7891,25.1885,147474.0
2020-10-03,23.8653,25.3503,23.7891,25.1885,147474.0
2020-10-04,23.8653,25.3503,23.7891,25.1885,147474.0
2020-10-05,25.5217,26.3784,25.5217,26.2642,104051.0
2020-10-06,26.6925,26.902,25.5407,25.6644,184174.0
2020-10-07,26.0452,26.4831,25.7596,26.3879,182111.0
2020-10-08,26.683,27.1209,26.3594,26.9591,83948.0
2020-10-09,27.2923,27.3494,26.8858,26.9115,83079.0
2020-10-10,27.2923,27.3494,26.8858,26.9115,83079.0
2020-10-11,27.2923,27.3494,26.8858,26.9115,83079.0
2020-10-12,26.7687,27.3399,26.7592,27.2447,77051.0
2020-10-13,26.9401,27.0067,26.4355,26.5688,103942.0
2020-10-14,26.4926,26.7973,26.1404,26.2642,109818.0
2020-10-15,25.9405,26.5974,25.8263,26.5498,79595.0
2020-10-16,26.5307,27.0257,25.9976,26.426,79859.0
2020-10-17,26.5307,27.0257,25.9976,26.426,79859.0
2020-10-18,26.5307,27.0257,25.9976,26.426,79859.0
2020-10-19,26.5117,26.9781,26.4641,26.5593,140309.0
2020-10-20,26.8734,27.5303,26.8734,27.14,103926.0
2020-10-21,27.0638,27.5969,27.0638,27.3684,70875.0
2020-10-22,27.3399,28.9772,27.3399,28.8249,232844.0
2020-10-23,29.1676,29.5293,28.3013,29.0343,133876.0
2020-10-24,29.1676,29.5293,28.3013,29.0343,133876.0
2020-10-25,29.1676,29.5293,28.3013,29.0343,133876.0
2020-10-26,28.625,29.2342,28.3013,29.1486,155133.0
2020-10-27,29.2914,29.2914,26.8258,27.2732,226484.0
2020-10-28,25.4455,27.1876,25.0362,26.7497,179920.0
2020-10-29,26.6545,27.9301,25.712,27.8634,235884.0
2020-10-30,27.7968,28.6345,27.7016,28.0824,238797.0
2020-10-31,27.7968,28.6345,27.7016,28.0824,238797.0
2020-11-01,27.7968,28.6345,27.7016,28.0824,238797.0
2020-11-02,28.5203,29.0439,27.9872,28.9677,255738.0
2020-11-03,29.5103,29.5103,28.6631,29.2914,180906.0
2020-11-04,28.4441,28.4441,26.5593,26.7592,152241.0
2020-11-05,26.8544,28.3251,26.8544,27.9777,98347.0
2020-11-06,28.5028,28.6365,27.5098,27.548,79696.0
2020-11-07,28.5028,28.6365,27.5098,27.548,79696.0
2020-11-08,28.5028,28.6365,27.5098,27.548,79696.0
2020-11-09,30.4794,34.9387,30.1643,30.4317,526344.0
2020-11-10,30.9951,31.3866,30.5367,31.0428,287107.0
2020-11-11,31.1096,31.1096,29.324,29.7346,189800.0
2020-11-12,29.1904,29.4959,28.4074,28.9994,142810.0
2020-11-13,29.4482,30.5845,29.3431,30.298,132685.0
2020-11-14,29.4482,30.5845,29.3431,30.298,132685.0
2020-11-15,29.4482,30.5845,29.3431,30.298,132685.0
