,CVX US Equity,CVX US Equity,CVX US Equity,CVX US Equity,CVX US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,98.7248,99.6583,98.5182,99.5592,4215863.0
2020-01-02,99.807,100.4803,99.774,100.3192,5206097.0
2020-01-03,100.6084,101.385,99.7492,99.9723,6361072.0
2020-01-04,100.6084,101.385,99.7492,99.9723,6361072.0
2020-01-05,100.6084,101.385,99.7492,99.9723,6361072.0
2020-01-06,100.1623,100.5175,99.4105,99.6335,9954869.0
2020-01-07,98.3282,98.9116,97.2955,98.3613,7878579.0
2020-01-08,97.9399,98.386,97.1964,97.2377,7296959.0
2020-01-09,97.1468,97.4213,95.982,97.0807,7345531.0
2020-01-10,97.089,97.2294,96.1637,96.1968,6395375.0
2020-01-11,97.089,97.2294,96.1637,96.1968,6395375.0
2020-01-12,97.089,97.2294,96.1637,96.1968,6395375.0
2020-01-13,96.2215,96.5853,95.8993,96.3785,6847425.0
2020-01-14,96.2463,96.5603,95.5895,96.0811,7189962.0
2020-01-15,96.0811,96.1678,95.5441,95.9406,5808777.0
2020-01-16,96.2959,96.8907,96.205,96.5685,7022062.0
2020-01-17,96.6677,96.899,95.4367,95.4863,7886182.0
2020-01-18,96.6677,96.899,95.4367,95.4863,7886182.0
2020-01-19,96.6677,96.899,95.4367,95.4863,7886182.0
2020-01-20,96.6677,96.899,95.4367,95.4863,7886182.0
2020-01-21,95.0897,95.131,93.4952,93.6109,8470283.0
2020-01-22,93.4374,93.7927,92.9087,93.2722,5589906.0
2020-01-23,92.8591,93.7596,92.413,93.4374,8008141.0
2020-01-24,93.1813,93.3383,91.9835,92.4047,6920000.0
2020-01-25,93.1813,93.3383,91.9835,92.4047,6920000.0
2020-01-26,93.1813,93.3383,91.9835,92.4047,6920000.0
2020-01-27,91.0829,91.5621,90.8598,91.1986,7609831.0
2020-01-28,91.686,92.2147,91.5125,91.8016,5771944.0
2020-01-29,92.0743,92.3965,91.0251,91.182,4774222.0
2020-01-30,90.7194,92.1817,90.0998,92.033,8382674.0
2020-01-31,90.7194,90.8764,87.8981,88.5136,13699563.0
2020-02-01,90.7194,90.8764,87.8981,88.5136,13699563.0
2020-02-02,90.7194,90.8764,87.8981,88.5136,13699563.0
2020-02-03,88.3566,88.6044,87.0762,87.8031,8787504.0
2020-02-04,88.9597,89.5008,88.0675,88.274,9908995.0
2020-02-05,89.4471,91.4134,89.3149,91.1077,6914137.0
2020-02-06,91.3968,91.4299,90.1411,90.455,6273983.0
2020-02-07,89.9924,90.4137,89.6123,90.0006,4830071.0
2020-02-08,89.9924,90.4137,89.6123,90.0006,4830071.0
2020-02-09,89.9924,90.4137,89.6123,90.0006,4830071.0
2020-02-10,89.6702,90.7111,89.4884,90.7029,6011806.0
2020-02-11,91.5208,92.0082,90.9272,91.876,6072847.0
2020-02-12,92.95,93.0243,92.2065,92.5617,5725669.0
2020-02-13,92.0082,92.8013,91.8925,92.2478,5991856.0
2020-02-14,92.6406,92.7493,91.5875,92.0054,5148798.0
2020-02-15,92.6406,92.7493,91.5875,92.0054,5148798.0
2020-02-16,92.6406,92.7493,91.5875,92.0054,5148798.0
2020-02-17,92.6406,92.7493,91.5875,92.0054,5148798.0
2020-02-18,91.1027,92.1642,90.9621,92.1391,4976370.0
2020-02-19,92.3731,92.8544,91.8466,92.557,5887511.0
2020-02-20,92.5905,92.8328,91.6878,91.7797,4466591.0
2020-02-21,91.0944,91.2615,89.9744,91.1111,6443864.0
2020-02-22,91.0944,91.2615,89.9744,91.1111,6443864.0
2020-02-23,91.0944,91.2615,89.9744,91.1111,6443864.0
2020-02-24,88.3529,89.3977,87.2747,87.5171,9539778.0
2020-02-25,87.5923,87.6926,83.5805,84.1739,12871894.0
2020-02-26,84.2993,84.9261,81.9089,81.9423,11991403.0
2020-02-27,80.1955,82.076,78.6325,78.6743,15783656.0
2020-02-28,75.749,78.0976,75.3144,78.014,20840553.0
2020-02-29,75.749,78.0976,75.3144,78.014,20840553.0
2020-03-01,75.749,78.0976,75.3144,78.014,20840553.0
2020-03-02,78.5824,80.8056,77.0654,80.7304,15050800.0
2020-03-03,80.8975,82.3101,78.0385,78.8916,16525465.0
2020-03-04,80.5465,82.7614,79.9614,82.3518,14752954.0
2020-03-05,79.9949,81.399,79.3513,81.2319,12814361.0
2020-03-06,78.4988,80.2874,78.0809,79.6689,16862303.0
2020-03-07,78.4988,80.2874,78.0809,79.6689,16862303.0
2020-03-08,78.4988,80.2874,78.0809,79.6689,16862303.0
2020-03-09,68.7282,73.5591,66.8644,67.4244,30595479.0
2020-03-10,72.0798,72.13,67.7336,71.0267,22592128.0
2020-03-11,68.7282,70.9097,68.327,69.3969,18414338.0
2020-03-12,64.5492,65.2972,60.8967,63.7385,25768233.0
2020-03-13,66.8477,69.7897,61.9415,69.7228,23497511.0
2020-03-14,66.8477,69.7897,61.9415,69.7228,23497511.0
2020-03-15,66.8477,69.7897,61.9415,69.7228,23497511.0
2020-03-16,60.6544,65.6023,58.2472,58.2556,17535273.0
2020-03-17,58.8407,61.0004,54.7369,59.083,22684246.0
2020-03-18,55.3386,55.3553,45.6099,46.0111,24947290.0
2020-03-19,46.1866,48.8862,43.1275,47.9668,29870982.0
2020-03-20,49.7555,50.6916,47.106,49.6384,26960440.0
2020-03-21,49.7555,50.6916,47.106,49.6384,26960440.0
2020-03-22,49.7555,50.6916,47.106,49.6384,26960440.0
2020-03-23,48.694,49.6468,44.2726,45.3173,23764032.0
2020-03-24,51.3853,56.5397,50.4157,55.6228,29198760.0
2020-03-25,57.0771,61.1308,55.698,57.8962,22560121.0
2020-03-26,58.7571,64.4405,56.7428,63.8388,24140970.0
2020-03-27,60.2782,61.4651,57.2526,57.4867,20411494.0
2020-03-28,60.2782,61.4651,57.2526,57.4867,20411494.0
2020-03-29,60.2782,61.4651,57.2526,57.4867,20411494.0
2020-03-30,56.8431,60.9552,56.0156,60.1362,18486815.0
2020-03-31,61.2394,62.7188,59.1833,60.5624,18514178.0
2020-04-01,58.0968,60.4203,56.5088,57.3028,14362041.0
2020-04-02,59.969,65.7778,58.1511,63.6215,23220622.0
2020-04-03,65.1928,66.0202,61.0388,62.7773,14905410.0
2020-04-04,65.1928,66.0202,61.0388,62.7773,14905410.0
2020-04-05,65.1928,66.0202,61.0388,62.7773,14905410.0
2020-04-06,64.357,67.6584,63.1116,67.1903,17334919.0
2020-04-07,70.4249,71.6201,67.5748,67.6333,16394790.0
2020-04-08,68.7784,72.13,68.1348,71.8625,12284845.0
2020-04-09,74.1693,75.1472,68.1348,70.4667,17048549.0
2020-04-10,74.1693,75.1472,68.1348,70.4667,17048549.0
2020-04-11,74.1693,75.1472,68.1348,70.4667,17048549.0
2020-04-12,74.1693,75.1472,68.1348,70.4667,17048549.0
2020-04-13,72.8655,73.0159,69.7061,70.9682,13854683.0
2020-04-14,71.4279,72.7819,70.4834,70.7174,14797585.0
2020-04-15,67.2489,69.6894,66.296,68.9455,13982295.0
2020-04-16,67.9593,68.6948,65.8698,66.856,12291909.0
2020-04-17,67.976,73.1329,67.9676,72.8571,16130082.0
2020-04-18,67.976,73.1329,67.9676,72.8571,16130082.0
2020-04-19,67.976,73.1329,67.9676,72.8571,16130082.0
2020-04-20,69.0876,72.715,68.6112,69.8482,15748957.0
2020-04-21,67.0984,70.0321,66.2375,68.2351,19620574.0
2020-04-22,71.0016,71.2524,69.3467,70.5754,10325144.0
2020-04-23,72.13,74.2027,71.3694,72.5479,14226538.0
2020-04-24,73.952,74.2111,71.687,72.7234,9176599.0
2020-04-25,73.952,74.2111,71.687,72.7234,9176599.0
2020-04-26,73.952,74.2111,71.687,72.7234,9176599.0
2020-04-27,72.5061,75.7406,71.7706,74.98,12037127.0
2020-04-28,74.8463,76.0248,74.2445,75.1472,10645154.0
2020-04-29,77.2952,79.5185,77.1364,79.0838,12342819.0
2020-04-30,78.3316,80.0199,75.7072,76.894,12221964.0
2020-05-01,76.4845,76.9358,72.7484,74.7544,13250095.0
2020-05-02,76.4845,76.9358,72.7484,74.7544,13250095.0
2020-05-03,76.4845,76.9358,72.7484,74.7544,13250095.0
2020-05-04,74.186,76.5764,73.2917,76.426,11192376.0
2020-05-05,78.9835,79.6522,77.4624,77.6379,13608720.0
2020-05-06,77.6045,78.1143,75.0302,75.2642,11145905.0
2020-05-07,77.7131,78.6158,76.8188,77.429,9753495.0
2020-05-08,79.4015,79.8695,78.6242,79.7943,8602865.0
2020-05-09,79.4015,79.8695,78.6242,79.7943,8602865.0
2020-05-10,79.4015,79.8695,78.6242,79.7943,8602865.0
2020-05-11,78.7412,79.0671,77.8803,78.0391,7101040.0
2020-05-12,77.8385,78.5907,76.0582,76.1418,8749052.0
2020-05-13,75.1388,75.2224,72.9825,74.1359,12215074.0
2020-05-14,72.9574,75.9997,71.8959,75.2642,10678192.0
2020-05-15,75.7657,76.9442,74.2445,74.5204,10112966.0
2020-05-16,75.7657,76.9442,74.2445,74.5204,10112966.0
2020-05-17,75.7657,76.9442,74.2445,74.5204,10112966.0
2020-05-18,78.3621,79.2102,77.5649,78.4893,12306539.0
2020-05-19,78.4724,78.558,75.9281,76.0045,7749265.0
2020-05-20,77.1748,79.2695,76.4794,78.8709,9160034.0
2020-05-21,78.6759,79.1847,77.4123,78.0568,8830887.0
2020-05-22,77.5564,77.6836,75.873,76.5642,8563108.0
2020-05-23,77.5564,77.6836,75.873,76.5642,8563108.0
2020-05-24,77.5564,77.6836,75.873,76.5642,8563108.0
2020-05-25,77.5564,77.6836,75.873,76.5642,8563108.0
2020-05-26,78.4384,80.0074,78.0483,79.1254,9429980.0
2020-05-27,80.2957,80.3042,78.1162,79.6342,7822605.0
2020-05-28,79.3883,79.6342,76.9967,77.0645,9639423.0
2020-05-29,76.4879,77.9296,75.6991,77.7685,17016863.0
2020-05-30,76.4879,77.9296,75.6991,77.7685,17016863.0
2020-05-31,76.4879,77.9296,75.6991,77.7685,17016863.0
2020-06-01,77.1239,79.5918,76.42,78.6929,7346296.0
2020-06-02,79.5324,80.7537,79.1126,80.3042,7880250.0
2020-06-03,81.3897,82.8823,81.2032,82.4159,8440203.0
2020-06-04,82.0767,82.17,80.7028,81.6526,6371723.0
2020-06-05,84.0272,86.546,84.0018,85.4944,12760132.0
2020-06-06,84.0272,86.546,84.0018,85.4944,12760132.0
2020-06-07,84.0272,86.546,84.0018,85.4944,12760132.0
2020-06-08,87.0379,87.8521,85.5453,87.5552,11090723.0
2020-06-09,85.4011,87.2923,84.6633,86.105,10745355.0
2020-06-10,85.6555,86.0796,82.7382,82.7551,10486260.0
2020-06-11,78.2773,79.8802,75.5804,75.7924,14944810.0
2020-06-12,79.3968,79.4222,76.3352,78.3536,9532412.0
2020-06-13,79.3968,79.4222,76.3352,78.3536,9532412.0
2020-06-14,79.3968,79.4222,76.3352,78.3536,9532412.0
2020-06-15,75.555,78.0907,74.8087,77.3699,12291464.0
2020-06-16,80.5586,81.059,77.5904,79.7445,8734566.0
2020-06-17,79.5748,79.719,77.5988,77.6328,6019869.0
2020-06-18,77.1748,79.066,76.4115,77.972,7064145.0
2020-06-19,80.0667,80.0667,76.7932,76.861,14836556.0
2020-06-20,80.0667,80.0667,76.7932,76.861,14836556.0
2020-06-21,80.0667,80.0667,76.7932,76.861,14836556.0
2020-06-22,76.5981,77.76,75.979,77.6752,5939155.0
2020-06-23,78.4469,78.9473,77.3232,77.548,6317713.0
2020-06-24,76.3182,76.437,73.6638,74.3253,8974470.0
2020-06-25,74.0454,75.9112,73.9182,75.6567,7397991.0
2020-06-26,75.2921,75.3344,73.0871,73.3245,13766015.0
2020-06-27,75.2921,75.3344,73.0871,73.3245,13766015.0
2020-06-28,75.2921,75.3344,73.0871,73.3245,13766015.0
2020-06-29,73.7062,75.1154,73.4433,74.3507,7022175.0
2020-06-30,73.4433,76.3182,73.2397,75.6737,8263617.0
2020-07-01,75.7161,76.9797,74.2489,74.3083,6379402.0
2020-07-02,75.7924,76.632,74.7664,74.8935,5832793.0
2020-07-03,75.7924,76.632,74.7664,74.8935,5832793.0
2020-07-04,75.7924,76.632,74.7664,74.8935,5832793.0
2020-07-05,75.7924,76.632,74.7664,74.8935,5832793.0
2020-07-06,75.9027,76.5387,74.4738,75.114,6747528.0
2020-07-07,74.4779,74.6983,73.0616,73.1973,5898047.0
2020-07-08,73.2652,74.4611,72.8411,73.2313,6735606.0
2020-07-09,72.909,73.2058,70.1273,70.1697,8833552.0
2020-07-10,69.9662,72.4425,69.9662,72.2814,6218141.0
2020-07-11,69.9662,72.4425,69.9662,72.2814,6218141.0
2020-07-12,69.9662,72.4425,69.9662,72.2814,6218141.0
2020-07-13,72.9683,73.7231,71.9252,72.4256,7074046.0
2020-07-14,72.4171,75.1394,72.1204,74.9274,7440538.0
2020-07-15,76.4794,76.4879,74.8087,75.3854,5935206.0
2020-07-16,75.0037,75.8857,74.0793,74.9359,4795687.0
2020-07-17,74.9783,75.5719,73.7062,73.9436,5964361.0
2020-07-18,74.9783,75.5719,73.7062,73.9436,5964361.0
2020-07-19,74.9783,75.5719,73.7062,73.9436,5964361.0
2020-07-20,73.6383,74.1981,71.9167,72.3153,14974835.0
2020-07-21,73.333,77.7897,73.2397,77.5055,15119307.0
2020-07-22,76.2843,77.3868,75.3938,77.2087,10317499.0
2020-07-23,76.7508,77.4971,76.3437,77.1833,6586339.0
2020-07-24,77.5819,78.6504,76.3098,76.437,6620464.0
2020-07-25,77.5819,78.6504,76.3098,76.437,6620464.0
2020-07-26,77.5819,78.6504,76.3098,76.437,6620464.0
2020-07-27,76.1232,77.2511,75.309,77.2087,7599982.0
2020-07-28,76.7253,77.319,75.2836,75.5719,6787341.0
2020-07-29,75.8857,76.3946,75.1204,76.3861,6386853.0
2020-07-30,74.9952,75.0504,72.68,73.1634,10112780.0
2020-07-31,70.6022,71.3231,69.1266,71.1874,19120651.0
2020-08-01,70.6022,71.3231,69.1266,71.1874,19120651.0
2020-08-02,70.6022,71.3231,69.1266,71.1874,19120651.0
2020-08-03,71.2213,72.2051,71.0687,71.9252,11221849.0
2020-08-04,71.6454,73.545,71.4764,73.35,9077915.0
2020-08-05,74.7493,74.9952,73.2779,73.9521,7352641.0
2020-08-06,73.299,74.5458,73.0192,74.1811,7035584.0
2020-08-07,73.6807,73.8758,72.7139,73.6129,7185382.0
2020-08-08,73.6807,73.8758,72.7139,73.6129,7185382.0
2020-08-09,73.6807,73.8758,72.7139,73.6129,7185382.0
2020-08-10,74.5797,76.1232,74.2913,76.0977,8150225.0
2020-08-11,77.9805,78.8794,75.6228,76.0045,9074300.0
2020-08-12,77.0052,77.7345,75.8603,76.9373,9057971.0
2020-08-13,76.2165,77.4123,76.1251,76.1741,7314642.0
2020-08-14,75.4786,76.8271,75.3514,76.6235,6343029.0
2020-08-15,75.4786,76.8271,75.3514,76.6235,6343029.0
