,RRX US Equity,RRX US Equity,RRX US Equity,RRX US Equity,RRX US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,77.8657,78.8139,77.8657,78.0481,212347.0
2020-01-02,78.7409,78.9415,77.6378,78.9415,169502.0
2020-01-03,77.7472,78.2578,77.2823,78.1757,147458.0
2020-01-04,77.7472,78.2578,77.2823,78.1757,147458.0
2020-01-05,77.7472,78.2578,77.2823,78.1757,147458.0
2020-01-06,77.6378,77.9843,77.0999,77.7928,325624.0
2020-01-07,77.6652,77.8384,77.0817,77.3734,97564.0
2020-01-08,77.2732,78.5313,76.9358,78.1392,182948.0
2020-01-09,78.3672,78.937,77.5831,78.6407,177952.0
2020-01-10,78.5951,78.9233,77.8749,78.0572,144380.0
2020-01-11,78.5951,78.9233,77.8749,78.0572,144380.0
2020-01-12,78.5951,78.9233,77.8749,78.0572,144380.0
2020-01-13,78.1757,79.4293,78.0754,79.3244,154111.0
2020-01-14,79.2059,79.7347,78.8139,79.0874,213225.0
2020-01-15,78.823,79.3062,78.3216,78.5768,263008.0
2020-01-16,79.2241,79.4976,78.7774,79.1968,170778.0
2020-01-17,79.5159,79.5159,78.513,78.8777,169398.0
2020-01-18,79.5159,79.5159,78.513,78.8777,169398.0
2020-01-19,79.5159,79.5159,78.513,78.8777,169398.0
2020-01-20,79.5159,79.5159,78.513,78.8777,169398.0
2020-01-21,78.5313,78.586,77.2691,77.8384,177598.0
2020-01-22,78.358,78.4766,76.9723,77.1546,119403.0
2020-01-23,76.7079,77.1091,75.541,76.79,212635.0
2020-01-24,77.3734,77.3734,75.1171,75.8783,231473.0
2020-01-25,77.3734,77.3734,75.1171,75.8783,231473.0
2020-01-26,77.3734,77.3734,75.1171,75.8783,231473.0
2020-01-27,74.4288,74.5382,73.5535,73.827,163389.0
2020-01-28,74.3832,74.839,73.7906,74.4835,153095.0
2020-01-29,74.9849,75.076,73.9,73.9091,157320.0
2020-01-30,73.4168,74.5108,73.1524,74.4743,242683.0
2020-01-31,74.1552,74.1552,71.2014,71.5296,522670.0
2020-02-01,74.1552,74.1552,71.2014,71.5296,522670.0
2020-02-02,74.1552,74.1552,71.2014,71.5296,522670.0
2020-02-03,72.1131,73.0795,71.2106,71.5205,260243.0
2020-02-04,75.8965,79.607,75.8783,77.337,517098.0
2020-02-05,78.7501,79.5068,77.5467,78.5039,275559.0
2020-02-06,78.6589,79.288,77.615,78.2669,352900.0
2020-02-07,77.7746,78.2988,77.0817,78.2031,223464.0
2020-02-08,77.7746,78.2988,77.0817,78.2031,223464.0
2020-02-09,77.7746,78.2988,77.0817,78.2031,223464.0
2020-02-10,77.8202,78.3216,77.6378,78.0845,191103.0
2020-02-11,78.586,80.2179,78.5313,79.7164,241646.0
2020-02-12,80.2908,82.219,80.227,81.8497,331077.0
2020-02-13,81.1022,81.8771,81.0748,81.5762,339022.0
2020-02-14,81.5854,81.5854,80.1176,81.1751,239284.0
2020-02-15,81.5854,81.5854,80.1176,81.1751,239284.0
2020-02-16,81.5854,81.5854,80.1176,81.1751,239284.0
2020-02-17,81.5854,81.5854,80.1176,81.1751,239284.0
2020-02-18,80.6919,81.1842,80.2908,80.6372,205787.0
2020-02-19,81.1295,81.3027,80.0538,80.3455,351905.0
2020-02-20,80.2999,81.7677,80.1632,81.6218,266224.0
2020-02-21,81.166,81.8224,80.464,81.7495,401652.0
2020-02-22,81.166,81.8224,80.464,81.7495,401652.0
2020-02-23,81.166,81.8224,80.464,81.7495,401652.0
2020-02-24,79.9261,79.9261,77.9022,79.1877,269602.0
2020-02-25,79.4794,79.7347,75.4681,75.8145,343971.0
2020-02-26,76.3615,76.5529,74.5837,75.1034,295029.0
2020-02-27,73.2892,74.9028,71.3747,72.7604,396914.0
2020-02-28,70.4356,71.9125,69.5604,70.7821,457254.0
2020-02-29,70.4356,71.9125,69.5604,70.7821,457254.0
2020-03-01,70.4356,71.9125,69.5604,70.7821,457254.0
2020-03-02,71.5023,74.0914,69.8977,73.7541,393730.0
2020-03-03,73.6812,74.9849,71.9217,72.6419,584746.0
2020-03-04,73.1524,73.982,71.8305,73.9729,352544.0
2020-03-05,72.1587,72.4504,70.7638,71.3291,430921.0
2020-03-06,68.9223,69.6698,68.1565,69.3416,307753.0
2020-03-07,68.9223,69.6698,68.1565,69.3416,307753.0
2020-03-08,68.9223,69.6698,68.1565,69.3416,307753.0
2020-03-09,64.6739,65.4944,61.3919,61.8477,408520.0
2020-03-10,64.0539,67.2721,61.8751,67.2174,416937.0
2020-03-11,65.6129,66.4152,64.6101,66.0779,514526.0
2020-03-12,61.0637,61.6654,57.7543,57.7543,418481.0
2020-03-13,60.936,61.5924,57.5811,61.5924,442102.0
2020-03-14,60.936,61.5924,57.5811,61.5924,442102.0
2020-03-15,60.936,61.5924,57.5811,61.5924,442102.0
2020-03-16,53.7977,58.3104,53.7977,55.703,351655.0
2020-03-17,56.6512,63.3702,54.9008,62.6773,429839.0
2020-03-18,58.821,60.8357,50.8995,52.3572,355257.0
2020-03-19,51.874,54.5179,50.3424,53.9071,362967.0
2020-03-20,54.4267,57.6814,52.4028,52.5669,481879.0
2020-03-21,54.4267,57.6814,52.4028,52.5669,481879.0
2020-03-22,54.4267,57.6814,52.4028,52.5669,481879.0
2020-03-23,52.0564,52.0564,47.3977,48.437,354412.0
2020-03-24,50.2604,52.4484,49.8228,52.1111,398157.0
2020-03-25,52.5122,57.499,50.5612,55.1652,324508.0
2020-03-26,55.6049,58.633,55.3027,57.6206,210566.0
2020-03-27,55.4125,55.5958,53.2869,54.2673,209799.0
2020-03-28,55.4125,55.5958,53.2869,54.2673,209799.0
2020-03-29,55.4125,55.5958,53.2869,54.2673,209799.0
2020-03-30,54.0657,56.7319,52.6914,56.0997,255866.0
2020-03-31,55.5225,57.9963,55.2568,57.6756,307175.0
2020-04-01,55.0094,55.7607,53.4885,55.1652,253730.0
2020-04-02,54.4688,56.8785,54.1573,56.6403,247925.0
2020-04-03,55.8615,56.3242,51.427,53.0029,280857.0
2020-04-04,55.8615,56.3242,51.427,53.0029,280857.0
2020-04-05,55.8615,56.3242,51.427,53.0029,280857.0
2020-04-06,54.9544,60.7266,54.6887,59.9844,197499.0
2020-04-07,62.6231,63.4569,60.3326,60.8823,215320.0
2020-04-08,61.4412,64.8679,60.2593,64.6296,193885.0
2020-04-09,65.665,67.4791,64.1624,65.1519,140562.0
2020-04-10,65.665,67.4791,64.1624,65.1519,140562.0
2020-04-11,65.665,67.4791,64.1624,65.1519,140562.0
2020-04-12,65.665,67.4791,64.1624,65.1519,140562.0
