,AAPL US Equity,AAPL US Equity,AAPL US Equity,AAPL US Equity,AAPL US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-02-27,41.631,42.061,41.516,42.03,111341556.0
2019-02-28,41.898,42.039,41.561,41.616,112861664.0
2019-03-01,41.888,42.097,41.554,42.054,103544668.0
2019-03-02,41.888,42.097,41.554,42.054,103544668.0
2019-03-03,41.888,42.097,41.554,42.054,103544668.0
2019-03-04,42.227,42.722,41.814,42.265,109744812.0
2019-03-05,42.287,42.301,41.951,42.188,78949676.0
2019-03-06,41.982,42.179,41.806,41.946,83241536.0
2019-03-07,41.79,41.927,41.345,41.46,99185496.0
2019-03-08,40.936,41.597,40.739,41.559,95997432.0
2019-03-09,40.936,41.597,40.739,41.559,95997432.0
2019-03-10,40.936,41.597,40.739,41.559,95997432.0
2019-03-11,42.179,43.051,42.145,42.998,128044136.0
2019-03-12,43.263,43.905,43.111,43.482,129870336.0
2019-03-13,43.804,44.056,43.484,43.674,124130096.0
2019-03-14,44.2,44.248,43.878,44.159,94318032.0
2019-03-15,44.429,45.025,44.162,44.734,156171648.0
2019-03-16,44.429,45.025,44.162,44.734,156171648.0
2019-03-17,44.429,45.025,44.162,44.734,156171648.0
2019-03-18,44.657,45.279,44.654,45.19,104879328.0
2019-03-19,45.27,45.424,44.686,44.832,126585476.0
2019-03-20,44.76,45.544,44.4,45.224,124140924.0
2019-03-21,45.671,47.188,45.621,46.89,204136948.0
