,WMS US Equity,WMS US Equity,WMS US Equity,WMS US Equity,WMS US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,38.1449,38.4387,37.9636,38.0469,272149.0
2020-01-02,38.2036,38.4975,37.6845,38.4975,283694.0
2020-01-03,38.0861,38.6347,37.851,38.5661,219046.0
2020-01-04,38.0861,38.6347,37.851,38.5661,219046.0
2020-01-05,38.0861,38.6347,37.851,38.5661,219046.0
2020-01-06,38.2918,38.8698,38.1155,38.7914,274139.0
2020-01-07,38.5857,38.8894,37.9783,38.3506,196476.0
2020-01-08,38.3408,39.624,38.3408,39.291,342658.0
2020-01-09,39.4281,39.9669,39.3302,39.4281,335442.0
2020-01-10,39.3008,39.4771,38.8698,39.242,190637.0
2020-01-11,39.3008,39.4771,38.8698,39.242,190637.0
2020-01-12,39.3008,39.4771,38.8698,39.242,190637.0
2020-01-13,39.3596,40.0648,39.3596,39.8102,271679.0
2020-01-14,39.82,40.0648,39.2812,39.9571,242451.0
2020-01-15,39.8395,40.3685,39.6828,40.1236,201336.0
2020-01-16,40.2804,40.8975,40.2804,40.4175,216713.0
2020-01-17,40.6428,41.1228,40.5595,40.9269,325857.0
2020-01-18,40.6428,41.1228,40.5595,40.9269,325857.0
2020-01-19,40.6428,41.1228,40.5595,40.9269,325857.0
2020-01-20,40.6428,41.1228,40.5595,40.9269,325857.0
2020-01-21,40.8191,41.495,40.6687,41.4461,271244.0
2020-01-22,41.5048,42.0926,41.3873,41.6028,253230.0
2020-01-23,41.4265,42.0436,41.1277,41.9946,263654.0
2020-01-24,42.024,42.024,41.1718,41.4461,198597.0
2020-01-25,42.024,42.024,41.1718,41.4461,198597.0
2020-01-26,42.024,42.024,41.1718,41.4461,198597.0
2020-01-27,40.9367,41.7987,40.6036,41.6812,204516.0
2020-01-28,41.8379,41.999,41.3971,41.544,162797.0
2020-01-29,41.6028,41.8967,41.3971,41.7105,215211.0
2020-01-30,41.5048,42.0289,41.2893,41.9065,287370.0
2020-01-31,41.7595,41.9995,40.5742,40.7212,260405.0
2020-02-01,41.7595,41.9995,40.5742,40.7212,260405.0
2020-02-02,41.7595,41.9995,40.5742,40.7212,260405.0
2020-02-03,40.8779,41.2305,40.5938,40.9955,308187.0
2020-02-04,41.5048,41.6322,41.1816,41.2599,226767.0
2020-02-05,41.5734,42.0632,41.2501,42.0436,251985.0
2020-02-06,42.1807,45.5407,40.9563,45.4917,538876.0
2020-02-07,45.6681,46.9611,43.9636,44.8354,419527.0
2020-02-08,45.6681,46.9611,43.9636,44.8354,419527.0
2020-02-09,45.6681,46.9611,43.9636,44.8354,419527.0
2020-02-10,45.1489,45.4623,44.5905,45.1293,349861.0
2020-02-11,45.2468,45.3938,44.9131,45.2566,288485.0
2020-02-12,45.5505,46.4419,45.5505,46.1089,517828.0
2020-02-13,46.0305,47.5195,45.8052,47.1766,299304.0
2020-02-14,47.2256,47.7448,46.4517,47.7154,406136.0
2020-02-15,47.2256,47.7448,46.4517,47.7154,406136.0
2020-02-16,47.2256,47.7448,46.4517,47.7154,406136.0
2020-02-17,47.2256,47.7448,46.4517,47.7154,406136.0
2020-02-18,47.4803,48.8713,47.255,48.7341,854589.0
2020-02-19,48.8125,50.5464,48.7341,49.8802,774831.0
2020-02-20,49.6647,50.5268,48.8272,49.7137,516374.0
2020-02-21,49.5962,49.5962,48.6117,48.8811,317307.0
2020-02-22,49.5962,49.5962,48.6117,48.8811,317307.0
2020-02-23,49.5962,49.5962,48.6117,48.8811,317307.0
2020-02-24,47.4411,48.3227,47.157,47.255,311739.0
2020-02-25,47.3039,47.3039,44.4648,44.6395,493971.0
2020-02-26,44.6885,45.8052,44.0126,44.5905,351643.0
2020-02-27,43.6893,44.1791,42.2885,42.3571,560350.0
2020-02-28,40.8159,41.6895,39.6772,41.0908,653608.0
2020-02-29,40.8159,41.6895,39.6772,41.0908,653608.0
2020-03-01,40.8159,41.6895,39.6772,41.0908,653608.0
2020-03-02,41.3263,42.9362,40.2073,42.8871,504815.0
2020-03-03,42.8969,44.2418,42.2736,43.1129,608316.0
2020-03-04,43.9178,45.9596,43.1129,45.8614,897469.0
2020-03-05,44.7228,45.7633,43.5252,43.8099,556677.0
2020-03-06,42.6712,44.0356,42.2196,43.8982,461270.0
2020-03-07,42.6712,44.0356,42.2196,43.8982,461270.0
2020-03-08,42.6712,44.0356,42.2196,43.8982,461270.0
2020-03-09,41.2282,42.9853,41.1202,42.8086,821649.0
2020-03-10,43.8099,44.0945,41.1006,43.4074,920409.0
2020-03-11,42.3374,42.5632,39.7067,40.2269,513839.0
2020-03-12,37.606,37.6943,33.1494,33.4439,676234.0
2020-03-13,35.2599,36.163,32.8746,36.1532,596329.0
2020-03-14,35.2599,36.163,32.8746,36.1532,596329.0
2020-03-15,35.2599,36.163,32.8746,36.1532,596329.0
2020-03-16,30.9113,32.5703,28.7567,29.4978,858345.0
2020-03-17,29.8217,30.4009,27.937,29.7825,655009.0
2020-03-18,27.7505,28.1431,23.1663,24.7958,592308.0
2020-03-19,25.0412,27.5934,23.7062,27.5247,863690.0
2020-03-20,27.5836,28.2413,24.7369,25.3848,792082.0
2020-03-21,27.5836,28.2413,24.7369,25.3848,792082.0
2020-03-22,27.5836,28.2413,24.7369,25.3848,792082.0
2020-03-23,25.0118,25.2572,21.7233,23.1565,471501.0
2020-03-24,23.078,26.1995,23.078,25.5222,708978.0
2020-03-25,25.748,28.634,24.9872,27.6033,742338.0
2020-03-26,27.7799,30.5383,27.4953,30.234,635740.0
2020-03-27,29.0266,29.272,26.8376,27.1321,334376.0
2020-03-28,29.0266,29.272,26.8376,27.1321,334376.0
2020-03-29,29.0266,29.272,26.8376,27.1321,334376.0
2020-03-30,27.1419,28.1824,26.7296,27.8879,259901.0
2020-03-31,27.5051,29.2229,27.1026,28.899,532066.0
2020-04-01,27.5247,28.0253,26.2682,27.0634,613616.0
2020-04-02,26.9554,27.7799,25.4339,26.2977,438901.0
2020-04-03,26.2192,26.7198,25.2572,25.8167,499242.0
2020-04-04,26.2192,26.7198,25.2572,25.8167,499242.0
2020-04-05,26.2192,26.7198,25.2572,25.8167,499242.0
2020-04-06,27.1124,29.3898,27.0535,29.164,443046.0
