,WSBF US Equity,WSBF US Equity,WSBF US Equity,WSBF US Equity,WSBF US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,14.3253,14.3777,14.1531,14.2504,288010.0
2020-01-02,14.2429,14.2654,14.0557,14.1606,51259.0
2020-01-03,14.0482,14.1306,13.9734,14.0857,49456.0
2020-01-04,14.0482,14.1306,13.9734,14.0857,49456.0
2020-01-05,14.0482,14.1306,13.9734,14.0857,49456.0
2020-01-06,13.9434,14.0557,13.9359,14.0108,46609.0
2020-01-07,13.9883,13.9883,13.8386,13.8797,55688.0
2020-01-08,13.8535,14.0033,13.8535,13.9659,47222.0
2020-01-09,13.9659,14.0412,13.8905,13.898,45896.0
2020-01-10,13.8905,13.9282,13.8038,13.9282,49012.0
2020-01-11,13.8905,13.9282,13.8038,13.9282,49012.0
2020-01-12,13.8905,13.9282,13.8038,13.9282,49012.0
2020-01-13,13.9206,13.9206,13.8453,13.8905,28872.0
2020-01-14,13.8377,13.898,13.785,13.8,79924.0
2020-01-15,13.785,13.8453,13.7322,13.8453,70903.0
2020-01-16,13.8453,14.0262,13.8453,13.9659,47495.0
2020-01-17,14.0337,14.1392,13.8905,13.9056,43885.0
2020-01-18,14.0337,14.1392,13.8905,13.9056,43885.0
2020-01-19,14.0337,14.1392,13.8905,13.9056,43885.0
2020-01-20,14.0337,14.1392,13.8905,13.9056,43885.0
2020-01-21,13.8377,13.8679,13.6945,13.7247,41536.0
2020-01-22,13.7322,13.7322,13.6418,13.6418,37091.0
2020-01-23,13.5739,13.687,13.5739,13.6342,43087.0
2020-01-24,13.6192,13.6267,13.476,13.476,49316.0
2020-01-25,13.6192,13.6267,13.476,13.476,49316.0
2020-01-26,13.6192,13.6267,13.476,13.476,49316.0
2020-01-27,13.378,13.5136,13.3734,13.4383,103614.0
2020-01-28,13.4533,13.5136,13.378,13.4383,25201.0
2020-01-29,13.378,13.4157,13.3252,13.3629,62414.0
2020-01-30,13.3101,13.4307,13.2046,13.3026,62199.0
2020-01-31,13.3554,13.589,13.1368,13.182,119874.0
2020-02-01,13.3554,13.589,13.1368,13.182,119874.0
2020-02-02,13.3554,13.589,13.1368,13.182,119874.0
2020-02-03,13.1896,13.2725,13.1443,13.2197,137553.0
2020-02-04,13.2875,13.3252,13.1896,13.2046,102767.0
2020-02-05,13.2272,13.5287,13.2272,13.5136,93377.0
2020-02-06,13.5136,13.5136,13.4533,13.4835,84010.0
2020-02-07,13.4986,13.4986,13.4232,13.4835,71604.0
2020-02-08,13.4986,13.4986,13.4232,13.4835,71604.0
2020-02-09,13.4986,13.4986,13.4232,13.4835,71604.0
2020-02-10,13.476,13.4986,13.4232,13.491,69944.0
2020-02-11,13.5061,13.6116,13.476,13.5061,74135.0
2020-02-12,13.5438,13.6192,13.5136,13.589,57400.0
2020-02-13,13.5966,13.6418,13.5702,13.6192,46691.0
2020-02-14,13.6418,13.6418,13.4741,13.4835,63199.0
2020-02-15,13.6418,13.6418,13.4741,13.4835,63199.0
2020-02-16,13.6418,13.6418,13.4741,13.4835,63199.0
2020-02-17,13.6418,13.6418,13.4741,13.4835,63199.0
2020-02-18,13.4835,13.5212,13.4533,13.491,61252.0
2020-02-19,13.5061,13.5212,13.4609,13.491,58430.0
2020-02-20,13.491,13.5212,13.4006,13.5136,79191.0
2020-02-21,13.5438,13.5438,13.4383,13.491,85293.0
2020-02-22,13.5438,13.5438,13.4383,13.491,85293.0
2020-02-23,13.5438,13.5438,13.4383,13.491,85293.0
2020-02-24,13.3252,13.4684,13.2122,13.3817,84470.0
2020-02-25,13.4157,13.4157,13.1971,13.2272,105751.0
2020-02-26,13.2725,13.5023,13.2725,13.3629,129829.0
2020-02-27,13.2649,13.4307,13.0916,13.0916,174640.0
2020-02-28,12.9107,13.0614,12.3982,12.5338,335729.0
2020-02-29,12.9107,13.0614,12.3982,12.5338,335729.0
2020-03-01,12.9107,13.0614,12.3982,12.5338,335729.0
2020-03-02,12.5263,12.9107,12.5263,12.9107,120782.0
2020-03-03,12.9258,13.0991,12.7524,12.9258,180368.0
2020-03-04,13.0162,13.2423,12.9635,13.2272,178365.0
2020-03-05,13.0614,13.2499,12.9785,13.1443,185440.0
2020-03-06,12.8655,13.1142,12.7969,13.0539,222556.0
2020-03-07,12.8655,13.1142,12.7969,13.0539,222556.0
2020-03-08,12.8655,13.1142,12.7969,13.0539,222556.0
2020-03-09,12.6092,12.662,11.7161,11.8178,248786.0
2020-03-10,12.0047,12.8455,11.8412,12.6898,234275.0
2020-03-11,12.5029,12.6275,12.1137,12.5497,271262.0
2020-03-12,11.9735,12.1837,11.3897,11.8723,316463.0
2020-03-13,12.3161,12.464,11.2885,11.7089,212952.0
2020-03-14,12.3161,12.464,11.2885,11.7089,212952.0
2020-03-15,12.3161,12.464,11.2885,11.7089,212952.0
2020-03-16,10.8369,11.343,10.8369,10.9381,202743.0
2020-03-17,11.0627,11.3352,10.9459,11.1328,272292.0
2020-03-18,10.7124,11.1289,10.0895,10.2297,236473.0
2020-03-19,10.1908,10.6734,9.9689,10.4165,306766.0
2020-03-20,10.3854,10.7552,10.0273,10.0895,354420.0
2020-03-21,10.3854,10.7552,10.0273,10.0895,354420.0
2020-03-22,10.3854,10.7552,10.0273,10.0895,354420.0
2020-03-23,10.1752,10.3776,9.7003,9.9338,216392.0
2020-03-24,10.1985,11.1858,10.0506,10.3075,177498.0
2020-03-25,10.2452,10.7124,10.035,10.4399,192705.0
2020-03-26,10.5022,11.5376,10.5022,11.4987,253132.0
2020-03-27,11.2573,11.7205,11.1405,11.5687,273529.0
2020-03-28,11.2573,11.7205,11.1405,11.5687,273529.0
2020-03-29,11.2573,11.7205,11.1405,11.5687,273529.0
2020-03-30,11.6621,11.8568,11.4364,11.6388,271416.0
2020-03-31,11.5999,11.9268,11.1016,11.3196,412882.0
2020-04-01,11.016,11.3196,10.7085,10.7591,182538.0
2020-04-02,10.8058,10.9303,10.4516,10.7124,169493.0
2020-04-03,10.6423,10.798,10.3698,10.4788,193613.0
2020-04-04,10.6423,10.798,10.3698,10.4788,193613.0
2020-04-05,10.6423,10.798,10.3698,10.4788,193613.0
2020-04-06,10.7279,11.0549,10.2997,10.6189,184974.0
2020-04-07,10.8603,10.8992,10.436,10.5411,121804.0
2020-04-08,10.6039,10.655,10.3683,10.4625,174507.0
2020-04-09,10.6275,11.0831,10.6275,10.981,129580.0
2020-04-10,10.6275,11.0831,10.6275,10.981,129580.0
2020-04-11,10.6275,11.0831,10.6275,10.981,129580.0
2020-04-12,10.6275,11.0831,10.6275,10.981,129580.0
2020-04-13,10.9024,10.981,10.2034,10.7767,217750.0
2020-04-14,10.9338,10.9967,10.4861,10.6353,105265.0
2020-04-15,10.3133,10.5097,10.1719,10.3054,140068.0
2020-04-16,10.2583,10.4076,9.6535,9.8184,143134.0
