,KNL US Equity,KNL US Equity,KNL US Equity,KNL US Equity,KNL US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,15.5071,15.7797,15.1124,15.4883,308946.0
2019-01-02,15.3098,15.6904,15.2346,15.5729,939379.0
2019-01-03,15.5071,16.165,15.4037,15.9018,992133.0
2019-01-04,16.0898,16.7101,15.93,16.6913,409577.0
2019-01-05,16.0898,16.7101,15.93,16.6913,409577.0
2019-01-06,16.0898,16.7101,15.93,16.6913,409577.0
2019-01-07,16.6913,16.8699,16.5879,16.8229,337705.0
2019-01-08,16.992,17.2458,16.992,17.2458,288820.0
2019-01-09,17.3116,17.8097,17.1988,17.6781,462662.0
2019-01-10,17.5747,17.7533,17.4996,17.7439,292869.0
2019-01-11,17.6123,17.8379,17.368,17.7251,237935.0
2019-01-12,17.6123,17.8379,17.368,17.7251,237935.0
2019-01-13,17.6123,17.8379,17.368,17.7251,237935.0
2019-01-14,17.6593,17.8003,17.5559,17.6687,210748.0
2019-01-15,17.6593,17.7533,17.415,17.5841,170070.0
2019-01-16,17.6217,17.9319,17.3774,17.4244,236862.0
2019-01-17,17.274,17.415,17.133,17.415,454906.0
2019-01-18,17.4902,18.3266,17.4902,18.3266,540855.0
2019-01-19,17.4902,18.3266,17.4902,18.3266,540855.0
2019-01-20,17.4902,18.3266,17.4902,18.3266,540855.0
2019-01-21,17.4902,18.3266,17.4902,18.3266,540855.0
2019-01-22,18.1668,18.383,18.0728,18.3642,505031.0
2019-01-23,18.3642,18.5052,18.1339,18.3454,342595.0
2019-01-24,18.3642,18.4958,18.0822,18.336,393813.0
2019-01-25,18.4394,18.5898,18.3078,18.4112,309570.0
2019-01-26,18.4394,18.5898,18.3078,18.4112,309570.0
2019-01-27,18.4394,18.5898,18.3078,18.4112,309570.0
2019-01-28,18.2796,18.4723,18.1715,18.3642,374448.0
2019-01-29,18.336,18.4958,18.1292,18.4676,218631.0
2019-01-30,18.5428,18.6085,18.2326,18.4676,262538.0
2019-01-31,18.4394,19.0033,18.3454,18.9469,317974.0
2019-02-01,18.9469,19.0221,18.5428,18.7589,356072.0
2019-02-02,18.9469,19.0221,18.5428,18.7589,356072.0
2019-02-03,18.9469,19.0221,18.5428,18.7589,356072.0
2019-02-04,18.7683,18.9845,18.5991,18.9469,174525.0
2019-02-05,18.9093,19.1818,18.8153,19.0785,279731.0
2019-02-06,19.0503,19.2946,19.0409,19.1724,135659.0
2019-02-07,19.5578,19.6518,19.1348,19.5108,364766.0
2019-02-08,19.492,19.492,18.8999,19.1724,284351.0
2019-02-09,19.492,19.492,18.8999,19.1724,284351.0
2019-02-10,19.492,19.492,18.8999,19.1724,284351.0
2019-02-11,19.2382,19.2852,19.0597,19.21,267373.0
2019-02-12,19.351,19.586,19.351,19.5484,198714.0
2019-02-13,19.5766,19.7363,19.4591,19.6893,154576.0
2019-02-14,19.5672,19.7175,19.5108,19.5202,120401.0
2019-02-15,19.6705,20.1029,19.6424,20.0747,259650.0
2019-02-16,19.6705,20.1029,19.6424,20.0747,259650.0
2019-02-17,19.6705,20.1029,19.6424,20.0747,259650.0
2019-02-18,19.6705,20.1029,19.6424,20.0747,259650.0
2019-02-19,19.9337,20.1029,19.8491,20.0935,191026.0
2019-02-20,19.9901,20.2626,19.9807,20.1687,200536.0
2019-02-21,20.1029,20.2532,20.0089,20.1781,259986.0
2019-02-22,20.2063,20.319,20.0465,20.1029,198689.0
2019-02-23,20.2063,20.319,20.0465,20.1029,198689.0
2019-02-24,20.2063,20.319,20.0465,20.1029,198689.0
2019-02-25,20.1969,20.3472,19.6705,19.9901,333495.0
2019-02-26,19.9619,20.0277,19.586,19.8021,286427.0
2019-02-27,19.8303,19.9619,19.7363,19.9431,133414.0
2019-02-28,19.8961,20.0183,19.7551,19.8867,224847.0
2019-03-01,20.0559,20.1499,19.7081,19.8491,134973.0
2019-03-02,20.0559,20.1499,19.7081,19.8491,134973.0
2019-03-03,20.0559,20.1499,19.7081,19.8491,134973.0
2019-03-04,19.7645,19.9619,19.6705,19.8115,464267.0
2019-03-05,19.8021,19.8021,19.5954,19.6048,92933.0
2019-03-06,19.5484,19.5656,19.1442,19.1442,132075.0
2019-03-07,19.0973,19.2664,18.9281,18.9939,107268.0
2019-03-08,18.8059,19.0597,18.8059,18.9469,98098.0
2019-03-09,18.8059,19.0597,18.8059,18.9469,98098.0
2019-03-10,18.8059,19.0597,18.8059,18.9469,98098.0
2019-03-11,18.9657,19.1912,18.8623,19.1912,185906.0
2019-03-12,19.2006,19.4732,19.0442,19.1161,143550.0
2019-03-13,19.21,19.2946,19.0785,19.0879,158103.0
2019-03-14,19.0973,19.1163,18.9553,18.9553,136265.0
2019-03-15,18.9648,19.192,18.8322,18.8796,334223.0
2019-03-16,18.9648,19.192,18.8322,18.8796,334223.0
2019-03-17,18.9648,19.192,18.8322,18.8796,334223.0
2019-03-18,18.8796,19.0595,18.7375,19.0311,135659.0
2019-03-19,19.1352,19.1352,18.7375,18.7659,187270.0
2019-03-20,18.7754,18.7776,17.9943,18.3683,483280.0
2019-03-21,18.3967,18.747,18.3967,18.5198,183822.0
2019-03-22,18.3683,18.3872,17.7907,17.8665,250420.0
2019-03-23,18.3683,18.3872,17.7907,17.8665,250420.0
2019-03-24,18.3683,18.3872,17.7907,17.8665,250420.0
2019-03-25,17.8381,18.141,17.6775,17.9327,192075.0
2019-03-26,18.1032,18.2641,17.7813,18.0842,275355.0
2019-03-27,18.0274,18.2925,17.8854,18.16,143941.0
2019-03-28,18.16,18.3588,17.9422,18.0558,119842.0
2019-03-29,18.1979,18.2831,17.7197,17.9043,298949.0
2019-03-30,18.1979,18.2831,17.7197,17.9043,298949.0
2019-03-31,18.1979,18.2831,17.7197,17.9043,298949.0
2019-04-01,18.0464,18.2547,17.9706,18.1979,241589.0
2019-04-02,18.1979,18.2641,17.9517,18.018,299661.0
2019-04-03,18.1221,18.2925,18.0369,18.16,183822.0
2019-04-04,18.1695,18.3399,18.1316,18.1695,167406.0
2019-04-05,18.1789,18.3778,18.1126,18.3115,320051.0
2019-04-06,18.1789,18.3778,18.1126,18.3115,320051.0
2019-04-07,18.1789,18.3778,18.1126,18.3115,320051.0
2019-04-08,18.2168,18.3872,18.0606,18.2831,344975.0
2019-04-09,18.1884,18.3115,17.8949,17.9233,214089.0
2019-04-10,17.9327,18.1221,17.9138,18.0464,153139.0
2019-04-11,18.0558,18.3778,18.0464,18.3683,190795.0
2019-04-12,18.5198,18.5387,18.2783,18.444,143729.0
2019-04-13,18.5198,18.5387,18.2783,18.444,143729.0
2019-04-14,18.5198,18.5387,18.2783,18.444,143729.0
2019-04-15,18.3683,18.6807,18.3683,18.6334,206049.0
2019-04-16,18.6334,18.9932,18.605,18.9742,294099.0
2019-04-17,18.9932,19.2299,18.9836,19.1636,253641.0
2019-04-18,19.1068,19.2204,18.8701,19.2204,194207.0
2019-04-19,19.1068,19.2204,18.8701,19.2204,194207.0
2019-04-20,19.1068,19.2204,18.8701,19.2204,194207.0
2019-04-21,19.1068,19.2204,18.8701,19.2204,194207.0
2019-04-22,19.1731,19.192,18.6523,18.7565,191954.0
2019-04-23,18.7944,19.2299,18.6997,19.2204,321602.0
2019-04-24,19.192,19.779,19.1541,19.6938,301417.0
2019-04-25,19.6938,19.6938,19.1257,19.4855,204504.0
2019-04-26,20.3566,20.5356,19.4098,20.2525,437203.0
2019-04-27,20.3566,20.5356,19.4098,20.2525,437203.0
2019-04-28,20.3566,20.5356,19.4098,20.2525,437203.0
2019-04-29,20.2619,20.9247,20.1672,20.7448,416470.0
2019-04-30,20.7448,20.8584,20.4797,20.6785,357673.0
2019-05-01,20.6785,20.7069,20.1388,20.1956,370131.0
2019-05-02,20.1672,20.3566,19.9116,20.0157,238604.0
2019-05-03,20.1104,20.6028,20.1104,20.5838,303445.0
2019-05-04,20.1104,20.6028,20.1104,20.5838,303445.0
2019-05-05,20.1104,20.6028,20.1104,20.5838,303445.0
2019-05-06,20.2809,20.6028,20.2371,20.5649,459228.0
2019-05-07,20.4418,20.5744,20.1057,20.2146,198070.0
2019-05-08,20.2714,20.4323,19.94,20.101,148368.0
2019-05-09,19.9779,20.2051,19.7696,20.0726,180017.0
2019-05-10,19.9968,20.1625,19.6086,20.1483,142184.0
2019-05-11,19.9968,20.1625,19.6086,20.1483,142184.0
2019-05-12,19.9968,20.1625,19.6086,20.1483,142184.0
2019-05-13,19.779,19.779,19.4287,19.5139,160434.0
2019-05-14,19.495,19.8453,19.3624,19.779,178364.0
