,MLKN US Equity,MLKN US Equity,MLKN US Equity,MLKN US Equity,MLKN US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,26.5778,26.8083,26.1879,26.8083,344083.0
2019-01-02,26.436,27.3045,26.2499,27.0387,394736.0
2019-01-03,26.826,27.278,26.4272,26.7728,294278.0
2019-01-04,27.0387,28.1021,26.8171,28.0401,306648.0
2019-01-05,27.0387,28.1021,26.8171,28.0401,306648.0
2019-01-06,27.0387,28.1021,26.8171,28.0401,306648.0
2019-01-07,27.9869,28.625,27.7078,28.4035,271627.0
2019-01-08,28.6427,29.3694,28.6161,29.015,286396.0
2019-01-09,29.1213,29.5378,28.9175,29.4935,223454.0
2019-01-10,29.334,29.5467,29.0238,29.4935,258671.0
2019-01-11,29.3517,29.6264,28.9441,29.4138,318441.0
2019-01-12,29.3517,29.6264,28.9441,29.4138,318441.0
2019-01-13,29.3517,29.6264,28.9441,29.4138,318441.0
2019-01-14,29.2985,29.8746,29.2188,29.4492,420249.0
2019-01-15,29.4846,29.7505,29.3694,29.5733,326261.0
2019-01-16,29.5733,29.9189,28.9884,29.1833,527232.0
2019-01-17,29.1302,29.4846,29.0061,29.4669,315713.0
2019-01-18,29.6087,30.8051,29.6087,30.5215,292555.0
2019-01-19,29.6087,30.8051,29.6087,30.5215,292555.0
2019-01-20,29.6087,30.8051,29.6087,30.5215,292555.0
2019-01-21,29.6087,30.8051,29.6087,30.5215,292555.0
2019-01-22,30.3531,30.4152,29.9543,30.105,269494.0
2019-01-23,30.167,30.2557,29.4846,29.8657,213274.0
2019-01-24,29.9543,30.3354,29.7682,29.8657,330602.0
2019-01-25,30.0518,30.4772,29.8569,29.9455,240699.0
2019-01-26,30.0518,30.4772,29.8569,29.9455,240699.0
2019-01-27,30.0518,30.4772,29.8569,29.9455,240699.0
2019-01-28,29.786,30.043,29.4846,29.7682,333728.0
2019-01-29,29.8214,29.8746,29.4846,29.529,318733.0
