,ALE US Equity,ALE US Equity,ALE US Equity,ALE US Equity,ALE US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,67.678,68.2122,67.678,67.7531,337399.0
2020-01-02,67.9368,67.9368,66.6847,67.2106,250485.0
2020-01-03,67.1188,67.6363,67.1146,67.3441,205137.0
2020-01-04,67.1188,67.6363,67.1146,67.3441,205137.0
2020-01-05,67.1188,67.6363,67.1146,67.3441,205137.0
2020-01-06,67.1772,67.5612,67.0102,67.1104,201816.0
2020-01-07,66.8934,67.0102,66.2757,66.3842,198821.0
2020-01-08,67.1939,67.3441,66.4927,66.9685,459668.0
2020-01-09,66.8934,67.5695,66.8934,67.5695,178714.0
2020-01-10,67.7364,67.9409,67.269,67.486,168284.0
2020-01-11,67.7364,67.9409,67.269,67.486,168284.0
2020-01-12,67.7364,67.9409,67.269,67.486,168284.0
2020-01-13,67.3107,68.1121,67.3107,67.9702,216960.0
2020-01-14,68.0035,68.1621,67.3608,67.8032,173180.0
2020-01-15,68.0035,69.0887,68.0035,68.9468,263300.0
2020-01-16,69.1972,69.7564,69.1972,69.723,165057.0
2020-01-17,69.7898,70.0152,69.2556,69.7564,206023.0
2020-01-18,69.7898,70.0152,69.2556,69.7564,206023.0
2020-01-19,69.7898,70.0152,69.2556,69.7564,206023.0
2020-01-20,69.7898,70.0152,69.2556,69.7564,206023.0
2020-01-21,69.8733,69.9735,69.3558,69.698,153281.0
2020-01-22,69.9401,70.0903,69.481,69.6897,171240.0
2020-01-23,69.4893,70.3741,69.4893,70.2072,190138.0
2020-01-24,70.1988,70.708,69.8232,70.0736,156904.0
2020-01-25,70.1988,70.708,69.8232,70.0736,156904.0
2020-01-26,70.1988,70.708,69.8232,70.0736,156904.0
2020-01-27,69.8566,70.4409,69.2556,69.4726,309577.0
2020-01-28,69.4726,69.9401,69.3725,69.4559,206635.0
2020-01-29,69.2973,69.5728,68.713,69.481,212836.0
2020-01-30,69.2806,70.2656,69.2806,70.2155,192040.0
2020-01-31,70.0569,70.2573,69.4392,69.6813,273079.0
2020-02-01,70.0569,70.2573,69.4392,69.6813,273079.0
2020-02-02,70.0569,70.2573,69.4392,69.6813,273079.0
2020-02-03,69.8232,70.2573,69.723,70.1571,250407.0
2020-02-04,70.1487,70.1487,69.289,69.5311,237530.0
2020-02-05,69.5144,69.9317,69.3474,69.7982,169562.0
2020-02-06,69.8399,69.8649,69.0887,69.1054,156068.0
