,ECOL US Equity,ECOL US Equity,ECOL US Equity,ECOL US Equity,ECOL US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,57.2876,58.0052,57.2876,57.7162,143058.0
2020-01-02,57.8358,58.1647,56.2112,56.8491,149626.0
2020-01-03,56.6597,57.3773,56.3707,57.0983,189439.0
2020-01-04,56.6597,57.3773,56.3707,57.0983,189439.0
2020-01-05,56.6597,57.3773,56.3707,57.0983,189439.0
2020-01-06,56.6896,57.2677,56.1813,57.0385,126391.0
2020-01-07,56.6597,57.1281,55.5036,56.3209,145142.0
2020-01-08,56.3109,56.4205,55.5036,55.8724,184884.0
2020-01-09,55.9621,56.286,55.394,55.5435,164588.0
2020-01-10,55.5435,55.7029,54.8408,55.4637,127092.0
2020-01-11,55.5435,55.7029,54.8408,55.4637,127092.0
2020-01-12,55.5435,55.7029,54.8408,55.4637,127092.0
2020-01-13,55.4936,55.8126,55.0551,55.2843,108995.0
2020-01-14,55.3142,55.7179,53.8591,54.0485,135915.0
2020-01-15,54.0684,54.78,53.2512,53.6,143200.0
2020-01-16,54.24,54.9,53.55,54.78,331050.0
2020-01-17,55.09,56.3,54.39,55.44,186021.0
2020-01-18,55.09,56.3,54.39,55.44,186021.0
2020-01-19,55.09,56.3,54.39,55.44,186021.0
2020-01-20,55.09,56.3,54.39,55.44,186021.0
2020-01-21,55.22,55.68,54.69,55.11,91359.0
2020-01-22,55.32,55.79,55.075,55.48,143621.0
2020-01-23,55.49,55.49,54.79,55.0,170302.0
2020-01-24,55.23,55.23,54.36,54.545,67919.0
2020-01-25,55.23,55.23,54.36,54.545,67919.0
2020-01-26,55.23,55.23,54.36,54.545,67919.0
2020-01-27,53.91,55.27,53.91,54.73,84015.0
2020-01-28,54.84,55.26,54.4,55.12,93519.0
2020-01-29,55.12,55.34,54.51,54.71,69801.0
2020-01-30,54.41,54.74,54.035,54.37,66653.0
2020-01-31,54.14,54.48,53.37,54.01,147085.0
2020-02-01,54.14,54.48,53.37,54.01,147085.0
2020-02-02,54.14,54.48,53.37,54.01,147085.0
2020-02-03,54.16,54.58,54.06,54.45,157606.0
2020-02-04,54.93,54.97,54.29,54.51,118164.0
2020-02-05,54.93,54.93,53.815,53.98,239253.0
2020-02-06,54.24,54.39,53.83,53.97,94421.0
2020-02-07,53.8,53.98,51.26,51.87,206948.0
2020-02-08,53.8,53.98,51.26,51.87,206948.0
2020-02-09,53.8,53.98,51.26,51.87,206948.0
2020-02-10,51.93,51.995,50.3,50.84,226597.0
2020-02-11,50.93,51.4,50.41,51.01,196115.0
2020-02-12,50.87,51.24,50.22,50.51,339720.0
2020-02-13,50.32,51.23,50.25,51.0,149458.0
2020-02-14,50.88,51.24,49.71,49.78,231023.0
2020-02-15,50.88,51.24,49.71,49.78,231023.0
2020-02-16,50.88,51.24,49.71,49.78,231023.0
2020-02-17,50.88,51.24,49.71,49.78,231023.0
2020-02-18,49.77,50.61,49.58,50.09,394035.0
2020-02-19,49.98,50.23,48.97,49.02,227271.0
2020-02-20,48.88,49.83,47.8,49.66,232936.0
2020-02-21,49.68,50.58,49.41,50.26,319902.0
2020-02-22,49.68,50.58,49.41,50.26,319902.0
2020-02-23,49.68,50.58,49.41,50.26,319902.0
2020-02-24,49.32,49.7,48.82,49.15,179403.0
2020-02-25,49.4,49.62,48.08,48.59,296851.0
2020-02-26,48.62,50.17,48.51,48.95,280095.0
2020-02-27,44.87,47.96,44.0,44.35,907563.0
2020-02-28,42.85,44.1,40.94,42.06,687842.0
2020-02-29,42.85,44.1,40.94,42.06,687842.0
2020-03-01,42.85,44.1,40.94,42.06,687842.0
2020-03-02,42.06,44.71,42.05,44.64,928867.0
2020-03-03,44.58,45.075,43.07,43.16,427998.0
2020-03-04,45.13,45.93,43.85,44.1,746452.0
2020-03-05,42.96,43.7701,41.9056,43.01,549227.0
2020-03-06,41.95,44.13,41.51,43.2,387019.0
2020-03-07,41.95,44.13,41.51,43.2,387019.0
2020-03-08,41.95,44.13,41.51,43.2,387019.0
2020-03-09,41.23,41.93,38.65,38.77,351491.0
2020-03-10,39.47,39.51,34.37,35.98,478526.0
2020-03-11,35.08,35.67,32.83,33.91,311214.0
2020-03-12,31.96,32.78,29.91,32.0,441841.0
2020-03-13,32.9,34.31,31.55,34.29,310036.0
2020-03-14,32.9,34.31,31.55,34.29,310036.0
2020-03-15,32.9,34.31,31.55,34.29,310036.0
2020-03-16,31.11,32.75,28.705,29.0,577930.0
2020-03-17,29.12,30.199,27.51,29.34,648286.0
2020-03-18,27.98,29.18,24.94,25.53,338124.0
2020-03-19,25.38,29.34,25.0,28.78,396124.0
2020-03-20,28.76,31.25,28.0656,29.88,506172.0
2020-03-21,28.76,31.25,28.0656,29.88,506172.0
2020-03-22,28.76,31.25,28.0656,29.88,506172.0
2020-03-23,29.7,31.12,27.75,29.15,415312.0
2020-03-24,30.25,30.67,29.3,30.29,265761.0
2020-03-25,30.13,32.49,29.79,30.94,274828.0
2020-03-26,31.37,32.4,30.67,32.11,232030.0
2020-03-27,30.53,31.88,30.2,31.25,423224.0
2020-03-28,30.53,31.88,30.2,31.25,423224.0
2020-03-29,30.53,31.88,30.2,31.25,423224.0
2020-03-30,31.35,32.05,29.56,30.75,316208.0
2020-03-31,30.67,31.11,29.81,30.4,216144.0
2020-04-01,28.79,29.715,28.35,29.0,299657.0
2020-04-02,28.88,29.95,28.57,29.42,211771.0
2020-04-03,28.76,29.2,27.57,28.39,265461.0
2020-04-04,28.76,29.2,27.57,28.39,265461.0
2020-04-05,28.76,29.2,27.57,28.39,265461.0
2020-04-06,29.66,30.32,28.51,29.28,247588.0
2020-04-07,30.16,31.28,29.36,30.53,485104.0
2020-04-08,31.01,31.91,30.42,31.29,288575.0
2020-04-09,32.18,33.905,32.06,33.51,287378.0
2020-04-10,32.18,33.905,32.06,33.51,287378.0
2020-04-11,32.18,33.905,32.06,33.51,287378.0
2020-04-12,32.18,33.905,32.06,33.51,287378.0
2020-04-13,33.09,33.09,31.22,31.86,223241.0
2020-04-14,32.38,33.25,32.1006,33.04,152289.0
2020-04-15,32.22,32.32,30.77,30.89,188389.0
2020-04-16,30.77,31.17,29.83,31.12,275686.0
2020-04-17,31.97,33.6,31.97,32.77,419392.0
2020-04-18,31.97,33.6,31.97,32.77,419392.0
2020-04-19,31.97,33.6,31.97,32.77,419392.0
