,BCO US Equity,BCO US Equity,BCO US Equity,BCO US Equity,BCO US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,60.0618,60.9077,59.3474,60.7667,478121.0
2019-01-02,59.5918,61.0393,59.0184,60.5599,466308.0
2019-01-03,60.2122,61.4529,59.2816,60.2967,299850.0
2019-01-04,61.5375,63.3327,61.0111,62.9662,346212.0
2019-01-05,61.5375,63.3327,61.0111,62.9662,346212.0
2019-01-06,61.5375,63.3327,61.0111,62.9662,346212.0
2019-01-07,62.985,64.4513,61.3871,63.3797,434514.0
2019-01-08,64.2727,64.5546,62.9568,64.4888,332150.0
2019-01-09,64.6674,65.2878,63.7275,64.7802,240723.0
2019-01-10,64.1505,65.4181,64.0156,65.1374,225653.0
2019-01-11,64.8178,65.7202,64.6721,65.4946,289161.0
2019-01-12,64.8178,65.7202,64.6721,65.4946,289161.0
2019-01-13,64.8178,65.7202,64.6721,65.4946,289161.0
2019-01-14,65.128,65.9598,64.7426,65.6826,262765.0
2019-01-15,65.692,66.3969,65.2502,66.1337,197629.0
2019-01-16,66.2653,67.0079,65.645,66.7071,373473.0
2019-01-17,66.6789,66.9703,66.1431,66.5285,310383.0
2019-01-18,67.2617,68.2768,66.9139,68.0418,379582.0
2019-01-19,67.2617,68.2768,66.9139,68.0418,379582.0
2019-01-20,67.2617,68.2768,66.9139,68.0418,379582.0
2019-01-21,67.2617,68.2768,66.9139,68.0418,379582.0
2019-01-22,67.7504,67.9384,66.0303,67.2053,298444.0
2019-01-23,67.2053,67.2053,65.7954,66.2747,336106.0
2019-01-24,66.1149,66.9515,65.7954,66.5755,291502.0
2019-01-25,67.3744,68.0136,67.0079,67.5718,310425.0
2019-01-26,67.3744,68.0136,67.0079,67.5718,310425.0
2019-01-27,67.3744,68.0136,67.0079,67.5718,310425.0
2019-01-28,66.9703,67.929,66.7448,67.5624,311971.0
2019-01-29,67.6094,67.7222,66.5755,67.412,297032.0
2019-01-30,67.9102,69.3389,66.9797,69.1133,346444.0
2019-01-31,69.0193,70.166,68.8219,69.6021,403519.0
2019-02-01,69.6209,70.636,69.3201,70.1848,435853.0
2019-02-02,69.6209,70.636,69.3201,70.1848,435853.0
2019-02-03,69.6209,70.636,69.3201,70.1848,435853.0
2019-02-04,69.9123,70.4762,69.1415,69.6021,465546.0
2019-02-05,69.8559,70.5796,69.3295,69.9499,446315.0
2019-02-06,66.7353,69.6115,65.6544,68.8219,743296.0
2019-02-07,68.0779,70.734,66.797,70.7245,544815.0
2019-02-08,70.3572,71.3838,70.3148,71.186,489477.0
2019-02-09,70.3572,71.3838,70.3148,71.186,489477.0
2019-02-10,70.3572,71.3838,70.3148,71.186,489477.0
2019-02-11,71.3462,73.164,71.3462,72.693,572028.0
2019-02-12,73.1828,73.8327,72.9097,73.7102,404686.0
2019-02-13,73.8798,74.2565,72.3069,73.1451,429102.0
2019-02-14,72.5706,73.1263,72.3822,72.5612,344540.0
2019-02-15,73.164,73.8327,72.354,73.7573,377810.0
2019-02-16,73.164,73.8327,72.354,73.7573,377810.0
2019-02-17,73.164,73.8327,72.354,73.7573,377810.0
2019-02-18,73.164,73.8327,72.354,73.7573,377810.0
2019-02-19,73.3523,74.0493,73.0886,73.0886,620676.0
2019-02-20,72.985,74.9535,72.985,74.6615,718324.0
2019-02-21,74.6521,75.3208,74.2094,74.6521,426892.0
2019-02-22,74.8028,75.367,74.4166,75.0854,358734.0
2019-02-23,74.8028,75.367,74.4166,75.0854,358734.0
2019-02-24,74.8028,75.367,74.4166,75.0854,358734.0
2019-02-25,75.3491,76.404,75.0665,75.123,348212.0
2019-02-26,75.0288,75.415,73.5595,73.6631,460525.0
2019-02-27,73.1169,73.9551,72.5329,73.3618,303577.0
2019-02-28,73.2393,74.6898,72.8437,74.3319,403695.0
2019-03-01,74.9723,75.0383,73.8562,74.0022,439079.0
2019-03-02,74.9723,75.0383,73.8562,74.0022,439079.0
2019-03-03,74.9723,75.0383,73.8562,74.0022,439079.0
2019-03-04,74.1058,74.5014,72.9944,73.2111,223889.0
2019-03-05,73.2864,73.4748,71.7983,71.9207,177212.0
2019-03-06,71.9207,71.9207,70.8941,70.9223,243993.0
2019-03-07,70.9223,70.9223,69.0198,69.1328,327740.0
2019-03-08,68.7372,68.8314,67.7388,68.4641,321545.0
2019-03-09,68.7372,68.8314,67.7388,68.4641,321545.0
2019-03-10,68.7372,68.8314,67.7388,68.4641,321545.0
2019-03-11,68.5771,71.073,68.4923,70.9977,546084.0
2019-03-12,71.3179,72.2033,70.6963,71.8077,331577.0
2019-03-13,71.9113,73.2534,71.9113,72.1279,532730.0
2019-03-14,72.1373,73.2676,71.7229,72.9473,347288.0
2019-03-15,73.164,74.1812,72.9662,73.4088,545737.0
2019-03-16,73.164,74.1812,72.9662,73.4088,545737.0
2019-03-17,73.164,74.1812,72.9662,73.4088,545737.0
2019-03-18,73.3994,74.0116,72.2786,72.8531,302394.0
2019-03-19,73.0321,73.4842,72.1185,72.2974,228176.0
2019-03-20,72.2504,72.8626,70.8281,72.0808,263622.0
2019-03-21,71.9772,73.974,71.9772,73.4277,190003.0
2019-03-22,72.8155,73.0886,71.4121,71.4498,279353.0
2019-03-23,72.8155,73.0886,71.4121,71.4498,279353.0
2019-03-24,72.8155,73.0886,71.4121,71.4498,279353.0
2019-03-25,71.4121,71.8548,70.3195,70.5173,272481.0
2019-03-26,70.9977,71.6476,69.8957,70.4231,266777.0
2019-03-27,70.4608,71.2331,69.9334,70.6209,249941.0
2019-03-28,70.7057,71.3085,69.5755,70.6963,244364.0
2019-03-29,71.0165,71.5816,70.555,71.0259,571388.0
2019-03-30,71.0165,71.5816,70.555,71.0259,571388.0
2019-03-31,71.0165,71.5816,70.555,71.0259,571388.0
2019-04-01,71.5063,73.3994,71.1484,73.3147,348409.0
2019-04-02,73.4654,73.9834,73.1074,73.9551,403154.0
2019-04-03,74.4072,75.5375,74.3884,75.1513,494038.0
2019-04-04,74.8311,74.8782,73.2252,73.9363,534861.0
2019-04-05,74.1718,75.2078,74.1718,74.8028,272947.0
2019-04-06,74.1718,75.2078,74.1718,74.8028,272947.0
2019-04-07,74.1718,75.2078,74.1718,74.8028,272947.0
2019-04-08,74.3601,74.9818,74.1859,74.4637,260482.0
2019-04-09,74.1623,74.4072,72.8249,72.9191,367639.0
2019-04-10,73.2111,74.3978,73.0038,74.379,250357.0
2019-04-11,74.605,75.302,74.3884,75.1795,157342.0
2019-04-12,75.3491,75.3491,74.2471,74.5485,284482.0
2019-04-13,75.3491,75.3491,74.2471,74.5485,284482.0
2019-04-14,75.3491,75.3491,74.2471,74.5485,284482.0
2019-04-15,74.6144,75.1325,74.1718,74.9252,442701.0
2019-04-16,74.9912,75.2455,74.4166,74.6427,254463.0
2019-04-17,75.0571,75.8671,74.8028,75.3302,217491.0
2019-04-18,75.123,76.3851,75.1136,75.415,347284.0
2019-04-19,75.123,76.3851,75.1136,75.415,347284.0
2019-04-20,75.123,76.3851,75.1136,75.415,347284.0
2019-04-21,75.123,76.3851,75.1136,75.415,347284.0
