,HCC US Equity,HCC US Equity,HCC US Equity,HCC US Equity,HCC US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,18.6673,18.6673,18.0067,18.5214,708822.0
2019-01-02,18.2909,18.3754,17.3537,18.2448,736367.0
2019-01-03,18.1373,18.2371,16.5317,16.8621,846664.0
2019-01-04,17.2615,18.3447,17.2077,17.8146,979164.0
2019-01-05,17.2615,18.3447,17.2077,17.8146,979164.0
2019-01-06,17.2615,18.3447,17.2077,17.8146,979164.0
2019-01-07,17.8223,18.3063,17.0541,17.4459,890241.0
2019-01-08,17.6456,17.8607,17.0311,17.7916,783474.0
2019-01-09,18.022,18.6212,17.8069,18.5291,786508.0
2019-01-10,18.36,18.6443,17.9452,18.6212,833018.0
2019-01-11,18.4215,19.1321,18.1757,18.7826,1293456.0
2019-01-12,18.4215,19.1321,18.1757,18.7826,1293456.0
2019-01-13,18.4215,19.1321,18.1757,18.7826,1293456.0
2019-01-14,18.6136,19.1206,18.6136,18.9285,619808.0
2019-01-15,19.0898,19.1743,18.1603,18.3831,847061.0
2019-01-16,18.4369,18.9055,18.3447,18.7441,874817.0
2019-01-17,18.675,19.3971,18.675,19.2973,907085.0
2019-01-18,19.3971,20.2191,19.2358,19.9963,691485.0
2019-01-19,19.3971,20.2191,19.2358,19.9963,691485.0
2019-01-20,19.3971,20.2191,19.2358,19.9963,691485.0
2019-01-21,19.3971,20.2191,19.2358,19.9963,691485.0
2019-01-22,19.858,19.8734,19.328,19.8196,608172.0
2019-01-23,20.15,20.2575,19.7351,20.0578,537167.0
2019-01-24,19.8965,20.1999,19.7384,20.0655,544281.0
2019-01-25,20.3804,20.9719,20.3804,20.8183,689701.0
2019-01-26,20.3804,20.9719,20.3804,20.8183,689701.0
2019-01-27,20.3804,20.9719,20.3804,20.8183,689701.0
2019-01-28,20.7184,20.7568,20.1269,20.4649,364589.0
2019-01-29,20.7799,21.1179,20.6262,20.8413,491067.0
2019-01-30,21.2869,22.178,21.0334,21.7401,963383.0
2019-01-31,21.7785,22.1281,21.3023,22.0705,608732.0
2019-02-01,22.0705,22.2702,21.8784,22.0705,391322.0
2019-02-02,22.0705,22.2702,21.8784,22.0705,391322.0
2019-02-03,22.0705,22.2702,21.8784,22.0705,391322.0
2019-02-04,21.9706,21.986,21.525,21.9783,449227.0
2019-02-05,21.986,22.0935,21.7555,21.9015,429073.0
2019-02-06,21.8246,21.8304,21.018,21.1409,969737.0
2019-02-07,20.9873,21.4982,20.826,20.9105,359803.0
2019-02-08,20.9873,21.1486,20.7338,20.8029,472237.0
2019-02-09,20.9873,21.1486,20.7338,20.8029,472237.0
2019-02-10,20.9873,21.1486,20.7338,20.8029,472237.0
2019-02-11,20.8183,21.0488,20.7031,20.8106,333077.0
2019-02-12,20.995,21.5097,20.8798,21.4559,445058.0
2019-02-13,21.5327,21.7632,21.3944,21.6249,529805.0
2019-02-14,21.4866,21.8438,21.4482,21.6249,688224.0
2019-02-15,21.8323,22.1089,21.6172,21.6787,340376.0
2019-02-16,21.8323,22.1089,21.6172,21.6787,340376.0
2019-02-17,21.8323,22.1089,21.6172,21.6787,340376.0
2019-02-18,21.8323,22.1089,21.6172,21.6787,340376.0
2019-02-19,21.6326,21.9706,21.3868,21.6326,525905.0
2019-02-20,21.8093,22.2702,21.4943,21.9783,784470.0
2019-02-21,21.84,22.6927,21.4943,22.2395,1101308.0
2019-02-22,22.5698,23.484,22.2625,22.5544,1482420.0
2019-02-23,22.5698,23.484,22.2625,22.5544,1482420.0
2019-02-24,22.5698,23.484,22.2625,22.5544,1482420.0
2019-02-25,22.3931,22.6389,21.5058,22.4162,997836.0
2019-02-26,22.2779,22.4008,21.8016,22.3854,873975.0
2019-02-27,22.4162,22.831,22.1089,22.2087,507525.0
2019-02-28,22.0858,22.516,21.9091,22.493,688451.0
2019-03-01,22.6084,22.6854,22.1967,22.4391,661693.0
2019-03-02,22.6084,22.6854,22.1967,22.4391,661693.0
2019-03-03,22.6084,22.6854,22.1967,22.4391,661693.0
2019-03-04,22.5238,22.5238,21.9082,22.1467,454268.0
2019-03-05,22.0851,22.2852,21.9389,21.9697,308982.0
2019-03-06,22.0082,22.1005,21.3541,21.4157,627609.0
2019-03-07,21.4695,21.4849,20.8231,20.9001,618416.0
