,CSGS US Equity,CSGS US Equity,CSGS US Equity,CSGS US Equity,CSGS US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,47.1971,47.5449,47.0506,47.3985,250999.0
2020-01-02,47.5175,47.8928,47.2428,47.8836,291536.0
2020-01-03,47.3252,48.2498,46.9216,47.9019,269193.0
2020-01-04,47.3252,48.2498,46.9216,47.9019,269193.0
2020-01-05,47.3252,48.2498,46.9216,47.9019,269193.0
2020-01-06,47.6181,47.6548,47.1605,47.3985,229505.0
2020-01-07,47.1971,47.2062,46.4007,46.4922,280316.0
2020-01-08,46.538,47.0781,46.4922,46.8035,148934.0
2020-01-09,46.9774,47.5266,46.7851,47.4534,180690.0
2020-01-10,47.5266,47.7097,46.8492,47.0231,207971.0
2020-01-11,47.5266,47.7097,46.8492,47.0231,207971.0
2020-01-12,47.5266,47.7097,46.8492,47.0231,207971.0
2020-01-13,47.1879,48.2543,47.1395,48.204,228863.0
2020-01-14,48.2498,48.2498,46.4831,46.5288,461063.0
2020-01-15,46.5838,47.1238,46.5563,46.6936,320891.0
2020-01-16,47.0415,47.3161,46.7211,47.2337,167963.0
2020-01-17,47.4351,47.4351,46.6936,46.8767,216060.0
2020-01-18,47.4351,47.4351,46.6936,46.8767,216060.0
2020-01-19,47.4351,47.4351,46.6936,46.8767,216060.0
2020-01-20,47.4351,47.4351,46.6936,46.8767,216060.0
2020-01-21,46.8492,46.9957,46.3091,46.4739,288162.0
2020-01-22,46.7211,47.101,46.4419,46.8996,210591.0
2020-01-23,46.9865,47.5586,46.7119,47.2886,213393.0
2020-01-24,47.5358,47.5358,46.4648,46.6845,119575.0
2020-01-25,47.5358,47.5358,46.4648,46.6845,119575.0
2020-01-26,47.5358,47.5358,46.4648,46.6845,119575.0
2020-01-27,46.0528,46.9316,45.9384,46.5471,304646.0
2020-01-28,46.8126,47.1605,46.6387,46.9591,139615.0
2020-01-29,47.133,47.1879,46.7394,46.7851,244656.0
2020-01-30,46.6753,47.0964,46.4373,47.0872,163056.0
2020-01-31,47.014,47.0231,45.4853,45.6043,282691.0
2020-02-01,47.014,47.0231,45.4853,45.6043,282691.0
2020-02-02,47.014,47.0231,45.4853,45.6043,282691.0
2020-02-03,45.7965,46.4739,45.6226,46.0803,265236.0
2020-02-04,46.5563,46.9133,45.9705,46.6295,254731.0
2020-02-05,47.3435,47.5907,46.3549,47.5358,169940.0
2020-02-06,50.2727,50.2727,46.3915,46.5929,381542.0
2020-02-07,46.3458,46.6753,45.7141,45.8057,205625.0
2020-02-08,46.3458,46.6753,45.7141,45.8057,205625.0
2020-02-09,46.3458,46.6753,45.7141,45.8057,205625.0
2020-02-10,45.8515,46.9865,45.8515,46.9316,236217.0
2020-02-11,47.2978,47.4991,46.8538,47.371,139833.0
2020-02-12,47.7005,48.0301,47.014,47.3893,150646.0
2020-02-13,47.0323,47.7738,47.0323,47.7646,135271.0
2020-02-14,47.7646,48.0438,47.5358,47.8836,225036.0
2020-02-15,47.7646,48.0438,47.5358,47.8836,225036.0
2020-02-16,47.7646,48.0438,47.5358,47.8836,225036.0
2020-02-17,47.7646,48.0438,47.5358,47.8836,225036.0
2020-02-18,47.8378,48.1765,47.6822,47.8744,211381.0
2020-02-19,48.0392,48.4603,47.8744,48.2772,143963.0
2020-02-20,48.4054,48.5152,47.3435,48.3138,268697.0
2020-02-21,48.1491,48.3138,47.1605,47.3435,188436.0
2020-02-22,48.1491,48.3138,47.1605,47.3435,188436.0
2020-02-23,48.1491,48.3138,47.1605,47.3435,188436.0
2020-02-24,45.8606,46.419,45.6592,45.9521,232331.0
2020-02-25,45.8331,45.8331,43.682,43.7095,305626.0
2020-02-26,44.0207,44.4463,43.1877,43.3616,282555.0
2020-02-27,42.5378,43.8193,41.9245,42.4371,360904.0
2020-02-28,40.8718,41.9657,39.7001,40.5056,428430.0
2020-02-29,40.8718,41.9657,39.7001,40.5056,428430.0
2020-03-01,40.8718,41.9657,39.7001,40.5056,428430.0
2020-03-02,40.6887,41.7414,40.3317,41.7048,258584.0
2020-03-03,41.7139,42.7804,40.8443,41.4668,513901.0
