,ABTX US Equity,ABTX US Equity,ABTX US Equity,ABTX US Equity,ABTX US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,36.1699,36.3726,36.0927,36.2857,120332.0
2020-01-02,36.6911,36.6911,35.948,36.1603,90440.0
2020-01-03,35.7839,36.1892,35.5716,36.0831,101608.0
2020-01-04,35.7839,36.1892,35.5716,36.0831,101608.0
2020-01-05,35.7839,36.1892,35.5716,36.0831,101608.0
2020-01-06,35.7453,36.2375,35.6585,36.1024,69061.0
2020-01-07,36.0831,36.1892,35.5137,35.755,143605.0
2020-01-08,35.7067,36.2761,35.7067,36.2375,106867.0
2020-01-09,36.2375,36.363,35.9866,36.1603,81447.0
2020-01-10,36.0445,36.1699,35.7164,35.9576,86884.0
2020-01-11,36.0445,36.1699,35.7164,35.9576,86884.0
2020-01-12,36.0445,36.1699,35.7164,35.9576,86884.0
2020-01-13,35.948,36.0252,35.7067,36.0155,101398.0
2020-01-14,35.9962,36.3002,35.7357,36.0638,73797.0
2020-01-15,35.919,36.1024,35.6585,35.8708,82575.0
2020-01-16,35.7453,36.4016,35.6681,36.2664,90203.0
2020-01-17,36.4402,36.4402,35.948,36.0927,82309.0
2020-01-18,36.4402,36.4402,35.948,36.0927,82309.0
2020-01-19,36.4402,36.4402,35.948,36.0927,82309.0
2020-01-20,36.4402,36.4402,35.948,36.0927,82309.0
2020-01-21,35.9383,36.0155,35.6488,35.6778,62237.0
2020-01-22,35.726,35.8129,35.5523,35.6874,65392.0
2020-01-23,35.4848,35.8322,35.2242,35.7646,122354.0
2020-01-24,35.7839,35.7839,35.2242,35.4944,78838.0
2020-01-25,35.7839,35.7839,35.2242,35.4944,78838.0
2020-01-26,35.7839,35.7839,35.2242,35.4944,78838.0
2020-01-27,34.9057,35.4172,34.7417,35.2049,71713.0
2020-01-28,35.3497,35.8032,35.3207,35.3883,73756.0
2020-01-29,35.7067,36.6525,35.7067,36.4498,223724.0
2020-01-30,36.2471,36.6621,36.0831,36.6235,126132.0
2020-01-31,36.3919,36.3919,35.8322,35.8997,121149.0
2020-02-01,36.3919,36.3919,35.8322,35.8997,121149.0
2020-02-02,36.3919,36.3919,35.8322,35.8997,121149.0
2020-02-03,36.141,36.6476,35.8611,36.5849,145759.0
2020-02-04,36.6718,36.8165,36.2182,36.556,172210.0
2020-02-05,36.9613,37.2749,36.5174,37.2315,165610.0
2020-02-06,37.0964,37.5886,37.0771,37.3666,186599.0
2020-02-07,37.135,37.135,36.6718,36.9227,83515.0
2020-02-08,37.135,37.135,36.6718,36.9227,83515.0
2020-02-09,37.135,37.135,36.6718,36.9227,83515.0
2020-02-10,36.9613,36.9613,36.5753,36.8455,87382.0
2020-02-11,37.106,37.3569,36.8841,36.9034,113586.0
2020-02-12,37.106,37.1543,36.7586,36.913,91298.0
2020-02-13,36.4788,37.2508,36.3581,37.1446,116228.0
2020-02-14,37.1446,37.4052,36.8358,37.0964,87652.0
2020-02-15,37.1446,37.4052,36.8358,37.0964,87652.0
2020-02-16,37.1446,37.4052,36.8358,37.0964,87652.0
2020-02-17,37.1446,37.4052,36.8358,37.0964,87652.0
2020-02-18,37.0288,37.0288,36.0638,36.2278,67832.0
2020-02-19,36.1989,36.3919,36.0638,36.334,61957.0
2020-02-20,36.2857,36.7972,36.0541,36.4981,75130.0
2020-02-21,36.4788,36.4788,35.9383,36.3726,136769.0
2020-02-22,36.4788,36.4788,35.9383,36.3726,136769.0
2020-02-23,36.4788,36.4788,35.9383,36.3726,136769.0
2020-02-24,35.4944,35.6102,35.1759,35.4751,55881.0
2020-02-25,35.5716,35.5716,34.3653,34.5583,68800.0
2020-02-26,34.7706,35.0601,33.96,34.1433,93966.0
2020-02-27,33.6207,34.2982,32.8852,32.9046,83254.0
2020-02-28,32.1497,32.7304,28.9173,32.1013,171996.0
2020-02-29,32.1497,32.7304,28.9173,32.1013,171996.0
2020-03-01,32.1497,32.7304,28.9173,32.1013,171996.0
2020-03-02,32.1691,33.0981,31.8303,33.0207,93069.0
2020-03-03,32.9239,33.2626,31.9949,32.3045,112133.0
2020-03-04,32.5658,33.0304,32.0142,32.7304,107159.0
2020-03-05,32.0626,32.0626,30.6593,31.0561,109059.0
2020-03-06,29.8851,30.4077,28.7625,29.2173,212039.0
2020-03-07,29.8851,30.4077,28.7625,29.2173,212039.0
2020-03-08,29.8851,30.4077,28.7625,29.2173,212039.0
2020-03-09,26.8753,29.3664,25.7236,25.8978,147454.0
2020-03-10,26.5946,27.5527,25.3462,27.4076,165160.0
2020-03-11,26.4495,27.3882,25.0159,25.4043,151469.0
2020-03-12,23.6429,25.2978,22.6364,23.6623,164461.0
2020-03-13,24.901,25.9753,24.03,25.6656,157477.0
2020-03-14,24.901,25.9753,24.03,25.6656,157477.0
2020-03-15,24.901,25.9753,24.03,25.6656,157477.0
2020-03-16,23.7106,24.4897,22.0267,22.4719,157897.0
2020-03-17,22.3461,26.3188,22.0751,26.2946,163633.0
2020-03-18,24.9494,27.0882,23.2171,24.6591,143520.0
2020-03-19,24.1365,26.8656,23.0816,26.2656,148889.0
2020-03-20,26.2656,26.4398,23.9671,24.1171,181029.0
2020-03-21,26.2656,26.4398,23.9671,24.1171,181029.0
2020-03-22,26.2656,26.4398,23.9671,24.1171,181029.0
2020-03-23,24.2139,26.9817,21.4218,21.9493,137940.0
2020-03-24,22.9267,24.2816,22.2396,23.9429,113307.0
2020-03-25,23.9623,24.122,22.53,23.2558,125710.0
2020-03-26,23.4977,25.3946,23.2751,24.7171,110547.0
2020-03-27,23.6623,25.0268,22.6896,22.9267,106705.0
2020-03-28,23.6623,25.0268,22.6896,22.9267,106705.0
