,CNP US Equity,CNP US Equity,CNP US Equity,CNP US Equity,CNP US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,23.9337,24.2628,23.9025,24.2539,3443195.0
2020-01-02,24.3072,24.3161,23.738,23.9693,3385818.0
2020-01-03,23.8092,23.9604,23.7691,23.8269,3405430.0
2020-01-04,23.8092,23.9604,23.7691,23.8269,3405430.0
2020-01-05,23.8092,23.9604,23.7691,23.8269,3405430.0
2020-01-06,23.8092,24.0137,23.7291,23.7914,3516065.0
2020-01-07,23.8003,23.907,23.4534,23.8981,4252205.0
2020-01-08,23.9426,23.9604,23.6757,23.6935,5922605.0
2020-01-09,23.6669,23.6669,23.4,23.5246,5709500.0
2020-01-10,23.5068,23.5157,23.0354,23.3911,8430688.0
2020-01-11,23.5068,23.5157,23.0354,23.3911,8430688.0
2020-01-12,23.5068,23.5157,23.0354,23.3911,8430688.0
2020-01-13,23.3911,23.5512,23.2978,23.3734,4303647.0
2020-01-14,23.6402,23.8536,23.5246,23.7113,4837220.0
2020-01-15,23.7469,24.1116,23.7113,24.0137,3302810.0
2020-01-16,24.0938,24.1649,23.8136,24.0582,4761392.0
2020-01-17,24.0671,24.1916,23.9248,24.0582,4882448.0
2020-01-18,24.0671,24.1916,23.9248,24.0582,4882448.0
2020-01-19,24.0671,24.1916,23.9248,24.0582,4882448.0
2020-01-20,24.0671,24.1916,23.9248,24.0582,4882448.0
2020-01-21,24.076,24.1649,23.8447,24.0226,5347742.0
2020-01-22,24.076,24.2539,23.2711,23.2844,11147607.0
2020-01-23,23.2577,23.987,23.2222,23.9515,5030521.0
2020-01-24,23.8981,23.8981,23.3556,23.5334,6227444.0
2020-01-25,23.8981,23.8981,23.3556,23.5334,6227444.0
2020-01-26,23.8981,23.8981,23.3556,23.5334,6227444.0
2020-01-27,23.5246,23.6846,23.2488,23.3111,4298491.0
2020-01-28,23.3734,23.5246,23.1777,23.4,4442150.0
2020-01-29,23.4178,23.7113,23.4,23.6402,3266435.0
2020-01-30,23.6224,23.7736,23.5023,23.7202,2631467.0
2020-01-31,23.6846,23.7469,23.3022,23.5512,5125358.0
2020-02-01,23.6846,23.7469,23.3022,23.5512,5125358.0
2020-02-02,23.6846,23.7469,23.3022,23.5512,5125358.0
2020-02-03,23.5957,23.8003,23.4178,23.4267,5998611.0
2020-02-04,23.4,23.778,23.3289,23.5868,5840769.0
2020-02-05,23.5957,23.9604,23.4979,23.7914,4011887.0
2020-02-06,23.7914,23.9604,23.6313,23.8892,4190389.0
2020-02-07,23.9337,23.9337,23.7069,23.7647,4284661.0
2020-02-08,23.9337,23.9337,23.7069,23.7647,4284661.0
2020-02-09,23.9337,23.9337,23.7069,23.7647,4284661.0
2020-02-10,23.7647,24.3695,23.6268,23.8892,3708693.0
2020-02-11,23.9693,24.1471,23.9337,24.0404,2050978.0
2020-02-12,24.0404,24.1783,23.9604,24.1204,2535080.0
2020-02-13,24.0226,24.2361,24.0137,24.1738,2565670.0
2020-02-14,24.2805,24.4851,24.1071,24.1738,3707623.0
2020-02-15,24.2805,24.4851,24.1071,24.1738,3707623.0
2020-02-16,24.2805,24.4851,24.1071,24.1738,3707623.0
2020-02-17,24.2805,24.4851,24.1071,24.1738,3707623.0
