,APAM US Equity,APAM US Equity,APAM US Equity,APAM US Equity,APAM US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,13.0334,13.2241,12.8547,13.1705,477939.0
2019-01-02,12.9917,13.4742,12.8488,13.2181,455876.0
2019-01-03,13.093,13.2926,12.9143,12.9441,616330.0
2019-01-04,13.1645,13.3194,12.9739,13.0454,473321.0
2019-01-05,13.1645,13.3194,12.9739,13.0454,473321.0
2019-01-06,13.1645,13.3194,12.9739,13.0454,473321.0
2019-01-07,13.0394,13.4504,12.9262,13.2002,747290.0
2019-01-08,13.4087,13.5219,13.2002,13.2538,293125.0
2019-01-09,13.2002,13.3849,13.1824,13.2419,479521.0
2019-01-10,13.1764,13.5576,13.1585,13.3849,436663.0
2019-01-11,13.2538,13.2896,12.7624,13.2122,417208.0
2019-01-12,13.2538,13.2896,12.7624,13.2122,417208.0
2019-01-13,13.2538,13.2896,12.7624,13.2122,417208.0
2019-01-14,13.0334,13.4206,12.6343,13.2181,526204.0
2019-01-15,13.1883,13.4802,13.1049,13.4564,309307.0
2019-01-16,13.5398,13.7423,13.4504,13.5636,374984.0
2019-01-17,13.3968,13.6947,13.3147,13.5874,308573.0
2019-01-18,13.6827,13.9508,13.5398,13.7959,323129.0
2019-01-19,13.6827,13.9508,13.5398,13.7959,323129.0
2019-01-20,13.6827,13.9508,13.5398,13.7959,323129.0
2019-01-21,13.6827,13.9508,13.5398,13.7959,323129.0
2019-01-22,13.6947,13.7483,13.4266,13.5398,380344.0
2019-01-23,13.5636,13.6232,13.373,13.5457,383418.0
2019-01-24,13.5576,13.7959,13.5576,13.641,286674.0
2019-01-25,13.7959,13.7959,13.6261,13.6589,294181.0
2019-01-26,13.7959,13.7959,13.6261,13.6589,294181.0
2019-01-27,13.7959,13.7959,13.6261,13.6589,294181.0
2019-01-28,13.5696,13.7602,13.5398,13.6768,305348.0
2019-01-29,13.7006,13.7721,13.5874,13.5993,252222.0
2019-01-30,13.6291,13.6887,13.2181,13.653,545404.0
2019-01-31,13.5636,13.9567,13.5636,13.8912,442369.0
2019-02-01,13.9091,14.1176,13.8674,14.0401,333943.0
2019-02-02,13.9091,14.1176,13.8674,14.0401,333943.0
2019-02-03,13.9091,14.1176,13.8674,14.0401,333943.0
2019-02-04,14.0699,14.2754,13.9865,14.1176,271537.0
2019-02-05,14.1176,14.5405,13.6947,14.1891,1046529.0
2019-02-06,14.338,14.7252,14.0997,14.4452,1588583.0
2019-02-07,14.4571,14.7371,14.4035,14.6299,701140.0
2019-02-08,14.5643,14.7967,14.2814,14.7073,562227.0
2019-02-09,14.5643,14.7967,14.2814,14.7073,562227.0
2019-02-10,14.5643,14.7967,14.2814,14.7073,562227.0
2019-02-11,14.7788,15.0707,14.6507,15.0588,423568.0
2019-02-12,15.2077,15.3328,14.9396,15.0111,755905.0
2019-02-13,15.1065,15.666,14.8267,15.4879,688457.0
2019-02-14,15.4307,15.5642,15.2209,15.4689,551557.0
2019-02-15,15.577,15.7741,15.577,15.7677,307182.0
2019-02-16,15.577,15.7741,15.577,15.7677,307182.0
2019-02-17,15.577,15.7741,15.577,15.7677,307182.0
2019-02-18,15.577,15.7741,15.577,15.7677,307182.0
2019-02-19,15.666,15.9266,15.596,15.8885,403024.0
2019-02-20,15.8821,16.359,15.8631,16.3463,405139.0
2019-02-21,16.3081,16.4098,16.1682,16.1937,419606.0
2019-02-22,16.2763,16.6197,16.2491,16.5752,331295.0
2019-02-23,16.2763,16.6197,16.2491,16.5752,331295.0
2019-02-24,16.2763,16.6197,16.2491,16.5752,331295.0
2019-02-25,16.6705,16.7722,16.6133,16.626,1103682.0
2019-02-26,16.6069,16.7468,16.4289,16.4289,527894.0
2019-02-27,16.4671,16.6578,16.3335,16.5624,310675.0
2019-02-28,16.6832,17.0202,16.6228,16.7214,498484.0
2019-03-01,16.893,16.9757,16.5306,16.7341,445779.0
2019-03-02,16.893,16.9757,16.5306,16.7341,445779.0
2019-03-03,16.893,16.9757,16.5306,16.7341,445779.0
2019-03-04,16.7659,16.9058,16.6769,16.785,342655.0
2019-03-05,16.785,16.8485,16.5942,16.7341,344629.0
2019-03-06,16.7532,16.8485,16.4162,16.4353,254703.0
2019-03-07,16.4353,16.4353,15.9584,15.9711,338538.0
2019-03-08,15.9584,16.1428,15.8949,16.0538,391803.0
2019-03-09,15.9584,16.1428,15.8949,16.0538,391803.0
2019-03-10,15.9584,16.1428,15.8949,16.0538,391803.0
2019-03-11,16.1682,16.3653,16.1237,16.289,428570.0
2019-03-12,16.3463,16.5561,16.1301,16.3526,486904.0
2019-03-13,16.448,16.715,16.3208,16.6705,531791.0
2019-03-14,16.6451,16.7913,16.5179,16.7087,378144.0
2019-03-15,16.696,16.8295,16.6464,16.7405,636178.0
2019-03-16,16.696,16.8295,16.6464,16.7405,636178.0
2019-03-17,16.696,16.8295,16.6464,16.7405,636178.0
2019-03-18,16.8295,16.9948,16.7468,16.9121,319160.0
2019-03-19,17.0456,17.23,16.6832,16.7277,432271.0
2019-03-20,16.7532,16.7977,16.3908,16.3971,253723.0
2019-03-21,16.3145,16.6387,16.2509,16.5434,319479.0
2019-03-22,16.4226,16.5243,15.7295,15.8949,396425.0
2019-03-23,16.4226,16.5243,15.7295,15.8949,396425.0
2019-03-24,16.4226,16.5243,15.7295,15.8949,396425.0
2019-03-25,15.9012,16.0665,15.72,15.8567,284382.0
2019-03-26,16.022,16.3717,15.9584,16.359,549729.0
2019-03-27,16.359,16.4925,16.0411,16.2445,500408.0
2019-03-28,16.2445,16.4226,15.9648,16.1492,353657.0
2019-03-29,16.3145,16.3399,15.9521,16.0029,385025.0
2019-03-30,16.3145,16.3399,15.9521,16.0029,385025.0
2019-03-31,16.3145,16.3399,15.9521,16.0029,385025.0
2019-04-01,16.1746,16.4607,16.0856,16.4353,472868.0
2019-04-02,16.5306,16.5688,16.3463,16.3781,273138.0
2019-04-03,16.4989,16.5879,16.3781,16.5624,454697.0
2019-04-04,16.5942,16.5942,16.2127,16.3653,1024718.0
2019-04-05,16.4353,16.9503,16.4226,16.874,729473.0
2019-04-06,16.4353,16.9503,16.4226,16.874,729473.0
2019-04-07,16.4353,16.9503,16.4226,16.874,729473.0
2019-04-08,16.9376,17.141,16.7977,17.1029,399577.0
2019-04-09,17.1029,17.1283,16.9312,17.0075,430475.0
2019-04-10,17.1537,17.6115,17.0584,17.5543,692435.0
2019-04-11,17.6115,17.8531,17.4907,17.5225,363627.0
2019-04-12,17.7196,17.9103,17.6624,17.7832,370139.0
2019-04-13,17.7196,17.9103,17.6624,17.7832,370139.0
2019-04-14,17.7196,17.9103,17.6624,17.7832,370139.0
2019-04-15,18.1583,18.3109,17.7069,17.8658,335792.0
2019-04-16,17.993,18.5016,17.993,18.4126,454287.0
2019-04-17,18.527,18.6796,18.2282,18.2791,580253.0
2019-04-18,18.2409,18.3617,18.0883,18.2028,358190.0
