,QTWO US Equity,QTWO US Equity,QTWO US Equity,QTWO US Equity,QTWO US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,80.66,81.4275,79.64,81.08,770772.0
2020-01-02,81.81,83.27,81.58,82.82,224058.0
2020-01-03,81.62,84.675,81.62,84.04,230811.0
2020-01-04,81.62,84.675,81.62,84.04,230811.0
2020-01-05,81.62,84.675,81.62,84.04,230811.0
2020-01-06,83.06,85.43,82.65,85.25,254208.0
2020-01-07,85.19,85.87,83.1,83.3,348513.0
2020-01-08,83.54,84.72,83.54,84.14,249622.0
2020-01-09,84.68,85.2423,83.8,84.03,215210.0
2020-01-10,84.03,84.75,82.74,83.15,427661.0
2020-01-11,84.03,84.75,82.74,83.15,427661.0
2020-01-12,84.03,84.75,82.74,83.15,427661.0
2020-01-13,83.62,85.41,82.714,84.82,239372.0
2020-01-14,84.96,85.12,82.67,83.94,253796.0
2020-01-15,84.04,86.3,84.04,85.51,367283.0
2020-01-16,86.02,87.06,85.9,86.72,219564.0
2020-01-17,87.49,88.12,86.48,87.7,269707.0
2020-01-18,87.49,88.12,86.48,87.7,269707.0
2020-01-19,87.49,88.12,86.48,87.7,269707.0
2020-01-20,87.49,88.12,86.48,87.7,269707.0
2020-01-21,87.65,88.56,86.71,87.2,186693.0
2020-01-22,87.95,89.12,87.95,88.37,192914.0
2020-01-23,88.06,88.64,87.41,88.16,477674.0
2020-01-24,88.65,89.63,86.34,87.15,267704.0
2020-01-25,88.65,89.63,86.34,87.15,267704.0
2020-01-26,88.65,89.63,86.34,87.15,267704.0
2020-01-27,85.15,87.5,85.02,86.73,470701.0
2020-01-28,87.56,88.14,87.04,87.93,342477.0
2020-01-29,88.33,88.87,87.0,87.5,167800.0
2020-01-30,87.05,89.92,86.48,89.83,271350.0
2020-01-31,89.52,89.74,85.16,87.19,356306.0
2020-02-01,89.52,89.74,85.16,87.19,356306.0
2020-02-02,89.52,89.74,85.16,87.19,356306.0
2020-02-03,87.58,87.9,86.26,86.85,474798.0
2020-02-04,87.94,89.87,87.01,89.07,383569.0
2020-02-05,90.0,90.0,84.25,85.4,590437.0
2020-02-06,85.61,86.2175,84.46,85.91,194015.0
2020-02-07,85.77,87.49,85.14,86.08,456455.0
2020-02-08,85.77,87.49,85.14,86.08,456455.0
2020-02-09,85.77,87.49,85.14,86.08,456455.0
2020-02-10,85.73,88.07,85.73,88.03,184013.0
2020-02-11,88.75,88.98,85.9,86.22,236008.0
2020-02-12,86.62,88.095,84.58,87.21,290456.0
2020-02-13,86.6,87.98,86.6,87.94,169940.0
2020-02-14,88.14,88.86,87.32,87.98,169528.0
2020-02-15,88.14,88.86,87.32,87.98,169528.0
2020-02-16,88.14,88.86,87.32,87.98,169528.0
2020-02-17,88.14,88.86,87.32,87.98,169528.0
2020-02-18,87.8,87.985,86.38,87.29,285972.0
2020-02-19,87.4,88.745,86.74,87.79,346223.0
2020-02-20,86.05,93.9,86.05,89.12,1539085.0
2020-02-21,88.73,88.73,83.485,84.77,700320.0
2020-02-22,88.73,88.73,83.485,84.77,700320.0
2020-02-23,88.73,88.73,83.485,84.77,700320.0
2020-02-24,81.5,83.76,80.71,83.24,484566.0
2020-02-25,83.69,84.04,78.64,79.79,729966.0
2020-02-26,79.79,81.9,77.76,77.96,620793.0
2020-02-27,75.97,77.81,74.28,75.86,681209.0
2020-02-28,72.86,76.17,72.65,75.37,704298.0
2020-02-29,72.86,76.17,72.65,75.37,704298.0
