,CRD/A US Equity,CRD/A US Equity,CRD/A US Equity,CRD/A US Equity,CRD/A US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,9.9918,10.2578,9.9918,10.1692,15745.0
2020-01-02,10.116,10.1869,9.8589,9.9652,21876.0
2020-01-03,9.8589,9.8589,9.7702,9.85,19688.0
2020-01-04,9.8589,9.8589,9.7702,9.85,19688.0
2020-01-05,9.8589,9.8589,9.7702,9.85,19688.0
2020-01-06,9.7791,9.8145,9.6461,9.7879,11704.0
2020-01-07,9.7347,9.7525,9.6372,9.717,12117.0
2020-01-08,9.6815,9.7525,9.6372,9.7525,22732.0
2020-01-09,9.7347,9.7347,9.5486,9.6638,19684.0
2020-01-10,9.5663,9.7081,9.0077,9.0698,51920.0
2020-01-11,9.5663,9.7081,9.0077,9.0698,51920.0
2020-01-12,9.5663,9.7081,9.0077,9.0698,51920.0
2020-01-13,9.0255,9.2028,8.7949,8.9989,48480.0
2020-01-14,8.9545,9.0521,8.8127,8.9811,27722.0
2020-01-15,8.9013,9.1496,8.8659,8.9723,33763.0
2020-01-16,9.0609,9.1762,9.0521,9.1584,11895.0
2020-01-17,9.2471,9.318,9.0875,9.0964,32108.0
2020-01-18,9.2471,9.318,9.0875,9.0964,32108.0
2020-01-19,9.2471,9.318,9.0875,9.0964,32108.0
2020-01-20,9.2471,9.318,9.0875,9.0964,32108.0
2020-01-21,9.123,9.1407,8.99,9.1319,21586.0
2020-01-22,9.0609,9.1762,8.9545,8.9989,24488.0
2020-01-23,8.9191,9.0432,8.9191,9.0432,14909.0
2020-01-24,8.9723,9.0609,8.857,8.9634,34152.0
2020-01-25,8.9723,9.0609,8.857,8.9634,34152.0
2020-01-26,8.9723,9.0609,8.857,8.9634,34152.0
2020-01-27,8.5999,8.8393,7.9084,7.9438,99256.0
2020-01-28,7.935,8.1389,7.935,8.0768,73598.0
2020-01-29,8.0236,8.1123,7.9084,7.9882,41800.0
2020-01-30,7.9704,8.1123,7.8729,7.935,35423.0
2020-01-31,7.997,7.997,7.7222,7.7488,34326.0
2020-02-01,7.997,7.997,7.7222,7.7488,34326.0
2020-02-02,7.997,7.997,7.7222,7.7488,34326.0
2020-02-03,7.731,8.0413,7.731,7.9616,46295.0
2020-02-04,7.9793,8.0236,7.6928,7.8197,104494.0
2020-02-05,7.9084,8.2985,7.9084,8.2009,49950.0
2020-02-06,8.2541,8.2896,8.1034,8.1034,35668.0
2020-02-07,7.9793,8.1123,7.9793,8.0679,45052.0
2020-02-08,7.9793,8.1123,7.9793,8.0679,45052.0
2020-02-09,7.9793,8.1123,7.9793,8.0679,45052.0
2020-02-10,8.0148,8.1211,7.9704,7.9882,19701.0
2020-02-11,7.9261,8.0413,7.8463,7.9084,18585.0
2020-02-12,7.9527,8.0679,7.9327,8.0236,37294.0
2020-02-13,8.1034,8.1743,7.9793,8.1034,39965.0
2020-02-14,7.997,8.1743,7.9616,7.9793,33743.0
2020-02-15,7.997,8.1743,7.9616,7.9793,33743.0
2020-02-16,7.997,8.1743,7.9616,7.9793,33743.0
2020-02-17,7.997,8.1743,7.9616,7.9793,33743.0
2020-02-18,7.8995,8.0679,7.7665,7.9438,23185.0
2020-02-19,7.9616,7.9616,7.7576,7.8197,65588.0
2020-02-20,7.8197,7.935,7.6158,7.7488,16987.0
2020-02-21,7.8374,7.8374,7.4207,7.4207,27059.0
2020-02-22,7.8374,7.8374,7.4207,7.4207,27059.0
2020-02-23,7.8374,7.8374,7.4207,7.4207,27059.0
2020-02-24,7.3055,7.3564,7.1636,7.3143,48932.0
2020-02-25,7.2612,7.27,7.1459,7.1902,18042.0
2020-02-26,7.2528,7.3154,6.9756,7.0024,29386.0
2020-02-27,6.761,6.9443,6.5374,6.5374,35115.0
2020-02-28,6.3496,6.8414,6.3496,6.6536,65986.0
2020-02-29,6.3496,6.8414,6.3496,6.6536,65986.0
2020-03-01,6.3496,6.8414,6.3496,6.6536,65986.0
2020-03-02,6.5821,6.8593,6.5493,6.8593,20464.0
2020-03-03,6.8772,6.8772,6.5284,6.5374,24608.0
2020-03-04,6.5374,6.6179,6.4658,6.6179,17643.0
2020-03-05,6.3585,6.5016,6.2065,6.278,36086.0
2020-03-06,6.3853,6.9398,6.3853,6.8683,37729.0
2020-03-07,6.3853,6.9398,6.3853,6.8683,37729.0
2020-03-08,6.3853,6.9398,6.3853,6.8683,37729.0
2020-03-09,6.6,6.7967,6.1797,6.287,28462.0
2020-03-10,6.3496,6.6089,6.3496,6.5553,47773.0
2020-03-11,6.4569,6.4748,6.1349,6.278,54562.0
2020-03-12,5.9471,6.1886,5.661,5.6967,59358.0
2020-03-13,6.0097,6.4748,5.6967,6.4748,53538.0
2020-03-14,6.0097,6.4748,5.6967,6.4748,53538.0
2020-03-15,6.0097,6.4748,5.6967,6.4748,53538.0
2020-03-16,6.1797,6.3049,5.8479,6.0634,65203.0
2020-03-17,5.8577,6.287,5.8577,6.287,80670.0
2020-03-18,5.8577,5.9561,5.7057,5.7057,48665.0
2020-03-19,5.8935,6.3138,5.6967,6.1886,79792.0
2020-03-20,6.2154,6.3585,5.8845,5.9471,102448.0
2020-03-21,6.2154,6.3585,5.8845,5.9471,102448.0
2020-03-22,6.2154,6.3585,5.8845,5.9471,102448.0
2020-03-23,5.7057,6.4837,5.7057,6.2065,49974.0
2020-03-24,6.4569,6.8683,6.4274,6.8325,49498.0
