,SYBT US Equity,SYBT US Equity,SYBT US Equity,SYBT US Equity,SYBT US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,37.3498,37.7127,37.0513,37.1508,36233.0
2020-01-02,37.2684,37.3227,36.6531,37.1417,49389.0
2020-01-03,36.7798,37.1236,36.3817,36.8703,37901.0
2020-01-04,36.7798,37.1236,36.3817,36.8703,37901.0
2020-01-05,36.7798,37.1236,36.3817,36.8703,37901.0
2020-01-06,36.5627,36.9517,36.4088,36.8431,35092.0
2020-01-07,36.6169,36.9246,36.2641,36.5898,53375.0
2020-01-08,36.6712,37.0693,36.5808,36.8567,51879.0
2020-01-09,36.8974,37.1417,36.7165,36.8703,28152.0
2020-01-10,37.0693,37.0693,36.4269,36.5355,33833.0
2020-01-11,37.0693,37.0693,36.4269,36.5355,33833.0
2020-01-12,37.0693,37.0693,36.4269,36.5355,33833.0
2020-01-13,36.5898,36.9246,36.3365,36.8431,49293.0
2020-01-14,36.816,36.9336,36.5536,36.6441,40046.0
2020-01-15,36.4812,36.8309,36.3365,36.445,46848.0
2020-01-16,36.626,37.1598,36.5355,36.997,37354.0
2020-01-17,37.2413,37.2548,36.7196,36.8251,26477.0
2020-01-18,37.2413,37.2548,36.7196,36.8251,26477.0
2020-01-19,37.2413,37.2548,36.7196,36.8251,26477.0
2020-01-20,37.2413,37.2548,36.7196,36.8251,26477.0
2020-01-21,36.7165,36.7346,36.1646,36.1826,32259.0
2020-01-22,36.2641,36.5446,36.1238,36.1736,31198.0
2020-01-23,35.9565,36.3998,35.6217,36.1193,30495.0
2020-01-24,36.3003,36.6734,35.0245,35.8569,26854.0
2020-01-25,36.3003,36.6734,35.0245,35.8569,26854.0
2020-01-26,36.3003,36.6734,35.0245,35.8569,26854.0
2020-01-27,35.4769,36.0831,35.296,35.8569,37573.0
2020-01-28,35.9655,36.5265,35.7936,35.8931,48394.0
2020-01-29,36.0469,36.6531,35.6036,36.3455,71721.0
2020-01-30,36.3365,36.4541,35.9972,36.3636,38506.0
2020-01-31,36.2369,36.3003,34.9431,35.0517,55784.0
2020-02-01,36.2369,36.3003,34.9431,35.0517,55784.0
2020-02-02,36.2369,36.3003,34.9431,35.0517,55784.0
2020-02-03,35.3864,35.6579,35.069,35.5945,45304.0
2020-02-04,35.8931,36.0469,35.7031,35.7574,45475.0
2020-02-05,36.1374,36.5084,36.0696,36.3184,42268.0
2020-02-06,36.626,36.626,35.9384,36.0017,29096.0
2020-02-07,35.8841,36.1193,35.5222,35.5583,46269.0
2020-02-08,35.8841,36.1193,35.5222,35.5583,46269.0
2020-02-09,35.8841,36.1193,35.5222,35.5583,46269.0
2020-02-10,35.4588,35.9384,35.4588,35.875,20840.0
2020-02-11,35.9926,36.6169,35.961,36.056,28146.0
2020-02-12,36.2731,36.2731,35.9655,36.0288,18369.0
2020-02-13,35.7393,36.3591,35.7393,36.246,26489.0
2020-02-14,36.2731,36.286,35.7845,35.8207,19516.0
2020-02-15,36.2731,36.286,35.7845,35.8207,19516.0
2020-02-16,36.2731,36.286,35.7845,35.8207,19516.0
2020-02-17,36.2731,36.286,35.7845,35.8207,19516.0
2020-02-18,35.6579,35.8207,35.4498,35.6669,22981.0
2020-02-19,35.9565,36.0288,35.5945,35.6941,23543.0
2020-02-20,35.7122,36.0831,35.7076,35.9384,27475.0
2020-02-21,35.9926,35.9926,35.5855,35.676,21344.0
2020-02-22,35.9926,35.9926,35.5855,35.676,21344.0
2020-02-23,35.9926,35.9926,35.5855,35.676,21344.0
2020-02-24,34.8617,35.1512,34.4997,34.4997,33558.0
2020-02-25,34.6626,34.9159,33.6311,33.7488,38934.0
2020-02-26,33.9388,34.4183,33.7216,33.9388,38793.0
2020-02-27,33.5045,34.2012,32.5997,32.6178,53462.0
2020-02-28,31.8849,32.5092,31.0253,31.6134,113193.0
2020-02-29,31.8849,32.5092,31.0253,31.6134,113193.0
2020-03-01,31.8849,32.5092,31.0253,31.6134,113193.0
2020-03-02,31.7039,33.2421,31.5049,33.1606,59957.0
2020-03-03,32.844,32.9616,31.2877,31.6587,47800.0
2020-03-04,31.9844,32.7173,31.4866,32.6087,53274.0
2020-03-05,31.8216,31.9799,30.6091,31.1339,55132.0
2020-03-06,30.1386,31.1909,29.6048,30.3648,61065.0
2020-03-07,30.1386,31.1909,29.6048,30.3648,61065.0
2020-03-08,30.1386,31.1909,29.6048,30.3648,61065.0
2020-03-09,27.7409,28.7226,26.7004,26.8995,74395.0
2020-03-10,27.8043,28.1662,26.5918,27.9219,59051.0
2020-03-11,27.1076,27.569,25.9585,26.5376,58841.0
2020-03-12,24.629,25.9988,23.8297,24.3642,74800.0
2020-03-13,25.7248,26.7076,24.9121,26.4736,132770.0
2020-03-14,25.7248,26.7076,24.9121,26.4736,132770.0
2020-03-15,25.7248,26.7076,24.9121,26.4736,132770.0
2020-03-16,24.3094,25.186,23.7523,24.0263,88610.0
2020-03-17,23.7797,27.1038,23.4784,27.1038,107811.0
2020-03-18,25.0947,25.3002,23.3048,24.2637,126394.0
2020-03-19,23.8436,26.7111,23.7706,25.7431,107117.0
2020-03-20,25.5787,26.1632,22.9852,23.0857,149812.0
2020-03-21,25.5787,26.1632,22.9852,23.0857,149812.0
2020-03-22,25.5787,26.1632,22.9852,23.0857,149812.0
2020-03-23,23.1587,23.2683,20.9853,22.6108,88040.0
2020-03-24,23.7614,25.7248,23.4236,25.6518,107093.0
2020-03-25,25.7431,26.0111,24.4555,24.7294,86668.0
2020-03-26,25.0491,26.5741,24.7203,26.5376,67696.0
2020-03-27,25.7066,26.2088,24.9029,24.9029,66619.0
2020-03-28,25.7066,26.2088,24.9029,24.9029,66619.0
2020-03-29,25.7066,26.2088,24.9029,24.9029,66619.0
2020-03-30,25.0399,26.1723,24.7477,26.1632,72605.0
2020-03-31,25.9257,26.985,25.6152,26.4189,122454.0
2020-04-01,26.1723,26.2545,25.1039,25.2591,89984.0
2020-04-02,25.113,26.3549,24.9303,25.6426,95272.0
2020-04-03,25.5696,25.5696,23.8984,24.2363,80415.0
2020-04-04,25.5696,25.5696,23.8984,24.2363,80415.0
2020-04-05,25.5696,25.5696,23.8984,24.2363,80415.0
2020-04-06,25.2408,26.1632,24.8208,26.0079,93448.0
2020-04-07,26.6015,26.9394,25.2226,25.807,152144.0
2020-04-08,26.2727,26.6426,25.355,26.2271,70624.0
2020-04-09,26.6837,29.2772,26.6837,29.1767,82450.0
2020-04-10,26.6837,29.2772,26.6837,29.1767,82450.0
2020-04-11,26.6837,29.2772,26.6837,29.1767,82450.0
2020-04-12,26.6837,29.2772,26.6837,29.1767,82450.0
2020-04-13,28.8936,28.8936,26.8481,27.3138,51368.0
2020-04-14,28.227,28.4179,26.1084,26.4919,75740.0
2020-04-15,25.3961,25.6974,24.7339,24.976,68456.0
2020-04-16,24.8847,24.9943,23.6154,24.4646,89367.0
2020-04-17,25.6244,26.7869,25.4828,26.5284,66504.0
2020-04-18,25.6244,26.7869,25.4828,26.5284,66504.0
2020-04-19,25.6244,26.7869,25.4828,26.5284,66504.0
2020-04-20,25.807,26.8481,25.5331,25.944,52849.0
2020-04-21,25.0673,26.0992,24.9577,25.6974,58222.0
2020-04-22,26.3275,27.0033,26.0444,26.7567,52095.0
2020-04-23,26.5924,28.437,26.5924,27.9439,83217.0
2020-04-24,27.7704,27.9439,26.985,27.2133,74067.0
2020-04-25,27.7704,27.9439,26.985,27.2133,74067.0
2020-04-26,27.7704,27.9439,26.985,27.2133,74067.0
2020-04-27,27.6243,30.236,27.6243,29.6516,66852.0
2020-04-28,30.51,30.8319,29.6059,30.0625,50322.0
2020-04-29,31.3593,32.5373,27.8709,31.688,95752.0
2020-04-30,30.784,31.0579,30.0808,30.1721,67406.0
2020-05-01,29.4507,29.7977,28.711,29.4689,62134.0
2020-05-02,29.4507,29.7977,28.711,29.4689,62134.0
2020-05-03,29.4507,29.7977,28.711,29.4689,62134.0
2020-05-04,28.921,29.405,28.5649,29.2315,44638.0
2020-05-05,29.816,30.1082,28.3092,28.4644,49513.0
2020-05-06,28.574,29.2772,27.6608,27.6973,129572.0
2020-05-07,28.2179,28.4005,27.4599,27.6425,71286.0
2020-05-08,28.4644,28.9941,27.9896,28.8754,64362.0
2020-05-09,28.4644,28.9941,27.9896,28.8754,64362.0
2020-05-10,28.4644,28.9941,27.9896,28.8754,64362.0
2020-05-11,28.3731,28.7795,27.5238,27.8252,74511.0
2020-05-12,27.9439,27.9439,26.2545,26.3641,54151.0
2020-05-13,26.1449,26.4234,24.8573,25.4235,62852.0
2020-05-14,24.8025,25.6335,24.2226,25.4417,92812.0
2020-05-15,25.3595,26.3001,25.2043,25.5239,260161.0
2020-05-16,25.3595,26.3001,25.2043,25.5239,260161.0
2020-05-17,25.3595,26.3001,25.2043,25.5239,260161.0
2020-05-18,26.4371,28.1265,26.428,27.9256,89131.0
2020-05-19,27.7978,27.9667,26.7202,26.7476,75685.0
2020-05-20,27.2773,28.6745,27.2773,28.2544,51556.0
2020-05-21,28.0535,28.6745,27.9987,28.501,34914.0
2020-05-22,28.6288,28.6288,28.0626,28.4644,29131.0
2020-05-23,28.6288,28.6288,28.0626,28.4644,29131.0
2020-05-24,28.6288,28.6288,28.0626,28.4644,29131.0
2020-05-25,28.6288,28.6288,28.0626,28.4644,29131.0
2020-05-26,29.7338,30.5922,29.4781,30.3182,54935.0
2020-05-27,31.3136,32.4551,30.4004,32.1811,69160.0
2020-05-28,32.793,32.793,31.0122,31.2771,81810.0
2020-05-29,31.7428,31.7428,30.6104,31.0762,129747.0
2020-05-30,31.7428,31.7428,30.6104,31.0762,129747.0
2020-05-31,31.7428,31.7428,30.6104,31.0762,129747.0
2020-06-01,31.3136,31.6058,30.9849,31.1584,89645.0
2020-06-02,31.4506,31.9437,30.9392,31.2771,40015.0
2020-06-03,31.9437,33.3683,31.9437,32.446,62500.0
2020-06-04,32.2359,32.8569,31.8798,32.5556,51109.0
2020-06-05,34.4733,35.4687,33.1583,34.8751,80874.0
2020-06-06,34.4733,35.4687,33.1583,34.8751,80874.0
2020-06-07,34.4733,35.4687,33.1583,34.8751,80874.0
2020-06-08,35.697,35.697,34.4778,35.0577,45648.0
2020-06-09,34.1628,35.2952,33.6879,34.8477,26632.0
2020-06-10,34.5737,34.6468,33.0669,33.2222,57179.0
2020-06-11,31.4962,31.8798,30.5009,30.72,92685.0
2020-06-12,31.9996,32.2114,30.7016,31.8063,79136.0
2020-06-13,31.9996,32.2114,30.7016,31.8063,79136.0
2020-06-14,31.9996,32.2114,30.7016,31.8063,79136.0
2020-06-15,30.5819,32.7637,30.5819,32.5244,64895.0
2020-06-16,34.1538,34.2919,32.7637,33.5094,62276.0
2020-06-17,33.5923,33.5923,32.3587,32.5612,51385.0
2020-06-18,32.2114,33.7395,32.2114,33.5002,68652.0
2020-06-19,33.9513,34.8166,32.6993,34.6233,548937.0
2020-06-20,33.9513,34.8166,32.6993,34.6233,548937.0
2020-06-21,33.9513,34.8166,32.6993,34.6233,548937.0
2020-06-22,34.0802,35.4242,34.0802,35.2033,92717.0
2020-06-23,35.2217,35.6728,34.7982,35.0744,89698.0
2020-06-24,34.4944,35.0054,33.7027,34.0249,122580.0
2020-06-25,33.6199,35.7188,33.6199,35.6544,110459.0
2020-06-26,35.0376,36.7038,34.8166,36.2804,516158.0
2020-06-27,35.0376,36.7038,34.8166,36.2804,516158.0
2020-06-28,35.0376,36.7038,34.8166,36.2804,516158.0
2020-06-29,36.4737,37.2194,35.8017,36.6578,199848.0
2020-06-30,36.4093,37.4678,35.995,37.0076,159044.0
2020-07-01,36.8235,36.8235,35.1342,35.1849,119861.0
2020-07-02,35.6452,36.262,34.522,34.6325,123940.0
2020-07-03,35.6452,36.262,34.522,34.6325,123940.0
2020-07-04,35.6452,36.262,34.522,34.6325,123940.0
2020-07-05,35.6452,36.262,34.522,34.6325,123940.0
2020-07-06,35.148,35.4472,34.2367,34.3471,85285.0
2020-07-07,33.8868,34.0479,33.3345,33.3713,63105.0
