,CTBI US Equity,CTBI US Equity,CTBI US Equity,CTBI US Equity,CTBI US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,39.2863,39.2863,38.8559,38.9729,30411.0
2020-01-02,39.1651,39.1651,38.5718,38.9311,31881.0
2020-01-03,38.6387,38.7974,38.3128,38.7139,26280.0
2020-01-04,38.6387,38.7974,38.3128,38.7139,26280.0
2020-01-05,38.6387,38.7974,38.3128,38.7139,26280.0
2020-01-06,38.3713,38.5718,37.9618,38.53,28956.0
2020-01-07,38.2877,38.2877,37.9535,38.0287,19045.0
2020-01-08,37.9952,38.6136,37.9785,38.5551,33421.0
2020-01-09,38.5551,38.6971,38.3462,38.4715,25067.0
2020-01-10,38.3462,38.4757,38.1206,38.2793,37261.0
2020-01-11,38.3462,38.4757,38.1206,38.2793,37261.0
2020-01-12,38.3462,38.4757,38.1206,38.2793,37261.0
2020-01-13,38.3796,38.6554,38.154,38.6136,21891.0
2020-01-14,38.4548,38.5802,38.1707,38.2543,37193.0
2020-01-15,38.2041,38.271,37.8156,37.92,26185.0
2020-01-16,38.1373,38.6094,38.1206,38.5217,41100.0
2020-01-17,38.764,38.764,38.2543,38.3128,27273.0
2020-01-18,38.764,38.764,38.2543,38.3128,27273.0
2020-01-19,38.764,38.764,38.2543,38.3128,27273.0
2020-01-20,38.764,38.764,38.2543,38.3128,27273.0
2020-01-21,38.2877,38.2877,37.4497,37.6359,33947.0
2020-01-22,37.6443,38.0537,37.4604,37.9952,33822.0
2020-01-23,37.7111,38.0454,37.2933,37.8699,47290.0
2020-01-24,38.1373,38.1874,37.4855,37.6526,37799.0
2020-01-25,38.1373,38.1874,37.4855,37.6526,37799.0
2020-01-26,38.1373,38.1874,37.4855,37.6526,37799.0
2020-01-27,37.2348,37.8866,37.2098,37.5774,41214.0
2020-01-28,37.6693,37.8783,37.2098,37.3017,28402.0
2020-01-29,37.2181,37.3267,36.7836,36.7836,43868.0
2020-01-30,36.6165,37.3852,36.6081,37.3769,29861.0
2020-01-31,37.2014,37.2432,36.5078,36.558,32498.0
2020-02-01,37.2014,37.2432,36.5078,36.558,32498.0
2020-02-02,37.2014,37.2432,36.5078,36.558,32498.0
2020-02-03,36.5162,37.1554,36.5162,37.0761,34542.0
2020-02-04,37.5607,37.6025,36.7168,36.7418,59850.0
2020-02-05,37.0677,37.7278,36.8421,37.5774,33131.0
2020-02-06,37.7696,37.7696,37.168,37.2181,23813.0
2020-02-07,36.9925,37.1429,36.6624,36.792,43578.0
2020-02-08,36.9925,37.1429,36.6624,36.792,43578.0
