,DISCB US Equity,DISCB US Equity,DISCB US Equity,DISCB US Equity,DISCB US Equity
2019-02-12,34.875,34.875,34.875,34.875,5.0
2019-02-13,34.875,34.875,34.875,34.875,2.0
2019-02-14,34.875,34.875,34.875,34.875,3.0
2019-02-15,34.875,34.875,34.875,34.875,3.0
2019-02-16,34.875,34.875,34.875,34.875,3.0
2019-02-17,34.875,34.875,34.875,34.875,3.0
2019-02-18,34.875,34.875,34.875,34.875,3.0
2019-02-19,34.875,34.875,34.875,34.875,5.0
2019-02-20,34.875,34.875,34.875,34.875,5.0
2019-02-21,34.875,34.875,34.875,34.875,9.0
2019-02-22,32.85,32.85,30.0,30.3087,2313.0
2019-02-23,32.85,32.85,30.0,30.3087,2313.0
2019-02-24,32.85,32.85,30.0,30.3087,2313.0
2019-02-25,31.11,31.11,31.11,31.11,372.0
2019-02-26,31.11,31.11,31.11,31.11,79.0
2019-02-27,31.11,31.11,31.11,31.11,131.0
2019-02-28,30.5,31.0,30.5,31.0,371.0
2019-03-01,30.5,31.0,30.5,31.0,37.0
2019-03-02,30.5,31.0,30.5,31.0,37.0
2019-03-03,30.5,31.0,30.5,31.0,37.0
2019-03-04,30.5,31.0,30.5,31.0,11.0
2019-03-05,30.5,31.0,30.5,31.0,21.0
2019-03-06,30.5,31.0,30.5,31.0,62.0
2019-03-07,30.5,31.0,30.5,31.0,12.0
2019-03-08,30.5,31.0,30.5,31.0,10.0
2019-03-09,30.5,31.0,30.5,31.0,10.0
2019-03-10,30.5,31.0,30.5,31.0,10.0
2019-03-11,30.5,31.0,30.5,31.0,46.0
2019-03-12,30.5,31.0,30.5,31.0,1.0
2019-03-13,30.5,31.0,30.5,31.0,26.0
2019-03-14,30.5,31.0,30.5,31.0,1.0
2019-03-15,30.5,31.0,30.5,31.0,1.0
2019-03-16,30.5,31.0,30.5,31.0,1.0
2019-03-17,30.5,31.0,30.5,31.0,1.0
2019-03-18,30.5,31.0,30.5,31.0,116.0
2019-03-19,30.5,31.0,30.5,31.0,116.0
2019-03-20,30.5,31.0,30.5,31.0,76.0
2019-03-21,30.5,31.0,30.5,31.0,76.0
2019-03-22,35.0,35.0,35.0,35.0,983.0
2019-03-23,35.0,35.0,35.0,35.0,983.0
2019-03-24,35.0,35.0,35.0,35.0,983.0
2019-03-25,31.01,31.01,31.01,31.01,696.0
2019-03-26,31.12,31.2,31.12,31.2,796.0
2019-03-27,32.77,32.77,32.77,32.77,506.0
2019-03-28,31.5,31.5,31.5,31.5,471.0
2019-03-29,31.5,31.5,31.5,31.5,26.0
2019-03-30,31.5,31.5,31.5,31.5,26.0
2019-03-31,31.5,31.5,31.5,31.5,26.0
2019-04-01,31.5,31.5,31.5,31.5,14.0
2019-04-02,31.5,31.5,31.5,31.5,2.0
2019-04-03,31.5,31.5,31.5,31.5,19.0
2019-04-04,31.5,31.5,31.5,31.5,4.0
2019-04-05,31.5,31.5,31.5,31.5,96.0
2019-04-06,31.5,31.5,31.5,31.5,96.0
2019-04-07,31.5,31.5,31.5,31.5,96.0
2019-04-08,31.5,31.5,31.5,31.5,721.0
2019-04-09,31.5,31.5,31.5,31.5,12.0
2019-04-10,31.5,31.5,31.5,31.5,4.0
2019-04-11,31.5,31.5,31.5,31.5,20.0
2019-04-12,34.65,34.65,34.6041,34.6041,417.0
2019-04-13,34.65,34.65,34.6041,34.6041,417.0
2019-04-14,34.65,34.65,34.6041,34.6041,417.0
2019-04-15,34.65,34.65,34.6041,34.6041,205.0
2019-04-16,34.65,34.65,34.6041,34.6041,18.0
2019-04-17,34.65,34.65,34.6041,34.6041,230.0
2019-04-18,34.65,34.65,34.6041,34.6041,224.0
2019-04-19,34.65,34.65,34.6041,34.6041,224.0
2019-04-20,34.65,34.65,34.6041,34.6041,224.0
2019-04-21,34.65,34.65,34.6041,34.6041,224.0
2019-04-22,34.65,34.65,34.6041,34.6041,321.0
2019-04-23,34.65,34.65,34.6041,34.6041,200.0
2019-04-24,35.5,35.5,35.5,35.5,365.0
2019-04-25,35.5,35.5,35.5,35.5,14.0
2019-04-26,35.5,35.5,35.5,35.5,368.0
2019-04-27,35.5,35.5,35.5,35.5,368.0
2019-04-28,35.5,35.5,35.5,35.5,368.0
2019-04-29,35.5,35.5,35.5,35.5,298.0
2019-04-30,35.5,35.5,35.5,35.5,83.0
2019-05-01,35.5,35.5,35.5,35.5,56.0
2019-05-02,35.5,35.5,35.5,35.5,29.0
2019-05-03,35.5,35.5,35.5,35.5,29.0
2019-05-04,35.5,35.5,35.5,35.5,29.0
2019-05-05,35.5,35.5,35.5,35.5,29.0
2019-05-06,40.1373,40.1373,40.1373,40.1373,163.0
2019-05-07,40.1373,40.1373,40.1373,40.1373,156.0
2019-05-08,40.1373,40.1373,40.1373,40.1373,27.0
2019-05-09,32.0,32.0,32.0,32.0,236.0
2019-05-10,32.02,32.11,32.02,32.02,760.0
2019-05-11,32.02,32.11,32.02,32.02,760.0
2019-05-12,32.02,32.11,32.02,32.02,760.0
2019-05-13,32.02,32.11,32.02,32.02,233.0
2019-05-14,32.05,32.05,27.8,27.8,3817.0
2019-05-15,29.99,34.96,29.99,30.78,5958.0
2019-05-16,31.1,32.0,30.15,30.15,2997.0
2019-05-17,29.71,32.62,29.71,32.62,2725.0
2019-05-18,29.71,32.62,29.71,32.62,2725.0
2019-05-19,29.71,32.62,29.71,32.62,2725.0
2019-05-20,33.5,33.5,33.5,33.5,463.0
2019-05-21,29.6297,33.2832,29.6297,33.2832,767.0
2019-05-22,30.02,32.9,30.02,32.9,283.0
2019-05-23,30.91,33.0,30.6,33.0,2591.0
2019-05-24,30.91,33.0,30.6,33.0,119.0
2019-05-25,30.91,33.0,30.6,33.0,119.0
2019-05-26,30.91,33.0,30.6,33.0,119.0
2019-05-27,30.91,33.0,30.6,33.0,119.0
2019-05-28,30.91,33.0,30.6,33.0,94.0
2019-05-29,31.925,31.925,31.925,31.925,535.0
2019-05-30,30.5,30.5,30.5,30.5,252.0
2019-05-31,31.0,31.75,31.0,31.0,1200.0
2019-06-01,31.0,31.75,31.0,31.0,1200.0
2019-06-02,31.0,31.75,31.0,31.0,1200.0
2019-06-03,31.0,31.75,31.0,31.0,45.0
2019-06-04,31.0,31.0,31.0,31.0,732.0
2019-06-05,31.0,31.0,31.0,31.0,18.0
2019-06-06,31.0,31.0,31.0,31.0,517.0
2019-06-07,31.0,31.0,31.0,31.0,30.0
2019-06-08,31.0,31.0,31.0,31.0,30.0
2019-06-09,31.0,31.0,31.0,31.0,30.0
2019-06-10,31.0,31.0,31.0,31.0,261.0
2019-06-11,31.5,31.8065,31.5,31.8065,310.0
2019-06-12,32.0,32.0,32.0,32.0,389.0
2019-06-13,32.0,32.0,32.0,32.0,12.0
2019-06-14,32.0,32.0,32.0,32.0,22.0
2019-06-15,32.0,32.0,32.0,32.0,22.0
2019-06-16,32.0,32.0,32.0,32.0,22.0
2019-06-17,32.0,32.0,32.0,32.0,41.0
2019-06-18,32.3,32.87,31.85,32.73,7514.0
2019-06-19,32.81,32.964,32.8,32.9,3576.0
2019-06-20,33.0,33.49,32.72,33.49,6776.0
2019-06-21,33.5,33.5,33.5,33.5,802.0
2019-06-22,33.5,33.5,33.5,33.5,802.0
2019-06-23,33.5,33.5,33.5,33.5,802.0
2019-06-24,33.5,33.5,33.5,33.5,19.0
2019-06-25,34.4,34.4,34.4,34.4,450.0
2019-06-26,34.4,34.4,34.4,34.4,54.0
2019-06-27,33.17,34.92,33.17,34.8,3514.0
2019-06-28,33.28,34.11,33.28,34.01,4566.0
2019-06-29,33.28,34.11,33.28,34.01,4566.0
2019-06-30,33.28,34.11,33.28,34.01,4566.0
2019-07-01,34.3,34.3,34.3,34.3,2774.0
2019-07-02,34.3,34.3,34.3,34.3,6.0
2019-07-03,36.04,36.04,36.04,36.04,246.0
2019-07-04,36.04,36.04,36.04,36.04,246.0
2019-07-05,35.95,35.95,35.95,35.95,208.0
2019-07-06,35.95,35.95,35.95,35.95,208.0
2019-07-07,35.95,35.95,35.95,35.95,208.0
2019-07-08,35.95,35.95,35.95,35.95,29.0
2019-07-09,35.95,35.95,35.95,35.95,8.0
2019-07-10,35.35,36.0,35.35,36.0,2384.0
2019-07-11,35.35,36.0,35.35,36.0,111.0
2019-07-12,36.5,36.5,36.5,36.5,774.0
2019-07-13,36.5,36.5,36.5,36.5,774.0
2019-07-14,36.5,36.5,36.5,36.5,774.0
2019-07-15,36.5,36.5,36.5,36.5,50.0
2019-07-16,36.5,36.5,36.5,36.5,69.0
2019-07-17,36.5,36.5,36.5,36.5,75.0
2019-07-18,36.5,36.5,36.5,36.5,60.0
2019-07-19,36.5,36.5,36.5,36.5,105.0
2019-07-20,36.5,36.5,36.5,36.5,105.0
2019-07-21,36.5,36.5,36.5,36.5,105.0
2019-07-22,36.5,36.5,36.5,36.5,108.0
2019-07-23,36.5,36.5,36.5,36.5,63.0
2019-07-24,36.5,36.5,36.5,36.5,14.0
2019-07-25,36.5,36.5,36.5,36.5,110.0
2019-07-26,36.5,36.5,36.5,36.5,102.0
2019-07-27,36.5,36.5,36.5,36.5,102.0
2019-07-28,36.5,36.5,36.5,36.5,102.0
2019-07-29,36.5,36.5,36.5,36.5,31.0
2019-07-30,36.5,36.5,36.5,36.5,31.0
2019-07-31,36.5,36.5,36.5,36.5,91.0
2019-08-01,36.5,36.5,36.5,36.5,193.0
2019-08-02,36.9,36.9,36.9,36.9,662.0
2019-08-03,36.9,36.9,36.9,36.9,662.0
2019-08-04,36.9,36.9,36.9,36.9,662.0
2019-08-05,36.9,36.9,36.9,36.9,2.0
2019-08-06,36.9,36.9,36.9,36.9,103.0
2019-08-07,36.9,36.9,36.9,36.9,103.0
2019-08-08,36.9,36.9,36.9,36.9,5.0
2019-08-09,36.9,36.9,36.9,36.9,4.0
2019-08-10,36.9,36.9,36.9,36.9,4.0
2019-08-11,36.9,36.9,36.9,36.9,4.0
2019-08-12,36.9,36.9,36.9,36.9,105.0
2019-08-13,31.1037,39.5707,30.1641,39.5707,994.0
2019-08-14,31.1037,39.5707,30.1641,39.5707,104.0
2019-08-15,35.9,35.9,35.9,35.9,310.0
2019-08-16,35.9,35.9,35.9,35.9,80.0
2019-08-17,35.9,35.9,35.9,35.9,80.0
2019-08-18,35.9,35.9,35.9,35.9,80.0
2019-08-19,32.3888,32.3888,32.3888,32.3888,266.0
2019-08-20,32.3888,32.3888,32.3888,32.3888,193.0
2019-08-21,32.3888,32.3888,32.3888,32.3888,158.0
2019-08-22,33.59,33.8,33.59,33.8,1369.0
2019-08-23,33.59,33.8,33.59,33.8,9.0
2019-08-24,33.59,33.8,33.59,33.8,9.0
2019-08-25,33.59,33.8,33.59,33.8,9.0
2019-08-26,33.59,33.8,33.59,33.8,26.0
2019-08-27,33.59,33.8,33.59,33.8,53.0
2019-08-28,33.59,33.8,33.59,33.8,15.0
2019-08-29,33.59,33.8,33.59,33.8,91.0
2019-08-30,33.59,33.8,33.59,33.8,5.0
2019-08-31,33.59,33.8,33.59,33.8,5.0
2019-09-01,33.59,33.8,33.59,33.8,5.0
2019-09-02,33.59,33.8,33.59,33.8,5.0
2019-09-03,33.59,33.8,33.59,33.8,63.0
2019-09-04,33.59,33.8,33.59,33.8,1.0
2019-09-05,32.802,32.802,32.802,32.802,453.0
2019-09-06,32.802,32.802,32.802,32.802,2.0
2019-09-07,32.802,32.802,32.802,32.802,2.0
2019-09-08,32.802,32.802,32.802,32.802,2.0
2019-09-09,32.802,32.802,32.802,32.802,9.0
2019-09-10,32.802,32.802,32.802,32.802,31.0
2019-09-11,32.802,32.802,32.802,32.802,3.0
2019-09-12,32.802,32.802,32.802,32.802,3.0
2019-09-13,32.802,32.802,32.802,32.802,1.0
2019-09-14,32.802,32.802,32.802,32.802,1.0
2019-09-15,32.802,32.802,32.802,32.802,1.0
2019-09-16,31.04,31.5607,31.04,31.5607,212.0
2019-09-17,31.04,31.5607,31.04,31.5607,177.0
2019-09-18,31.04,31.5607,31.04,31.5607,162.0
2019-09-19,31.04,31.5607,31.04,31.5607,3.0
2019-09-20,35.9999,35.9999,35.9999,35.9999,573.0
2019-09-21,35.9999,35.9999,35.9999,35.9999,573.0
2019-09-22,35.9999,35.9999,35.9999,35.9999,573.0
2019-09-23,35.9999,35.9999,35.9999,35.9999,335.0
2019-09-24,31.91,31.91,31.91,31.91,457.0
2019-09-25,31.91,31.91,31.91,31.91,420.0
2019-09-26,35.0,35.0,33.745,33.745,503.0
2019-09-27,35.0,35.0,33.745,33.745,150.0
2019-09-28,35.0,35.0,33.745,33.745,150.0
2019-09-29,35.0,35.0,33.745,33.745,150.0
2019-09-30,35.0,35.0,33.745,33.745,137.0
2019-10-01,35.0,35.0,33.745,33.745,84.0
2019-10-02,35.0,35.0,33.745,33.745,9.0
2019-10-03,35.0,35.0,33.745,33.745,30.0
2019-10-04,35.0,35.0,33.745,33.745,34.0
2019-10-05,35.0,35.0,33.745,33.745,34.0
2019-10-06,35.0,35.0,33.745,33.745,34.0
2019-10-07,35.0,35.0,33.745,33.745,97.0
2019-10-08,35.0,35.0,33.745,33.745,176.0
2019-10-09,35.0,35.0,33.745,33.745,104.0
2019-10-10,35.0,35.0,33.745,33.745,62.0
2019-10-11,35.0,35.0,33.745,33.745,15.0
2019-10-12,35.0,35.0,33.745,33.745,15.0
2019-10-13,35.0,35.0,33.745,33.745,15.0
2019-10-14,35.8842,35.8842,35.8842,35.8842,479.0
2019-10-15,35.8842,35.8842,35.8842,35.8842,304.0
2019-10-16,35.8842,35.8842,35.8842,35.8842,270.0
2019-10-17,35.8842,35.8842,35.8842,35.8842,125.0
2019-10-18,35.8842,35.8842,35.8842,35.8842,38.0
2019-10-19,35.8842,35.8842,35.8842,35.8842,38.0
2019-10-20,35.8842,35.8842,35.8842,35.8842,38.0
2019-10-21,35.8842,35.8842,35.8842,35.8842,43.0
2019-10-22,35.8842,35.8842,35.8842,35.8842,51.0
2019-10-23,35.8842,35.8842,35.8842,35.8842,48.0
2019-10-24,35.8842,35.8842,35.8842,35.8842,109.0
2019-10-25,35.8842,35.8842,35.8842,35.8842,74.0
2019-10-26,35.8842,35.8842,35.8842,35.8842,74.0
2019-10-27,35.8842,35.8842,35.8842,35.8842,74.0
2019-10-28,35.8842,35.8842,35.8842,35.8842,109.0
2019-10-29,35.8842,35.8842,35.8842,35.8842,80.0
2019-10-30,35.8842,35.8842,35.8842,35.8842,38.0
2019-10-31,35.8842,35.8842,35.8842,35.8842,10.0
2019-11-01,35.8842,35.8842,35.8842,35.8842,15.0
2019-11-02,35.8842,35.8842,35.8842,35.8842,15.0
2019-11-03,35.8842,35.8842,35.8842,35.8842,15.0
2019-11-04,38.1773,38.1773,35.6497,35.6497,479.0
2019-11-05,38.1773,38.1773,35.6497,35.6497,8.0
2019-11-06,38.1773,38.1773,35.6497,35.6497,2.0
2019-11-07,38.1773,38.1773,35.6497,35.6497,49.0
2019-11-08,38.1773,38.1773,35.6497,35.6497,73.0
2019-11-09,38.1773,38.1773,35.6497,35.6497,73.0
2019-11-10,38.1773,38.1773,35.6497,35.6497,73.0
2019-11-11,38.1773,38.1773,35.6497,35.6497,100.0
2019-11-12,38.1773,38.1773,35.6497,35.6497,2.0
2019-11-13,38.1773,38.1773,35.6497,35.6497,22.0
2019-11-14,38.1773,38.1773,35.6497,35.6497,8.0
2019-11-15,38.1773,38.1773,35.6497,35.6497,1.0
2019-11-16,38.1773,38.1773,35.6497,35.6497,1.0
2019-11-17,38.1773,38.1773,35.6497,35.6497,1.0
2019-11-18,38.1773,38.1773,35.6497,35.6497,57.0
2019-11-19,38.1773,38.1773,35.6497,35.6497,10.0
2019-11-20,38.1773,38.1773,35.6497,35.6497,122.0
2019-11-21,37.2597,37.2597,37.2597,37.2597,527.0
2019-11-22,34.0,34.0,34.0,34.0,223.0
2019-11-23,34.0,34.0,34.0,34.0,223.0
2019-11-24,34.0,34.0,34.0,34.0,223.0
2019-11-25,37.26,37.26,37.26,37.26,154.0
2019-11-26,37.26,37.26,37.26,37.26,4.0
2019-11-27,37.26,37.26,37.26,37.26,43.0
2019-11-28,37.26,37.26,37.26,37.26,43.0
2019-11-29,37.26,37.26,37.26,37.26,65.0
2019-11-30,37.26,37.26,37.26,37.26,65.0
2019-12-01,37.26,37.26,37.26,37.26,65.0
2019-12-02,37.26,37.26,37.26,37.26,34.0
2019-12-03,37.26,37.26,37.26,37.26,43.0
2019-12-04,37.26,37.26,37.26,37.26,53.0
2019-12-05,37.26,37.26,37.26,37.26,53.0
2019-12-06,37.26,37.26,37.26,37.26,50.0
2019-12-07,37.26,37.26,37.26,37.26,50.0
2019-12-08,37.26,37.26,37.26,37.26,50.0
2019-12-09,37.26,37.26,37.26,37.26,13.0
2019-12-10,37.75,37.75,37.75,37.75,129.0
2019-12-11,37.75,37.75,37.75,37.75,3.0
2019-12-12,37.75,37.75,37.75,37.75,17.0
2019-12-13,37.75,37.75,37.75,37.75,24.0
2019-12-14,37.75,37.75,37.75,37.75,24.0
2019-12-15,37.75,37.75,37.75,37.75,24.0
2019-12-16,37.75,37.75,37.75,37.75,9.0
2019-12-17,37.75,37.75,37.75,37.75,125.0
2019-12-18,37.75,37.75,37.75,37.75,83.0
2019-12-19,37.75,37.75,37.75,37.75,198.0
2019-12-20,37.75,37.75,37.75,37.75,94.0
2019-12-21,37.75,37.75,37.75,37.75,94.0
2019-12-22,37.75,37.75,37.75,37.75,94.0
2019-12-23,37.75,37.75,37.75,37.75,20.0
2019-12-24,35.05,41.6,35.0,41.6,1170.0
2019-12-25,35.05,41.6,35.0,41.6,1170.0
2019-12-26,40.07,40.07,39.51,39.51,1157.0
2019-12-27,34.42,34.42,34.42,34.42,963.0
2019-12-28,34.42,34.42,34.42,34.42,963.0
2019-12-29,34.42,34.42,34.42,34.42,963.0
2019-12-30,40.0,40.0,40.0,40.0,387.0
2019-12-31,36.26,36.26,36.26,36.26,133.0
2020-01-01,36.26,36.26,36.26,36.26,133.0
2020-01-02,36.26,36.26,36.26,36.26,299.0
2020-01-03,36.26,36.26,36.26,36.26,127.0
2020-01-04,36.26,36.26,36.26,36.26,127.0
2020-01-05,36.26,36.26,36.26,36.26,127.0
2020-01-06,40.5,40.5,40.5,40.5,799.0
2020-01-07,41.49,41.49,41.49,41.49,286.0
2020-01-08,41.49,41.49,41.49,41.49,82.0
2020-01-09,37.06,37.06,37.06,37.06,974.0
2020-01-10,38.59,38.59,38.4,38.4,388.0
2020-01-11,38.59,38.59,38.4,38.4,388.0
2020-01-12,38.59,38.59,38.4,38.4,388.0
2020-01-13,36.7782,36.7782,36.7782,36.7782,213.0
2020-01-14,36.7782,36.7782,36.7782,36.7782,204.0
2020-01-15,36.7782,36.7782,36.7782,36.7782,91.0
2020-01-16,36.7782,36.7782,36.7782,36.7782,46.0
2020-01-17,36.7782,36.7782,36.7782,36.7782,13.0
2020-01-18,36.7782,36.7782,36.7782,36.7782,13.0
2020-01-19,36.7782,36.7782,36.7782,36.7782,13.0
2020-01-20,36.7782,36.7782,36.7782,36.7782,13.0
2020-01-21,41.5,41.5,37.87,37.87,1181.0
2020-01-22,40.0,40.0,36.4,36.4,868.0
2020-01-23,40.0,40.0,36.4,36.4,18.0
2020-01-24,40.0,40.0,36.4,36.4,128.0
2020-01-25,40.0,40.0,36.4,36.4,128.0
2020-01-26,40.0,40.0,36.4,36.4,128.0
2020-01-27,40.0,40.0,36.4,36.4,48.0
2020-01-28,40.0,40.0,36.4,36.4,8.0
2020-01-29,33.55,36.29,33.55,36.29,296.0
2020-01-30,33.55,36.29,33.55,36.29,9.0
2020-01-31,33.55,36.29,33.55,36.29,26.0
2020-02-01,33.55,36.29,33.55,36.29,26.0
2020-02-02,33.55,36.29,33.55,36.29,26.0
2020-02-03,33.55,36.29,33.55,36.29,135.0
2020-02-04,33.55,36.29,33.55,36.29,70.0
2020-02-05,33.55,36.29,33.55,36.29,82.0
2020-02-06,34.5,34.5,34.5,34.5,155.0
2020-02-07,40.0,40.0,40.0,40.0,274.0
2020-02-08,40.0,40.0,40.0,40.0,274.0
2020-02-09,40.0,40.0,40.0,40.0,274.0
2020-02-10,39.89,39.89,39.89,39.89,354.0
2020-02-11,39.89,39.89,39.89,39.89,58.0
2020-02-12,39.89,39.89,39.89,39.89,86.0
2020-02-13,36.0,36.0,36.0,36.0,199.0
2020-02-14,36.0,36.0,36.0,36.0,12.0
2020-02-15,36.0,36.0,36.0,36.0,12.0
2020-02-16,36.0,36.0,36.0,36.0,12.0
2020-02-17,36.0,36.0,36.0,36.0,12.0
2020-02-18,36.0,36.0,36.0,36.0,72.0
2020-02-19,40.0,40.0,40.0,40.0,874.0
2020-02-20,34.37,34.37,34.37,34.37,1018.0
2020-02-21,34.37,34.37,34.37,34.37,238.0
2020-02-22,34.37,34.37,34.37,34.37,238.0
2020-02-23,34.37,34.37,34.37,34.37,238.0
2020-02-24,34.37,34.37,34.37,34.37,44.0
2020-02-25,34.37,34.37,34.37,34.37,41.0
2020-02-26,34.75,34.75,34.75,34.75,577.0
2020-02-27,33.1138,33.1138,33.1138,33.1138,548.0
2020-02-28,33.1138,33.1138,33.1138,33.1138,12.0
2020-02-29,33.1138,33.1138,33.1138,33.1138,12.0
2020-03-01,33.1138,33.1138,33.1138,33.1138,12.0
2020-03-02,30.01,33.45,30.01,33.45,623.0
2020-03-03,30.99,30.99,30.99,30.99,302.0
2020-03-04,32.19,32.19,32.19,32.19,227.0
2020-03-05,32.19,32.19,32.19,32.19,31.0
2020-03-06,32.19,32.19,32.19,32.19,69.0
2020-03-07,32.19,32.19,32.19,32.19,69.0
2020-03-08,32.19,32.19,32.19,32.19,69.0
2020-03-09,32.19,32.19,32.19,32.19,30.0
2020-03-10,32.19,32.19,32.19,32.19,38.0
2020-03-11,30.16,30.16,30.16,30.16,176.0
2020-03-12,30.0,30.0,30.0,30.0,711.0
2020-03-13,30.0,30.0,30.0,30.0,95.0
2020-03-14,30.0,30.0,30.0,30.0,95.0
2020-03-15,30.0,30.0,30.0,30.0,95.0
2020-03-16,27.02,27.02,27.0,27.0,606.0
2020-03-17,25.36,25.36,25.36,25.36,287.0
2020-03-18,27.0,29.46,27.0,29.46,591.0
2020-03-19,30.1,30.1,29.5,29.5,1122.0
2020-03-20,24.8,24.8,24.8,24.8,172.0
2020-03-21,24.8,24.8,24.8,24.8,172.0
2020-03-22,24.8,24.8,24.8,24.8,172.0
2020-03-23,30.0,30.1,25.5,27.8,3991.0
2020-03-24,30.39,30.39,26.2,26.2,1412.0
2020-03-25,28.78,28.78,28.78,28.78,188.0
2020-03-26,28.78,28.78,28.78,28.78,43.0
2020-03-27,27.0,27.5,27.0,27.5,530.0
2020-03-28,27.0,27.5,27.0,27.5,530.0
2020-03-29,27.0,27.5,27.0,27.5,530.0
2020-03-30,27.0,27.5,27.0,27.5,34.0
2020-03-31,27.0,27.5,27.0,27.5,81.0
2020-04-01,27.0,27.5,27.0,27.5,5.0
2020-04-02,27.0,27.5,27.0,27.5,59.0
2020-04-03,27.0,27.5,27.0,27.5,112.0
2020-04-04,27.0,27.5,27.0,27.5,112.0
2020-04-05,27.0,27.5,27.0,27.5,112.0
2020-04-06,26.5328,27.4,26.5328,27.4,834.0
2020-04-07,28.0,28.1,28.0,28.1,221.0
2020-04-08,29.1,29.6,26.74,26.74,457.0
2020-04-09,28.07,29.24,28.07,29.24,490.0
2020-04-10,28.07,29.24,28.07,29.24,490.0
2020-04-11,28.07,29.24,28.07,29.24,490.0
2020-04-12,28.07,29.24,28.07,29.24,490.0
2020-04-13,28.07,29.24,28.07,29.24,142.0
2020-04-14,30.4,30.7,30.35,30.63,909.0
2020-04-15,30.4,30.7,30.35,30.63,112.0
2020-04-16,25.46,25.46,25.46,25.46,199.0
2020-04-17,33.55,33.55,33.55,33.55,852.0
2020-04-18,33.55,33.55,33.55,33.55,852.0
2020-04-19,33.55,33.55,33.55,33.55,852.0
2020-04-20,33.55,33.55,33.55,33.55,487.0
2020-04-21,32.07,34.08,32.07,34.08,1746.0
2020-04-22,32.2,32.2,29.1,29.1,1175.0
2020-04-23,30.1,33.99,30.1,33.99,1614.0
2020-04-24,30.1,33.99,30.1,33.99,160.0
2020-04-25,30.1,33.99,30.1,33.99,160.0
2020-04-26,30.1,33.99,30.1,33.99,160.0
2020-04-27,32.0,33.3,31.1,31.1,1055.0
2020-04-28,35.7,35.7,32.3233,32.5,1139.0
2020-04-29,35.75,36.9,29.25,29.25,2875.0
2020-04-30,32.2122,36.8999,32.2122,34.3218,2114.0
2020-05-01,36.9,103.0,36.9,57.95,221264.0
2020-05-02,36.9,103.0,36.9,57.95,221264.0
2020-05-03,36.9,103.0,36.9,57.95,221264.0
2020-05-04,52.5,54.49,42.65,50.69,44563.0
2020-05-05,47.12,50.2097,46.5,47.02,13477.0
2020-05-06,48.0,51.0,48.0,49.0,19345.0
2020-05-07,48.9,48.9,45.17,45.84,8155.0
2020-05-08,42.45,44.0,40.9,43.37,15163.0
2020-05-09,42.45,44.0,40.9,43.37,15163.0
2020-05-10,42.45,44.0,40.9,43.37,15163.0
2020-05-11,43.0,44.27,39.92,41.01,5905.0
2020-05-12,40.0,40.2,39.05,39.5,4136.0
2020-05-13,43.0,43.0,40.54,40.54,3659.0
2020-05-14,40.945,41.98,37.1,38.51,2536.0
