,DISCB US Equity,DISCB US Equity,DISCB US Equity,DISCB US Equity,DISCB US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,30.52,33.5,30.52,33.5,2.0
2019-01-02,30.52,33.5,30.52,33.5,2.0
2019-01-03,30.52,33.5,30.52,33.5,2.0
2019-01-04,30.52,33.5,30.52,33.5,27.0
2019-01-05,30.52,33.5,30.52,33.5,27.0
2019-01-06,30.52,33.5,30.52,33.5,27.0
2019-01-07,35.4841,40.16,34.075,40.16,2532.0
2019-01-08,36.23,37.0,36.23,37.0,633.0
2019-01-09,36.23,37.0,36.23,37.0,100.0
2019-01-10,36.23,37.0,36.23,37.0,59.0
2019-01-11,35.0,35.0,35.0,35.0,337.0
2019-01-12,35.0,35.0,35.0,35.0,337.0
2019-01-13,35.0,35.0,35.0,35.0,337.0
2019-01-14,35.0,35.0,35.0,35.0,48.0
2019-01-15,35.0,35.0,35.0,35.0,8.0
2019-01-16,35.0,35.0,35.0,35.0,58.0
2019-01-17,35.0,35.0,35.0,35.0,61.0
2019-01-18,35.0,35.0,35.0,35.0,94.0
2019-01-19,35.0,35.0,35.0,35.0,94.0
2019-01-20,35.0,35.0,35.0,35.0,94.0
2019-01-21,35.0,35.0,35.0,35.0,94.0
2019-01-22,34.875,34.875,34.875,34.875,213.0
2019-01-23,34.875,34.875,34.875,34.875,1.0
2019-01-24,34.875,34.875,34.875,34.875,3.0
2019-01-25,34.875,34.875,34.875,34.875,14.0
2019-01-26,34.875,34.875,34.875,34.875,14.0
2019-01-27,34.875,34.875,34.875,34.875,14.0
2019-01-28,34.875,34.875,34.875,34.875,5.0
2019-01-29,34.875,34.875,34.875,34.875,119.0
2019-01-30,34.875,34.875,34.875,34.875,102.0
2019-01-31,34.875,34.875,34.875,34.875,2.0
2019-02-01,34.875,34.875,34.875,34.875,5.0
2019-02-02,34.875,34.875,34.875,34.875,5.0
2019-02-03,34.875,34.875,34.875,34.875,5.0
2019-02-04,34.875,34.875,34.875,34.875,1.0
2019-02-05,34.875,34.875,34.875,34.875,53.0
2019-02-06,34.875,34.875,34.875,34.875,4.0
2019-02-07,34.875,34.875,34.875,34.875,1.0
2019-02-08,34.875,34.875,34.875,34.875,6.0
2019-02-09,34.875,34.875,34.875,34.875,6.0
2019-02-10,34.875,34.875,34.875,34.875,6.0
2019-02-11,34.875,34.875,34.875,34.875,6.0
