,PRI US Equity,PRI US Equity,PRI US Equity,PRI US Equity,PRI US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,90.4541,91.2006,89.661,91.1726,221451.0
2019-01-02,89.2411,91.1959,89.1198,90.4821,225943.0
2019-01-03,90.0249,90.5381,87.8228,87.9534,186311.0
2019-01-04,89.2877,92.6002,88.8772,91.6858,181418.0
2019-01-05,89.2877,92.6002,88.8772,91.6858,181418.0
2019-01-06,89.2877,92.6002,88.8772,91.6858,181418.0
2019-01-07,91.2472,93.1974,91.1819,91.8538,183169.0
2019-01-08,92.5909,93.7106,91.8258,93.664,181386.0
2019-01-09,93.9719,96.202,93.9719,95.8941,190475.0
2019-01-10,95.1849,97.359,95.0169,97.0791,183382.0
2019-01-11,96.1367,97.0138,95.3715,95.9687,298396.0
2019-01-12,96.1367,97.0138,95.3715,95.9687,298396.0
2019-01-13,96.1367,97.0138,95.3715,95.9687,298396.0
2019-01-14,94.9423,96.3979,94.3265,95.0076,242901.0
2019-01-15,95.0076,95.9687,93.6453,95.5581,178201.0
2019-01-16,96.2766,98.4601,96.1926,98.3201,147820.0
2019-01-17,97.5736,99.5145,97.2657,98.8146,224198.0
2019-01-18,100.2983,102.8363,99.7197,102.5097,246545.0
2019-01-19,100.2983,102.8363,99.7197,102.5097,246545.0
2019-01-20,100.2983,102.8363,99.7197,102.5097,246545.0
2019-01-21,100.2983,102.8363,99.7197,102.5097,246545.0
2019-01-22,101.8379,102.9529,100.6155,101.39,265149.0
2019-01-23,102.2578,102.2951,98.9173,99.7944,267540.0
2019-01-24,99.7757,101.5953,99.7757,100.9328,118738.0
2019-01-25,102.0991,102.659,101.0447,101.8472,125583.0
2019-01-26,102.0991,102.659,101.0447,101.8472,125583.0
2019-01-27,102.0991,102.659,101.0447,101.8472,125583.0
2019-01-28,100.9981,102.2764,100.2236,102.0151,180052.0
2019-01-29,102.2484,102.8829,101.166,101.5299,123272.0
2019-01-30,102.2111,102.9482,100.3076,101.8472,158250.0
2019-01-31,101.2873,105.1317,101.2873,104.8518,200073.0
2019-02-01,105.2343,106.6993,105.2343,106.1767,244552.0
2019-02-02,105.2343,106.6993,105.2343,106.1767,244552.0
2019-02-03,105.2343,106.6993,105.2343,106.1767,244552.0
2019-02-04,106.0834,107.5391,105.253,107.3058,174459.0
2019-02-05,107.2778,108.7894,107.1495,108.0336,190776.0
2019-02-06,107.5204,108.4226,106.0648,107.4084,192416.0
2019-02-07,106.4753,107.791,104.7771,106.41,223451.0
2019-02-08,110.1051,110.5203,106.522,110.1517,295925.0
2019-02-09,110.1051,110.5203,106.522,110.1517,295925.0
2019-02-10,110.1051,110.5203,106.522,110.1517,295925.0
2019-02-11,110.0118,110.8609,106.4427,107.7443,266304.0
2019-02-12,108.5281,110.5296,108.5281,109.8345,170609.0
2019-02-13,110.6556,111.7753,109.6105,110.0304,154384.0
2019-02-14,109.172,109.2793,108.0056,108.1642,243035.0
2019-02-15,109.2746,111.8033,109.2746,111.7193,234320.0
2019-02-16,109.2746,111.8033,109.2746,111.7193,234320.0
2019-02-17,109.2746,111.8033,109.2746,111.7193,234320.0
2019-02-18,109.2746,111.8033,109.2746,111.7193,234320.0
2019-02-19,111.1579,112.8703,110.5497,111.8223,253944.0
2019-02-20,111.9439,113.3101,111.5603,113.254,218900.0
2019-02-21,113.0949,113.8061,112.496,113.5909,139558.0
2019-02-22,113.9652,115.584,113.9652,115.0132,170374.0
2019-02-23,113.9652,115.584,113.9652,115.0132,170374.0
2019-02-24,113.9652,115.584,113.9652,115.0132,170374.0
2019-02-25,115.8367,116.2577,114.7231,114.7418,216694.0
2019-02-26,114.3301,115.8086,114.3301,115.3501,295185.0
2019-02-27,115.2191,117.3806,114.8448,117.1561,202439.0
2019-02-28,117.0157,118.017,115.6869,117.0063,162688.0
2019-03-01,117.9421,119.8885,116.1876,118.6533,609840.0
2019-03-02,117.9421,119.8885,116.1876,118.6533,609840.0
2019-03-03,117.9421,119.8885,116.1876,118.6533,609840.0
2019-03-04,118.6065,118.6065,115.2284,116.2858,246815.0
2019-03-05,116.3981,116.3981,114.3582,115.7712,127399.0
2019-03-06,115.5185,115.6589,113.2821,113.3569,132285.0
2019-03-07,113.2633,113.4318,111.1205,112.3463,134920.0
2019-03-08,111.4667,112.5522,111.4293,112.3369,160843.0
2019-03-09,111.4667,112.5522,111.4293,112.3369,160843.0
2019-03-10,111.4667,112.5522,111.4293,112.3369,160843.0
2019-03-11,113.1043,113.6376,111.972,113.5534,191076.0
2019-03-12,113.6564,114.4892,112.889,114.1523,118608.0
2019-03-13,114.695,115.5091,114.1523,114.4798,190971.0
2019-03-14,114.536,115.5653,113.4879,115.3033,159798.0
2019-03-15,115.3033,118.2696,115.3033,117.2777,490395.0
2019-03-16,115.3033,118.2696,115.3033,117.2777,490395.0
2019-03-17,115.3033,118.2696,115.3033,117.2777,490395.0
2019-03-18,117.1561,120.8896,117.1561,119.5797,219990.0
2019-03-19,120.5809,120.8242,116.9596,117.1654,186092.0
2019-03-20,117.0812,117.6146,114.4798,114.5734,210373.0
2019-03-21,113.7219,115.5466,113.5721,114.1804,261038.0
2019-03-22,112.6832,113.7779,109.5484,109.642,208517.0
2019-03-23,112.6832,113.7779,109.5484,109.642,208517.0
2019-03-24,112.6832,113.7779,109.5484,109.642,208517.0
2019-03-25,109.8198,111.4948,109.249,110.5216,238198.0
2019-03-26,111.5416,114.536,111.2608,114.4143,217165.0
2019-03-27,113.9277,115.1348,112.8235,114.1897,183207.0
2019-03-28,114.2833,115.3969,113.4599,114.3207,123356.0
2019-03-29,115.3875,115.6589,113.7031,114.302,177211.0
2019-03-30,115.3875,115.6589,113.7031,114.302,177211.0
2019-03-31,115.3875,115.6589,113.7031,114.302,177211.0
2019-04-01,115.6121,117.1654,115.4904,117.0063,212972.0
2019-04-02,116.2484,117.7737,116.2484,117.2029,165455.0
2019-04-03,118.148,119.2568,117.1514,117.9327,167521.0
2019-04-04,118.1386,118.8217,117.0999,117.9795,114708.0
2019-04-05,118.5971,119.2802,118.3913,118.7936,205107.0
2019-04-06,118.5971,119.2802,118.3913,118.7936,205107.0
2019-04-07,118.5971,119.2802,118.3913,118.7936,205107.0
2019-04-08,118.2509,121.8442,117.6661,119.9259,265998.0
2019-04-09,119.1118,119.2147,117.6894,118.0918,122511.0
2019-04-10,118.3445,119.2334,117.6052,118.9527,201863.0
2019-04-11,119.1399,119.7762,118.7749,118.934,160654.0
2019-04-12,120.216,120.3797,119.4861,119.72,235657.0
2019-04-13,120.216,120.3797,119.4861,119.72,235657.0
2019-04-14,120.216,120.3797,119.4861,119.72,235657.0
2019-04-15,120.1505,120.5435,118.6813,118.7749,185313.0
2019-04-16,118.9153,120.74,118.9153,120.6932,253599.0
2019-04-17,121.2734,121.2734,117.9561,117.9702,176631.0
2019-04-18,117.5959,118.5924,117.4087,117.8672,140095.0
2019-04-19,117.5959,118.5924,117.4087,117.8672,140095.0
