,SXT US Equity,SXT US Equity,SXT US Equity,SXT US Equity,SXT US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,59.3629,60.2141,59.3629,59.8428,312104.0
2020-01-02,60.2231,60.5627,58.7472,59.0732,185260.0
2020-01-03,58.2673,58.4937,57.9051,58.2492,255102.0
2020-01-04,58.2673,58.4937,57.9051,58.2492,255102.0
2020-01-05,58.2673,58.4937,57.9051,58.2492,255102.0
2020-01-06,57.8146,58.6114,57.5882,58.1405,149255.0
2020-01-07,57.9685,58.1224,57.4252,57.4524,152003.0
2020-01-08,57.4343,57.8146,57.2169,57.3799,155425.0
2020-01-09,57.561,57.7059,56.9272,57.0902,202914.0
2020-01-10,57.0902,57.3347,56.5197,57.3075,303898.0
2020-01-11,57.0902,57.3347,56.5197,57.3075,303898.0
2020-01-12,57.0902,57.3347,56.5197,57.3075,303898.0
2020-01-13,57.3618,58.059,57.063,58.0319,200021.0
2020-01-14,57.9504,58.4031,57.552,58.2582,194672.0
2020-01-15,58.0771,58.7291,57.8236,58.2311,242482.0
2020-01-16,58.6567,59.2905,58.4484,59.2633,160741.0
2020-01-17,59.2995,59.4625,58.6023,58.9464,145611.0
2020-01-18,59.2995,59.4625,58.6023,58.9464,145611.0
2020-01-19,59.2995,59.4625,58.6023,58.9464,145611.0
2020-01-20,59.2995,59.4625,58.6023,58.9464,145611.0
2020-01-21,58.6657,58.7019,58.0138,58.0681,196473.0
2020-01-22,58.3941,58.5027,57.6154,57.9413,140493.0
2020-01-23,57.6154,57.6154,56.5288,57.1807,499494.0
2020-01-24,57.3075,57.4162,56.6465,56.9363,166190.0
2020-01-25,57.3075,57.4162,56.6465,56.9363,166190.0
2020-01-26,57.3075,57.4162,56.6465,56.9363,166190.0
2020-01-27,56.0127,56.4563,55.9221,56.0851,320721.0
2020-01-28,56.1394,56.7099,55.9312,56.3477,194359.0
2020-01-29,56.4382,56.7914,56.1575,56.2028,376116.0
2020-01-30,55.7229,55.7274,54.7993,55.4422,201882.0
2020-01-31,55.0981,55.2068,53.8124,54.1021,353899.0
2020-02-01,55.0981,55.2068,53.8124,54.1021,353899.0
2020-02-02,55.0981,55.2068,53.8124,54.1021,353899.0
2020-02-03,54.4211,55.9158,54.3664,55.8156,300900.0
2020-02-04,56.5083,57.0551,56.3579,56.9093,321330.0
2020-02-05,57.5382,57.5382,56.8364,57.1918,356438.0
2020-02-06,57.3832,57.5473,56.49,56.5994,215187.0
2020-02-07,56.4171,56.5265,55.2961,55.4419,173264.0
2020-02-08,56.4171,56.5265,55.2961,55.4419,173264.0
2020-02-09,56.4171,56.5265,55.2961,55.4419,173264.0
2020-02-10,55.2687,55.6333,55.0135,55.3143,132460.0
2020-02-11,55.6333,56.2941,55.4601,55.4966,127459.0
2020-02-12,55.9888,56.2348,55.5923,55.6698,193061.0
2020-02-13,55.3508,56.0981,54.5396,55.8065,321404.0
2020-02-14,53.7193,53.7193,50.2286,50.8028,785856.0
2020-02-15,53.7193,53.7193,50.2286,50.8028,785856.0
2020-02-16,53.7193,53.7193,50.2286,50.8028,785856.0
2020-02-17,53.7193,53.7193,50.2286,50.8028,785856.0
2020-02-18,50.7207,51.0124,49.4265,49.9916,520292.0
2020-02-19,50.7481,51.778,50.6296,50.7845,509496.0
2020-02-20,50.5567,51.0671,50.3106,50.5658,591784.0
2020-02-21,50.5111,51.2949,50.2468,51.2949,1337220.0
2020-02-22,50.5111,51.2949,50.2468,51.2949,1337220.0
2020-02-23,50.5111,51.2949,50.2468,51.2949,1337220.0
2020-02-24,49.6544,50.8939,49.4447,50.7481,344782.0
2020-02-25,50.7663,50.8757,47.5945,48.2781,494214.0
2020-02-26,48.6974,48.9617,47.4031,47.4123,353294.0
2020-02-27,46.5373,47.6037,45.9084,45.9084,399845.0
2020-02-28,44.5686,46.0816,43.958,44.8238,452295.0
2020-02-29,44.5686,46.0816,43.958,44.8238,452295.0
2020-03-01,44.5686,46.0816,43.958,44.8238,452295.0
2020-03-02,45.0881,46.4097,44.441,46.3823,292850.0
2020-03-03,46.2092,47.1662,44.3134,44.9788,352061.0
2020-03-04,45.5894,46.6558,44.9332,46.5829,333817.0
2020-03-05,45.234,45.9449,43.958,44.4775,328527.0
2020-03-06,43.083,44.9013,42.9736,44.6233,302272.0
2020-03-07,43.083,44.9013,42.9736,44.6233,302272.0
2020-03-08,43.083,44.9013,42.9736,44.6233,302272.0
2020-03-09,41.0141,42.2445,40.4946,40.7862,414942.0
2020-03-10,42.0166,44.0947,41.1872,44.0764,569087.0
2020-03-11,42.9189,43.4749,41.1234,42.8369,526594.0
2020-03-12,40.1209,42.1989,38.5441,39.4008,397085.0
2020-03-13,40.8773,41.5062,38.5259,41.4424,551390.0
2020-03-14,40.8773,41.5062,38.5259,41.4424,551390.0
2020-03-15,40.8773,41.5062,38.5259,41.4424,551390.0
2020-03-16,38.2798,39.492,37.1314,37.2955,423269.0
2020-03-17,38.0884,41.9528,37.1041,41.6976,498666.0
2020-03-18,39.173,40.6586,37.3684,39.6834,500774.0
2020-03-19,39.5193,41.3786,36.1653,40.7406,580692.0
2020-03-20,40.9047,41.2601,38.8175,38.8449,1481063.0
2020-03-21,40.9047,41.2601,38.8175,38.8449,1481063.0
2020-03-22,40.9047,41.2601,38.8175,38.8449,1481063.0
2020-03-23,38.9907,39.4008,36.4661,36.7213,462846.0
2020-03-24,38.5988,39.0545,36.65,38.2524,587554.0
2020-03-25,38.061,39.6196,36.6028,38.1886,571776.0
2020-03-26,38.5806,39.8976,38.1431,39.1456,1059348.0
2020-03-27,37.8241,39.5467,37.1861,38.216,452816.0
2020-03-28,37.8241,39.5467,37.1861,38.216,452816.0
2020-03-29,37.8241,39.5467,37.1861,38.216,452816.0
2020-03-30,38.6535,40.6677,38.1066,40.6221,467400.0
2020-03-31,40.4308,40.6996,38.9542,39.656,281354.0
2020-04-01,37.7512,38.4347,37.3046,37.6145,302395.0
2020-04-02,37.3228,38.0656,36.0103,36.9309,427885.0
2020-04-03,36.4569,37.1223,34.8528,35.3632,465521.0
2020-04-04,36.4569,37.1223,34.8528,35.3632,465521.0
2020-04-05,36.4569,37.1223,34.8528,35.3632,465521.0
2020-04-06,36.7304,37.6418,36.6848,37.5142,575971.0
2020-04-07,38.3162,39.4464,37.3228,37.5051,787118.0
2020-04-08,37.979,39.5831,37.2134,39.0089,851799.0
2020-04-09,39.7107,41.5883,39.6469,41.2875,557496.0
2020-04-10,39.7107,41.5883,39.6469,41.2875,557496.0
2020-04-11,39.7107,41.5883,39.6469,41.2875,557496.0
2020-04-12,39.7107,41.5883,39.6469,41.2875,557496.0
2020-04-13,40.9867,41.2784,39.3826,39.811,219838.0
2020-04-14,40.8682,41.3604,40.4125,41.0687,466128.0
2020-04-15,39.7472,40.1482,39.0818,39.9112,399363.0
2020-04-16,40.1391,40.4854,39.1912,39.9386,737866.0
2020-04-17,41.1872,41.7067,39.7928,40.1938,428094.0
2020-04-18,41.1872,41.7067,39.7928,40.1938,428094.0
2020-04-19,41.1872,41.7067,39.7928,40.1938,428094.0
2020-04-20,39.337,39.7563,37.9335,38.3345,507435.0
2020-04-21,37.3319,37.6691,36.6666,37.2681,925606.0
2020-04-22,38.1157,38.699,36.5299,38.3071,1837959.0
2020-04-23,39.1821,41.1963,38.9998,40.1938,797676.0
2020-04-24,40.5675,41.1599,39.9933,40.8227,484647.0
2020-04-25,40.5675,41.1599,39.9933,40.8227,484647.0
2020-04-26,40.5675,41.1599,39.9933,40.8227,484647.0
2020-04-27,41.1143,43.2562,41.0141,42.7913,948676.0
2020-04-28,43.7574,44.3043,42.1351,42.5999,797007.0
2020-04-29,45.5712,46.2092,43.6754,44.7418,1162812.0
2020-04-30,44.0947,44.842,43.4293,43.5569,646473.0
2020-05-01,42.7458,43.0101,41.9802,42.9736,453616.0
2020-05-02,42.7458,43.0101,41.9802,42.9736,453616.0
2020-05-03,42.7458,43.0101,41.9802,42.9736,453616.0
2020-05-04,42.6546,43.2288,41.6521,42.4177,505779.0
2020-05-05,42.9645,43.402,42.0349,42.1807,330914.0
2020-05-06,42.2627,42.6637,41.2146,41.2693,303709.0
2020-05-07,41.922,42.3725,41.1957,42.1886,497974.0
2020-05-08,43.1999,43.9905,42.9149,43.9721,408685.0
2020-05-09,43.1999,43.9905,42.9149,43.9721,408685.0
2020-05-10,43.1999,43.9905,42.9149,43.9721,408685.0
2020-05-11,43.2642,43.5308,42.4092,42.9425,567485.0
2020-05-12,43.0712,43.4849,42.1059,42.1059,718648.0
2020-05-13,41.6002,41.7519,40.2718,40.5614,458785.0
2020-05-14,39.9086,40.0925,38.5296,40.0649,425487.0
2020-05-15,39.8719,40.9843,39.8167,40.4327,1203043.0
2020-05-16,39.8719,40.9843,39.8167,40.4327,1203043.0
2020-05-17,39.8719,40.9843,39.8167,40.4327,1203043.0
2020-05-18,41.8025,42.9149,41.7381,42.0691,655074.0
2020-05-19,41.8301,42.3357,40.9291,40.9475,419191.0
2020-05-20,41.8392,42.6621,41.6186,41.922,701486.0
2020-05-21,41.922,42.7678,41.7933,42.4368,401082.0
2020-05-22,42.446,42.5747,42.0139,42.5196,207748.0
2020-05-23,42.446,42.5747,42.0139,42.5196,207748.0
2020-05-24,42.446,42.5747,42.0139,42.5196,207748.0
2020-05-25,42.446,42.5747,42.0139,42.5196,207748.0
2020-05-26,43.825,44.5697,43.825,44.1836,803970.0
2020-05-27,45.2224,45.9947,44.7444,45.9211,892185.0
2020-05-28,46.5739,46.5739,45.5258,45.6821,568633.0
2020-05-29,45.3052,46.2981,44.5881,46.0774,483714.0
2020-05-30,45.3052,46.2981,44.5881,46.0774,483714.0
2020-05-31,45.3052,46.2981,44.5881,46.0774,483714.0
2020-06-01,46.0039,47.0151,45.7832,46.2521,386986.0
2020-06-02,46.5831,47.5851,46.5555,47.3093,475286.0
2020-06-03,48.1643,49.5295,47.7506,48.8906,454604.0
2020-06-04,48.3298,48.9641,47.7598,48.8446,381295.0
2020-06-05,50.3524,51.2717,50.1455,50.6557,349595.0
2020-06-06,50.3524,51.2717,50.1455,50.6557,349595.0
2020-06-07,50.3524,51.2717,50.1455,50.6557,349595.0
2020-06-08,51.0327,51.4556,50.3524,50.5454,286790.0
2020-06-09,49.957,50.5914,49.479,50.049,208182.0
2020-06-10,50.0122,50.0674,48.7435,49.2859,629969.0
2020-06-11,47.5024,47.7883,45.1121,45.2592,592154.0
2020-06-12,46.7669,46.8175,44.4226,45.8935,292152.0
2020-06-13,46.7669,46.8175,44.4226,45.8935,292152.0
2020-06-14,46.7669,46.8175,44.4226,45.8935,292152.0
2020-06-15,44.4502,47.8885,44.3582,47.1347,628949.0
2020-06-16,48.6056,48.8354,46.5095,47.0795,730216.0
2020-06-17,47.2082,47.4105,46.6198,46.8956,599171.0
2020-06-18,46.4819,47.4288,46.3716,46.8864,626303.0
2020-06-19,47.3461,47.6771,46.1602,46.344,925467.0
2020-06-20,47.3461,47.6771,46.1602,46.344,925467.0
2020-06-21,47.3461,47.6771,46.1602,46.344,925467.0
2020-06-22,45.8016,46.7577,44.919,46.721,311904.0
2020-06-23,47.3277,47.6679,46.0223,46.059,313606.0
2020-06-24,45.4247,45.9487,45.0937,45.581,262822.0
2020-06-25,45.2224,46.6014,44.9926,46.5647,302128.0
2020-06-26,46.1877,46.3164,45.1765,45.6177,545514.0
2020-06-27,46.1877,46.3164,45.1765,45.6177,545514.0
2020-06-28,46.1877,46.3164,45.1765,45.6177,545514.0
2020-06-29,46.4084,47.6219,46.1923,47.5484,243376.0
2020-06-30,47.1071,48.3206,47.1071,47.9529,390585.0
2020-07-01,47.8885,48.123,47.153,47.5116,260270.0
2020-07-02,48.3482,49.0285,47.9805,48.4217,193498.0
2020-07-03,48.3482,49.0285,47.9805,48.4217,193498.0
2020-07-04,48.3482,49.0285,47.9805,48.4217,193498.0
2020-07-05,48.3482,49.0285,47.9805,48.4217,193498.0
2020-07-06,49.5066,49.5066,48.1827,48.4585,156714.0
2020-07-07,47.9069,48.7619,47.7138,48.7527,382647.0
2020-07-08,48.624,48.7159,47.1806,47.7322,210648.0
2020-07-09,47.8058,47.8058,46.5095,46.9968,212135.0
2020-07-10,47.7874,48.8906,47.4656,48.863,276375.0
2020-07-11,47.7874,48.8906,47.4656,48.863,276375.0
2020-07-12,47.7874,48.8906,47.4656,48.863,276375.0
2020-07-13,49.4698,49.9662,48.8538,49.0469,262177.0
2020-07-14,49.1112,50.527,48.955,50.5086,506607.0
2020-07-15,51.5107,52.0623,51.1981,51.8141,316967.0
2020-07-16,51.6946,51.998,51.0878,51.5935,388997.0
2020-07-17,51.1338,52.3106,50.5546,51.9612,485056.0
2020-07-18,51.1338,52.3106,50.5546,51.9612,485056.0
2020-07-19,51.1338,52.3106,50.5546,51.9612,485056.0
2020-07-20,52.0164,52.0164,49.2491,49.7824,711037.0
2020-07-21,50.3707,50.8028,49.5985,49.8191,342806.0
2020-07-22,49.4238,50.242,49.1296,49.5249,266098.0
2020-07-23,49.2951,49.6904,49.1664,49.5158,217199.0
2020-07-24,49.4974,49.672,48.4953,48.6332,245779.0
2020-07-25,49.4974,49.672,48.4953,48.6332,245779.0
2020-07-26,49.4974,49.672,48.4953,48.6332,245779.0
2020-07-27,48.5964,48.8354,47.9988,48.5504,358385.0
2020-07-28,48.2654,48.6883,48.0632,48.2654,155231.0
2020-07-29,48.2471,49.3824,48.2471,49.1204,230471.0
2020-07-30,48.4585,48.6975,47.6955,48.3114,223681.0
2020-07-31,47.839,48.4225,46.7831,48.3577,367306.0
2020-08-01,47.839,48.4225,46.7831,48.3577,367306.0
2020-08-02,47.839,48.4225,46.7831,48.3577,367306.0
2020-08-03,48.7282,49.0987,48.1632,48.969,282390.0
2020-08-04,48.6819,49.4692,48.4596,49.1635,422506.0
2020-08-05,49.6266,50.3954,49.4784,50.3028,322143.0
2020-08-06,50.2287,50.6455,49.7933,50.1175,238399.0
2020-08-07,49.8674,50.4139,49.7933,50.3954,138318.0
2020-08-08,49.8674,50.4139,49.7933,50.3954,138318.0
2020-08-09,49.8674,50.4139,49.7933,50.3954,138318.0
2020-08-10,50.6362,51.5068,50.6362,51.2197,199765.0
2020-08-11,51.9144,52.6414,51.1271,51.2197,434151.0
2020-08-12,52.0996,52.22,51.1919,51.5346,152383.0
2020-08-13,51.1827,51.4003,50.7983,51.1086,126509.0
2020-08-14,50.6918,50.9141,50.3028,50.5621,140757.0
2020-08-15,50.6918,50.9141,50.3028,50.5621,140757.0
2020-08-16,50.6918,50.9141,50.3028,50.5621,140757.0
2020-08-17,50.5528,51.0252,50.3954,50.877,286963.0
2020-08-18,50.7844,51.2104,50.5621,50.664,298477.0
2020-08-19,50.5158,51.0715,50.1638,50.6177,168900.0
2020-08-20,50.1082,50.701,50.1082,50.525,124835.0
2020-08-21,50.2287,50.3769,49.4784,50.0712,245954.0
2020-08-22,50.2287,50.3769,49.4784,50.0712,245954.0
2020-08-23,50.2287,50.3769,49.4784,50.0712,245954.0
2020-08-24,50.8029,51.8032,50.4139,51.5624,187126.0
2020-08-25,51.9607,52.2015,51.6828,52.1552,295832.0
2020-08-26,52.1089,52.3034,51.8356,51.9885,188825.0
2020-08-27,52.2849,52.5627,51.6736,52.0163,226226.0
2020-08-28,52.1274,52.1274,51.2753,51.9422,190082.0
2020-08-29,52.1274,52.1274,51.2753,51.9422,190082.0
2020-08-30,52.1274,52.1274,51.2753,51.9422,190082.0
2020-08-31,51.7662,51.8681,51.1456,51.1456,277897.0
2020-09-01,51.2382,52.7202,50.7936,52.6646,318288.0
2020-09-02,52.7387,54.2114,52.7109,53.8409,422604.0
2020-09-03,53.9243,54.1095,51.8773,52.2293,308609.0
