,CHX US Equity,CHX US Equity,CHX US Equity,CHX US Equity,CHX US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,32.8714,33.3778,32.7741,32.8909,514964.0
2020-01-02,32.7546,33.0654,32.1217,32.7838,528799.0
2020-01-03,33.2609,33.553,32.2775,32.7059,499471.0
2020-01-04,33.2609,33.553,32.2775,32.7059,499471.0
2020-01-05,33.2609,33.553,32.2775,32.7059,499471.0
2020-01-06,32.5599,32.9396,31.9854,32.7936,616493.0
2020-01-07,32.6572,32.8325,31.8101,32.3846,342723.0
2020-01-08,32.1996,32.3554,30.9436,31.3817,480245.0
2020-01-09,31.3622,31.5375,30.6612,31.4207,320759.0
2020-01-10,31.4012,31.4012,30.8851,31.187,564366.0
2020-01-11,31.4012,31.4012,30.8851,31.187,564366.0
2020-01-12,31.4012,31.4012,30.8851,31.187,564366.0
2020-01-13,31.1383,31.1522,30.3496,30.6904,380030.0
2020-01-14,30.5541,31.2454,30.4372,31.0409,339219.0
2020-01-15,30.8949,30.9338,30.1013,30.3691,354389.0
2020-01-16,30.6417,31.1091,30.0867,30.3496,387528.0
2020-01-17,30.632,30.7683,30.0672,30.2036,310171.0
2020-01-18,30.632,30.7683,30.0672,30.2036,310171.0
2020-01-19,30.632,30.7683,30.0672,30.2036,310171.0
2020-01-20,30.632,30.7683,30.0672,30.2036,310171.0
2020-01-21,29.853,29.9455,29.2007,29.298,716656.0
2020-01-22,29.113,29.2786,28.4704,28.6846,713964.0
2020-01-23,28.2562,28.7917,27.7109,28.3146,508027.0
2020-01-24,28.2173,28.2513,27.4578,28.0323,527641.0
2020-01-25,28.2173,28.2513,27.4578,28.0323,527641.0
2020-01-26,28.2173,28.2513,27.4578,28.0323,527641.0
2020-01-27,27.0781,27.448,26.5328,26.7081,451756.0
2020-01-28,26.9417,27.1267,26.2407,26.9028,381941.0
2020-01-29,27.1949,27.3799,25.7928,25.8123,437500.0
2020-01-30,25.2962,25.9291,25.2378,25.9096,189527.0
2020-01-31,25.3546,25.5591,24.9554,25.1794,263024.0
2020-02-01,25.3546,25.5591,24.9554,25.1794,263024.0
2020-02-02,25.3546,25.5591,24.9554,25.1794,263024.0
2020-02-03,25.1891,25.6078,25.0138,25.1307,367930.0
2020-02-04,25.7928,26.3283,25.306,25.4131,285896.0
2020-02-05,26.0459,26.8687,25.9388,26.5036,261917.0
2020-02-06,26.6107,26.7324,25.8999,26.2309,427813.0
2020-02-07,25.8512,26.4354,25.7441,25.9194,336033.0
2020-02-08,25.8512,26.4354,25.7441,25.9194,336033.0
2020-02-09,25.8512,26.4354,25.7441,25.9194,336033.0
2020-02-10,25.676,26.0362,25.3011,25.861,311258.0
2020-02-11,26.3088,26.8541,25.8025,26.0265,286425.0
2020-02-12,26.8054,26.9612,25.6273,25.8804,769306.0
2020-02-13,25.6857,25.9532,24.5173,24.751,1398521.0
2020-02-14,24.8094,25.0041,24.1862,24.6925,594713.0
2020-02-15,24.8094,25.0041,24.1862,24.6925,594713.0
2020-02-16,24.8094,25.0041,24.1862,24.6925,594713.0
2020-02-17,24.8094,25.0041,24.1862,24.6925,594713.0
