,CPB US Equity,CPB US Equity,CPB US Equity,CPB US Equity,CPB US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,42.7921,42.9485,42.4619,42.9398,1469337.0
2020-01-02,42.9658,43.0601,42.0144,42.1317,1696333.0
2020-01-03,42.1057,42.2447,41.9753,42.0796,1658300.0
2020-01-04,42.1057,42.2447,41.9753,42.0796,1658300.0
2020-01-05,42.1057,42.2447,41.9753,42.0796,1658300.0
2020-01-06,42.1057,42.1839,41.6712,42.1491,4329058.0
2020-01-07,42.1579,42.451,42.0528,42.1754,1909311.0
2020-01-08,42.2541,42.2541,41.3002,41.4402,2245587.0
2020-01-09,41.4227,41.729,40.9925,41.6765,2028772.0
2020-01-10,41.6152,42.0003,41.4665,41.7728,1338726.0
2020-01-11,41.6152,42.0003,41.4665,41.7728,1338726.0
2020-01-12,41.6152,42.0003,41.4665,41.7728,1338726.0
2020-01-13,41.7728,42.0353,41.554,41.764,1513878.0
2020-01-14,41.7815,41.8253,41.5277,41.6065,2051659.0
2020-01-15,41.5977,41.9828,41.5759,41.8165,2626728.0
2020-01-16,41.869,42.0966,41.7553,42.0878,1544878.0
2020-01-17,42.0703,42.2891,41.9828,42.0266,2153853.0
2020-01-18,42.0703,42.2891,41.9828,42.0266,2153853.0
2020-01-19,42.0703,42.2891,41.9828,42.0266,2153853.0
2020-01-20,42.0703,42.2891,41.9828,42.0266,2153853.0
2020-01-21,42.0266,42.613,41.9137,42.4992,2364468.0
2020-01-22,42.4992,42.7355,42.3854,42.5079,1619040.0
2020-01-23,42.3942,43.0549,42.1841,42.8493,4269766.0
2020-01-24,42.9805,43.2781,42.4292,42.7005,2065876.0
2020-01-25,42.9805,43.2781,42.4292,42.7005,2065876.0
2020-01-26,42.9805,43.2781,42.4292,42.7005,2065876.0
2020-01-27,42.4204,43.0243,42.395,42.683,1858389.0
2020-01-28,42.6742,43.0418,42.6217,42.7792,1325157.0
2020-01-29,42.7705,42.7705,42.241,42.3066,1286144.0
2020-01-30,42.3679,42.9193,42.2541,42.9105,1632938.0
2020-01-31,42.823,43.1126,42.3066,42.3504,1997886.0
2020-02-01,42.823,43.1126,42.3066,42.3504,1997886.0
2020-02-02,42.823,43.1126,42.3066,42.3504,1997886.0
2020-02-03,42.5429,42.858,42.4117,42.7705,1137311.0
2020-02-04,42.9718,43.1468,42.5342,42.5867,1214881.0
2020-02-05,42.648,42.9543,42.5692,42.8843,1482668.0
2020-02-06,42.5517,42.683,41.8165,42.1491,1796722.0
2020-02-07,42.2366,42.8843,41.9828,42.7792,1612362.0
2020-02-08,42.2366,42.8843,41.9828,42.7792,1612362.0
2020-02-09,42.2366,42.8843,41.9828,42.7792,1612362.0
2020-02-10,42.8755,42.9455,42.4642,42.6217,1039427.0
2020-02-11,42.6305,42.9368,42.5867,42.648,1206236.0
2020-02-12,42.5692,42.6042,42.0528,42.1666,1007103.0
2020-02-13,42.0966,42.3329,41.8515,42.3241,1342741.0
2020-02-14,42.3942,42.7267,42.2454,42.5692,1329183.0
2020-02-15,42.3942,42.7267,42.2454,42.5692,1329183.0
2020-02-16,42.3942,42.7267,42.2454,42.5692,1329183.0
2020-02-17,42.3942,42.7267,42.2454,42.5692,1329183.0
2020-02-18,42.3066,42.8317,42.0266,42.1841,2600751.0
2020-02-19,42.1404,42.2716,41.5627,41.8253,1839976.0
2020-02-20,41.764,41.8515,41.4314,41.7815,1265450.0
2020-02-21,41.7728,42.2454,41.7728,41.9741,983553.0
2020-02-22,41.7728,42.2454,41.7728,41.9741,983553.0
2020-02-23,41.7728,42.2454,41.7728,41.9741,983553.0
2020-02-24,41.6065,42.2016,41.5583,42.0266,2364621.0
2020-02-25,42.1053,42.3066,41.6502,41.904,1793407.0
2020-02-26,42.1228,42.1228,40.8101,40.8188,2460537.0
2020-02-27,40.5738,40.9851,39.9874,39.9961,1715006.0
2020-02-28,39.3047,39.5936,37.9394,39.4885,4551071.0
2020-02-29,39.3047,39.5936,37.9394,39.4885,4551071.0
2020-03-01,39.3047,39.5936,37.9394,39.4885,4551071.0
2020-03-02,39.6811,42.0091,39.6461,41.9916,4573782.0
2020-03-03,42.0091,42.893,41.5102,41.904,3573679.0
2020-03-04,43.7594,46.2362,43.5669,46.14,9420402.0
2020-03-05,46.1225,47.1114,45.5011,46.4725,4826347.0
2020-03-06,45.361,46.2537,44.2846,45.2998,3443880.0
2020-03-07,45.361,46.2537,44.2846,45.2998,3443880.0
2020-03-08,45.361,46.2537,44.2846,45.2998,3443880.0
2020-03-09,43.4881,45.5097,43.0856,43.9345,4004654.0
2020-03-10,44.5559,45.046,42.8055,44.8622,5558764.0
2020-03-11,44.1795,44.4508,43.4006,44.1708,2935979.0
2020-03-12,41.869,44.4246,41.5039,41.729,4758776.0
2020-03-13,42.4817,43.2081,39.7511,43.1293,5263374.0
2020-03-14,42.4817,43.2081,39.7511,43.1293,5263374.0
2020-03-15,42.4817,43.2081,39.7511,43.1293,5263374.0
2020-03-16,40.7138,45.1068,40.0052,43.1468,5715912.0
2020-03-17,44.0133,50.3584,43.8907,47.1202,10354813.0
2020-03-18,46.8226,47.9165,42.2852,44.1795,5091352.0
2020-03-19,43.987,44.0745,40.2674,41.5715,5028640.0
2020-03-20,41.2477,42.6217,39.5323,39.6461,3896801.0
2020-03-21,41.2477,42.6217,39.5323,39.6461,3896801.0
2020-03-22,41.2477,42.6217,39.5323,39.6461,3896801.0
2020-03-23,39.4535,39.8736,36.7929,37.5719,3699376.0
2020-03-24,38.4471,39.436,36.8017,38.0707,4339631.0
2020-03-25,37.7469,38.3158,36.0403,36.2416,4923579.0
2020-03-26,36.4604,38.7009,35.6202,38.1495,5066505.0
2020-03-27,37.6244,39.6461,37.4143,38.6746,3227405.0
2020-03-28,37.6244,39.6461,37.4143,38.6746,3227405.0
2020-03-29,37.6244,39.6461,37.4143,38.6746,3227405.0
2020-03-30,39.3397,40.9676,38.959,40.7225,3419456.0
2020-03-31,40.7138,41.3089,40.1012,40.3987,2288876.0
2020-04-01,39.4798,41.5627,39.1647,40.2412,2729141.0
2020-04-02,39.7686,41.6065,39.7686,41.5277,2250392.0
2020-04-03,41.1164,43.6282,41.1164,43.3481,3582442.0
2020-04-04,41.1164,43.6282,41.1164,43.3481,3582442.0
2020-04-05,41.1164,43.6282,41.1164,43.3481,3582442.0
2020-04-06,43.4794,43.5494,41.6152,41.6677,3754660.0
2020-04-07,41.7728,42.2804,40.3987,40.9063,3379057.0
2020-04-08,41.0033,41.647,40.2185,40.7035,3088169.0
2020-04-09,40.2714,42.9521,40.2362,42.1056,3517288.0
2020-04-10,40.2714,42.9521,40.2362,42.1056,3517288.0
2020-04-11,40.2714,42.9521,40.2362,42.1056,3517288.0
2020-04-12,40.2714,42.9521,40.2362,42.1056,3517288.0
2020-04-13,41.8763,42.8022,41.2943,42.7669,1736108.0
2020-04-14,43.6487,44.4159,43.2519,44.1513,2747667.0
