,CMA US Equity,CMA US Equity,CMA US Equity,CMA US Equity,CMA US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,52.8259,53.5092,52.4066,53.3384,1466715.0
2019-01-02,52.4687,54.3556,52.3833,54.1537,1523352.0
2019-01-03,54.0916,54.6664,53.6257,53.7965,1760930.0
2019-01-04,54.806,55.7766,54.5808,55.5204,2682231.0
2019-01-05,54.806,55.7766,54.5808,55.5204,2682231.0
2019-01-06,54.806,55.7766,54.5808,55.5204,2682231.0
2019-01-07,55.3262,56.5842,54.9846,56.0096,1617816.0
2019-01-08,56.3978,56.592,55.1321,56.1571,1528969.0
2019-01-09,56.4988,57.2132,56.1183,56.856,1254682.0
2019-01-10,56.7861,57.0423,56.1183,56.7473,1118225.0
2019-01-11,56.1804,57.1821,55.8154,56.9259,1561746.0
2019-01-12,56.1804,57.1821,55.8154,56.9259,1561746.0
2019-01-13,56.1804,57.1821,55.8154,56.9259,1561746.0
2019-01-14,56.4134,57.8111,56.2503,57.4228,3054114.0
2019-01-15,57.3685,57.6247,56.491,57.4927,2070432.0
2019-01-16,58.6419,60.9521,58.5876,60.6686,3569451.0
2019-01-17,60.6609,61.9654,60.1406,61.8877,2386170.0
2019-01-18,62.2605,63.0758,61.6082,63.0447,2389981.0
2019-01-19,62.2605,63.0758,61.6082,63.0447,2389981.0
2019-01-20,62.2605,63.0758,61.6082,63.0447,2389981.0
2019-01-21,62.2605,63.0758,61.6082,63.0447,2389981.0
2019-01-22,62.672,63.0292,61.9227,62.2527,2500149.0
2019-01-23,62.6643,63.3709,62.2449,62.9982,2461205.0
2019-01-24,62.5866,63.6427,62.5866,63.433,2316754.0
2019-01-25,63.93,64.0426,63.2777,63.7281,2088944.0
2019-01-26,63.93,64.0426,63.2777,63.7281,2088944.0
2019-01-27,63.93,64.0426,63.2777,63.7281,2088944.0
2019-01-28,63.3942,64.1474,63.0447,63.9144,1598791.0
2019-01-29,63.8756,64.3027,63.6038,63.6815,1324652.0
2019-01-30,64.0154,64.1008,62.7341,62.8351,2203108.0
2019-01-31,62.509,62.6953,60.3192,61.1423,4039475.0
2019-02-01,61.3364,61.8062,60.7696,61.3131,2188438.0
2019-02-02,61.3364,61.8062,60.7696,61.3131,2188438.0
2019-02-03,61.3364,61.8062,60.7696,61.3131,2188438.0
2019-02-04,61.2976,61.8644,61.0258,61.7557,1182011.0
2019-02-05,61.7868,62.0819,61.2976,61.7946,1727079.0
2019-02-06,61.5927,62.1129,61.4607,61.8101,1381182.0
2019-02-07,65.1336,66.0576,64.2949,64.7997,5675049.0
2019-02-08,64.3803,64.6211,63.0603,63.9377,2171851.0
2019-02-09,64.3803,64.6211,63.0603,63.9377,2171851.0
2019-02-10,64.3803,64.6211,63.0603,63.9377,2171851.0
2019-02-11,64.0231,64.6055,63.7824,64.4968,1833278.0
2019-02-12,65.2034,65.8324,64.9239,65.4286,1885177.0
2019-02-13,65.6383,66.0654,65.3432,65.5917,2093633.0
2019-02-14,64.7065,65.3354,63.8678,64.9627,1589850.0
