,AMTB US Equity,AMTB US Equity,AMTB US Equity,AMTB US Equity,AMTB US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,20.9338,21.1848,20.9338,21.0304,38574.0
2020-01-02,21.1365,21.1365,20.4995,20.847,78215.0
2020-01-03,20.6443,20.7794,20.5574,20.5767,72393.0
2020-01-04,20.6443,20.7794,20.5574,20.5767,72393.0
2020-01-05,20.6443,20.7794,20.5574,20.5767,72393.0
2020-01-06,20.5188,20.5188,20.0556,20.2293,40273.0
2020-01-07,20.1424,20.4995,19.409,19.9011,87856.0
2020-01-08,19.9301,20.2283,19.7564,19.9494,47935.0
2020-01-09,19.9494,20.2582,19.7757,20.181,62220.0
2020-01-10,20.1231,20.3017,19.7853,19.9108,54185.0
2020-01-11,20.1231,20.3017,19.7853,19.9108,54185.0
2020-01-12,20.1231,20.3017,19.7853,19.9108,54185.0
2020-01-13,19.9301,20.2679,19.8529,20.2486,83426.0
2020-01-14,20.181,20.181,19.8529,19.8818,103220.0
2020-01-15,19.8046,19.9007,19.4572,19.8432,32176.0
2020-01-16,19.9108,20.1328,19.6116,19.6792,41135.0
2020-01-17,19.8722,19.9784,19.4958,19.5537,43413.0
2020-01-18,19.8722,19.9784,19.4958,19.5537,43413.0
2020-01-19,19.8722,19.9784,19.4958,19.5537,43413.0
2020-01-20,19.8722,19.9784,19.4958,19.5537,43413.0
2020-01-21,19.544,19.7757,19.4765,19.6212,27737.0
2020-01-22,19.6406,19.6792,19.544,19.6212,21431.0
2020-01-23,19.4958,19.8625,19.4958,19.6502,63105.0
2020-01-24,19.8818,19.8818,19.2448,19.4475,44327.0
2020-01-25,19.8818,19.8818,19.2448,19.4475,44327.0
2020-01-26,19.8818,19.8818,19.2448,19.4475,44327.0
2020-01-27,19.3028,19.4475,18.8974,18.9264,27531.0
2020-01-28,19.0518,19.158,18.9167,19.1001,32738.0
2020-01-29,19.0711,19.1918,18.9746,19.0132,28646.0
2020-01-30,19.4572,19.8336,18.936,19.7371,71311.0
2020-01-31,19.6502,19.8288,17.9805,17.9805,29129.0
2020-02-01,19.6502,19.8288,17.9805,17.9805,29129.0
2020-02-02,19.6502,19.8288,17.9805,17.9805,29129.0
2020-02-03,18.2411,19.0615,17.9805,17.9902,22465.0
2020-02-04,18.2701,18.5982,18.1832,18.3376,18944.0
2020-02-05,18.6465,19.0518,18.4824,18.907,22487.0
2020-02-06,18.965,19.3317,18.5692,18.5982,27139.0
2020-02-07,18.5017,18.5017,17.8357,17.8743,28914.0
2020-02-08,18.5017,18.5017,17.8357,17.8743,28914.0
2020-02-09,18.5017,18.5017,17.8357,17.8743,28914.0
2020-02-10,17.855,18.5982,17.855,18.5982,12970.0
2020-02-11,18.6851,18.9746,18.4727,18.5403,9781.0
2020-02-12,18.7623,18.9939,17.8455,18.7912,18953.0
2020-02-13,18.5789,19.0904,18.5789,18.8105,13749.0
2020-02-14,18.8009,19.2255,18.3243,18.6272,17763.0
2020-02-15,18.8009,19.2255,18.3243,18.6272,17763.0
2020-02-16,18.8009,19.2255,18.3243,18.6272,17763.0
2020-02-17,18.8009,19.2255,18.3243,18.6272,17763.0
2020-02-18,18.5982,18.9408,18.2968,18.7623,14941.0
2020-02-19,18.7623,19.2641,18.6394,18.8395,32887.0
2020-02-20,18.8202,19.2448,18.675,18.7623,21306.0
2020-02-21,18.7816,19.1001,18.521,18.9746,29661.0
2020-02-22,18.7816,19.1001,18.521,18.9746,29661.0
2020-02-23,18.7816,19.1001,18.521,18.9746,29661.0
2020-02-24,18.2315,19.1966,18.1446,18.2508,21017.0
2020-02-25,18.4148,18.6465,17.6138,17.7296,40045.0
2020-02-26,17.9902,18.1784,17.4014,17.8357,23103.0
2020-02-27,17.3918,17.7585,17.1312,17.1505,26877.0
2020-02-28,16.8899,17.8164,16.6486,17.8164,71333.0
2020-02-29,16.8899,17.8164,16.6486,17.8164,71333.0
2020-03-01,16.8899,17.8164,16.6486,17.8164,71333.0
2020-03-02,17.855,18.3087,17.2953,18.1639,23942.0
2020-03-03,18.0674,18.077,17.6138,17.7006,34727.0
2020-03-04,17.855,17.8937,17.6331,17.855,47764.0
2020-03-05,17.2953,17.5324,17.1312,17.3532,52816.0
2020-03-06,16.6583,16.7451,15.5677,15.7414,33725.0
2020-03-07,16.6583,16.7451,15.5677,15.7414,33725.0
2020-03-08,16.6583,16.7451,15.5677,15.7414,33725.0
2020-03-09,14.8245,15.379,13.5216,13.647,30621.0
2020-03-10,14.0524,14.8245,13.0487,14.8245,42244.0
2020-03-11,14.1779,14.3419,13.6084,13.9945,59344.0
2020-03-12,13.5119,13.7917,13.0294,13.0776,99981.0
2020-03-13,13.898,15.1295,13.1548,14.2068,36822.0
2020-03-14,13.898,15.1295,13.1548,14.2068,36822.0
2020-03-15,13.898,15.1295,13.1548,14.2068,36822.0
2020-03-16,13.0294,13.787,10.5683,11.4176,91490.0
2020-03-17,11.987,13.6277,11.4176,13.6277,72195.0
2020-03-18,12.4985,12.7784,11.5817,11.7361,46045.0
2020-03-19,11.5817,14.1344,11.5623,13.9655,69805.0
2020-03-20,13.9848,14.1972,12.8749,14.1972,119824.0
2020-03-21,13.9848,14.1972,12.8749,14.1972,119824.0
2020-03-22,13.9848,14.1972,12.8749,14.1972,119824.0
2020-03-23,13.7725,15.8669,13.6084,14.5736,48982.0
2020-03-24,15.2685,15.2878,14.506,14.9789,67143.0
2020-03-25,15.6931,15.9199,14.1296,14.6411,46014.0
2020-03-26,14.8052,15.1527,14.2454,15.1527,51345.0
2020-03-27,14.3806,15.1141,13.9752,13.9752,65845.0
2020-03-28,14.3806,15.1141,13.9752,13.9752,65845.0
2020-03-29,14.3806,15.1141,13.9752,13.9752,65845.0
2020-03-30,14.2937,14.9307,14.2165,14.7666,37183.0
2020-03-31,14.6894,14.8535,14.0524,14.8535,51855.0
2020-04-01,14.1875,14.2261,12.6626,12.7688,49332.0
2020-04-02,12.5661,14.7757,12.5661,13.1838,41300.0
2020-04-03,12.9039,13.6567,12.5854,13.1452,28112.0
2020-04-04,12.9039,13.6567,12.5854,13.1452,28112.0
2020-04-05,12.9039,13.6567,12.5854,13.1452,28112.0
2020-04-06,13.9269,14.1875,13.0583,13.7339,94998.0
2020-04-07,13.9076,14.1489,12.8749,13.676,33628.0
2020-04-08,13.9366,14.091,13.647,13.9462,57791.0
2020-04-09,13.9462,14.4867,13.8111,14.2358,51186.0
2020-04-10,13.9462,14.4867,13.8111,14.2358,51186.0
2020-04-11,13.9462,14.4867,13.8111,14.2358,51186.0
2020-04-12,13.9462,14.4867,13.8111,14.2358,51186.0
2020-04-13,14.0717,14.5543,13.6084,13.7918,19543.0
2020-04-14,14.2647,14.2647,12.817,13.5505,24932.0
2020-04-15,12.8556,12.8556,11.8229,11.9291,161006.0
2020-04-16,11.6685,12.3345,11.601,11.9098,56993.0
2020-04-17,12.1993,12.4213,11.7264,12.0546,63327.0
2020-04-18,12.1993,12.4213,11.7264,12.0546,63327.0
2020-04-19,12.1993,12.4213,11.7264,12.0546,63327.0
2020-04-20,11.6203,12.1511,11.5044,11.7264,16227.0
2020-04-21,11.2052,11.8326,11.2052,11.4948,21581.0
2020-04-22,11.8905,12.1897,11.4465,11.7554,24177.0
2020-04-23,11.6396,11.987,11.5623,11.987,24310.0
2020-04-24,11.987,12.1511,11.8229,11.987,23968.0
2020-04-25,11.987,12.1511,11.8229,11.987,23968.0
2020-04-26,11.987,12.1511,11.8229,11.987,23968.0
2020-04-27,11.987,12.2379,11.7747,12.0063,47102.0
2020-04-28,12.2959,13.1838,12.0256,13.1259,35604.0
2020-04-29,13.7532,14.2165,12.5993,13.9848,81917.0
2020-04-30,13.4347,13.454,12.7012,13.0487,52392.0
2020-05-01,13.0101,13.8787,11.9774,12.8074,46677.0
2020-05-02,13.0101,13.8787,11.9774,12.8074,46677.0
2020-05-03,13.0101,13.8787,11.9774,12.8074,46677.0
2020-05-04,12.5468,13.2706,12.1897,12.8556,37054.0
2020-05-05,12.653,13.3961,11.8712,11.9677,29671.0
2020-05-06,12.0256,12.0256,11.0315,11.1473,30978.0
2020-05-07,11.3597,11.5334,10.8288,11.0315,31162.0
2020-05-08,11.0991,11.7361,11.0991,11.4369,121343.0
2020-05-09,11.0991,11.7361,11.0991,11.4369,121343.0
2020-05-10,11.0991,11.7361,11.0991,11.4369,121343.0
2020-05-11,11.1859,11.572,10.6937,10.9157,46525.0
2020-05-12,11.0701,11.0701,10.3415,10.3849,30334.0
2020-05-13,10.5393,10.935,9.9023,10.9157,56101.0
2020-05-14,10.5393,10.5393,9.7479,10.2691,39983.0
2020-05-15,10.2305,10.6262,9.6996,10.549,28084.0
2020-05-16,10.2305,10.6262,9.6996,10.549,28084.0
2020-05-17,10.2305,10.6262,9.6996,10.549,28084.0
2020-05-18,11.128,12.6143,10.8868,12.4889,63346.0
2020-05-19,12.3055,12.3055,11.4658,11.6299,65555.0
2020-05-20,11.9001,12.3007,11.4755,11.6975,79811.0
2020-05-21,11.6975,12.1607,11.3693,11.4465,35149.0
2020-05-22,11.6203,11.6203,10.9929,11.2439,64222.0
2020-05-23,11.6203,11.6203,10.9929,11.2439,64222.0
2020-05-24,11.6203,11.6203,10.9929,11.2439,64222.0
2020-05-25,11.6203,11.6203,10.9929,11.2439,64222.0
2020-05-26,11.8229,12.7012,11.6926,12.0546,115838.0
2020-05-27,12.1607,12.7205,12.0932,12.4985,72230.0
2020-05-28,12.6916,12.7832,12.1125,12.209,32863.0
2020-05-29,12.0642,13.0004,11.8326,12.5854,168550.0
2020-05-30,12.0642,13.0004,11.8326,12.5854,168550.0
2020-05-31,12.0642,13.0004,11.8326,12.5854,168550.0
2020-06-01,12.7688,13.1934,12.2572,12.3152,94003.0
2020-06-02,12.5082,12.6819,12.2476,12.4503,21338.0
2020-06-03,12.5564,13.1066,12.0642,12.9811,68519.0
2020-06-04,12.7591,14.5832,12.5564,14.4867,57331.0
2020-06-05,15.2299,15.751,14.3661,15.3843,52264.0
2020-06-06,15.2299,15.751,14.3661,15.3843,52264.0
2020-06-07,15.2299,15.751,14.3661,15.3843,52264.0
2020-06-08,15.5001,16.2626,15.3843,15.6931,37635.0
2020-06-09,15.4519,16.5328,15.0175,16.2336,32918.0
2020-06-10,16.0599,16.0599,14.8631,14.9886,40520.0
2020-06-11,14.2261,14.6701,12.8749,12.9184,57219.0
2020-06-12,13.4926,14.7183,12.9232,13.8401,42955.0
2020-06-13,13.4926,14.7183,12.9232,13.8401,42955.0
2020-06-14,13.4926,14.7183,12.9232,13.8401,42955.0
2020-06-15,13.2513,14.6411,12.9715,14.6025,44841.0
2020-06-16,15.143,15.6352,14.535,15.2492,36606.0
2020-06-17,15.0465,15.3939,14.5012,14.699,24896.0
2020-06-18,14.535,15.1044,14.2937,15.1044,21017.0
2020-06-19,15.1237,15.7897,14.0401,15.3843,101782.0
2020-06-20,15.1237,15.7897,14.0401,15.3843,101782.0
2020-06-21,15.1237,15.7897,14.0401,15.3843,101782.0
2020-06-22,15.1237,15.6835,14.8535,15.5098,29867.0
2020-06-23,15.8765,16.224,15.3457,15.809,29608.0
2020-06-24,15.5387,15.973,13.5023,13.8111,85914.0
2020-06-25,13.6084,14.6218,13.1934,14.4964,45174.0
2020-06-26,14.2165,14.2165,13.1645,13.5988,379539.0
2020-06-27,14.2165,14.2165,13.1645,13.5988,379539.0
2020-06-28,14.2165,14.2165,13.1645,13.5988,379539.0
2020-06-29,14.0331,14.5736,13.8304,14.4771,38922.0
2020-06-30,14.2358,14.7666,14.1393,14.5157,29460.0
2020-07-01,14.6604,14.6604,13.7629,13.8208,31745.0
2020-07-02,14.2358,14.2358,13.5119,13.7725,22294.0
2020-07-03,14.2358,14.2358,13.5119,13.7725,22294.0
2020-07-04,14.2358,14.2358,13.5119,13.7725,22294.0
2020-07-05,14.2358,14.2358,13.5119,13.7725,22294.0
2020-07-06,14.1103,14.3516,13.5864,14.0235,30354.0
2020-07-07,13.7532,13.9655,12.4117,12.4792,33670.0
2020-07-08,12.4503,12.8846,11.7843,12.4599,27266.0
2020-07-09,12.3634,12.4503,11.6782,11.8519,28962.0
2020-07-10,11.9967,12.7109,11.8905,12.6819,22453.0
2020-07-11,11.9967,12.7109,11.8905,12.6819,22453.0
2020-07-12,11.9967,12.7109,11.8905,12.6819,22453.0
2020-07-13,13.0101,13.0101,12.2042,12.595,29320.0
2020-07-14,12.6723,12.7109,12.209,12.5468,23511.0
2020-07-15,13.0101,14.1779,12.7398,13.6857,60241.0
2020-07-16,13.6084,14.1827,13.3479,13.5312,22017.0
2020-07-17,13.2899,13.5264,12.5468,12.9811,68651.0
2020-07-18,13.2899,13.5264,12.5468,12.9811,68651.0
2020-07-19,13.2899,13.5264,12.5468,12.9811,68651.0
2020-07-20,13.0776,13.3961,13.0776,13.3672,15356.0
2020-07-21,13.6084,13.9076,13.3961,13.7532,21216.0
2020-07-22,13.5698,13.5795,12.9908,13.068,29923.0
2020-07-23,12.9232,13.2706,12.5468,13.1259,24775.0
2020-07-24,13.4444,13.4444,12.624,12.624,12460.0
2020-07-25,13.4444,13.4444,12.624,12.624,12460.0
2020-07-26,13.4444,13.4444,12.624,12.624,12460.0
2020-07-27,12.4503,12.7591,11.6492,11.8229,25825.0
2020-07-28,11.6492,12.1318,11.6492,11.8615,13351.0
2020-07-29,11.9484,12.7302,11.6878,12.6723,28477.0
2020-07-30,12.3538,12.7591,12.1511,12.7591,25358.0
2020-07-31,12.7591,12.957,12.5468,12.8846,57538.0
2020-08-01,12.7591,12.957,12.5468,12.8846,57538.0
2020-08-02,12.7591,12.957,12.5468,12.8846,57538.0
2020-08-03,12.9328,13.261,12.4599,13.1355,27031.0
2020-08-04,12.9811,13.2706,12.7398,13.2127,24796.0
2020-08-05,13.4251,13.4251,13.0197,13.2706,37549.0
2020-08-06,13.2513,13.3922,12.7591,12.9425,16561.0
2020-08-07,12.8074,13.647,12.7205,13.5891,26522.0
2020-08-08,12.8074,13.647,12.7205,13.5891,26522.0
2020-08-09,12.8074,13.647,12.7205,13.5891,26522.0
2020-08-10,13.7436,14.1296,13.348,13.6567,31175.0
2020-08-11,13.9945,14.2261,13.6663,13.8401,35534.0
2020-08-12,14.1779,14.1779,13.2803,13.4058,19582.0
2020-08-13,13.2706,13.5119,13.0681,13.2803,15894.0
2020-08-14,13.1162,13.898,13.039,13.6084,15237.0
2020-08-15,13.1162,13.898,13.039,13.6084,15237.0
2020-08-16,13.1162,13.898,13.039,13.6084,15237.0
2020-08-17,13.2803,13.6277,13.2803,13.5023,18429.0
2020-08-18,13.2899,13.3672,12.9908,13.2031,14034.0
2020-08-19,12.8363,13.5119,12.4474,13.261,17426.0
2020-08-20,12.9618,13.2417,12.7881,13.1838,21821.0
2020-08-21,13.1934,13.1934,12.5468,12.6819,23390.0
2020-08-22,13.1934,13.1934,12.5468,12.6819,23390.0
2020-08-23,13.1934,13.1934,12.5468,12.6819,23390.0
2020-08-24,12.8846,13.0776,12.653,13.0583,20644.0
2020-08-25,13.2513,13.3865,13.0487,13.2803,17102.0
2020-08-26,13.2899,13.2899,12.6047,12.6337,25453.0
2020-08-27,12.7205,13.0631,12.5178,12.653,15341.0
2020-08-28,12.8653,12.8653,12.267,12.8363,17887.0
2020-08-29,12.8653,12.8653,12.267,12.8363,17887.0
2020-08-30,12.8653,12.8653,12.267,12.8363,17887.0
2020-08-31,12.6819,12.9328,12.653,12.6916,40188.0
2020-09-01,12.6047,12.7881,12.3345,12.3827,29285.0
2020-09-02,12.3827,12.7881,12.3538,12.6916,47640.0
2020-09-03,12.7784,12.9232,12.5275,12.6723,32674.0
2020-09-04,12.9715,12.9715,12.4792,12.4889,18152.0
2020-09-05,12.9715,12.9715,12.4792,12.4889,18152.0
2020-09-06,12.9715,12.9715,12.4792,12.4889,18152.0
2020-09-07,12.9715,12.9715,12.4792,12.4889,18152.0
2020-09-08,12.4406,12.6337,11.6975,11.7361,32493.0
2020-09-09,11.8808,12.1318,11.4658,11.6396,32333.0
2020-09-10,11.7168,12.1897,11.2149,11.3693,21647.0
2020-09-11,11.2246,11.2246,10.6937,10.7806,29529.0
2020-09-12,11.2246,11.2246,10.6937,10.7806,29529.0
2020-09-13,11.2246,11.2246,10.6937,10.7806,29529.0
2020-09-14,10.9157,11.3211,10.6165,11.2728,21379.0
2020-09-15,11.128,11.6299,11.0412,11.3693,11497.0
2020-09-16,11.1956,11.4755,11.1232,11.1763,34504.0
2020-09-17,11.1956,11.3404,10.9061,11.1859,26652.0
2020-09-18,11.4079,11.4079,10.7902,11.0894,191883.0
2020-09-19,11.4079,11.4079,10.7902,11.0894,191883.0
2020-09-20,11.4079,11.4079,10.7902,11.0894,191883.0
2020-09-21,10.7999,10.9254,10.0664,10.1919,41154.0
2020-09-22,10.1822,10.4814,9.6707,10.0278,47745.0
2020-09-23,9.9602,10.3077,9.4294,9.5356,48103.0
2020-09-24,9.6321,9.8927,9.5066,9.5742,22487.0
2020-09-25,9.3908,9.7768,9.3425,9.6996,28504.0
2020-09-26,9.3908,9.7768,9.3425,9.6996,28504.0
2020-09-27,9.3908,9.7768,9.3425,9.6996,28504.0
2020-09-28,9.8927,10.0857,9.7768,9.8058,47921.0
2020-09-29,9.8251,9.8251,9.3039,9.5356,33488.0
2020-09-30,9.4583,9.7093,8.8503,8.9854,92344.0
2020-10-01,9.1495,9.5356,9.1109,9.468,36968.0
2020-10-02,9.3908,9.6031,9.3618,9.5838,23153.0
2020-10-03,9.3908,9.6031,9.3618,9.5838,23153.0
2020-10-04,9.3908,9.6031,9.3618,9.5838,23153.0
2020-10-05,9.6803,10.2112,9.5838,9.9602,38379.0
2020-10-06,9.9602,10.3849,9.2654,9.9409,23327.0
2020-10-07,9.9409,10.3077,9.4197,10.076,36369.0
2020-10-08,10.1726,10.3849,10.1436,10.2015,25635.0
2020-10-09,10.3945,10.491,10.1919,10.3077,16326.0
2020-10-10,10.3945,10.491,10.1919,10.3077,16326.0
2020-10-11,10.3945,10.491,10.1919,10.3077,16326.0
2020-10-12,10.2594,10.6165,10.2401,10.5586,20657.0
2020-10-13,10.3752,10.6889,9.9168,10.1339,17278.0
2020-10-14,10.2401,10.2401,9.7768,9.8348,7775.0
2020-10-15,9.7479,10.1629,9.6514,10.0278,30433.0
2020-10-16,9.9313,10.3897,9.8637,10.3077,22375.0
2020-10-17,9.9313,10.3897,9.8637,10.3077,22375.0
2020-10-18,9.9313,10.3897,9.8637,10.3077,22375.0
2020-10-19,10.3366,10.3366,9.7479,9.9892,9984.0
2020-10-20,10.105,10.52,9.7382,10.076,23966.0
2020-10-21,10.0085,10.3752,9.8059,10.2015,20224.0
2020-10-22,10.2594,10.8964,10.1339,10.3945,34955.0
2020-10-23,10.3945,10.8964,10.3945,10.7999,24236.0
2020-10-24,10.3945,10.8964,10.3945,10.7999,24236.0
2020-10-25,10.3945,10.8964,10.3945,10.7999,24236.0
2020-10-26,10.7034,10.713,10.2208,10.3173,14037.0
2020-10-27,10.2691,10.2787,9.8927,9.9023,7184.0
2020-10-28,9.8637,10.0567,9.0144,9.0916,32451.0
2020-10-29,8.6959,10.2401,8.6959,9.9602,22339.0
2020-10-30,9.6514,10.0664,9.0819,9.7189,30239.0
2020-10-31,9.6514,10.0664,9.0819,9.7189,30239.0
2020-11-01,9.6514,10.0664,9.0819,9.7189,30239.0
2020-11-02,10.0278,10.0433,9.4873,9.9892,22992.0
2020-11-03,10.2594,10.824,10.1919,10.6165,36073.0
2020-11-04,10.3559,10.3559,9.9023,9.9023,14278.0
2020-11-05,9.8927,10.6551,9.8927,10.4524,15560.0
2020-11-06,10.6455,10.6455,9.9023,9.9699,17628.0
2020-11-07,10.6455,10.6455,9.9023,9.9699,17628.0
2020-11-08,10.6455,10.6455,9.9023,9.9699,17628.0
2020-11-09,11.2825,12.7302,10.6744,12.1511,66780.0
2020-11-10,12.5371,13.2708,12.3441,12.6626,55173.0
2020-11-11,12.6723,13.1355,11.9098,12.2186,20857.0
2020-11-12,11.9098,12.1366,11.4658,11.6106,27744.0
