,ATH US Equity,ATH US Equity,ATH US Equity,ATH US Equity,ATH US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,39.9,40.641,39.5,39.83,1252817.0
2019-01-02,39.23,40.59,39.19,40.53,1589777.0
2019-01-03,40.39,40.99,40.155,40.3,1421333.0
2019-01-04,40.94,42.02,40.87,41.76,1234962.0
2019-01-05,40.94,42.02,40.87,41.76,1234962.0
2019-01-06,40.94,42.02,40.87,41.76,1234962.0
2019-01-07,41.49,42.48,41.34,42.19,1936599.0
2019-01-08,42.31,42.45,41.125,41.46,1760837.0
2019-01-09,41.55,41.99,41.34,41.94,1090007.0
2019-01-10,41.89,42.35,41.64,41.87,900644.0
2019-01-11,41.52,41.75,41.18,41.4,1390062.0
2019-01-12,41.52,41.75,41.18,41.4,1390062.0
2019-01-13,41.52,41.75,41.18,41.4,1390062.0
2019-01-14,41.03,41.56,40.91,41.15,1570387.0
2019-01-15,41.25,41.66,41.1,41.63,1288861.0
2019-01-16,41.79,43.39,41.72,43.39,1939560.0
2019-01-17,43.36,43.99,43.13,43.77,827541.0
2019-01-18,44.17,44.17,43.085,43.49,862018.0
2019-01-19,44.17,44.17,43.085,43.49,862018.0
2019-01-20,44.17,44.17,43.085,43.49,862018.0
2019-01-21,44.17,44.17,43.085,43.49,862018.0
2019-01-22,43.27,43.3,42.05,42.3,970626.0
2019-01-23,42.53,42.69,41.93,42.53,1038890.0
2019-01-24,42.52,42.895,42.185,42.41,1286782.0
2019-01-25,42.8,43.195,42.56,42.87,728654.0
2019-01-26,42.8,43.195,42.56,42.87,728654.0
2019-01-27,42.8,43.195,42.56,42.87,728654.0
2019-01-28,42.52,42.95,42.41,42.94,747109.0
2019-01-29,42.74,43.01,42.2,42.28,751033.0
2019-01-30,42.35,42.87,41.97,42.84,1550349.0
2019-01-31,42.58,43.0,42.41,42.9,1150947.0
2019-02-01,43.12,44.05,42.74,43.94,2422768.0
2019-02-02,43.12,44.05,42.74,43.94,2422768.0
2019-02-03,43.12,44.05,42.74,43.94,2422768.0
2019-02-04,43.82,44.115,42.91,43.69,1118917.0
2019-02-05,43.8,44.04,43.61,43.77,1087962.0
2019-02-06,43.7,44.0,43.605,43.66,1027084.0
2019-02-07,43.33,43.64,42.51,43.05,916611.0
2019-02-08,42.71,42.94,42.145,42.59,1134569.0
2019-02-09,42.71,42.94,42.145,42.59,1134569.0
2019-02-10,42.71,42.94,42.145,42.59,1134569.0
2019-02-11,42.73,43.01,42.41,42.78,1542935.0
2019-02-12,43.2,43.84,42.87,43.53,3046123.0
2019-02-13,43.91,44.24,43.67,43.87,1120392.0
2019-02-14,43.43,43.66,43.26,43.37,1189566.0
2019-02-15,43.55,44.355,43.5,44.33,1266892.0
2019-02-16,43.55,44.355,43.5,44.33,1266892.0
2019-02-17,43.55,44.355,43.5,44.33,1266892.0
2019-02-18,43.55,44.355,43.5,44.33,1266892.0
2019-02-19,44.27,44.665,43.96,44.41,1485609.0
2019-02-20,44.4,44.66,44.17,44.6,1580084.0
2019-02-21,44.77,45.21,44.24,44.45,1387505.0
