,DHI US Equity,DHI US Equity,DHI US Equity,DHI US Equity,DHI US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,32.7319,33.0051,31.7331,32.6565,3171239.0
2019-01-02,32.176,33.5045,32.11,33.2312,4761791.0
2019-01-03,33.1087,33.7494,32.6094,33.0993,5165360.0
2019-01-04,33.5045,34.7387,33.3537,34.6257,5266153.0
2019-01-05,33.5045,34.7387,33.3537,34.6257,5266153.0
2019-01-06,33.5045,34.7387,33.3537,34.6257,5266153.0
2019-01-07,34.6634,35.9118,34.5315,35.2381,7494614.0
2019-01-08,35.7657,35.8128,34.7482,35.0968,4636659.0
2019-01-09,35.9071,37.6595,35.1345,37.2921,11907756.0
2019-01-10,37.0942,37.3392,36.4253,36.8493,7247423.0
2019-01-11,36.8493,37.8103,36.5949,37.3109,5860571.0
2019-01-12,36.8493,37.8103,36.5949,37.3109,5860571.0
2019-01-13,36.8493,37.8103,36.5949,37.3109,5860571.0
2019-01-14,37.0283,37.1413,36.152,36.1991,8318176.0
2019-01-15,36.2839,36.755,35.8128,36.2557,4851891.0
2019-01-16,36.2086,36.2981,35.4925,35.6621,4578407.0
2019-01-17,35.3135,35.7657,35.1486,35.436,4774071.0
2019-01-18,35.5302,35.6197,34.8895,35.0308,5066909.0
2019-01-19,35.5302,35.6197,34.8895,35.0308,5066909.0
2019-01-20,35.5302,35.6197,34.8895,35.0308,5066909.0
2019-01-21,35.5302,35.6197,34.8895,35.0308,5066909.0
2019-01-22,34.8612,34.9743,34.1169,34.3147,4879939.0
2019-01-23,34.9931,35.4831,34.588,35.1439,6362992.0
2019-01-24,35.1533,36.2462,35.1062,36.0861,9170404.0
2019-01-25,36.3405,36.9435,34.3006,35.1439,15999113.0
2019-01-26,36.3405,36.9435,34.3006,35.1439,15999113.0
2019-01-27,36.3405,36.9435,34.3006,35.1439,15999113.0
2019-01-28,34.4184,35.2946,34.0792,34.2865,10156982.0
2019-01-29,33.7965,34.6163,32.9391,34.5597,12026747.0
2019-01-30,34.5786,35.4642,33.9661,35.4171,8642223.0
2019-01-31,35.4736,36.7363,34.8612,36.2274,11125247.0
2019-02-01,36.3216,36.9341,35.7563,35.794,8082986.0
2019-02-02,36.3216,36.9341,35.7563,35.794,8082986.0
2019-02-03,36.3216,36.9341,35.7563,35.794,8082986.0
2019-02-04,35.7092,36.0013,35.3135,35.549,4819890.0
2019-02-05,35.5208,36.2086,35.436,36.1332,4130208.0
2019-02-06,36.0013,36.1143,35.1486,35.3606,6524368.0
2019-02-07,35.1439,36.2462,35.1439,36.2274,7052327.0
2019-02-08,35.9153,36.1801,35.1491,35.6788,4938510.0
2019-02-09,35.9153,36.1801,35.1491,35.6788,4938510.0
2019-02-10,35.9153,36.1801,35.1491,35.6788,4938510.0
2019-02-11,35.6126,35.7923,35.2199,35.7166,3668328.0
2019-02-12,36.1801,38.4691,36.0193,38.4124,10439704.0
2019-02-13,38.5164,38.9137,37.2631,37.9962,8436209.0
2019-02-14,37.4949,37.9394,36.9652,37.6462,7735985.0
2019-02-15,37.7597,38.0435,37.4192,37.807,7585356.0
2019-02-16,37.7597,38.0435,37.4192,37.807,7585356.0
2019-02-17,37.7597,38.0435,37.4192,37.807,7585356.0
2019-02-18,37.7597,38.0435,37.4192,37.807,7585356.0
2019-02-19,37.8354,38.6489,37.6369,38.2421,5214483.0
2019-02-20,38.0624,38.3273,37.4192,37.7124,4491467.0
2019-02-21,37.2206,38.1003,37.0787,38.0908,4712507.0
2019-02-22,38.2989,38.8144,37.9962,38.6299,5142506.0
2019-02-23,38.2989,38.8144,37.9962,38.6299,5142506.0
2019-02-24,38.2989,38.8144,37.9962,38.6299,5142506.0
2019-02-25,38.8286,39.2325,38.4597,38.5827,8061602.0
2019-02-26,38.2989,38.9043,37.9016,38.4029,4340062.0
2019-02-27,38.4313,38.5164,37.4381,37.8732,5262171.0
2019-02-28,37.4287,37.9867,36.7003,36.7855,7972945.0
2019-03-01,37.0503,37.1544,35.7639,36.6814,7778283.0
2019-03-02,37.0503,37.1544,35.7639,36.6814,7778283.0
2019-03-03,37.0503,37.1544,35.7639,36.6814,7778283.0
2019-03-04,36.9274,37.8827,36.8564,37.8259,8170273.0
2019-03-05,37.8259,37.8354,36.7524,37.0314,6496230.0
2019-03-06,36.9936,37.2584,36.7003,37.0314,4687846.0
2019-03-07,37.2111,38.4124,37.1922,38.3651,7782830.0
2019-03-08,38.157,38.7529,37.9205,38.2138,6110256.0
2019-03-09,38.157,38.7529,37.9205,38.2138,6110256.0
2019-03-10,38.157,38.7529,37.9205,38.2138,6110256.0
2019-03-11,38.1948,39.0083,38.1003,38.8759,4606005.0
2019-03-12,39.0178,39.2259,38.5921,39.1596,4085225.0
2019-03-13,39.1596,39.5096,38.7056,38.734,4468516.0
2019-03-14,38.6489,38.8191,38.3651,38.5921,4036005.0
2019-03-15,38.8759,39.2826,38.507,38.5543,4179285.0
2019-03-16,38.8759,39.2826,38.507,38.5543,4179285.0
2019-03-17,38.8759,39.2826,38.507,38.5543,4179285.0
2019-03-18,38.4691,38.7813,38.0955,38.2705,3598609.0
2019-03-19,38.2705,38.4597,37.3435,37.4381,4494831.0
2019-03-20,37.3246,37.7408,36.3031,37.0882,7140447.0
2019-03-21,37.2679,38.6299,37.1733,38.3462,7053648.0
2019-03-22,38.28,39.1975,38.1003,38.7151,5385617.0
2019-03-23,38.28,39.1975,38.1003,38.7151,5385617.0
2019-03-24,38.28,39.1975,38.1003,38.7151,5385617.0
2019-03-25,38.5827,39.9589,38.5827,39.6893,8423988.0
2019-03-26,39.6515,39.765,38.6867,39.3394,5675384.0
2019-03-27,39.8596,41.0136,39.642,40.238,6669352.0
2019-03-28,40.2474,40.4271,39.1123,39.415,4367384.0
2019-03-29,39.5853,40.0299,39.084,39.1407,7049130.0
2019-03-30,39.5853,40.0299,39.084,39.1407,7049130.0
2019-03-31,39.5853,40.0299,39.084,39.1407,7049130.0
2019-04-01,39.3204,39.5853,38.6772,39.4529,5622855.0
2019-04-02,39.4718,39.5806,39.1407,39.4434,3603765.0
2019-04-03,39.7272,40.2521,39.3961,39.6231,4155396.0
2019-04-04,39.4718,40.6731,39.4718,40.4933,5878960.0
2019-04-05,40.6352,41.2406,40.4555,41.1933,5736399.0
2019-04-06,40.6352,41.2406,40.4555,41.1933,5736399.0
2019-04-07,40.6352,41.2406,40.4555,41.1933,5736399.0
2019-04-08,41.1271,41.4298,40.9095,41.3352,3187079.0
2019-04-09,41.1649,41.4298,40.8953,41.0514,3837324.0
2019-04-10,41.1838,41.6142,41.1649,41.5527,3492778.0
2019-04-11,41.4298,42.527,41.2973,42.4229,6245498.0
2019-04-12,42.5081,42.9432,42.2716,42.8959,10711897.0
2019-04-13,42.5081,42.9432,42.2716,42.8959,10711897.0
2019-04-14,42.5081,42.9432,42.2716,42.8959,10711897.0
2019-04-15,43.104,43.208,42.6831,42.9621,7150069.0
2019-04-16,43.1134,43.3736,42.9905,43.2175,6133073.0
2019-04-17,43.1513,43.4634,43.0094,43.2932,5424429.0
2019-04-18,43.3215,43.9931,43.1324,43.908,7803381.0
2019-04-19,43.3215,43.9931,43.1324,43.908,7803381.0
2019-04-20,43.3215,43.9931,43.1324,43.908,7803381.0
