,PNC US Equity,PNC US Equity,PNC US Equity,PNC US Equity,PNC US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,135.2584,135.6985,134.5308,135.0723,1499788.0
2020-01-02,135.1738,135.6985,134.4546,135.6985,1881277.0
2020-01-03,134.04,135.0384,133.2123,134.3954,1374430.0
2020-01-04,134.04,135.0384,133.2123,134.3954,1374430.0
2020-01-05,134.04,135.0384,133.2123,134.3954,1374430.0
2020-01-06,133.7777,134.27,133.2277,134.1246,1335484.0
2020-01-07,133.2107,134.0315,132.5169,133.0669,1936596.0
2020-01-08,133.6931,135.305,133.1007,134.4461,1958425.0
2020-01-09,135.7069,136.4431,135.25,136.0708,1651980.0
2020-01-10,136.2146,136.2146,134.0907,134.1754,2182480.0
2020-01-11,136.2146,136.2146,134.0907,134.1754,2182480.0
2020-01-12,136.2146,136.2146,134.0907,134.1754,2182480.0
2020-01-13,134.4377,134.9961,133.5407,134.9115,2391330.0
2020-01-14,134.6831,136.1892,134.3784,135.2838,3335543.0
2020-01-15,133.9554,133.9554,129.7415,130.3761,4078473.0
2020-01-16,130.9303,131.0326,127.8356,130.1119,3831616.0
2020-01-17,130.4785,131.331,130.308,130.7427,2515591.0
2020-01-18,130.4785,131.331,130.308,130.7427,2515591.0
2020-01-19,130.4785,131.331,130.308,130.7427,2515591.0
2020-01-20,130.4785,131.331,130.308,130.7427,2515591.0
2020-01-21,129.7027,130.7172,129.123,129.2849,2036594.0
2020-01-22,129.5492,130.4529,129.2849,129.805,2637334.0
2020-01-23,129.0633,130.649,127.8186,130.1886,2118177.0
2020-01-24,129.9925,129.9925,127.4691,128.2022,3152878.0
2020-01-25,129.9925,129.9925,127.4691,128.2022,3152878.0
2020-01-26,129.9925,129.9925,127.4691,128.2022,3152878.0
2020-01-27,126.1221,127.8783,125.5968,126.6251,2343406.0
2020-01-28,127.2986,128.7052,126.9234,127.614,1636228.0
2020-01-29,127.8015,128.5304,126.4546,126.6762,1091882.0
2020-01-30,125.4315,128.816,125.4315,128.6967,2277498.0
2020-01-31,127.2559,128.4665,126.3778,126.6421,2808410.0
2020-02-01,127.2559,128.4665,126.3778,126.6421,2808410.0
2020-02-02,127.2559,128.4665,126.3778,126.6421,2808410.0
2020-02-03,127.9124,128.8544,127.2474,127.4861,1969404.0
2020-02-04,129.5407,129.7794,128.2449,128.4409,1502467.0
2020-02-05,130.0266,131.1605,129.8391,131.1093,1451879.0
2020-02-06,131.9874,132.0983,130.163,130.308,1484322.0
2020-02-07,129.4299,130.9814,129.0547,130.7342,1547163.0
2020-02-08,129.4299,130.9814,129.0547,130.7342,1547163.0
2020-02-09,129.4299,130.9814,129.0547,130.7342,1547163.0
2020-02-10,130.001,131.169,129.8476,131.169,1206488.0
2020-02-11,131.5782,132.7291,131.4503,131.9618,1224393.0
2020-02-12,132.9934,133.7777,132.0045,132.3199,956180.0
2020-02-13,131.9363,132.6098,131.3992,132.4137,1388011.0
2020-02-14,132.2773,132.516,130.585,131.3992,1832369.0
2020-02-15,132.2773,132.516,130.585,131.3992,1832369.0
2020-02-16,132.2773,132.516,130.585,131.3992,1832369.0
2020-02-17,132.2773,132.516,130.585,131.3992,1832369.0
2020-02-18,130.8536,131.3992,127.8783,129.0633,2121901.0
2020-02-19,129.7112,131.2031,129.4853,130.7342,1317613.0
2020-02-20,130.2227,132.0897,129.8135,131.6976,1426397.0
2020-02-21,130.9473,131.348,129.3958,131.1179,1547548.0
2020-02-22,130.9473,131.348,129.3958,131.1179,1547548.0
2020-02-23,130.9473,131.348,129.3958,131.1179,1547548.0
2020-02-24,127.29,128.0658,126.2414,126.8638,2234698.0
2020-02-25,126.9405,127.3156,120.2141,120.4954,2827986.0
2020-02-26,121.527,121.9822,118.2277,118.2533,2734837.0
2020-02-27,115.9515,116.6335,111.2797,111.3564,3669168.0
2020-02-28,107.682,109.0802,104.4765,107.7588,4900446.0
2020-02-29,107.682,109.0802,104.4765,107.7588,4900446.0
2020-03-01,107.682,109.0802,104.4765,107.7588,4900446.0
2020-03-02,108.1168,113.1808,106.2668,113.0785,2965206.0
2020-03-03,112.5329,113.931,105.7553,106.983,3545500.0
2020-03-04,108.4067,110.4954,106.2327,110.3163,2598630.0
2020-03-05,106.2754,106.4032,100.9812,102.8909,3561536.0
2020-03-06,98.364,101.0153,95.5847,97.3836,3703980.0
2020-03-07,98.364,101.0153,95.5847,97.3836,3703980.0
2020-03-08,98.364,101.0153,95.5847,97.3836,3703980.0
2020-03-09,87.4687,91.3989,83.1636,84.1865,4702274.0
2020-03-10,88.7049,92.9078,85.508,92.1065,4757122.0
2020-03-11,88.9095,90.4355,85.3587,86.9061,5605566.0
2020-03-12,79.6937,88.6623,77.4857,80.7509,5347720.0
2020-03-13,88.074,91.3733,84.7918,91.2028,6420111.0
2020-03-14,88.074,91.3733,84.7918,91.2028,6420111.0
2020-03-15,88.074,91.3733,84.7918,91.2028,6420111.0
2020-03-16,77.7329,88.057,76.0961,76.7014,5318354.0
2020-03-17,77.8352,82.0041,74.6271,81.8421,4487231.0
2020-03-18,75.6869,77.7415,69.0798,74.6212,5107585.0
2020-03-19,72.8309,82.2684,72.0978,78.7901,3370805.0
2020-03-20,80.2053,81.305,73.8284,76.2922,3939893.0
2020-03-21,80.2053,81.305,73.8284,76.2922,3939893.0
2020-03-22,80.2053,81.305,73.8284,76.2922,3939893.0
2020-03-23,73.6153,75.397,67.6988,68.7474,3848297.0
2020-03-24,73.7858,77.571,72.1745,76.8804,5137316.0
2020-03-25,78.0228,82.8395,74.0841,78.4746,3793113.0
2020-03-26,78.9265,88.4321,78.4746,87.7415,3736695.0
2020-03-27,83.1038,88.057,82.6776,85.363,2535559.0
2020-03-28,83.1038,88.057,82.6776,85.363,2535559.0
2020-03-29,83.1038,88.057,82.6776,85.363,2535559.0
2020-03-30,84.6298,86.6844,83.3937,86.0791,2707409.0
2020-03-31,84.1695,85.7125,80.3417,81.6034,3563801.0
2020-04-01,76.727,77.3749,73.7602,74.4678,4024819.0
2020-04-02,74.4507,78.4064,73.1975,77.3493,3063549.0
2020-04-03,76.2069,77.6818,71.6289,72.6263,3118565.0
2020-04-04,76.2069,77.6818,71.6289,72.6263,3118565.0
2020-04-05,76.2069,77.6818,71.6289,72.6263,3118565.0
2020-04-06,76.8719,81.97,76.3519,81.2539,3169721.0
2020-04-07,86.4031,88.0911,80.5036,80.9214,2962491.0
2020-04-08,81.7313,85.5506,80.6656,84.8259,2900385.0
