,MAIN US Equity,MAIN US Equity,MAIN US Equity,MAIN US Equity,MAIN US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,31.2125,31.292,31.068,31.1475,251625.0
2020-01-02,31.1619,31.2848,31.0463,31.2775,272846.0
2020-01-03,31.068,31.357,31.068,31.3426,185348.0
2020-01-04,31.068,31.357,31.068,31.3426,185348.0
2020-01-05,31.068,31.357,31.068,31.3426,185348.0
2020-01-06,31.227,31.4582,31.1547,31.3353,333751.0
2020-01-07,31.4004,31.4148,31.227,31.3426,211540.0
2020-01-08,31.3137,31.516,31.3101,31.3787,191424.0
2020-01-09,31.4293,31.5015,31.3787,31.4798,201645.0
2020-01-10,31.4798,31.6605,31.4293,31.5087,186394.0
2020-01-11,31.4798,31.6605,31.4293,31.5087,186394.0
2020-01-12,31.4798,31.6605,31.4293,31.5087,186394.0
2020-01-13,31.5593,31.8628,31.4943,31.8266,301691.0
2020-01-14,31.7905,31.9481,31.7183,31.9133,151414.0
2020-01-15,31.9133,32.2818,31.9133,32.2024,292224.0
2020-01-16,32.3324,32.4841,32.2674,32.3469,289193.0
2020-01-17,32.4119,32.513,32.094,32.2385,306096.0
2020-01-18,32.4119,32.513,32.094,32.2385,306096.0
2020-01-19,32.4119,32.513,32.094,32.2385,306096.0
2020-01-20,32.4119,32.513,32.094,32.2385,306096.0
2020-01-21,32.0795,32.1625,31.9775,32.0217,247543.0
2020-01-22,32.1229,32.2818,32.0073,32.224,206622.0
2020-01-23,32.1807,32.2457,32.1084,32.1807,165173.0
2020-01-24,32.1518,32.1951,31.6677,31.805,295665.0
2020-01-25,32.1518,32.1951,31.6677,31.805,295665.0
2020-01-26,32.1518,32.1951,31.6677,31.805,295665.0
2020-01-27,31.4293,31.6749,31.0969,31.4943,399934.0
2020-01-28,31.6099,31.7544,31.5015,31.5449,274407.0
2020-01-29,31.6821,31.7544,31.3931,31.4437,319852.0
2020-01-30,31.357,31.4871,31.3498,31.4509,137399.0
2020-01-31,31.4076,31.438,31.0174,31.1186,327576.0
2020-02-01,31.4076,31.438,31.0174,31.1186,327576.0
2020-02-02,31.4076,31.438,31.0174,31.1186,327576.0
2020-02-03,31.3064,31.4654,31.1186,31.1692,224908.0
2020-02-04,31.3064,31.5882,31.2197,31.3931,231691.0
2020-02-05,31.5304,31.5954,31.357,31.5304,280994.0
2020-02-06,31.5954,31.7038,31.5145,31.646,196305.0
2020-02-07,31.6388,31.8266,31.6099,31.805,191321.0
2020-02-08,31.6388,31.8266,31.6099,31.805,191321.0
2020-02-09,31.6388,31.8266,31.6099,31.805,191321.0
2020-02-10,31.805,32.1518,31.7544,32.0723,249068.0
2020-02-11,32.094,32.2385,32.0542,32.1012,274396.0
2020-02-12,32.2168,32.2457,32.0145,32.0795,168646.0
2020-02-13,32.0073,32.513,32.0001,32.513,233265.0
2020-02-14,32.5058,32.5542,32.2123,32.4408,233087.0
2020-02-15,32.5058,32.5542,32.2123,32.4408,233087.0
2020-02-16,32.5058,32.5542,32.2123,32.4408,233087.0
2020-02-17,32.5058,32.5542,32.2123,32.4408,233087.0
2020-02-18,32.3685,32.5853,32.2457,32.3107,285229.0
2020-02-19,32.3579,32.4377,32.2635,32.3579,218688.0
2020-02-20,32.3361,32.4595,32.1619,32.3361,228711.0
2020-02-21,32.2345,32.2781,32.0168,32.1547,206321.0
2020-02-22,32.2345,32.2781,32.0168,32.1547,206321.0
2020-02-23,32.2345,32.2781,32.0168,32.1547,206321.0
2020-02-24,31.574,31.7482,31.3663,31.5232,439355.0
2020-02-25,31.574,31.6223,26.4641,28.4892,1792064.0
2020-02-26,28.6852,29.6215,28.5981,29.1207,886492.0
2020-02-27,28.5327,28.8303,27.6545,27.9738,1203863.0
2020-02-28,26.4568,27.3496,24.5914,26.8052,1849167.0
2020-02-29,26.4568,27.3496,24.5914,26.8052,1849167.0
2020-03-01,26.4568,27.3496,24.5914,26.8052,1849167.0
2020-03-02,27.2553,28.2642,27.219,28.2351,1076661.0
2020-03-03,29.1787,29.1787,27.4585,27.6617,822309.0
2020-03-04,28.0464,28.3818,27.6794,27.9448,401304.0
2020-03-05,27.5819,27.7706,27.1827,27.4367,441804.0
2020-03-06,27.1464,27.1464,26.2391,26.7835,762882.0
2020-03-07,27.1464,27.1464,26.2391,26.7835,762882.0
2020-03-08,27.1464,27.1464,26.2391,26.7835,762882.0
2020-03-09,24.6785,24.8845,23.2269,23.7785,1132579.0
2020-03-10,24.6785,24.8527,23.6787,24.3229,667145.0
2020-03-11,23.5898,24.0108,22.3849,22.7405,1021401.0
2020-03-12,20.5195,20.9259,17.754,19.2493,1663119.0
2020-03-13,21.4921,21.4921,19.8227,20.4541,1336699.0
2020-03-14,21.4921,21.4921,19.8227,20.4541,1336699.0
2020-03-15,21.4921,21.4921,19.8227,20.4541,1336699.0
2020-03-16,18.146,19.2297,15.9685,15.9685,1965362.0
2020-03-17,16.6755,16.6755,14.1185,14.7046,2071014.0
2020-03-18,13.8108,13.8327,10.6418,12.3601,2571422.0
2020-03-19,12.089,14.8511,10.3379,13.95,2051102.0
2020-03-20,14.265,15.2541,13.0561,13.0561,1572968.0
2020-03-21,14.265,15.2541,13.0561,13.0561,1572968.0
2020-03-22,14.265,15.2541,13.0561,13.0561,1572968.0
2020-03-23,12.5066,12.6385,11.0749,11.5322,2004828.0
2020-03-24,12.6825,14.2577,12.6825,13.3418,1460651.0
2020-03-25,14.3969,16.6462,13.7741,14.3896,2630186.0
2020-03-26,15.7816,18.9467,15.2028,17.1224,1943179.0
2020-03-27,16.4264,18.2506,15.6717,17.2763,1554174.0
2020-03-28,16.4264,18.2506,15.6717,17.2763,1554174.0
2020-03-29,16.4264,18.2506,15.6717,17.2763,1554174.0
2020-03-30,17.0052,17.4113,15.1882,15.7303,1413310.0
2020-03-31,15.7743,16.3604,14.9903,15.027,1041053.0
2020-04-01,14.1258,14.4499,13.2832,13.4664,1553808.0
2020-04-02,13.2979,13.7668,12.6971,12.9609,1049365.0
2020-04-03,13.1514,13.3931,12.0157,12.7044,1027187.0
2020-04-04,13.1514,13.3931,12.0157,12.7044,1027187.0
2020-04-05,13.1514,13.3931,12.0157,12.7044,1027187.0
2020-04-06,13.9719,14.5617,13.7082,13.8108,1073770.0
2020-04-07,15.32,16.485,14.8445,15.6351,1454897.0
2020-04-08,16.3311,17.987,16.0527,16.8293,1581577.0
2020-04-09,18.5145,20.2565,18.28,19.1739,2019073.0
2020-04-10,18.5145,20.2565,18.28,19.1739,2019073.0
2020-04-11,18.5145,20.2565,18.28,19.1739,2019073.0
2020-04-12,18.5145,20.2565,18.28,19.1739,2019073.0
2020-04-13,19.5329,19.8259,17.7085,18.6244,1943216.0
2020-04-14,19.445,19.7087,18.5482,19.1446,1015740.0
2020-04-15,17.6939,18.5584,17.2764,18.1555,1091696.0
2020-04-16,18.3313,18.6464,17.8831,18.258,867768.0
2020-04-17,19.1408,19.3551,17.7298,17.7742,1013662.0
2020-04-18,19.1408,19.3551,17.7298,17.7742,1013662.0
2020-04-19,19.1408,19.3551,17.7298,17.7742,1013662.0
2020-04-20,17.4713,17.4775,16.5331,17.0133,1376612.0
2020-04-21,16.4223,16.799,15.883,16.1489,804883.0
2020-04-22,16.5774,16.6993,15.9568,16.0159,547057.0
2020-04-23,16.112,16.7325,16.0307,16.4149,564788.0
2020-04-24,17.2423,18.1879,16.7325,17.9958,829227.0
2020-04-25,17.2423,18.1879,16.7325,17.9958,829227.0
2020-04-26,17.2423,18.1879,16.7325,17.9958,829227.0
2020-04-27,18.6976,19.2812,18.247,19.0374,875586.0
2020-04-28,19.8352,20.1898,18.5794,18.6237,786983.0
2020-04-29,19.2073,20.1898,19.0522,19.8943,817365.0
2020-04-30,19.6432,19.6875,18.7494,19.2664,662595.0
2020-05-01,18.5646,18.7308,17.9958,18.4021,643627.0
2020-05-02,18.5646,18.7308,17.9958,18.4021,643627.0
2020-05-03,18.5646,18.7308,17.9958,18.4021,643627.0
2020-05-04,17.7889,18.0918,17.1758,17.752,634530.0
2020-05-05,18.4981,19.0374,18.3578,18.5942,695243.0
2020-05-06,18.7641,19.3329,18.5646,19.1113,551081.0
2020-05-07,19.5841,19.9461,19.1852,19.4511,465428.0
2020-05-08,19.85,20.2416,19.4511,19.8796,588120.0
2020-05-09,19.85,20.2416,19.4511,19.8796,588120.0
2020-05-10,19.85,20.2416,19.4511,19.8796,588120.0
2020-05-11,19.8648,20.1529,19.5102,19.887,507929.0
2020-05-12,19.983,21.0468,19.935,20.3598,601621.0
